task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T4,1.501,2.0,2.0,2.0,2.01,2.03,2.0
T4,2.811,2.0,2.0,2.0,2.02,2.0,2.03
T1,6.295,10.0,10.0,10.0,10.02,10.09,10.1
T3,8.834,5.0,5.0,5.0,4.91,4.94,5.02
T2,21.833,15.0,15.0,15.0,14.86,14.94,14.86
T3,24.829,5.0,5.0,5.0,5.06,4.96,4.98
T1,26.429,10.0,10.0,10.0,9.99,9.98,9.96
T1,29.54,10.0,10.0,10.0,9.91,10.15,9.86
T4,30.102,2.0,2.0,2.0,1.98,2.03,2.03
T1,31.172,10.0,10.0,10.0,10.13,9.89,9.85
T3,33.476,5.0,5.0,5.0,4.99,4.96,5.08
T4,37.875,2.0,2.0,2.0,1.99,2.03,2.03
T1,38.319,10.0,10.0,10.0,9.83,10.04,10.05
T2,40.854,15.0,15.0,15.0,14.82,15.13,14.87
T3,41.718,5.0,5.0,5.0,5.04,4.99,5.02
T4,42.432,2.0,2.0,2.0,2.01,2.0,2.01
T4,44.955,2.0,2.0,2.0,1.99,2.0,2.0
T1,47.003,10.0,10.0,10.0,9.93,10.07,10.1
T3,48.466,5.0,5.0,5.0,4.96,5.04,4.92
T2,49.422,15.0,15.0,15.0,15.21,14.91,14.88
T3,52.869,5.0,5.0,5.0,4.99,5.01,4.98
T1,52.925,10.0,10.0,10.0,10.17,9.99,10.16
T1,54.691,10.0,10.0,10.0,10.1,9.88,9.85
T4,56.909,2.0,2.0,2.0,1.98,2.03,2.0
T2,57.459,15.0,15.0,15.0,15.16,15.14,15.07
T1,57.516,10.0,10.0,10.0,9.99,10.09,10.06
T2,57.861,15.0,15.0,15.0,14.79,15.05,15.26
T2,60.325,15.0,15.0,15.0,15.1,15.01,14.85
T1,61.801,10.0,10.0,10.0,9.83,9.84,9.88
T2,62.209,15.0,15.0,15.0,15.09,14.92,14.79
T3,64.142,5.0,5.0,5.0,5.06,5.01,5.06
T1,64.245,10.0,10.0,10.0,10.04,9.99,10.07
T3,66.019,5.0,5.0,5.0,5.04,4.93,5.03
T3,67.331,5.0,5.0,5.0,5.0,4.94,5.02
T2,67.596,15.0,15.0,15.0,14.85,14.76,14.9
T4,73.01,2.0,2.0,2.0,2.01,2.0,1.99
T2,77.185,15.0,15.0,15.0,14.97,15.17,15.06
T2,77.923,15.0,15.0,15.0,14.86,15.16,15.12
T2,81.052,15.0,15.0,15.0,15.04,15.16,14.97
T4,83.089,2.0,2.0,2.0,2.03,2.03,2.0
T3,88.184,5.0,5.0,5.0,4.98,5.06,4.98
T3,91.255,5.0,5.0,5.0,5.04,5.01,5.04
T2,91.761,15.0,15.0,15.0,14.93,15.17,15.13
T4,91.956,2.0,2.0,2.0,1.97,2.01,1.98
T3,93.267,5.0,5.0,5.0,4.95,5.05,4.98
T3,97.482,5.0,5.0,5.0,4.98,4.93,4.98
T2,103.888,15.0,15.0,15.0,14.8,15.22,15.03
