task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,3.657,10.0,10.0,10.0,9.85,9.94,10.06
T1,3.809,10.0,10.0,10.0,10.16,9.95,10.17
T2,4.699,15.0,15.0,15.0,14.92,15.16,15.01
T1,5.174,10.0,10.0,10.0,9.89,9.96,9.97
T3,7.034,5.0,5.0,5.0,4.92,5.0,5.07
T3,22.155,5.0,5.0,5.0,5.06,4.92,5.03
T1,26.096,10.0,10.0,10.0,10.09,9.84,10.09
T4,32.242,2.0,2.0,2.0,2.0,1.99,2.0
T3,32.917,5.0,5.0,5.0,4.95,5.01,5.05
T1,39.363,10.0,10.0,10.0,10.17,9.93,10.02
T3,40.311,5.0,5.0,5.0,4.99,5.09,5.01
T1,44.359,10.0,10.0,10.0,10.1,10.14,9.9
T3,49.009,5.0,5.0,5.0,4.97,5.02,5.05
T3,52.582,5.0,5.0,5.0,4.94,5.03,5.04
T4,54.237,2.0,2.0,2.0,1.99,1.98,2.0
T3,58.492,5.0,5.0,5.0,4.98,5.01,5.04
T3,58.723,5.0,5.0,5.0,4.99,5.03,4.99
T1,66.397,10.0,10.0,10.0,9.9,9.9,10.04
T2,67.97,15.0,15.0,15.0,14.81,14.76,15.22
T4,72.889,2.0,2.0,2.0,2.01,2.0,1.97
T4,73.533,2.0,2.0,2.0,2.0,1.99,1.98
T3,80.816,5.0,5.0,5.0,5.03,5.08,5.05
T1,84.511,10.0,10.0,10.0,10.02,9.94,10.13
T3,85.798,5.0,5.0,5.0,4.97,4.92,4.94
T3,89.581,5.0,5.0,5.0,5.03,4.91,4.92
T1,90.823,10.0,10.0,10.0,10.15,10.0,10.17
T2,95.535,15.0,15.0,15.0,14.74,15.07,15.11
T4,100.087,2.0,2.0,2.0,1.99,2.02,2.0
T4,101.86,2.0,2.0,2.0,2.02,1.98,2.01
T4,105.82,2.0,2.0,2.0,2.01,1.99,1.99
T3,106.633,5.0,5.0,5.0,4.96,4.98,4.95
T4,111.213,2.0,2.0,2.0,2.03,2.02,1.98
T1,123.886,10.0,10.0,10.0,9.86,9.97,10.06
T1,124.108,10.0,10.0,10.0,10.03,10.13,9.86
T4,128.054,2.0,2.0,2.0,1.97,2.01,2.0
T4,130.195,2.0,2.0,2.0,2.02,1.99,2.02
T2,133.322,15.0,15.0,15.0,14.96,15.25,15.04
T3,138.493,5.0,5.0,5.0,4.96,4.96,4.99
T1,143.995,10.0,10.0,10.0,9.84,10.06,10.02
T2,148.776,15.0,15.0,15.0,15.26,14.99,14.84
T2,161.951,15.0,15.0,15.0,15.16,15.19,14.78
T4,163.377,2.0,2.0,2.0,2.01,1.97,2.0
T2,167.352,15.0,15.0,15.0,15.16,15.12,14.94
T1,169.216,10.0,10.0,10.0,10.05,10.0,10.1
T1,173.657,10.0,10.0,10.0,10.13,9.94,10.15
T4,179.789,2.0,2.0,2.0,2.03,2.02,2.02
T4,182.836,2.0,2.0,2.0,2.02,2.01,2.0
T4,184.138,2.0,2.0,2.0,2.01,1.97,2.03
T1,185.506,10.0,10.0,10.0,10.06,9.9,9.85
T2,198.506,15.0,15.0,15.0,15.09,15.2,15.24
T1,202.861,10.0,10.0,10.0,9.95,10.02,9.9
T2,204.626,15.0,15.0,15.0,15.06,15.21,15.26
T4,213.518,2.0,2.0,2.0,2.02,2.03,2.0
T4,218.364,2.0,2.0,2.0,2.02,2.01,2.01
T1,219.301,10.0,10.0,10.0,10.07,9.96,9.99
T4,228.609,2.0,2.0,2.0,1.97,1.99,1.97
T3,244.717,5.0,5.0,5.0,5.02,4.94,5.03
T1,245.983,10.0,10.0,10.0,10.17,9.88,9.85
T4,246.113,2.0,2.0,2.0,2.0,1.98,1.98
T4,248.196,2.0,2.0,2.0,1.97,1.98,2.01
T4,248.395,2.0,2.0,2.0,2.02,1.98,1.97
T2,248.793,15.0,15.0,15.0,15.23,14.92,14.85
T3,249.069,5.0,5.0,5.0,5.08,5.01,5.01
T3,251.0,5.0,5.0,5.0,5.03,5.08,4.98
T4,255.805,2.0,2.0,2.0,2.03,2.03,1.97
T2,262.945,15.0,15.0,15.0,14.91,15.15,15.02
T2,263.859,15.0,15.0,15.0,14.79,15.11,14.8
T3,266.063,5.0,5.0,5.0,4.99,5.08,4.96
T3,276.461,5.0,5.0,5.0,5.0,5.03,5.08
T3,281.158,5.0,5.0,5.0,5.04,5.03,4.96
T4,287.243,2.0,2.0,2.0,2.01,1.98,2.03
T2,288.237,15.0,15.0,15.0,14.74,15.02,14.81
T3,310.281,5.0,5.0,5.0,5.01,4.93,4.92
T2,324.93,15.0,15.0,15.0,14.79,14.9,15.04
T3,325.752,5.0,5.0,5.0,4.97,4.98,5.01
T4,331.941,2.0,2.0,2.0,2.01,1.98,1.98
T2,333.929,15.0,15.0,15.0,15.2,15.04,14.96
T1,334.653,10.0,10.0,10.0,9.87,9.88,10.01
T3,335.078,5.0,5.0,5.0,4.98,5.04,5.06
T4,337.812,2.0,2.0,2.0,2.01,1.98,2.01
T3,342.717,5.0,5.0,5.0,4.92,5.02,4.97
T4,343.908,2.0,2.0,2.0,2.02,2.02,2.0
T2,344.185,15.0,15.0,15.0,15.12,15.06,15.16
T1,348.042,10.0,10.0,10.0,10.0,9.99,9.93
T3,348.484,5.0,5.0,5.0,5.07,4.97,5.06
T1,352.903,10.0,10.0,10.0,9.85,10.11,9.86
T3,354.418,5.0,5.0,5.0,5.02,5.06,5.01
T2,372.113,15.0,15.0,15.0,15.22,15.09,15.04
T2,372.135,15.0,15.0,15.0,14.95,15.17,14.88
T3,374.121,5.0,5.0,5.0,5.01,5.01,4.97
T4,381.205,2.0,2.0,2.0,2.02,2.01,2.02
T4,383.462,2.0,2.0,2.0,2.01,2.03,2.0
T1,384.878,10.0,10.0,10.0,9.87,10.03,9.86
T4,385.9,2.0,2.0,2.0,1.97,2.02,1.98
T1,387.673,10.0,10.0,10.0,9.84,10.05,10.06
T2,390.772,15.0,15.0,15.0,14.75,15.03,14.8
T4,393.336,2.0,2.0,2.0,1.99,2.02,1.97
T2,395.368,15.0,15.0,15.0,14.83,15.17,15.06
T2,400.068,15.0,15.0,15.0,15.1,15.11,15.22
T3,400.575,5.0,5.0,5.0,4.93,5.02,4.99
T2,406.891,15.0,15.0,15.0,15.14,15.09,15.13
T1,409.935,10.0,10.0,10.0,10.16,9.89,10.02
T4,420.131,2.0,2.0,2.0,2.0,2.02,2.03
T4,423.714,2.0,2.0,2.0,2.01,2.03,2.02
T3,424.781,5.0,5.0,5.0,4.96,4.97,5.0
T2,430.743,15.0,15.0,15.0,14.81,15.17,14.88
T1,436.027,10.0,10.0,10.0,9.92,10.03,10.07
T4,436.265,2.0,2.0,2.0,2.0,2.02,2.03
T2,442.28,15.0,15.0,15.0,14.92,14.9,14.84
T3,442.787,5.0,5.0,5.0,5.03,4.97,5.03
T4,450.1,2.0,2.0,2.0,1.98,1.99,1.99
T3,451.626,5.0,5.0,5.0,5.07,4.94,5.0
T4,455.499,2.0,2.0,2.0,1.99,1.98,1.98
T1,456.599,10.0,10.0,10.0,9.91,9.88,9.96
T2,459.154,15.0,15.0,15.0,15.11,15.19,14.81
T2,466.683,15.0,15.0,15.0,14.9,15.13,14.79
T2,467.689,15.0,15.0,15.0,14.96,15.19,15.18
T1,469.042,10.0,10.0,10.0,10.05,9.84,10.07
T1,475.809,10.0,10.0,10.0,10.02,9.99,9.83
T2,488.299,15.0,15.0,15.0,15.14,15.11,15.04
T4,492.723,2.0,2.0,2.0,1.99,1.97,2.03
T1,496.583,10.0,10.0,10.0,10.06,9.92,10.08
T2,499.039,15.0,15.0,15.0,14.93,15.18,15.19
T4,500.743,2.0,2.0,2.0,1.97,2.02,1.97
T3,500.939,5.0,5.0,5.0,5.0,4.99,5.01
T4,501.8,2.0,2.0,2.0,2.0,2.0,1.97
T2,503.078,15.0,15.0,15.0,15.22,14.89,15.24
T1,504.68,10.0,10.0,10.0,9.83,10.06,9.92
T2,506.258,15.0,15.0,15.0,14.76,15.18,15.24
T2,508.885,15.0,15.0,15.0,15.21,14.75,15.25
T1,509.818,10.0,10.0,10.0,10.04,9.88,10.09
T2,513.811,15.0,15.0,15.0,14.97,15.12,15.0
T2,514.846,15.0,15.0,15.0,15.09,14.79,15.05
T1,515.985,10.0,10.0,10.0,10.14,9.96,10.02
T1,519.649,10.0,10.0,10.0,10.03,10.09,10.16
T2,525.521,15.0,15.0,15.0,14.79,14.77,15.02
T2,528.851,15.0,15.0,15.0,14.84,14.9,14.83
T3,535.033,5.0,5.0,5.0,5.0,4.93,4.92
T2,535.683,15.0,15.0,15.0,14.97,14.88,14.8
T3,545.182,5.0,5.0,5.0,5.06,5.08,5.06
T1,546.132,10.0,10.0,10.0,10.02,10.13,10.01
T3,554.717,5.0,5.0,5.0,4.95,5.03,5.03
T1,563.53,10.0,10.0,10.0,9.89,9.86,10.04
T4,565.007,2.0,2.0,2.0,2.02,2.03,1.99
T2,567.587,15.0,15.0,15.0,15.14,15.07,14.94
T2,571.792,15.0,15.0,15.0,14.77,14.84,14.98
T1,577.404,10.0,10.0,10.0,9.95,9.98,9.86
T3,577.414,5.0,5.0,5.0,5.07,4.96,5.02
T2,577.907,15.0,15.0,15.0,15.19,14.95,14.97
T3,582.328,5.0,5.0,5.0,5.02,5.02,4.94
T4,584.467,2.0,2.0,2.0,2.0,2.0,2.01
T3,584.561,5.0,5.0,5.0,4.98,4.99,4.92
T1,584.811,10.0,10.0,10.0,10.03,9.89,10.13
T2,585.61,15.0,15.0,15.0,15.2,14.86,14.79
T2,604.171,15.0,15.0,15.0,15.09,15.03,14.98
T3,605.248,5.0,5.0,5.0,4.97,4.93,5.08
T2,607.358,15.0,15.0,15.0,15.23,14.85,14.86
T1,620.523,10.0,10.0,10.0,9.95,10.07,10.09
T4,623.774,2.0,2.0,2.0,1.99,2.0,1.98
T4,624.307,2.0,2.0,2.0,1.98,2.03,2.02
T3,625.457,5.0,5.0,5.0,5.0,5.02,5.0
