task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
4,0.373,2.158,1.432,4.939,0.828,2.031,1.753,4.318,0.993
2,0.574,1.964,2.013,4.96,0.721,2.298,1.615,4.9,0.841
3,0.591,2.111,1.642,4.734,1.008,2.004,1.743,4.655,0.806
1,1.502,2.588,1.719,4.156,0.833,1.945,1.793,5.043,0.706
2,1.67,2.601,2.069,4.958,0.732,2.145,1.9,4.325,0.831
1,1.747,2.431,1.689,4.353,0.752,2.421,1.538,5.111,0.835
4,1.811,1.924,1.84,4.222,1.061,2.158,1.391,4.389,0.918
2,1.892,2.221,1.735,3.77,0.92,2.417,2.0,4.527,0.914
1,1.932,1.881,1.849,4.965,0.684,2.291,1.516,3.786,0.767
2,2.043,1.945,1.739,4.943,1.01,1.979,2.109,4.233,0.775
1,2.127,2.482,1.535,4.741,0.631,2.057,1.617,3.98,0.703
2,2.463,2.117,1.818,3.864,0.82,2.614,2.053,3.722,0.722
4,2.724,2.388,1.364,4.44,1.052,2.093,1.615,3.892,0.765
1,2.781,2.422,1.92,4.969,0.701,2.238,1.548,5.07,0.651
3,2.892,1.876,1.317,4.581,0.769,1.997,1.301,5.521,0.769
2,3.01,2.494,1.903,4.543,0.818,2.421,1.691,4.332,0.865
4,3.07,2.085,1.693,4.263,1.062,2.112,1.468,4.748,1.068
2,3.525,2.117,1.936,4.592,0.813,2.115,1.54,3.628,0.92
1,3.641,2.115,1.546,4.108,0.748,2.359,1.447,4.996,0.843
3,3.721,1.872,1.469,5.736,0.91,2.191,1.527,5.937,0.746
2,3.794,2.325,1.861,4.365,0.719,2.557,1.758,4.527,0.928
4,3.832,1.732,1.452,3.781,1.043,2.167,1.401,4.916,0.799
1,4.006,2.192,1.674,4.364,0.798,2.346,1.653,5.05,0.638
3,4.072,1.893,1.515,4.75,0.991,2.253,1.306,4.296,0.753
4,4.087,2.007,1.518,4.531,0.837,1.937,1.377,3.688,0.759
3,4.444,1.9,1.46,4.833,0.884,2.046,1.656,5.477,0.866
1,4.75,2.596,1.437,4.386,0.755,2.54,1.872,4.677,0.724
1,5.01,2.613,1.911,4.374,0.616,2.235,1.473,5.102,0.635
2,5.089,2.121,1.811,4.444,0.914,2.066,1.801,3.692,0.848
4,5.488,2.208,1.607,4.707,0.897,1.909,1.782,4.865,0.756
1,5.543,1.978,1.651,3.941,0.764,2.5,1.959,4.07,0.675
4,5.562,1.85,1.363,4.11,1.038,2.434,1.706,4.51,1.024
2,5.745,2.542,1.636,4.764,0.832,2.222,1.671,4.098,0.809
2,5.787,2.027,1.846,5.083,0.795,2.151,1.889,4.987,1.0
4,6.042,2.216,1.881,3.921,0.953,1.955,1.379,4.587,0.938
3,6.297,2.389,1.362,4.865,0.827,2.397,1.674,5.372,0.892
2,6.469,2.368,2.093,4.33,0.719,2.456,1.875,4.392,0.777
4,6.558,2.318,1.678,3.868,0.841,1.78,1.429,4.24,0.965
1,6.564,2.146,1.497,4.353,0.612,2.388,1.959,5.037,0.73
4,6.576,2.067,1.829,4.207,0.998,2.068,1.863,4.183,0.925
2,6.716,2.427,2.104,4.51,0.969,2.139,1.593,3.636,0.869
2,6.721,2.438,1.739,4.674,0.904,2.562,1.72,3.679,0.896
4,6.751,1.817,1.642,4.451,1.059,1.986,1.403,4.52,0.934
4,6.787,2.434,1.737,3.774,0.817,2.065,1.898,3.996,0.93
3,6.8,1.814,1.632,5.095,0.761,2.202,1.357,5.807,0.82
1,7.124,2.44,1.691,3.624,0.622,2.55,1.898,4.267,0.724
4,7.209,1.926,1.514,3.892,1.063,2.045,1.36,3.853,1.032
4,7.375,1.772,1.707,4.531,1.07,2.442,1.797,4.712,0.879
3,7.594,1.778,1.74,5.396,0.984,1.937,1.549,4.356,0.816
3,7.64,2.013,1.712,4.359,0.917,2.107,1.417,5.229,0.834
4,7.796,1.809,1.422,3.663,1.053,1.861,1.421,4.576,1.055
3,7.976,1.799,1.642,4.884,0.887,1.873,1.557,5.4,0.773
3,8.018,2.391,1.683,4.234,0.794,2.247,1.447,4.561,0.923
1,8.244,2.162,1.963,4.287,0.712,2.318,1.547,4.591,0.704
4,8.603,2.185,1.62,4.102,1.023,2.042,1.667,4.662,1.001
2,8.65,2.565,1.612,4.307,0.866,2.537,1.606,3.681,0.729
3,8.683,1.746,1.63,4.298,0.897,2.064,1.715,5.073,0.789
3,8.69,2.281,1.715,4.657,0.79,2.31,1.783,5.721,0.757
4,8.765,2.302,1.84,4.271,0.871,1.845,1.864,4.614,1.036
4,8.871,2.265,1.776,4.07,0.761,2.058,1.753,4.467,0.918
1,9.348,2.309,1.445,4.456,0.674,2.585,1.765,4.757,0.823
3,9.46,2.321,1.371,5.543,0.991,2.141,1.448,5.732,0.746
