task_type,m1_1,m2_1,m3_1,m4_1
T2,0.106,0.532,0.665,0.888
T2,0.121,0.498,0.704,0.952
T2,0.119,0.57,0.713,0.83
T1,0.009,0.041,0.062,0.077
T2,0.111,0.534,0.744,0.938
T4,0.139,0.559,0.814,1.084
T3,0.116,0.624,0.726,0.967
T4,0.122,0.564,0.784,1.082
T2,0.105,0.535,0.705,0.839
T2,0.112,0.553,0.739,0.881
T3,0.122,0.597,0.772,1.04
T2,0.108,0.537,0.761,0.854
T1,0.009,0.041,0.056,0.074
T1,0.009,0.045,0.06,0.073
T1,0.01,0.044,0.06,0.079
T4,0.122,0.597,0.841,0.934
T4,0.124,0.626,0.74,1.008
T2,0.116,0.518,0.703,0.958
T4,0.121,0.583,0.861,1.018
T2,0.112,0.5,0.661,0.927
T3,0.127,0.534,0.762,0.903
T3,0.115,0.544,0.833,1.022
T4,0.131,0.645,0.858,0.967
T1,0.01,0.046,0.054,0.071
T3,0.128,0.575,0.74,0.94
T1,0.01,0.042,0.063,0.07
T4,0.14,0.563,0.832,0.953
T3,0.13,0.549,0.82,0.902
T3,0.123,0.552,0.826,0.964
T1,0.01,0.043,0.06,0.067
T2,0.111,0.523,0.76,0.827
T3,0.132,0.619,0.825,0.989
T3,0.117,0.614,0.813,0.922
T2,0.119,0.566,0.667,0.89
T1,0.01,0.04,0.056,0.067
T1,0.009,0.042,0.057,0.075
T3,0.133,0.532,0.766,0.974
T2,0.12,0.511,0.692,0.847
T4,0.131,0.592,0.801,0.993
T4,0.129,0.65,0.777,0.972
T2,0.106,0.536,0.712,0.948
T3,0.13,0.619,0.716,1.039
T4,0.129,0.564,0.86,1.039
T4,0.128,0.622,0.81,1.005
T2,0.118,0.558,0.725,0.927
T4,0.126,0.559,0.761,1.021
T3,0.119,0.593,0.745,0.976
T2,0.109,0.49,0.682,0.879
T3,0.133,0.552,0.769,0.964
T2,0.124,0.564,0.758,0.913
T1,0.01,0.042,0.058,0.068
T4,0.122,0.563,0.78,1.012
T3,0.132,0.598,0.813,0.95
T1,0.01,0.045,0.054,0.067
T2,0.113,0.531,0.773,0.824
T3,0.117,0.599,0.85,0.905
T3,0.131,0.582,0.85,1.038
T4,0.12,0.572,0.857,1.07
T3,0.132,0.561,0.723,0.94
T4,0.136,0.634,0.86,1.07
T4,0.128,0.634,0.853,0.927
T2,0.105,0.52,0.701,0.86
T1,0.009,0.04,0.064,0.076
T1,0.009,0.047,0.056,0.079
T2,0.116,0.538,0.757,0.826
T1,0.01,0.041,0.058,0.076
T2,0.121,0.57,0.697,0.85
T4,0.118,0.587,0.828,1.07
T4,0.121,0.592,0.844,0.919
T4,0.128,0.578,0.826,0.991
T4,0.128,0.622,0.738,1.039
T2,0.108,0.533,0.723,0.893
T3,0.128,0.537,0.743,1.0
T1,0.009,0.043,0.058,0.079
T3,0.124,0.556,0.767,0.909
T2,0.109,0.503,0.657,0.82
T2,0.115,0.491,0.662,0.839
T4,0.133,0.558,0.829,1.054
T3,0.132,0.591,0.807,1.008
T3,0.127,0.584,0.752,0.915
T2,0.116,0.512,0.724,0.814
T2,0.124,0.544,0.727,0.824
T3,0.127,0.577,0.846,1.018
T3,0.135,0.619,0.845,1.008
T3,0.133,0.63,0.808,1.0
T4,0.123,0.577,0.838,1.04
T3,0.116,0.631,0.732,0.922
T3,0.12,0.613,0.719,1.006
T4,0.119,0.562,0.87,0.973
T2,0.109,0.531,0.671,0.899
T3,0.123,0.576,0.822,1.019
T3,0.132,0.556,0.813,1.041
T1,0.009,0.04,0.059,0.069
T4,0.139,0.609,0.831,1.071
T1,0.009,0.041,0.06,0.073
T4,0.136,0.607,0.76,1.028
T4,0.13,0.557,0.748,1.084
T3,0.116,0.533,0.751,0.941
T4,0.138,0.614,0.76,1.08
T3,0.124,0.609,0.838,0.988
T2,0.124,0.532,0.661,0.866
T3,0.128,0.616,0.82,0.973
T3,0.116,0.59,0.814,0.949
T2,0.118,0.569,0.732,0.925
T2,0.115,0.575,0.708,0.867
T3,0.123,0.612,0.849,1.038
T1,0.01,0.046,0.06,0.077
T2,0.118,0.575,0.678,0.86
T2,0.111,0.567,0.726,0.809
T2,0.111,0.531,0.668,0.941
T3,0.125,0.574,0.719,1.023
T4,0.131,0.549,0.789,0.955
T1,0.01,0.045,0.061,0.079
T1,0.009,0.047,0.062,0.068
T2,0.122,0.554,0.7,0.842
T3,0.123,0.601,0.839,1.027
T2,0.107,0.523,0.721,0.904
T4,0.123,0.616,0.739,1.024
T2,0.113,0.537,0.657,0.895
T1,0.009,0.045,0.06,0.077
T3,0.123,0.589,0.73,1.046
T1,0.01,0.043,0.063,0.076
T1,0.009,0.04,0.056,0.077
T2,0.109,0.557,0.71,0.82
T1,0.009,0.047,0.058,0.068
T1,0.01,0.042,0.06,0.067
T1,0.009,0.04,0.058,0.076
T4,0.136,0.56,0.75,1.013
T4,0.119,0.609,0.802,0.917
T1,0.01,0.04,0.062,0.07
T4,0.14,0.628,0.761,0.952
T1,0.009,0.043,0.059,0.074
T1,0.009,0.044,0.061,0.077
T1,0.009,0.041,0.058,0.079
T4,0.128,0.625,0.766,1.012
T2,0.12,0.488,0.725,0.928
T1,0.009,0.04,0.063,0.079
T1,0.01,0.042,0.054,0.073
T3,0.131,0.534,0.831,1.02
T1,0.009,0.044,0.063,0.073
T2,0.11,0.551,0.732,0.92
T1,0.009,0.042,0.054,0.074
T1,0.009,0.046,0.056,0.078
T4,0.119,0.601,0.87,1.08
T4,0.137,0.573,0.837,0.989
T3,0.124,0.608,0.828,0.891
T2,0.106,0.51,0.654,0.933
T1,0.01,0.041,0.062,0.075
T1,0.009,0.042,0.057,0.074
T2,0.114,0.573,0.684,0.839
T4,0.125,0.557,0.764,1.011
T3,0.127,0.566,0.773,0.958
T3,0.122,0.621,0.849,0.958
T2,0.116,0.538,0.718,0.939
T1,0.009,0.043,0.054,0.077
T2,0.118,0.504,0.695,0.911
T3,0.116,0.589,0.729,0.904
T2,0.108,0.496,0.731,0.895
T2,0.122,0.499,0.701,0.839
T3,0.117,0.545,0.778,0.909
T2,0.109,0.498,0.704,0.853
T4,0.133,0.552,0.764,0.925
T4,0.131,0.575,0.75,1.063
T4,0.122,0.566,0.761,1.063
T4,0.131,0.587,0.81,0.916
T3,0.115,0.564,0.836,1.028
T3,0.123,0.553,0.718,0.987
T3,0.122,0.545,0.821,0.988
T3,0.124,0.631,0.715,0.981
T2,0.107,0.516,0.771,0.928
T4,0.12,0.611,0.829,0.997
T3,0.124,0.606,0.813,0.943
T3,0.124,0.534,0.775,0.922
T2,0.123,0.522,0.656,0.894
T1,0.009,0.044,0.063,0.074
T4,0.121,0.61,0.807,0.999
T3,0.135,0.626,0.83,0.959
T2,0.111,0.5,0.693,0.825
T1,0.01,0.044,0.061,0.068
T3,0.117,0.603,0.846,1.011
T3,0.123,0.587,0.729,0.97
T1,0.01,0.046,0.061,0.067
T4,0.126,0.646,0.786,0.914
T2,0.116,0.556,0.707,0.92
T4,0.131,0.56,0.831,0.981
T4,0.137,0.599,0.75,1.045
T3,0.124,0.56,0.803,0.916
T2,0.105,0.497,0.775,0.901
T1,0.009,0.041,0.06,0.067
T2,0.114,0.528,0.692,0.894
T4,0.13,0.645,0.807,0.92
T3,0.119,0.56,0.751,0.921
T3,0.133,0.618,0.769,0.988
T4,0.129,0.651,0.78,0.93
T3,0.133,0.613,0.829,1.034
T4,0.126,0.56,0.798,1.069
T2,0.114,0.542,0.742,0.852
T4,0.132,0.567,0.85,1.083
T3,0.123,0.601,0.748,1.037
T2,0.113,0.537,0.698,0.9
T3,0.135,0.609,0.839,1.047
T4,0.137,0.644,0.781,1.032
T3,0.125,0.592,0.751,0.955
T4,0.13,0.607,0.866,0.983
T3,0.135,0.578,0.837,0.896
T3,0.128,0.581,0.74,1.014
T3,0.135,0.547,0.723,1.05
T4,0.121,0.562,0.807,0.997
T4,0.133,0.611,0.855,1.068
T2,0.109,0.567,0.72,0.947
T1,0.01,0.044,0.061,0.076
T3,0.12,0.548,0.746,0.95
T2,0.104,0.518,0.768,0.852
T2,0.108,0.521,0.706,0.88
T4,0.127,0.621,0.757,1.079
T4,0.118,0.625,0.838,1.015
T1,0.01,0.047,0.056,0.079
T1,0.009,0.045,0.059,0.069
T2,0.12,0.528,0.753,0.832
T3,0.129,0.538,0.797,0.949
T3,0.116,0.564,0.796,0.925
T1,0.009,0.042,0.061,0.077
T3,0.123,0.593,0.79,0.965
T1,0.01,0.043,0.064,0.079
T1,0.01,0.044,0.057,0.078
T2,0.114,0.508,0.66,0.928
T2,0.122,0.485,0.761,0.837
T3,0.117,0.544,0.841,0.901
T3,0.12,0.57,0.833,0.936
T2,0.115,0.575,0.666,0.882
T3,0.124,0.618,0.777,1.016
T4,0.132,0.58,0.769,0.964
T1,0.009,0.044,0.057,0.074
T3,0.117,0.585,0.767,0.998
T2,0.107,0.496,0.771,0.819
T2,0.113,0.524,0.679,0.859
T3,0.135,0.6,0.83,1.018
T4,0.134,0.607,0.874,1.008
T1,0.01,0.048,0.058,0.077
T2,0.115,0.494,0.726,0.841
T2,0.113,0.524,0.726,0.891
T1,0.01,0.041,0.06,0.077
T2,0.107,0.526,0.77,0.939
T4,0.14,0.636,0.801,1.001
T2,0.105,0.487,0.74,0.918
T3,0.122,0.57,0.789,1.029
T2,0.105,0.564,0.653,0.831
T1,0.01,0.045,0.06,0.077
T3,0.129,0.536,0.783,0.961
T2,0.124,0.493,0.742,0.839
T1,0.01,0.041,0.056,0.07
T4,0.135,0.652,0.831,0.952
T4,0.124,0.582,0.772,1.013
T1,0.009,0.045,0.059,0.075
T4,0.137,0.645,0.875,0.97
T1,0.009,0.04,0.063,0.071
T2,0.122,0.529,0.659,0.827
T4,0.123,0.58,0.8,0.974
T1,0.01,0.045,0.061,0.074
T3,0.126,0.551,0.843,0.929
T4,0.124,0.582,0.806,0.931
T2,0.106,0.568,0.767,0.942
T1,0.009,0.042,0.057,0.076
T2,0.123,0.51,0.683,0.846
T2,0.106,0.533,0.697,0.906
T4,0.131,0.594,0.758,0.926
T2,0.106,0.537,0.725,0.874
T1,0.009,0.047,0.061,0.077
T2,0.122,0.563,0.716,0.883
T2,0.12,0.543,0.768,0.92
T3,0.127,0.576,0.85,1.052
T4,0.126,0.567,0.817,0.998
T3,0.13,0.538,0.846,0.996
T2,0.123,0.497,0.718,0.912
T2,0.118,0.561,0.698,0.816
T2,0.106,0.561,0.712,0.922
T2,0.106,0.567,0.688,0.853
T3,0.132,0.608,0.774,0.895
T4,0.12,0.648,0.814,1.051
T3,0.121,0.571,0.758,0.995
T1,0.01,0.044,0.064,0.074
T4,0.14,0.589,0.809,1.05
T2,0.105,0.544,0.768,0.837
T1,0.01,0.046,0.054,0.068
T3,0.117,0.611,0.772,0.915
T3,0.129,0.563,0.745,1.017
T3,0.134,0.606,0.746,0.951
T2,0.105,0.56,0.752,0.885
T2,0.114,0.574,0.693,0.84
T1,0.01,0.04,0.055,0.077
T4,0.138,0.617,0.79,1.046
T3,0.12,0.598,0.76,0.994
T1,0.01,0.045,0.054,0.068
T3,0.13,0.554,0.749,0.949
T1,0.009,0.041,0.061,0.071
T2,0.117,0.531,0.728,0.945
T1,0.01,0.042,0.061,0.072
T1,0.01,0.045,0.056,0.072
T1,0.009,0.041,0.061,0.077
T1,0.009,0.043,0.063,0.076
T2,0.111,0.5,0.741,0.897
T2,0.111,0.565,0.664,0.855
T4,0.132,0.626,0.756,1.051
T1,0.01,0.041,0.054,0.077
T3,0.132,0.583,0.789,0.941
T2,0.122,0.562,0.764,0.877
T1,0.009,0.043,0.059,0.067
T3,0.126,0.566,0.801,0.886
T1,0.01,0.046,0.056,0.074
T1,0.01,0.047,0.06,0.074
T3,0.135,0.568,0.801,0.961
T4,0.134,0.603,0.848,1.082
T4,0.118,0.638,0.763,1.006
T4,0.128,0.589,0.745,0.941
T2,0.114,0.575,0.752,0.858
T2,0.112,0.546,0.763,0.825
T4,0.14,0.575,0.87,0.938
T3,0.128,0.573,0.788,1.042
T3,0.118,0.555,0.768,0.985
T4,0.14,0.559,0.845,0.991
T1,0.01,0.045,0.061,0.068
T2,0.116,0.488,0.77,0.897
T2,0.116,0.502,0.733,0.96
T3,0.134,0.592,0.72,1.052
T2,0.106,0.576,0.737,0.834
T2,0.117,0.487,0.773,0.877
T3,0.118,0.577,0.83,1.041
T4,0.134,0.619,0.76,1.083
T4,0.136,0.642,0.819,0.965
T2,0.116,0.532,0.716,0.94
T2,0.112,0.575,0.693,0.881
T2,0.116,0.493,0.735,0.949
T3,0.133,0.622,0.82,1.047
T4,0.137,0.568,0.87,0.987
T1,0.01,0.043,0.058,0.069
T3,0.123,0.612,0.846,0.934
T4,0.136,0.572,0.739,1.072
T3,0.135,0.629,0.727,1.02
T3,0.133,0.627,0.765,1.017
T1,0.009,0.046,0.06,0.076
T2,0.118,0.515,0.683,0.872
T4,0.136,0.638,0.815,0.933
T1,0.009,0.044,0.054,0.078
T3,0.117,0.578,0.715,1.006
T2,0.108,0.546,0.658,0.855
T2,0.121,0.511,0.755,0.885
T3,0.125,0.601,0.779,1.053
T1,0.009,0.044,0.055,0.073
T4,0.123,0.615,0.834,0.953
T3,0.118,0.537,0.722,1.032
T2,0.115,0.564,0.774,0.939
T4,0.132,0.586,0.749,1.038
T2,0.115,0.542,0.695,0.839
T4,0.127,0.653,0.805,1.079
T1,0.01,0.04,0.064,0.073
T4,0.124,0.613,0.835,1.048
T1,0.01,0.043,0.061,0.068
T2,0.115,0.569,0.769,0.854
T4,0.129,0.569,0.812,0.992
T1,0.009,0.046,0.061,0.072
T2,0.122,0.49,0.693,0.92
T3,0.131,0.632,0.737,0.95
T4,0.134,0.602,0.856,0.93
T1,0.009,0.044,0.057,0.07
