task_type,m1_1,m2_1,m3_1,m4_1
T2,0.712,5.204,6.593,8.853
T2,0.813,4.875,6.978,9.495
T2,0.797,5.573,7.074,8.279
T1,0.042,0.263,0.407,0.505
T2,0.745,5.219,7.377,9.348
T4,0.931,5.487,8.091,10.845
T3,0.776,6.113,7.216,9.661
T4,0.821,5.533,7.8,10.82
T2,0.706,5.237,6.993,8.364
T2,0.752,5.412,7.324,8.784
T3,0.818,5.852,7.668,10.389
T2,0.726,5.251,7.55,8.519
T1,0.04,0.264,0.368,0.485
T1,0.042,0.291,0.391,0.48
T1,0.044,0.287,0.395,0.52
T4,0.819,5.852,8.366,9.336
T4,0.834,6.144,7.358,10.084
T2,0.779,5.064,6.974,9.552
T4,0.814,5.716,8.565,10.18
T2,0.753,4.894,6.558,9.242
T3,0.853,5.239,7.575,9.026
T3,0.771,5.335,8.279,10.208
T4,0.882,6.328,8.532,9.671
T1,0.044,0.296,0.356,0.47
T3,0.858,5.64,7.357,9.389
T1,0.042,0.274,0.414,0.463
T4,0.939,5.521,8.278,9.53
T3,0.875,5.385,8.147,9.01
T3,0.824,5.412,8.212,9.633
T1,0.044,0.281,0.396,0.443
T2,0.746,5.119,7.538,8.244
T3,0.888,6.069,8.201,9.879
T3,0.785,6.021,8.084,9.217
T2,0.796,5.537,6.613,8.877
T1,0.044,0.259,0.367,0.443
T1,0.041,0.27,0.371,0.496
T3,0.891,5.218,7.613,9.734
T2,0.806,4.998,6.86,8.44
T4,0.88,5.812,7.965,9.927
T4,0.866,6.381,7.73,9.723
T2,0.71,5.238,7.058,9.449
T3,0.872,6.067,7.111,10.384
T4,0.866,5.531,8.548,10.391
T4,0.863,6.102,8.059,10.05
T2,0.791,5.458,7.189,9.242
T4,0.844,5.485,7.571,10.205
T3,0.801,5.812,7.399,9.756
T2,0.731,4.797,6.757,8.766
T3,0.896,5.409,7.637,9.629
T2,0.83,5.519,7.521,9.107
T1,0.043,0.275,0.377,0.449
T4,0.818,5.522,7.76,10.117
T3,0.889,5.86,8.08,9.491
T1,0.043,0.293,0.354,0.44
T2,0.757,5.197,7.662,8.213
T3,0.784,5.872,8.445,9.042
T3,0.88,5.707,8.444,10.374
T4,0.809,5.608,8.526,10.705
T3,0.886,5.496,7.188,9.39
T4,0.914,6.221,8.55,10.699
T4,0.861,6.217,8.487,9.266
T2,0.705,5.083,6.952,8.575
T1,0.042,0.26,0.418,0.5
T1,0.041,0.303,0.364,0.52
T2,0.781,5.261,7.502,8.235
T1,0.042,0.262,0.381,0.502
T2,0.814,5.575,6.911,8.471
T4,0.795,5.756,8.237,10.697
T4,0.811,5.804,8.398,9.185
T4,0.859,5.674,8.219,9.913
T4,0.86,6.104,7.345,10.388
T2,0.721,5.216,7.172,8.901
T3,0.858,5.266,7.386,9.993
T1,0.038,0.276,0.383,0.518
T3,0.834,5.45,7.624,9.083
T2,0.729,4.916,6.518,8.176
T2,0.768,4.803,6.561,8.364
T4,0.896,5.477,8.244,10.541
T3,0.885,5.79,8.023,10.076
T3,0.852,5.726,7.473,9.145
T2,0.779,5.01,7.178,8.112
T2,0.83,5.325,7.207,8.219
T3,0.853,5.653,8.407,10.177
T3,0.909,6.064,8.4,10.067
T3,0.894,6.172,8.029,9.987
T4,0.826,5.658,8.338,10.4
T3,0.783,6.184,7.272,9.215
T3,0.803,6.011,7.144,10.055
T4,0.802,5.511,8.651,9.734
T2,0.73,5.189,6.655,8.964
T3,0.826,5.641,8.173,10.185
T3,0.889,5.454,8.077,10.397
T1,0.041,0.26,0.385,0.456
T4,0.935,5.976,8.261,10.714
T1,0.039,0.263,0.391,0.479
T4,0.918,5.954,7.554,10.275
T4,0.872,5.464,7.437,10.844
T3,0.778,5.222,7.465,9.403
T4,0.925,6.024,7.563,10.801
T3,0.833,5.967,8.331,9.871
T2,0.83,5.205,6.55,8.632
T3,0.857,6.036,8.144,9.723
T3,0.777,5.781,8.088,9.482
T2,0.794,5.561,7.26,9.223
T2,0.771,5.628,7.023,8.646
T3,0.829,5.995,8.437,10.37
T1,0.043,0.294,0.396,0.509
T2,0.793,5.622,6.721,8.572
T2,0.747,5.547,7.202,8.067
T2,0.746,5.195,6.627,9.384
T3,0.839,5.626,7.142,10.218
T4,0.882,5.389,7.85,9.55
T1,0.044,0.291,0.399,0.52
T1,0.041,0.307,0.406,0.447
T2,0.82,5.423,6.937,8.398
T3,0.827,5.891,8.339,10.258
T2,0.72,5.118,7.147,9.017
T4,0.825,6.044,7.347,10.241
T2,0.76,5.252,6.514,8.925
T1,0.039,0.292,0.391,0.508
T3,0.827,5.771,7.259,10.447
T1,0.043,0.278,0.416,0.501
T1,0.039,0.259,0.366,0.504
T2,0.733,5.451,7.037,8.177
T1,0.039,0.301,0.379,0.449
T1,0.044,0.272,0.391,0.444
T1,0.039,0.261,0.38,0.5
T4,0.918,5.493,7.462,10.13
T4,0.8,5.979,7.976,9.174
T1,0.043,0.259,0.405,0.459
T4,0.94,6.165,7.569,9.521
T1,0.041,0.278,0.389,0.488
T1,0.041,0.286,0.398,0.506
T1,0.041,0.266,0.381,0.518
T4,0.863,6.129,7.616,10.12
T2,0.806,4.772,7.187,9.257
T1,0.041,0.259,0.414,0.521
T1,0.044,0.269,0.353,0.481
T3,0.88,5.236,8.253,10.197
T1,0.041,0.286,0.412,0.482
T2,0.736,5.39,7.257,9.175
T1,0.039,0.272,0.357,0.486
T1,0.039,0.3,0.37,0.513
T4,0.8,5.895,8.65,10.802
T4,0.92,5.626,8.328,9.886
T3,0.833,5.957,8.23,8.907
T2,0.71,4.984,6.482,9.301
T1,0.045,0.264,0.407,0.496
T1,0.039,0.274,0.373,0.489
T2,0.764,5.604,6.787,8.361
