task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,0.215,3.023,5.962,3.066,5.902
2,0.947,3.036,5.972,3.002,5.939
1,1.408,1.904,1.046,1.905,1.032
2,1.77,3.034,5.958,3.073,5.931
1,1.885,1.963,1.095,1.946,1.036
2,2.04,3.028,5.988,3.015,5.954
2,2.949,3.016,5.916,3.007,5.959
2,3.824,3.032,5.967,3.047,5.913
2,3.99,3.067,5.991,3.058,5.986
2,4.586,3.083,5.996,3.077,5.931
2,4.797,3.07,5.955,3.073,5.987
2,5.352,3.036,5.961,3.037,5.972
1,5.471,1.915,1.1,1.982,1.028
2,6.71,3.021,5.959,3.07,5.944
1,7.257,1.961,1.095,1.983,1.044
2,7.374,3.083,5.975,3.079,5.954
1,7.924,1.97,1.081,1.988,1.093
2,8.316,3.04,5.93,3.067,5.985
2,8.447,3.065,5.926,3.096,5.915
1,9.235,1.927,1.09,1.915,1.024
2,9.939,3.033,5.909,3.007,5.968
2,13.645,3.001,5.966,3.029,5.935
2,13.704,3.076,5.933,3.001,5.979
1,15.264,1.907,1.011,1.948,1.042
2,16.329,3.014,5.998,3.018,5.929
1,17.816,1.927,1.044,1.99,1.073
2,19.228,3.071,5.941,3.063,5.906
1,19.472,1.932,1.06,1.974,1.052
2,19.504,3.017,5.959,3.077,5.96
2,21.243,3.075,5.968,3.007,5.927
2,21.395,3.024,5.949,3.035,5.907
1,23.019,1.901,1.062,1.968,1.018
2,25.593,3.062,5.973,3.028,5.946
1,25.712,1.918,1.059,1.906,1.042
2,25.845,3.073,5.948,3.043,5.939
2,26.144,3.079,5.923,3.044,5.907
2,26.206,3.056,5.942,3.012,5.954
2,27.165,3.044,5.976,3.006,5.978
2,28.457,3.068,5.928,3.014,5.939
2,28.97,3.094,5.959,3.055,5.978
1,29.344,1.982,1.039,1.932,1.006
2,29.69,3.017,5.947,3.079,5.981
1,30.024,1.993,1.011,1.914,1.033
2,30.077,3.028,5.986,3.051,5.98
2,31.619,3.06,5.949,3.095,5.953
2,32.962,3.071,5.928,3.038,5.995
2,33.726,3.049,5.922,3.014,5.98
1,34.397,1.925,1.029,1.918,1.002
2,34.608,3.09,5.969,3.096,5.918
1,34.883,1.904,1.043,1.917,1.086
1,35.172,1.985,1.092,1.971,1.004
2,35.423,3.007,5.962,3.025,5.98
1,35.559,1.945,1.05,1.927,1.033
2,35.945,3.095,5.941,3.051,5.955
1,36.738,1.905,1.084,1.967,1.016
2,37.421,3.094,5.919,3.05,5.937
2,38.731,3.08,5.957,3.077,5.96
2,39.945,3.031,5.922,3.09,5.954
2,40.337,3.017,5.925,3.003,5.95
2,40.546,3.026,5.991,3.079,5.935
1,42.264,1.905,1.098,1.955,1.022
2,43.501,3.058,5.985,3.039,5.968
2,43.763,3.056,5.982,3.027,5.905
2,43.986,3.072,5.99,3.013,5.944
2,45.741,3.07,5.98,3.041,5.961
2,46.01,3.046,5.913,3.025,5.907
2,46.495,3.076,5.912,3.018,5.915
1,47.644,1.929,1.067,1.981,1.093
2,47.733,3.093,5.975,3.09,5.957
1,48.209,1.922,1.012,1.963,1.042
1,48.416,1.95,1.06,1.957,1.052
2,49.132,3.094,5.98,3.049,5.939
1,50.652,1.92,1.033,1.95,1.016
2,51.739,3.007,5.975,3.047,5.923
1,51.779,1.964,1.044,1.93,1.02
1,52.207,1.935,1.051,1.934,1.024
1,52.827,1.955,1.039,1.927,1.01
1,54.094,1.967,1.002,1.927,1.094
1,54.27,1.908,1.041,1.977,1.061
2,54.741,3.1,5.974,3.056,5.941
1,57.469,1.995,1.044,1.919,1.034
1,57.574,1.968,1.03,1.94,1.032
2,57.717,3.066,5.913,3.046,5.978
2,59.011,3.022,5.971,3.043,5.989
2,59.342,3.072,5.964,3.028,5.98
1,59.508,1.931,1.024,1.911,1.07
1,59.522,1.958,1.044,1.964,1.077
1,61.147,1.938,1.062,1.915,1.088
2,61.368,3.083,5.997,3.077,5.954
1,61.793,1.981,1.014,1.954,1.028
1,62.32,1.942,1.046,1.976,1.032
2,62.366,3.085,5.987,3.009,5.995
2,62.688,3.056,5.997,3.039,5.905
1,64.826,1.964,1.088,1.968,1.096
1,64.905,1.978,1.007,1.963,1.059
