task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
1,0.309,1.963,1.032,1.946,1.044
2,2.108,3.031,5.979,3.055,5.985
1,7.866,1.957,1.021,1.997,1.055
1,12.032,1.939,1.066,1.903,1.081
1,12.458,1.994,1.071,1.987,1.044
1,13.259,1.98,1.026,1.919,1.067
1,14.07,1.913,1.053,1.965,1.064
2,14.811,3.033,5.962,3.026,5.958
2,14.847,3.072,5.935,3.099,5.94
1,18.07,1.967,1.024,1.972,1.005
2,18.925,3.094,5.947,3.075,5.989
1,21.828,1.963,1.032,1.994,1.044
2,21.954,3.052,5.927,3.06,5.987
2,22.137,3.058,5.954,3.08,5.998
1,23.208,1.914,1.094,1.978,1.027
1,23.659,1.961,1.011,1.989,1.032
2,23.702,3.007,5.978,3.013,5.929
2,27.95,3.068,5.98,3.015,5.901
2,28.183,3.015,5.942,3.005,5.907
2,28.64,3.033,5.929,3.08,5.936
2,29.153,3.072,5.993,3.022,5.933
1,29.421,1.931,1.041,1.958,1.098
1,31.777,1.978,1.057,1.979,1.064
1,33.228,1.969,1.011,1.945,1.01
2,34.284,3.072,5.923,3.031,5.957
1,34.532,1.905,1.073,1.957,1.04
2,36.363,3.039,5.985,3.037,5.982
2,37.669,3.044,5.947,3.037,5.906
2,37.769,3.063,5.949,3.034,5.966
2,39.374,3.066,5.997,3.095,5.96
1,39.383,1.994,1.072,1.952,1.053
1,39.855,1.966,1.095,1.96,1.05
2,39.989,3.012,5.911,3.039,5.969
2,42.744,3.095,5.941,3.001,5.925
2,42.907,3.067,5.939,3.039,5.948
1,43.197,1.966,1.095,1.949,1.046
1,43.24,1.986,1.017,1.988,1.002
2,43.78,3.084,5.926,3.064,5.995
2,44.679,3.073,5.903,3.072,5.954
1,45.865,1.99,1.05,1.944,1.06
2,45.989,3.083,5.927,3.024,5.973
2,46.006,3.018,5.915,3.003,5.982
2,47.929,3.072,5.922,3.053,5.978
1,48.081,1.94,1.042,1.991,1.053
2,48.643,3.066,5.937,3.098,5.973
2,49.037,3.038,5.978,3.053,5.933
2,49.482,3.043,5.95,3.067,5.993
1,51.788,1.978,1.041,1.954,1.035
1,51.971,1.97,1.031,1.989,1.063
1,52.299,1.906,1.018,1.998,1.054
