task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,1.368,3.074,5.968,3.076,5.954
2,2.197,3.096,5.914,3.051,5.925
1,2.639,1.913,1.038,1.997,1.054
2,3.149,3.021,5.937,3.0,5.993
2,4.574,3.03,5.961,3.069,5.971
2,4.722,3.035,5.992,3.035,5.932
1,6.618,1.978,1.004,1.901,1.003
1,6.652,1.94,1.032,1.998,1.091
2,7.42,3.029,5.912,3.073,5.963
2,9.205,3.079,5.947,3.025,5.967
2,9.701,3.04,5.933,3.076,5.987
2,9.843,3.049,5.946,3.09,5.93
2,9.929,3.03,5.999,3.07,5.947
1,10.223,1.965,1.051,1.999,1.087
2,11.313,3.086,5.932,3.034,5.982
2,11.488,3.005,5.901,3.047,5.946
2,12.404,3.025,5.906,3.077,5.952
1,13.03,1.97,1.077,1.901,1.054
2,17.677,3.017,5.992,3.063,5.913
1,17.895,1.942,1.022,1.919,1.099
1,18.059,1.903,1.042,1.999,1.036
2,18.549,3.033,5.952,3.056,5.979
2,18.928,3.038,5.955,3.099,5.939
1,19.926,1.989,1.027,1.953,1.089
1,19.946,1.943,1.043,1.93,1.087
1,20.235,1.904,1.017,1.904,1.09
2,20.251,3.007,5.948,3.079,5.966
2,20.291,3.027,5.949,3.04,5.978
2,20.921,3.055,5.9,3.013,5.961
2,22.158,3.05,5.973,3.017,5.993
2,22.182,3.063,5.912,3.064,5.964
2,22.216,3.085,5.911,3.082,5.925
2,22.942,3.006,5.962,3.043,5.937
1,23.229,1.946,1.044,1.956,1.095
2,24.831,3.021,5.962,3.053,5.983
1,25.412,1.996,1.035,1.967,1.094
2,25.972,3.099,5.932,3.025,5.913
1,26.492,1.923,1.06,1.966,1.06
2,27.671,3.037,5.977,3.084,5.967
2,28.236,3.073,5.971,3.072,5.996
1,31.245,1.976,1.094,1.927,1.008
1,31.629,1.905,1.064,1.919,1.084
1,32.985,1.943,1.028,1.937,1.047
2,33.591,3.073,5.978,3.002,5.922
1,33.949,1.964,1.072,1.948,1.01
