task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,0.022,3.01,5.947,3.023,5.968
1,0.578,1.903,1.057,1.977,1.024
2,0.623,3.093,5.987,3.082,5.923
1,1.384,1.936,1.084,1.99,1.047
1,2.635,1.993,1.065,1.957,1.063
2,2.653,3.022,5.993,3.08,5.933
2,3.521,3.079,5.949,3.042,5.986
2,3.796,3.1,5.908,3.012,5.923
2,3.975,3.034,5.991,3.063,5.971
2,4.681,3.018,5.99,3.034,5.956
2,4.823,3.066,5.923,3.002,5.948
2,5.311,3.094,5.911,3.084,5.95
1,5.776,1.982,1.073,1.932,1.004
2,6.496,3.066,6.0,3.089,5.909
2,6.64,3.014,5.999,3.075,5.923
1,8.363,1.941,1.088,1.907,1.081
2,8.404,3.053,5.925,3.032,5.982
1,8.709,1.931,1.061,1.916,1.024
1,9.227,1.939,1.075,1.966,1.051
1,9.861,1.985,1.095,1.955,1.096
2,10.444,3.081,5.936,3.087,5.985
1,11.825,1.941,1.017,1.997,1.034
1,12.023,1.938,1.09,1.999,1.057
2,13.23,3.075,5.937,3.027,5.97
2,13.909,3.038,5.909,3.069,5.932
2,14.331,3.065,5.967,3.018,5.935
2,16.146,3.015,5.947,3.091,5.952
2,17.006,3.023,5.943,3.049,5.96
2,19.164,3.08,5.931,3.086,5.913
2,19.893,3.091,5.943,3.02,5.979
2,20.289,3.056,5.982,3.069,5.92
2,20.417,3.031,5.986,3.051,5.942
2,21.061,3.086,5.947,3.092,5.977
1,22.251,1.937,1.058,1.933,1.048
2,23.858,3.08,5.945,3.08,5.915
1,24.668,1.979,1.088,1.949,1.039
2,25.317,3.062,5.964,3.042,5.938
2,28.9,3.037,5.988,3.021,5.949
2,29.438,3.021,5.977,3.098,5.929
1,29.893,1.905,1.091,1.907,1.081
1,30.729,1.925,1.051,1.998,1.058
1,31.693,1.954,1.057,1.918,1.002
2,32.097,3.012,5.966,3.027,6.0
1,32.75,1.936,1.005,1.902,1.087
1,33.305,1.901,1.098,1.954,1.067
2,34.993,3.039,5.915,3.061,5.998
2,36.038,3.059,5.948,3.03,5.961
2,37.495,3.058,5.987,3.087,5.925
1,38.344,1.998,1.03,1.995,1.03
1,39.04,1.907,1.033,1.986,1.084
2,39.565,3.043,5.996,3.043,5.97
1,39.638,1.959,1.081,1.911,1.075
1,40.275,1.961,1.059,1.973,1.008
2,41.525,3.092,5.941,3.073,5.914
2,43.413,3.039,5.915,3.013,5.952
1,43.936,1.913,1.092,1.948,1.001
2,44.423,3.029,5.911,3.016,5.949
2,45.777,3.075,5.975,3.093,5.982
1,48.999,1.966,1.074,1.918,1.008
2,49.079,3.077,5.956,3.014,5.982
1,49.288,1.979,1.084,1.935,1.082
1,50.513,1.943,1.023,1.931,1.096
1,55.484,1.998,1.037,1.981,1.054
1,55.781,1.911,1.02,1.99,1.056
1,56.66,1.955,1.001,1.933,1.051
2,57.548,3.016,5.985,3.016,5.933
1,57.816,1.94,1.002,1.963,1.084
1,61.764,1.964,1.075,1.963,1.033
2,61.783,3.072,5.941,3.079,5.957
1,62.37,1.973,1.029,1.942,1.025
1,63.19,1.904,1.097,1.955,1.093
1,63.383,1.946,1.049,1.982,1.081
1,63.422,1.971,1.08,1.971,1.057
1,64.113,1.957,1.068,1.941,1.075
2,65.397,3.051,5.959,3.013,5.99
2,66.36,3.014,5.988,3.016,5.919
2,66.362,3.08,5.988,3.04,5.934
2,68.257,3.067,5.944,3.037,5.999
2,68.823,3.04,5.972,3.066,5.903
1,68.855,1.938,1.086,1.958,1.041
1,68.926,1.93,1.039,1.95,1.026
1,69.122,1.981,1.031,1.919,1.015
1,71.602,1.985,1.027,1.987,1.037
1,72.885,1.978,1.039,1.979,1.033
1,73.298,1.983,1.033,1.993,1.061
2,73.323,3.064,5.94,3.09,5.955
1,74.065,1.993,1.063,1.965,1.031
1,74.889,1.968,1.023,1.991,1.007
2,76.047,3.047,5.926,3.095,5.917
2,77.72,3.037,5.905,3.046,6.0
2,79.602,3.02,5.973,3.053,5.908
1,79.727,1.907,1.044,1.914,1.082
2,80.169,3.078,5.93,3.045,5.965
2,80.263,3.097,5.949,3.061,5.91
1,80.413,1.985,1.039,1.911,1.078
2,81.214,3.055,5.928,3.028,5.949
1,81.536,1.97,1.006,1.978,1.1
1,82.754,1.902,1.063,1.9,1.044
1,83.061,1.941,1.022,1.988,1.043
2,86.425,3.037,5.959,3.002,5.997
2,86.721,3.038,5.92,3.05,5.965
2,86.871,3.083,5.949,3.061,5.988
2,87.15,3.013,5.976,3.069,5.949
1,87.568,1.969,1.007,1.974,1.059
2,87.752,3.035,5.999,3.054,5.989
1,87.819,1.995,1.031,1.936,1.029
2,88.242,3.01,5.951,3.049,5.975
1,88.986,1.982,1.023,1.927,1.081
2,89.371,3.036,5.902,3.095,5.96
2,90.176,3.038,5.918,3.022,5.917
1,90.488,1.952,1.043,1.94,1.067
2,91.09,3.021,5.922,3.044,5.947
1,91.906,1.968,1.097,1.94,1.035
1,91.988,1.995,1.069,1.971,1.059
1,92.41,1.978,1.068,1.982,1.082
2,92.573,3.053,5.948,3.055,5.916
2,92.774,3.012,5.93,3.039,5.976
2,93.443,3.047,5.982,3.026,5.922
2,93.499,3.043,5.931,3.038,5.964
2,94.052,3.055,5.921,3.085,5.998
2,94.964,3.013,5.925,3.088,5.966
2,96.059,3.066,5.998,3.029,5.973
1,96.566,1.909,1.049,1.915,1.064
1,97.712,1.963,1.089,1.991,1.058
