task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,4.139,3.096,5.996,3.086,5.938
1,5.148,1.965,1.091,1.902,1.088
2,5.675,3.091,5.94,3.03,5.947
2,7.373,3.094,5.937,3.076,5.964
2,9.719,3.002,5.996,3.095,5.947
2,10.034,3.069,5.917,3.033,5.988
1,10.127,1.967,1.04,1.942,1.065
2,12.819,3.046,5.986,3.076,5.989
1,13.359,1.961,1.069,1.919,1.037
2,14.741,3.093,5.983,3.084,5.952
1,14.831,1.998,1.088,1.965,1.095
2,15.284,3.002,5.952,3.049,5.909
1,16.174,1.998,1.082,1.936,1.071
1,16.386,1.96,1.065,1.902,1.081
1,16.549,1.961,1.045,1.975,1.06
2,16.979,3.015,5.965,3.052,5.998
2,18.296,3.091,5.984,3.009,5.914
2,18.421,3.083,5.985,3.044,5.923
1,18.511,1.916,1.029,1.924,1.086
1,18.688,1.906,1.056,1.942,1.036
1,18.936,1.997,1.022,1.988,1.044
2,20.205,3.018,6.0,3.027,5.994
1,21.295,1.9,1.006,1.927,1.047
2,22.258,3.009,5.948,3.041,5.945
1,23.08,1.962,1.068,1.903,1.001
1,23.921,1.918,1.004,1.941,1.09
1,24.052,1.993,1.01,1.98,1.035
2,24.993,3.046,5.909,3.039,5.907
2,25.233,3.053,5.979,3.095,5.962
1,25.746,1.97,1.017,1.952,1.017
1,25.8,1.981,1.096,1.985,1.044
2,27.098,3.079,5.985,3.011,5.936
1,27.584,1.999,1.028,1.964,1.054
1,30.173,1.972,1.01,1.996,1.09
2,30.592,3.083,5.936,3.095,5.949
2,31.356,3.091,5.9,3.079,5.975
2,31.634,3.053,5.988,3.001,5.977
1,31.775,1.982,1.041,1.915,1.083
1,33.12,1.927,1.024,1.907,1.06
1,35.715,1.966,1.055,1.908,1.017
1,35.981,1.937,1.008,1.989,1.084
1,36.515,1.948,1.055,1.922,1.016
1,37.593,1.979,1.021,1.949,1.098
2,38.18,3.025,5.944,3.033,5.976
2,38.332,3.024,5.992,3.014,5.973
1,38.69,1.969,1.075,1.936,1.043
1,42.935,1.982,1.075,1.996,1.047
1,43.917,1.945,1.007,1.999,1.038
2,44.198,3.033,5.925,3.053,5.986
1,45.647,1.956,1.077,1.981,1.016
1,46.172,1.989,1.09,1.999,1.094
1,46.508,1.924,1.087,1.958,1.056
2,47.079,3.003,5.932,3.055,5.995
2,47.172,3.055,5.969,3.014,5.956
2,47.497,3.083,5.978,3.01,5.991
2,47.948,3.014,5.904,3.038,5.922
2,48.137,3.016,5.959,3.091,5.947
2,48.805,3.037,5.972,3.092,5.946
1,49.24,1.975,1.061,1.914,1.043
1,49.676,1.988,1.044,1.975,1.09
2,49.69,3.082,5.924,3.018,5.979
1,50.403,1.978,1.058,1.928,1.069
2,50.671,3.004,5.998,3.039,5.906
2,51.494,3.04,5.978,3.036,5.91
1,52.873,1.958,1.065,1.955,1.079
1,52.965,1.91,1.01,1.904,1.091
1,53.725,1.94,1.041,1.974,1.019
1,54.498,1.945,1.035,1.997,1.041
1,54.774,1.984,1.06,1.907,1.089
2,54.914,3.026,5.941,3.024,5.981
1,56.074,1.981,1.042,1.93,1.05
1,57.824,1.953,1.058,1.979,1.036
2,57.965,3.033,5.922,3.078,5.93
2,59.049,3.094,5.935,3.062,5.9
2,59.222,3.031,5.911,3.04,5.927
1,59.898,1.956,1.024,1.937,1.093
2,61.575,3.025,5.935,3.067,5.95
1,61.604,1.963,1.005,1.903,1.024
1,61.86,1.949,1.006,1.917,1.008
1,62.243,1.92,1.087,1.97,1.022
2,66.403,3.042,5.965,3.079,5.957
1,66.913,1.972,1.027,1.999,1.035
1,68.173,1.987,1.032,1.968,1.099
1,68.227,1.946,1.056,1.927,1.052
2,69.351,3.074,5.967,3.036,5.925
2,70.374,3.078,5.987,3.011,5.929
2,70.648,3.064,5.935,3.043,5.975
1,70.685,1.906,1.07,1.943,1.025
2,70.907,3.024,5.954,3.012,5.985
1,71.457,1.948,1.041,1.922,1.042
1,72.561,1.994,1.065,1.929,1.086
2,72.785,3.061,5.982,3.074,5.974
2,74.233,3.046,5.993,3.073,5.936
2,76.132,3.016,5.939,3.072,5.949
1,76.341,1.904,1.018,1.922,1.046
2,76.537,3.009,5.909,3.07,5.912
1,79.135,1.926,1.037,1.945,1.085
1,79.209,1.962,1.069,1.997,1.062
1,79.217,1.978,1.034,1.972,1.018
1,79.329,1.932,1.021,1.998,1.058
1,79.851,1.95,1.061,1.934,1.009
1,80.362,1.996,1.034,1.977,1.088
1,80.664,1.919,1.046,1.918,1.077
1,81.699,1.935,1.067,1.904,1.047
1,83.608,1.978,1.004,1.945,1.025
1,85.411,1.916,1.03,1.998,1.011
1,85.438,1.996,1.015,1.926,1.063
1,87.16,1.973,1.063,1.975,1.02
2,88.649,3.056,5.909,3.086,5.987
1,88.94,1.996,1.094,1.975,1.057
1,89.732,1.987,1.01,1.986,1.057
1,89.819,1.948,1.073,1.917,1.039
2,90.123,3.046,5.912,3.084,5.945
2,91.524,3.013,5.933,3.095,5.989
1,91.581,1.985,1.032,1.925,1.091
2,92.094,3.045,5.935,3.079,5.996
1,92.376,1.998,1.029,1.994,1.018
2,92.795,3.087,5.913,3.077,5.962
1,94.035,1.979,1.098,1.982,1.07
2,94.143,3.023,5.993,3.07,5.947
2,94.701,3.084,5.966,3.053,5.921
1,95.302,1.938,1.0,1.957,1.084
1,95.583,1.912,1.091,1.941,1.004
1,97.174,1.982,1.035,1.942,1.011
1,97.623,1.941,1.004,1.917,1.072
2,98.92,3.013,5.907,3.056,5.998
1,100.383,1.968,1.074,1.942,1.092
2,100.484,3.018,5.988,3.013,5.969
2,101.108,3.066,5.974,3.014,5.991
2,102.688,3.083,5.963,3.04,5.937
2,103.395,3.08,5.98,3.01,5.954
2,103.79,3.079,5.993,3.054,5.937
2,104.332,3.041,5.983,3.005,5.949
2,105.721,3.021,5.939,3.06,5.997
1,105.834,1.983,1.084,1.946,1.095
1,105.978,1.943,1.075,1.986,1.095
2,106.15,3.099,5.926,3.073,5.904
1,107.208,1.93,1.069,1.994,1.09
1,107.512,1.927,1.094,1.998,1.087
1,107.791,1.937,1.028,1.902,1.03
1,108.594,1.919,1.073,1.981,1.018
2,108.663,3.088,5.959,3.051,5.926
2,110.193,3.033,5.992,3.053,5.927
1,110.253,1.975,1.083,1.922,1.014
1,110.256,1.992,1.086,1.96,1.098
2,110.655,3.035,5.94,3.031,5.963
1,113.734,1.925,1.053,1.969,1.026
1,114.901,1.98,1.051,1.98,1.019
1,115.031,1.979,1.077,1.907,1.081
2,115.226,3.043,5.902,3.09,5.901
2,116.366,3.013,5.974,3.023,5.98
1,117.156,1.986,1.069,1.911,1.005
2,117.242,3.032,5.996,3.023,5.914
2,118.068,3.088,5.959,3.03,5.925
2,118.089,3.033,5.969,3.021,5.905
2,118.15,3.07,5.988,3.028,5.948
2,119.848,3.067,5.902,3.008,5.974
1,120.342,2.0,1.077,1.917,1.008
2,121.188,3.064,5.973,3.093,5.939
2,122.25,3.047,5.946,3.059,5.975
2,122.715,3.064,5.973,3.062,5.941
2,122.803,3.078,5.938,3.027,5.967
1,122.884,1.981,1.084,1.986,1.045
1,123.475,1.951,1.049,1.969,1.081
1,125.074,1.992,1.054,1.975,1.002
1,126.315,1.923,1.056,1.905,1.043
2,126.335,3.087,5.94,3.052,5.903
1,127.155,1.917,1.031,1.96,1.069
1,128.296,1.932,1.011,1.919,1.081
1,129.083,1.916,1.06,1.967,1.017
2,129.445,3.085,5.978,3.034,5.962
2,129.542,3.086,5.969,3.075,5.949
1,131.997,1.981,1.065,1.95,1.001
2,132.015,3.033,5.97,3.068,5.992
2,132.932,3.047,5.938,3.096,5.955
2,133.01,3.069,5.941,3.045,5.952
2,133.13,3.061,5.997,3.084,5.905
2,133.405,3.078,5.906,3.015,5.922
1,134.44,1.967,1.025,1.993,1.055
2,135.03,3.003,5.912,3.088,5.973
2,135.731,3.005,5.914,3.05,5.954
1,136.073,1.902,1.031,1.967,1.075
1,136.485,1.931,1.054,1.92,1.057
1,137.199,1.915,1.082,1.917,1.047
2,138.106,3.076,5.909,3.029,5.975
1,139.353,1.982,1.074,1.985,1.061
2,139.688,3.017,5.939,3.003,5.945
1,140.192,1.95,1.006,1.918,1.036
2,141.213,3.065,5.922,3.024,5.979
2,141.216,3.035,6.0,3.055,5.987
2,141.226,3.035,5.914,3.069,5.948
2,141.336,3.055,5.901,3.035,5.946
1,141.596,1.903,1.072,1.996,1.028
2,145.956,3.097,5.914,3.016,5.94
2,146.18,3.06,5.925,3.084,5.992
2,146.846,3.017,5.959,3.09,5.934
2,148.013,3.098,5.913,3.031,5.987
1,150.155,1.926,1.075,1.985,1.058
2,151.463,3.072,5.939,3.041,5.908
1,152.915,1.975,1.071,1.979,1.038
1,153.028,1.915,1.015,1.914,1.048
1,154.535,1.901,1.005,1.957,1.047
1,154.585,1.904,1.055,1.965,1.093
2,157.523,3.036,5.959,3.001,5.948
2,157.853,3.038,5.962,3.006,5.955
2,159.435,3.087,5.967,3.078,5.911
1,159.877,1.942,1.088,1.938,1.055
2,160.928,3.042,5.919,3.088,5.98
2,161.646,3.019,5.957,3.083,5.953
2,162.688,3.065,5.93,3.036,5.935
1,162.832,1.933,1.069,1.998,1.041
1,163.504,1.99,1.035,1.964,1.051
1,163.745,1.96,1.091,1.959,1.085
2,163.794,3.087,5.964,3.037,5.997
1,164.661,1.931,1.064,1.946,1.001
1,165.53,1.992,1.095,1.932,1.028
2,166.245,3.094,5.996,3.035,5.915
2,166.623,3.001,5.936,3.011,5.926
1,167.594,1.996,1.035,1.936,1.042
2,168.079,3.003,5.911,3.08,5.98
1,169.638,1.916,1.023,1.968,1.086
2,170.134,3.067,5.967,3.082,5.937
2,171.31,3.064,5.909,3.047,5.962
1,171.372,1.978,1.03,1.929,1.004
2,173.981,3.084,5.912,3.056,5.937
1,175.943,1.997,1.056,1.907,1.052
2,176.526,3.033,5.952,3.025,5.975
2,176.6,3.056,5.982,3.078,5.998
2,177.445,3.058,5.901,3.074,5.947
1,178.26,1.928,1.037,1.981,1.077
2,178.38,3.025,5.942,3.098,5.919
2,178.552,3.051,5.908,3.003,5.967
2,178.575,3.055,5.958,3.035,5.916
1,179.807,1.901,1.018,1.981,1.025
2,179.901,3.089,5.922,3.065,5.942
1,181.023,1.96,1.091,1.945,1.008
