task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
1,0.663,1.954,1.016,1.998,1.095
2,0.928,3.086,5.919,3.094,5.983
1,2.675,1.948,1.05,1.964,1.06
2,3.238,3.01,5.922,3.006,5.9
2,3.517,3.037,5.981,3.069,5.923
2,3.707,3.085,5.938,3.015,5.961
2,3.878,3.018,5.927,3.029,5.963
1,4.483,1.999,1.017,1.975,1.034
2,5.715,3.054,5.951,3.072,5.912
2,6.608,3.053,5.933,3.055,5.946
1,8.148,1.926,1.06,1.904,1.018
2,8.316,3.026,5.947,3.084,5.929
1,9.119,1.974,1.029,1.979,1.08
1,9.267,1.919,1.03,1.918,1.017
2,10.817,3.091,5.972,3.058,5.993
1,11.595,1.96,1.048,1.968,1.081
2,13.196,3.063,5.957,3.027,5.987
2,13.734,3.013,5.903,3.001,5.902
2,14.616,3.057,5.914,3.005,5.912
2,15.302,3.015,5.907,3.037,5.933
2,16.055,3.002,5.932,3.083,5.911
2,19.244,3.072,5.957,3.08,5.953
1,19.577,1.926,1.099,1.986,1.061
2,21.278,3.056,5.928,3.053,5.917
2,22.489,3.072,5.931,3.066,5.945
2,22.548,3.094,5.948,3.06,5.915
2,22.564,3.082,5.999,3.024,5.96
2,26.484,3.039,5.972,3.076,5.913
2,27.46,3.091,5.994,3.065,5.987
1,27.498,1.949,1.04,1.901,1.05
1,27.731,1.936,1.013,1.945,1.021
2,28.735,3.035,5.934,3.07,5.961
1,29.865,1.988,1.039,1.914,1.06
2,29.962,3.028,5.947,3.01,5.947
1,31.521,1.994,1.096,1.957,1.04
1,31.715,1.942,1.075,1.97,1.079
1,34.362,1.92,1.06,1.954,1.058
2,34.877,3.012,5.928,3.076,5.916
2,35.057,3.023,5.92,3.016,5.966
1,35.71,1.98,1.048,1.967,1.053
2,36.647,3.073,5.909,3.001,5.987
1,38.503,1.968,1.081,1.903,1.073
2,38.799,3.093,5.923,3.03,5.923
1,39.192,1.959,1.052,1.999,1.053
1,39.967,1.944,1.072,1.95,1.094
2,40.759,3.047,5.901,3.064,5.942
1,41.497,1.936,1.047,1.986,1.062
1,41.797,1.935,1.097,1.933,1.094
1,41.949,1.909,1.018,1.953,1.01
2,43.544,3.031,5.966,3.034,5.926
1,43.824,1.989,1.008,1.992,1.006
2,44.059,3.096,5.937,3.052,5.928
1,44.236,1.936,1.034,1.993,1.015
2,45.769,3.028,5.967,3.039,5.929
1,47.759,1.979,1.007,1.907,1.063
2,48.515,3.016,5.974,3.071,5.996
2,48.71,3.079,5.939,3.072,5.985
2,52.17,3.031,5.946,3.021,5.949
2,54.611,3.057,5.912,3.019,5.973
2,55.188,3.041,5.911,3.001,5.941
1,55.617,1.94,1.003,1.949,1.031
1,55.9,1.918,1.08,1.966,1.001
2,56.5,3.088,5.992,3.07,5.996
