task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,1.126,3.032,5.905,3.037,5.96
2,4.008,3.088,5.976,3.003,5.905
1,5.244,1.906,1.075,1.978,1.059
1,6.288,1.971,1.063,1.93,1.089
2,7.77,3.06,5.948,3.095,5.907
1,9.937,1.953,1.008,1.975,1.026
1,10.629,1.944,1.042,1.957,1.001
1,11.25,1.989,1.078,1.998,1.074
2,15.14,3.033,5.939,3.069,5.937
2,18.372,3.064,5.978,3.028,5.903
2,18.76,3.064,5.99,3.012,5.974
2,19.168,3.063,5.973,3.048,5.993
1,19.609,1.96,1.065,1.986,1.096
1,20.777,1.972,1.083,1.975,1.056
2,20.836,3.03,5.939,3.041,5.939
1,21.59,1.988,1.074,1.972,1.063
2,21.945,3.066,5.973,3.011,5.992
1,23.484,1.902,1.043,1.955,1.082
1,23.555,1.936,1.061,1.963,1.066
1,24.699,1.949,1.042,1.947,1.066
2,26.088,3.011,5.903,3.048,5.931
1,27.219,1.948,1.087,1.926,1.047
1,27.572,1.986,1.03,1.963,1.018
1,27.903,1.92,1.021,1.919,1.047
1,28.013,1.99,1.091,1.92,1.016
2,28.164,3.046,5.906,3.067,5.969
2,30.054,3.045,5.965,3.085,5.968
1,31.662,1.911,1.094,1.921,1.018
2,31.695,3.03,5.958,3.077,5.97
2,31.99,3.055,5.924,3.066,5.941
2,32.12,3.029,5.917,3.032,5.912
1,33.77,1.942,1.081,1.996,1.023
1,34.78,1.991,1.091,1.936,1.043
2,35.766,3.064,5.987,3.04,5.902
2,36.973,3.058,5.907,3.013,5.981
2,38.038,3.056,5.929,3.061,5.909
2,38.194,3.01,5.995,3.039,5.919
1,40.782,1.954,1.085,1.917,1.087
1,41.114,1.98,1.037,1.929,1.098
1,42.359,1.93,1.037,1.974,1.097
2,42.942,3.01,5.96,3.088,5.903
2,43.835,3.09,5.975,3.074,5.96
2,43.877,3.064,5.985,3.021,5.913
2,47.523,3.045,5.902,3.047,5.981
1,48.31,1.954,1.041,1.901,1.046
1,49.916,1.959,1.053,1.916,1.09
1,51.09,1.945,1.0,1.938,1.046
1,53.898,1.982,1.056,1.942,1.087
2,54.453,3.093,5.944,3.083,5.967
2,54.634,3.048,5.996,3.039,5.984
2,55.334,3.076,5.994,3.04,5.983
2,55.627,3.067,5.929,3.015,5.96
2,56.785,3.037,5.905,3.01,5.938
2,57.101,3.097,5.966,3.004,5.932
2,57.217,3.039,5.995,3.075,5.986
2,57.48,3.078,5.96,3.076,5.92
1,58.637,1.943,1.089,1.954,1.06
1,58.909,1.969,1.043,1.938,1.004
1,59.509,1.905,1.097,1.957,1.051
1,59.765,1.905,1.001,1.942,1.072
2,60.459,3.077,5.999,3.028,5.973
2,61.088,3.069,5.926,3.026,5.969
2,61.139,3.095,5.98,3.009,5.946
1,61.859,1.917,1.003,1.994,1.018
1,64.501,1.975,1.076,1.951,1.017
2,65.058,3.005,5.995,3.091,5.98
2,65.488,3.01,5.937,3.084,5.929
1,65.901,1.901,1.06,1.966,1.04
1,66.181,1.928,1.031,1.977,1.08
2,66.559,3.067,5.91,3.041,5.979
2,66.606,3.06,5.971,3.03,5.925
1,67.363,1.95,1.044,1.918,1.051
2,71.774,3.054,5.904,3.056,5.965
1,72.963,1.94,1.024,1.993,1.06
