task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,0.912,107.59,95.75,10.14,92.8,92.12,10.7
T1,1.695,95.08,91.88,10.46,100.3,106.74,10.4
T3,2.841,104.76,0.98,9.71,91.97,0.93,9.63
T3,4.68,102.6,1.04,10.31,91.9,1.07,9.48
T1,9.955,98.55,103.34,10.86,107.73,105.41,10.55
T3,10.881,94.21,0.94,10.54,106.24,0.91,10.62
T3,12.318,105.77,0.94,9.17,103.93,0.96,9.23
T3,16.501,93.31,0.95,10.24,107.18,1.0,10.26
T3,21.934,98.68,0.99,9.88,107.93,0.97,10.52
T1,22.368,98.22,97.26,10.07,92.86,103.3,9.84
T1,22.86,95.07,91.72,9.94,103.85,103.57,9.42
T1,24.098,107.66,94.3,10.21,97.1,105.81,9.85
T2,26.116,97.92,10.41,1.04,108.44,10.03,0.98
T2,31.836,106.43,9.71,0.98,103.44,9.91,0.97
T3,32.229,94.12,0.94,10.84,99.5,0.95,9.88
T2,37.678,99.01,9.68,1.05,92.18,9.38,1.06
T2,41.593,99.7,10.59,0.94,101.06,10.5,0.98
T3,58.718,102.58,0.97,10.73,106.12,0.93,10.01
T1,61.693,94.51,107.57,10.05,94.19,91.94,10.68
T3,65.041,102.45,0.92,10.53,97.99,0.94,9.77
T2,67.042,104.81,9.25,1.04,107.18,10.3,1.06
T1,68.931,105.2,96.48,10.28,102.56,108.28,9.2
T2,79.935,93.09,9.48,1.0,98.2,10.78,1.04
T2,81.66,104.97,9.99,0.96,97.64,9.19,0.95
T2,83.28,104.31,9.36,1.0,92.34,9.7,0.94
T1,88.746,98.24,95.08,10.29,101.2,97.74,10.65
T2,89.978,91.76,9.97,0.94,95.64,9.39,0.94
T3,90.812,107.64,0.98,10.39,107.66,0.92,9.77
T3,91.921,99.8,0.92,10.06,95.11,0.94,10.2
T3,94.769,106.4,1.02,10.33,99.8,1.05,10.78
T1,94.892,98.14,97.7,9.72,92.42,100.15,9.57
T3,97.098,95.76,1.06,9.48,102.06,0.94,10.83
T1,102.009,93.92,103.03,10.61,95.8,105.62,10.27
T2,103.509,98.9,9.86,1.04,108.0,9.42,0.96
T3,105.58,97.57,0.93,10.4,91.94,1.0,10.22
T1,111.433,92.56,99.44,9.54,100.31,96.47,9.17
T1,112.269,99.32,101.84,9.2,92.77,92.0,9.27
T1,114.801,102.59,98.07,10.81,91.8,99.92,10.05
T3,116.071,105.76,1.06,10.52,102.32,1.03,10.17
T3,118.996,91.88,0.91,10.34,103.52,1.08,10.72
T1,123.886,106.59,98.26,10.1,101.88,94.21,9.76
T1,123.943,104.52,91.6,9.91,102.51,93.52,9.69
T3,126.656,101.27,1.03,10.28,102.52,0.94,10.29
T3,126.692,102.46,1.04,9.31,105.92,0.92,10.67
T3,128.423,103.68,0.94,9.99,102.58,1.02,10.44
T2,130.255,107.88,10.43,0.92,103.27,9.61,1.06
T1,132.564,97.68,100.65,9.38,96.35,106.98,9.93
T1,132.643,104.24,108.18,9.21,92.45,102.86,9.54
T3,133.602,101.1,0.92,10.12,103.86,1.04,10.44
T2,134.58,91.95,10.41,1.03,105.93,10.49,1.0
T3,141.24,101.14,0.92,9.76,102.44,1.01,10.21
T1,145.064,92.43,98.06,9.44,107.53,101.97,10.6
T1,145.785,108.27,100.81,10.36,105.76,108.25,9.54
T2,146.458,105.06,9.34,0.92,101.28,9.82,0.95
T3,149.933,100.41,1.0,10.5,104.87,0.94,9.71
T3,150.562,94.07,1.04,9.55,107.12,0.94,9.37
T1,151.828,107.86,98.97,9.99,105.5,107.53,10.21
T1,155.856,95.18,96.48,9.67,107.45,106.09,10.44
T1,165.338,103.05,96.07,9.74,93.02,102.89,9.26
T2,165.527,93.39,9.65,0.92,92.37,10.84,0.98
T3,165.798,106.25,1.0,10.11,92.46,0.98,10.54
T2,174.04,95.25,10.24,1.08,94.79,9.69,1.02
T1,175.439,102.26,98.13,9.15,105.86,95.14,9.88
T1,177.598,91.8,105.81,9.78,91.74,92.72,10.49
T2,179.945,102.28,9.88,1.05,91.59,10.12,1.07
T2,182.305,91.88,9.44,0.93,92.16,10.09,0.93
T2,184.156,104.67,10.02,0.97,107.52,9.36,0.98
T3,189.036,96.77,0.91,9.84,102.66,0.99,10.41
T2,191.442,91.73,9.97,0.95,108.21,10.69,1.02
T3,191.865,98.01,1.01,9.17,100.83,0.98,10.42
T3,195.156,105.36,0.99,9.57,99.29,0.93,9.71
T3,200.459,100.18,1.08,9.53,101.98,1.06,9.15
T2,200.872,104.04,9.68,1.0,101.27,9.93,0.98
T3,200.917,102.09,1.04,10.72,94.15,0.97,9.55
T2,203.349,107.08,9.14,1.0,100.6,10.35,0.98
T1,203.447,94.0,97.85,10.07,97.79,97.98,10.23
T2,203.522,93.35,9.97,1.03,100.62,10.08,1.04
T2,205.262,91.87,9.62,1.08,99.85,9.56,1.02
T2,206.304,103.23,9.74,0.96,102.54,9.48,1.07
T3,206.427,92.4,0.93,9.8,96.0,0.92,9.61
T1,213.129,103.13,99.85,9.92,108.55,91.6,9.55
T1,214.665,99.84,95.74,10.07,101.32,106.95,10.49
T1,216.041,105.81,102.64,10.32,99.87,95.17,9.64
T1,218.851,95.84,101.64,10.09,97.32,103.28,10.22
T1,219.846,103.79,103.03,10.4,99.72,101.46,9.37
T2,224.196,99.52,9.95,1.04,93.07,10.82,0.97
T1,227.993,91.45,92.23,10.61,108.21,91.49,10.15
T2,230.962,98.26,10.84,0.94,93.19,10.82,0.98
T2,232.701,92.52,10.28,1.03,96.59,10.41,0.94
T1,235.757,107.17,105.59,10.27,101.03,100.15,10.05
T1,237.139,97.12,102.1,10.41,108.32,107.18,10.33
T1,238.918,106.12,95.19,9.42,100.71,103.51,9.56
T2,241.189,92.34,9.15,0.99,95.46,10.18,1.04
T2,246.235,101.52,9.41,0.98,101.98,10.75,0.92
T2,252.611,97.41,10.6,0.94,93.64,10.09,1.07
T1,258.476,106.71,104.72,10.19,98.3,103.23,10.56
T1,277.174,97.08,98.87,9.69,102.86,104.67,10.66
T1,285.656,106.18,95.23,10.29,96.4,108.42,9.51
T1,286.289,103.47,108.3,9.62,107.68,96.34,9.77
T1,306.05,103.31,105.8,10.03,107.51,92.12,9.69
