task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,1.714,96.26,95.17,10.79,96.18,95.52,10.43
T1,1.785,102.5,94.89,9.57,107.35,99.56,10.79
T1,2.426,94.9,94.84,9.41,98.99,101.94,10.16
T2,2.937,100.32,9.45,0.98,107.9,9.45,1.07
T3,4.396,93.66,0.98,10.72,93.53,1.08,9.46
T1,12.232,95.7,96.88,10.48,95.01,100.68,10.28
T3,13.847,104.99,0.93,10.17,100.6,1.0,9.4
T1,18.452,99.36,102.13,10.53,99.22,104.68,10.06
T3,20.573,99.17,1.02,10.22,100.54,0.98,9.44
T1,20.793,93.46,92.75,9.2,105.16,103.14,10.4
T3,25.194,93.88,1.06,10.58,105.59,1.01,9.42
T3,30.631,100.6,0.98,9.76,106.06,1.06,10.15
T1,31.124,108.29,101.91,9.83,104.34,103.64,10.16
T3,32.864,106.3,1.01,10.24,104.08,1.0,9.96
T3,36.557,98.06,1.0,9.84,95.07,0.98,10.67
T3,36.702,101.0,1.07,10.28,103.16,1.03,10.76
T1,39.615,105.72,104.72,9.99,99.8,104.14,10.09
T2,42.481,96.83,10.01,1.08,92.28,10.34,1.06
T1,42.573,97.76,92.12,10.43,94.79,101.78,10.82
T3,50.51,103.73,0.96,9.31,105.79,0.92,10.58
T3,53.624,97.77,0.97,9.64,101.46,1.08,9.22
T3,55.988,91.75,1.02,9.78,106.74,1.0,9.65
T1,58.072,101.98,92.67,9.4,95.67,98.42,9.66
T1,58.175,104.74,102.1,10.69,102.67,96.92,9.56
T2,59.709,95.47,9.95,0.91,100.68,10.41,0.99
T3,66.646,108.26,1.05,9.55,105.18,1.07,9.64
T1,67.497,97.13,92.73,10.8,92.48,101.66,9.78
T1,79.32,100.31,99.32,10.3,102.56,102.35,9.46
T1,81.402,101.94,108.05,10.6,102.75,98.52,9.33
T2,83.326,95.32,9.47,0.97,94.79,9.94,0.95
T3,86.558,107.18,0.99,10.59,92.56,0.91,10.85
T1,86.956,92.28,97.9,9.69,107.07,96.21,10.02
T2,92.985,104.5,9.53,0.97,98.43,9.22,0.98
T1,95.091,102.08,95.54,10.84,104.63,94.89,10.12
T2,101.219,96.44,10.32,0.96,100.86,10.14,1.08
T1,102.797,91.45,96.51,10.68,96.52,104.54,10.81
T2,104.595,92.16,10.82,1.08,100.76,9.33,0.92
T1,115.305,104.52,108.05,9.82,93.9,101.83,9.62
T2,124.066,99.52,10.19,1.05,97.18,9.22,0.97
T2,127.891,106.16,10.41,1.07,92.18,10.68,0.96
T3,152.948,99.65,1.05,9.9,94.27,0.92,10.39
T2,155.495,102.45,9.83,1.04,101.62,9.71,0.98
T3,155.668,101.7,1.06,10.41,96.03,0.99,10.01
T1,156.869,98.96,104.54,10.67,101.05,108.26,10.53
T3,156.875,107.43,1.02,9.55,91.4,1.05,10.66
T1,163.145,96.68,93.17,10.03,108.58,101.31,9.4
T2,164.34,106.54,10.11,1.08,101.1,9.84,0.97
T2,164.912,100.04,9.89,0.96,101.02,10.69,1.03
T1,165.423,107.14,92.55,10.05,106.73,103.32,9.29
T3,166.29,102.77,0.93,9.46,104.76,1.09,10.4
T3,172.788,95.36,0.96,10.5,102.6,1.08,9.94
T3,175.724,99.96,0.98,9.18,95.13,0.97,9.14
T2,180.148,92.12,10.11,0.99,104.99,9.92,0.92
T1,180.412,94.6,103.51,9.58,107.17,98.87,10.29
T1,181.722,92.1,105.71,10.82,93.52,93.23,10.78
T1,192.157,94.59,97.74,10.74,101.83,106.54,9.77
T3,193.926,96.49,0.94,9.96,93.0,1.03,9.59
T2,203.081,98.5,10.4,0.92,100.18,10.12,1.0
T3,203.595,107.2,1.03,10.63,94.94,0.94,9.53
T1,204.388,98.4,97.1,9.83,94.9,93.42,9.62
T2,208.705,94.3,10.18,1.0,91.59,9.3,0.95
T3,209.424,98.9,0.97,9.99,93.57,1.07,9.33
T1,214.031,102.55,94.57,9.44,100.02,95.52,9.8
T3,214.198,93.12,1.04,10.19,95.52,1.07,9.98
T2,215.116,95.29,9.71,1.07,104.56,9.42,0.98
T3,217.803,108.52,1.03,10.01,98.46,0.97,9.16
T1,219.864,94.38,92.26,9.6,105.08,103.49,9.66
T3,221.511,98.67,1.02,9.5,106.06,0.93,10.54
T1,223.036,94.72,95.19,9.4,99.92,99.48,10.79
T2,232.57,102.36,9.21,0.97,98.12,9.39,1.08
T2,232.584,94.0,9.75,0.95,94.89,10.65,0.98
T1,232.773,99.55,94.41,10.6,104.69,96.18,9.66
T3,233.826,96.54,0.99,9.54,105.82,1.05,9.21
T1,236.569,102.86,99.78,10.0,94.62,93.61,10.13
T1,238.977,107.18,101.26,10.77,108.58,108.42,10.48
T1,241.868,98.62,96.39,10.74,92.92,91.69,10.23
T1,243.586,100.61,105.68,10.37,104.64,92.76,10.1
T2,244.233,106.61,9.69,1.0,104.65,9.74,0.97
T2,247.105,108.51,9.85,0.92,106.44,9.72,0.94
T2,250.042,99.61,10.74,0.99,102.86,9.26,1.04
T3,250.36,96.13,0.95,10.15,97.78,1.01,9.72
T2,254.307,92.15,9.57,0.92,101.3,9.8,0.93
T1,255.999,91.45,101.43,9.29,106.77,101.09,9.42
T1,264.155,95.84,96.83,10.65,102.29,100.64,9.9
T3,265.488,91.4,1.0,10.59,99.91,0.97,10.82
T2,269.214,106.02,10.75,0.92,93.39,9.41,1.07
T1,270.658,105.33,108.0,10.13,97.84,92.24,9.32
T1,274.13,92.99,97.59,10.13,105.72,98.4,9.18
T2,276.425,95.01,9.44,1.07,96.8,10.72,0.93
T3,276.742,108.22,1.04,10.01,99.59,0.96,10.69
T3,282.266,102.77,0.97,9.9,103.29,0.96,10.38
T2,286.971,92.93,10.75,1.03,96.8,10.78,0.94
T1,290.87,93.74,105.03,9.57,98.69,93.54,10.26
T2,291.677,107.48,9.81,1.02,104.04,10.15,0.94
T2,292.306,106.48,10.12,0.93,92.69,10.23,0.99
T1,303.103,95.6,95.56,10.52,102.26,97.6,9.96
T1,304.493,100.36,106.57,10.76,101.94,103.64,9.82
T2,305.187,102.44,10.81,1.06,101.61,9.56,0.99
T2,311.899,101.46,9.94,0.95,102.76,10.33,0.93
T2,314.424,94.52,10.06,0.97,95.94,10.34,0.96
