task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,0.33,92.8,102.92,10.73,94.9,97.59,9.37
T1,10.922,96.35,104.87,10.58,105.24,96.08,10.41
T2,12.209,100.54,9.94,1.02,102.67,9.34,1.08
T1,19.397,95.8,92.88,10.59,97.32,102.78,10.23
T2,24.27,98.8,10.14,1.01,97.64,10.69,1.05
T3,26.25,106.66,0.93,9.92,94.38,1.07,9.82
T2,27.321,104.24,10.06,0.94,107.67,9.25,0.98
T3,31.214,100.95,1.02,10.44,93.49,0.96,10.8
T1,34.375,102.02,98.2,10.8,97.7,96.48,10.74
T1,34.755,102.58,106.26,10.05,95.96,103.3,9.61
T3,36.566,104.89,1.04,10.15,95.13,1.03,10.46
T3,37.513,105.14,1.06,10.48,100.11,0.95,9.23
T2,39.721,106.02,9.19,0.94,98.55,9.24,1.04
T1,40.119,91.69,103.18,10.61,94.11,94.92,9.14
T3,40.856,93.93,1.08,10.13,92.72,0.95,9.22
T2,43.763,104.25,10.46,0.97,106.23,9.49,1.02
T1,47.266,104.35,91.84,9.36,97.0,99.44,10.13
T1,50.583,96.48,101.68,9.5,104.84,93.02,10.55
T1,50.748,91.45,92.89,10.24,105.81,92.94,9.66
T2,51.431,105.61,9.92,1.07,104.08,10.0,0.94
T1,51.51,96.64,92.31,9.35,95.28,103.11,9.37
T1,54.442,93.51,107.01,9.9,98.35,101.06,9.23
T3,56.504,93.01,0.94,10.8,96.49,1.07,9.89
T3,57.507,94.75,0.95,10.26,108.03,0.93,10.73
T1,57.879,104.37,92.78,9.57,107.34,98.97,9.68
T1,61.459,99.06,97.74,10.76,100.55,99.23,10.68
T3,62.578,96.03,0.98,10.24,92.01,0.92,10.06
T3,73.759,108.08,0.96,10.17,104.48,1.04,9.92
T2,76.869,102.46,10.4,1.05,91.66,9.33,1.03
T3,82.9,94.97,0.92,9.18,94.69,0.93,10.28
T1,83.317,102.32,107.09,9.89,104.5,91.49,9.83
T3,88.742,104.94,0.93,9.81,108.23,0.97,9.31
T3,91.686,96.84,1.01,10.69,103.31,1.03,10.0
T2,93.165,101.07,9.97,1.0,95.57,9.68,1.05
T1,101.19,94.04,101.5,10.24,107.82,98.94,9.51
T1,102.061,104.17,97.77,9.64,108.14,98.06,10.7
T3,112.393,92.46,0.94,10.45,99.76,1.04,9.28
T1,121.231,92.94,108.6,10.28,108.58,103.14,10.76
T3,121.965,107.87,0.97,9.73,100.87,1.03,9.14
T2,130.266,105.88,10.29,1.02,96.79,9.36,0.94
T2,131.532,92.65,10.69,1.03,97.04,10.02,0.95
T1,133.396,108.29,96.68,10.39,98.8,97.07,9.51
T1,134.488,99.76,92.35,9.18,107.53,93.54,9.47
T2,136.065,92.96,10.14,0.97,103.63,9.97,1.07
T2,138.143,92.17,9.52,0.97,104.0,10.15,0.99
T2,138.767,92.86,10.19,1.03,104.99,10.34,0.94
T2,142.162,95.24,10.52,0.95,100.6,10.86,1.02
T1,142.175,102.0,92.39,10.81,100.87,93.5,9.75
T3,143.707,98.59,0.93,10.37,103.83,1.05,9.64
T3,144.734,107.18,0.99,9.45,94.69,0.94,10.57
T1,146.12,93.25,97.74,10.63,97.6,96.83,9.56
T1,149.769,94.88,94.43,10.28,94.01,94.88,10.3
T2,152.724,104.41,9.54,0.98,93.73,9.58,1.07
T3,153.516,106.56,1.0,9.73,108.22,1.08,10.76
T1,156.18,103.27,107.99,9.5,96.65,104.71,9.92
T2,160.224,97.57,9.6,1.08,92.64,9.67,0.94
T1,164.126,104.75,104.83,10.47,95.67,95.91,10.38
T3,164.143,102.58,1.04,9.96,98.26,0.94,10.28
T3,165.051,104.08,0.93,10.58,101.78,0.93,10.54
T3,167.561,96.67,0.98,10.73,93.09,0.98,10.38
T2,168.248,105.6,10.3,0.96,107.56,9.17,1.04
T2,186.463,100.88,10.74,0.93,103.54,9.45,1.01
T1,188.081,106.18,91.94,10.28,101.36,104.71,10.7
T1,192.013,96.77,103.07,9.65,94.72,103.63,10.48
T1,193.466,96.25,100.54,10.1,102.21,102.64,9.94
T2,199.783,96.73,9.91,0.94,99.82,10.49,1.08
T2,203.946,104.67,9.42,1.06,107.9,9.3,1.03
T3,207.069,102.28,1.03,10.38,91.96,1.04,9.69
T3,215.41,96.83,1.06,10.4,105.54,1.0,9.17
T3,225.729,106.37,0.94,10.05,91.71,0.94,10.65
T3,230.881,97.9,0.97,9.42,107.55,0.94,10.54
T2,234.266,107.55,10.47,1.08,92.86,10.16,0.98
T3,239.994,103.27,0.92,10.41,99.03,1.05,9.39
T2,241.083,102.03,9.45,0.97,107.68,9.56,0.96
T2,241.874,103.42,9.37,0.96,98.48,9.15,1.01
T2,251.914,102.14,9.59,0.97,93.7,9.82,1.06
T1,258.68,96.39,108.26,10.63,100.43,102.79,10.66
T1,258.941,94.22,93.69,10.2,92.49,92.63,10.8
T3,269.47,98.1,1.08,10.78,107.92,1.01,9.3
T3,271.634,97.3,0.96,9.92,96.31,0.94,10.69
T2,273.736,94.93,10.18,0.96,102.86,10.6,1.0
T1,273.8,92.7,104.48,10.43,96.4,91.82,10.81
T2,275.153,92.66,10.86,0.96,104.43,10.19,1.02
T3,284.466,107.66,0.93,9.28,102.66,1.06,9.75
T3,288.976,93.21,0.97,9.84,104.93,0.94,9.68
T2,289.846,96.56,9.29,0.99,99.93,10.74,0.98
T1,293.915,101.96,98.09,9.16,107.65,102.79,9.24
T1,296.504,92.02,102.88,9.84,107.86,92.41,9.6
T3,300.664,107.18,0.96,9.19,104.44,1.05,9.23
T1,301.993,102.44,99.87,10.77,100.76,96.74,10.82
T1,317.717,97.94,99.32,9.73,97.1,100.15,10.86
T1,328.662,95.8,93.49,10.26,105.32,95.06,9.57
T1,341.008,92.8,102.77,10.42,107.64,96.68,10.39
T2,342.326,100.43,10.43,0.92,105.8,10.32,0.98
T1,342.449,103.32,96.47,10.45,96.74,93.96,10.17
T2,353.05,94.74,9.63,0.95,93.43,10.17,0.96
T2,373.864,106.7,10.12,1.07,94.58,10.11,1.02
T1,378.056,97.18,103.94,9.42,94.21,94.41,10.05
T1,379.09,108.64,107.04,10.03,99.58,103.82,9.44
T1,392.988,96.22,93.42,9.15,96.4,104.16,10.57
