task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T3,0.438,92.26,0.97,9.2,91.39,1.08,10.12
T3,1.213,103.42,1.05,9.32,106.6,0.94,10.58
T2,1.502,94.79,9.88,1.03,102.45,9.56,0.98
T2,2.448,101.37,9.47,0.96,106.17,9.19,0.96
T1,5.229,95.18,92.87,10.32,94.96,98.88,9.97
T2,8.743,105.56,9.32,0.96,97.51,10.44,0.97
T2,15.459,98.99,10.07,1.04,104.06,9.22,0.97
T2,17.896,101.62,10.75,1.08,100.02,9.4,1.0
T2,18.991,107.55,9.19,0.95,102.15,10.18,1.05
T2,20.458,107.56,9.42,1.07,94.88,9.44,1.04
T1,21.39,93.59,92.24,10.11,105.36,94.99,10.21
T2,25.936,99.81,10.47,0.96,104.9,10.34,0.93
T3,32.911,95.76,0.96,10.12,92.01,1.02,10.28
T3,35.745,100.24,1.08,9.43,104.6,0.94,9.36
T1,35.946,93.69,96.13,10.81,94.59,105.83,9.56
T1,36.777,98.32,104.86,10.83,94.72,106.26,10.57
T3,39.248,103.44,0.93,9.88,102.98,1.05,9.68
T3,41.468,94.93,1.05,9.71,108.39,1.02,10.22
T3,44.064,99.25,1.02,10.34,104.95,1.02,10.62
T3,44.636,103.85,1.07,10.18,107.06,1.08,9.56
T1,49.526,105.75,107.47,9.36,100.4,98.68,9.58
T1,51.487,108.32,108.2,9.57,107.92,106.77,9.4
T2,60.22,102.01,9.95,1.06,107.1,10.2,0.93
T3,61.788,103.91,1.06,10.0,107.57,0.95,10.43
T2,63.807,93.73,10.46,0.92,96.3,9.84,0.98
T1,70.559,107.28,100.83,10.28,99.06,101.74,9.97
T1,72.506,98.44,100.47,9.56,91.38,106.6,10.4
T1,81.844,97.0,93.37,10.29,93.28,93.49,10.52
T1,86.356,102.32,94.47,9.9,101.14,108.6,9.74
T2,92.694,106.23,9.34,0.97,101.51,9.35,1.08
T2,94.941,101.87,10.32,0.91,100.46,9.15,1.0
T1,98.03,106.19,95.35,10.2,98.72,92.59,9.86
T1,100.218,107.27,101.31,10.5,100.94,91.42,10.69
T3,101.792,105.12,0.93,10.65,105.96,0.99,9.84
T3,103.674,91.49,0.95,10.02,102.8,1.07,10.0
T2,112.566,96.79,10.3,0.99,104.56,9.99,1.01
T1,113.187,102.35,107.21,9.42,106.74,91.72,10.4
T3,118.285,101.14,1.03,9.31,93.21,0.98,9.52
T1,122.167,100.84,92.13,10.36,97.27,106.67,9.14
T3,123.735,94.75,1.04,10.57,93.24,0.93,10.4
T1,124.035,95.84,92.63,10.29,91.56,94.84,10.05
T1,126.617,106.0,99.4,9.36,93.92,104.34,9.89
T2,128.049,101.31,10.74,1.06,104.34,9.29,1.08
T3,130.405,99.77,0.96,9.87,104.12,1.02,9.91
T3,137.389,102.46,0.99,9.66,103.88,0.99,10.11
T2,137.963,97.55,9.95,1.06,103.17,9.94,1.01
T1,139.566,107.1,103.77,10.22,98.84,98.38,10.4
T1,139.585,104.84,97.08,10.47,103.29,95.05,10.45
T1,151.019,103.4,95.67,10.48,102.96,104.79,10.74
T3,151.171,99.87,1.08,9.69,107.45,1.07,10.67
T2,153.112,101.58,10.24,0.98,96.15,9.8,1.05
T1,157.393,101.94,103.77,9.58,103.4,107.52,9.15
T1,158.849,96.65,96.64,10.46,96.24,94.47,9.93
T1,159.133,98.44,93.49,9.64,91.8,104.52,9.55
T3,163.296,103.15,1.07,9.84,104.63,0.94,10.18
T2,168.075,105.6,10.16,1.01,103.6,10.67,0.99
T3,171.502,93.93,0.95,9.67,93.5,1.04,10.22
T2,175.414,93.66,10.06,0.94,101.62,10.4,1.03
T3,184.239,101.64,1.0,9.14,99.83,1.07,9.41
T1,190.332,100.6,101.54,10.79,92.15,98.75,10.77
T2,199.069,102.55,9.4,1.06,95.31,10.3,0.95
T2,208.527,91.6,9.84,0.96,104.74,9.93,0.95
T2,209.966,104.22,9.77,0.96,104.88,9.86,1.08
T1,215.165,91.43,95.81,9.46,106.6,93.07,9.98
T2,218.053,104.0,9.66,1.01,103.82,10.32,1.03
T2,220.999,103.86,10.07,0.92,98.96,10.71,0.97
T1,223.777,99.35,101.91,9.96,98.59,100.83,9.94
T1,225.299,95.92,94.97,10.28,98.27,105.8,10.28
T3,226.344,102.8,0.96,9.63,105.11,1.04,10.73
T1,227.925,101.57,93.37,10.86,96.8,96.8,10.63
T2,228.798,107.58,9.7,1.04,96.4,10.87,0.99
T3,229.819,102.94,1.06,10.35,91.49,0.96,10.43
