#, task_type_id, size, arrival_time,expected_time_cpu,expected_time_gpu,expected_time_CLOUD,execution_time_cpu,execution_time_gpu,execution_time_CLOUD
1,2,153.0,0.682,6.291,1.105,1.105,5.985,1.346,1.146
2,1,214.0,3.576,1.519,0.415,0.415,2.082,0.143,0.147
3,2,241.0,5.34,5.34,1.094,1.094,6.02,1.207,1.14
4,2,147.0,11.208,5.631,1.093,1.093,5.276,1.226,1.106
5,2,107.0,17.48,6.334,1.01,1.01,5.169,1.485,0.882
6,2,198.0,18.749,5.169,1.159,1.159,6.09,1.474,0.882
7,2,133.0,23.019,5.0,1.46,1.46,6.265,1.457,0.945
8,2,39.0,23.667,5.307,1.416,1.416,6.007,1.149,0.919
9,2,196.0,31.545,5.408,1.047,1.047,6.056,1.349,0.952
10,2,205.0,40.23,6.595,1.216,1.216,6.668,1.317,1.143
11,1,103.0,41.926,1.116,0.22,0.22,1.499,0.146,0.157
12,2,119.0,42.122,6.563,1.041,1.041,5.487,1.399,0.804
13,2,172.0,43.436,5.466,1.175,1.175,5.803,1.065,1.076
14,2,164.0,45.866,5.664,1.055,1.055,6.587,1.206,0.982
15,2,271.0,48.414,5.997,1.414,1.414,5.721,1.302,1.187
16,2,276.0,48.534,5.007,1.358,1.358,6.999,1.2,0.973
17,2,298.0,51.063,5.631,1.29,1.29,6.318,1.25,1.094
18,2,72.0,52.886,6.685,1.151,1.151,6.269,1.446,0.933
19,2,97.0,57.399,6.823,1.454,1.454,5.537,1.303,1.056
20,2,69.0,58.727,6.02,1.232,1.232,5.898,1.259,0.885
21,2,173.0,60.433,6.76,1.218,1.218,5.828,1.159,0.89
22,2,166.0,60.951,6.882,1.3,1.3,5.154,1.475,0.943
23,1,120.0,68.456,1.573,0.164,0.164,2.157,0.385,0.104
24,1,146.0,69.838,1.22,0.146,0.146,1.771,0.194,0.134
25,2,253.0,69.942,5.373,1.311,1.311,6.882,1.379,0.872
26,1,146.0,71.705,2.5,0.495,0.495,1.668,0.359,0.18
27,2,196.0,71.729,5.273,1.306,1.306,6.576,1.003,1.075
28,2,191.0,72.883,5.328,1.159,1.159,6.879,1.469,1.141
29,1,157.0,74.036,2.997,0.189,0.189,2.363,0.269,0.13
30,2,139.0,77.075,5.208,1.293,1.293,5.469,1.055,1.045
31,1,498.0,78.661,1.146,0.253,0.253,2.088,0.36,0.153
32,2,50.0,79.353,5.317,1.159,1.159,5.803,1.129,0.984
33,1,7.0,79.408,1.849,0.392,0.392,1.076,0.424,0.162
34,1,13.0,81.577,1.471,0.194,0.194,2.651,0.182,0.089
35,1,387.0,83.991,1.096,0.388,0.388,1.493,0.454,0.108
36,2,108.0,90.325,6.78,1.121,1.121,5.841,1.362,0.863
37,2,75.0,91.199,6.788,1.419,1.419,5.596,1.292,0.864
38,2,114.0,92.047,5.2,1.252,1.252,5.856,1.416,0.923
39,2,106.0,93.371,6.788,1.265,1.265,6.904,1.012,1.093
40,2,95.0,98.908,5.702,1.153,1.153,5.903,1.055,1.075
41,2,117.0,100.711,6.995,1.349,1.349,5.737,1.312,0.899
42,1,7.0,101.524,1.391,0.106,0.106,1.133,0.132,0.143
43,1,44.0,102.597,2.918,0.233,0.233,1.099,0.163,0.159
44,1,6.0,103.654,1.697,0.115,0.115,2.999,0.454,0.093
45,1,59.0,104.384,2.067,0.378,0.378,1.147,0.346,0.174
46,1,387.0,106.491,2.132,0.361,0.361,1.093,0.437,0.152
47,1,28.0,111.696,1.8,0.314,0.314,1.808,0.215,0.091
48,2,110.0,112.865,5.286,1.472,1.472,5.25,1.299,0.972
49,1,214.0,113.021,2.101,0.217,0.217,1.133,0.233,0.135
50,1,146.0,114.322,1.196,0.256,0.256,1.844,0.256,0.13
51,1,103.0,114.508,1.246,0.317,0.317,1.211,0.14,0.162
52,2,73.0,114.585,5.374,1.3,1.3,6.826,1.092,1.087
53,1,559.0,116.283,1.114,0.118,0.118,2.967,0.261,0.13
54,1,90.0,116.58,1.548,0.115,0.115,2.735,0.251,0.194
55,2,109.0,117.638,5.269,1.416,1.416,6.974,1.088,1.094
56,2,242.0,117.782,6.685,1.146,1.146,5.875,1.37,0.893
57,1,7.0,117.948,1.76,0.411,0.411,2.268,0.315,0.138
58,1,512.0,119.102,1.697,0.306,0.306,2.7,0.167,0.132
59,1,90.0,119.948,1.675,0.248,0.248,1.796,0.365,0.107
60,1,379.0,120.945,2.015,0.225,0.225,1.448,0.429,0.142
61,1,30.0,121.407,2.744,0.219,0.219,1.351,0.192,0.199
62,2,226.0,122.03,5.881,1.196,1.196,5.612,1.196,1.108
63,1,6.0,122.639,1.822,0.228,0.228,2.864,0.12,0.188
64,1,7.0,123.837,2.91,0.228,0.228,2.18,0.48,0.085
65,2,184.0,124.675,5.477,1.415,1.415,6.132,1.287,0.862
66,1,28.0,125.126,2.828,0.368,0.368,1.761,0.196,0.129
67,1,10.0,125.315,1.228,0.377,0.377,2.727,0.383,0.108
68,1,49.0,125.845,1.026,0.315,0.315,2.067,0.315,0.162
69,1,103.0,125.904,1.842,0.438,0.438,2.383,0.171,0.178
70,2,147.0,127.722,5.283,1.207,1.207,5.494,1.391,1.155
71,1,169.0,129.514,2.548,0.46,0.46,1.931,0.117,0.155
72,2,107.0,130.597,6.846,1.256,1.256,6.873,1.415,1.106
73,1,90.0,130.989,1.567,0.278,0.278,2.399,0.46,0.163
74,1,512.0,131.713,2.323,0.432,0.432,1.238,0.347,0.108
75,2,116.0,132.774,6.718,1.182,1.182,5.391,1.135,1.188
76,1,103.0,136.033,1.612,0.286,0.286,2.686,0.337,0.092
77,2,175.0,136.363,5.173,1.292,1.292,6.033,1.463,1.041
78,2,125.0,136.477,6.174,1.44,1.44,6.021,1.159,0.812
79,1,7.0,137.926,2.828,0.387,0.387,2.148,0.467,0.113
80,1,7.0,138.024,1.582,0.346,0.346,2.406,0.164,0.131
81,2,214.0,138.634,5.229,1.175,1.175,5.922,1.347,0.968
82,1,146.0,138.814,1.927,0.484,0.484,1.619,0.386,0.161
83,2,145.0,139.156,6.717,1.286,1.286,5.37,1.253,0.958
84,1,10.0,140.113,2.744,0.181,0.181,1.743,0.271,0.199
85,1,90.0,140.67,2.777,0.121,0.121,1.144,0.383,0.181
86,1,6.0,141.389,1.795,0.217,0.217,1.62,0.438,0.14
87,1,512.0,142.404,1.115,0.349,0.349,2.694,0.257,0.198
88,1,28.0,144.344,1.06,0.169,0.169,2.155,0.457,0.186
89,1,6.0,144.371,2.043,0.462,0.462,1.981,0.395,0.083
90,2,207.0,144.734,6.494,1.134,1.134,5.358,1.409,1.172
91,2,281.0,146.584,5.158,1.265,1.265,6.447,1.229,1.094
92,1,146.0,147.085,1.914,0.127,0.127,2.202,0.424,0.163
93,1,498.0,149.274,2.029,0.498,0.498,1.368,0.405,0.186
94,2,121.0,149.879,6.595,1.053,1.053,5.455,1.143,0.835
95,2,58.0,149.884,5.487,1.352,1.352,6.471,1.022,1.064
96,2,97.0,150.469,5.166,1.305,1.305,5.374,1.497,1.076
97,1,7.0,152.211,1.498,0.106,0.106,1.582,0.306,0.106
98,1,44.0,153.429,1.116,0.349,0.349,2.682,0.228,0.124
99,1,13.0,153.788,2.199,0.275,0.275,1.23,0.226,0.092
100,1,7.0,153.951,1.556,0.199,0.199,1.238,0.257,0.109
101,1,7.0,154.427,2.744,0.13,0.13,1.601,0.309,0.177
102,1,126.0,154.461,2.023,0.115,0.115,1.211,0.464,0.154
103,1,59.0,155.176,2.341,0.369,0.369,2.83,0.224,0.085
104,1,7.0,155.193,2.658,0.464,0.464,1.512,0.304,0.145
105,2,69.0,155.921,5.086,1.293,1.293,6.216,1.099,1.094
106,1,126.0,156.285,2.726,0.269,0.269,1.241,0.323,0.096
107,1,16.0,156.325,2.863,0.114,0.114,2.214,0.15,0.163
108,1,103.0,156.775,2.651,0.297,0.297,1.631,0.465,0.165
109,1,90.0,156.8,1.619,0.395,0.395,1.134,0.44,0.121
110,2,188.0,157.416,5.423,1.456,1.456,6.491,1.286,1.012
111,1,559.0,157.678,2.46,0.33,0.33,2.562,0.135,0.135
112,2,100.0,157.989,5.707,1.047,1.047,6.242,1.379,1.002
113,1,6.0,158.83,1.132,0.388,0.388,2.686,0.477,0.12
114,1,447.0,158.887,2.089,0.437,0.437,1.871,0.381,0.154
115,1,6.0,159.062,2.822,0.348,0.348,2.815,0.392,0.131
116,1,387.0,159.19,2.748,0.13,0.13,1.202,0.409,0.106
117,1,44.0,159.417,1.235,0.243,0.243,1.752,0.437,0.144
118,1,7.0,159.536,2.015,0.447,0.447,2.129,0.382,0.198
119,1,6.0,163.816,2.687,0.102,0.102,1.746,0.211,0.129
120,1,7.0,163.912,2.991,0.181,0.181,2.818,0.307,0.158
121,1,30.0,163.983,1.465,0.217,0.217,2.087,0.281,0.196
122,1,44.0,164.746,2.387,0.267,0.267,2.812,0.135,0.15
123,2,212.0,164.976,5.517,1.157,1.157,6.053,1.123,1.176
124,2,96.0,166.767,5.741,1.124,1.124,5.772,1.309,1.189
125,1,30.0,166.859,2.788,0.421,0.421,2.013,0.486,0.109
126,1,16.0,166.947,2.306,0.344,0.344,1.186,0.291,0.151
127,1,214.0,167.488,1.369,0.481,0.481,2.083,0.387,0.199
128,1,59.0,167.733,1.259,0.364,0.364,1.615,0.247,0.13
129,2,169.0,168.416,5.168,1.422,1.422,5.305,1.11,1.14
130,1,10.0,168.726,2.961,0.145,0.145,2.484,0.476,0.196
131,1,512.0,168.761,1.457,0.327,0.327,2.473,0.304,0.157
132,1,157.0,168.859,2.694,0.184,0.184,1.115,0.482,0.133
133,1,126.0,169.072,1.612,0.113,0.113,2.152,0.266,0.158
134,1,157.0,170.99,1.521,0.171,0.171,1.923,0.452,0.116
135,1,498.0,171.254,2.098,0.232,0.232,1.931,0.445,0.176
136,1,7.0,173.046,1.23,0.354,0.354,1.535,0.305,0.097
137,1,13.0,173.514,2.5,0.347,0.347,1.844,0.323,0.112
138,1,103.0,173.545,2.303,0.421,0.421,2.162,0.217,0.192
139,1,559.0,174.117,2.362,0.326,0.326,1.571,0.304,0.084
140,1,512.0,174.874,1.805,0.186,0.186,2.265,0.169,0.089
141,2,171.0,174.932,6.165,1.248,1.248,5.48,1.093,1.118
142,1,512.0,175.076,1.026,0.419,0.419,1.633,0.274,0.124
143,1,6.0,175.665,2.944,0.445,0.445,2.864,0.176,0.154
144,1,95.0,177.03,2.988,0.427,0.427,1.19,0.361,0.116
145,1,214.0,177.984,1.789,0.168,0.168,2.261,0.203,0.135
146,1,49.0,178.026,1.041,0.389,0.389,2.721,0.328,0.108
147,2,160.0,178.194,5.164,1.381,1.381,5.134,1.437,0.996
148,1,10.0,178.488,2.082,0.431,0.431,1.771,0.111,0.13
149,1,95.0,178.848,1.999,0.349,0.349,1.241,0.268,0.165
150,1,169.0,179.947,1.271,0.367,0.367,1.445,0.157,0.104
151,1,120.0,180.011,2.534,0.466,0.466,1.288,0.287,0.147
