task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
1,1.352,2.296,1.844,4.253,0.667,2.232,1.434,4.373,0.638
1,1.843,2.509,1.702,3.961,0.861,2.453,1.545,4.723,0.772
1,2.295,1.919,1.673,4.233,0.806,2.082,1.52,4.401,0.64
1,2.403,2.104,1.984,4.772,0.676,1.98,1.764,4.346,0.725
1,3.302,2.493,1.71,4.345,0.768,2.493,1.463,3.646,0.84
1,3.882,2.238,1.874,3.872,0.649,1.936,1.795,4.77,0.779
1,3.932,2.24,1.703,4.044,0.646,2.037,1.515,3.863,0.76
1,4.354,2.418,1.904,3.707,0.752,2.407,1.892,4.817,0.764
1,4.893,1.951,1.877,4.596,0.753,2.482,1.8,4.338,0.617
1,5.714,2.302,1.72,4.104,0.633,1.968,1.905,3.986,0.824
1,6.14,2.384,1.949,3.693,0.667,2.414,1.738,3.628,0.806
2,6.446,1.914,1.542,4.372,0.966,1.915,1.794,4.1,0.917
2,7.435,2.321,1.97,4.408,0.984,2.555,1.584,4.596,0.931
1,7.947,2.126,1.702,4.714,0.636,2.032,1.866,3.613,0.638
1,8.428,2.061,1.587,4.021,0.642,2.045,1.849,4.909,0.815
2,9.406,1.901,1.691,3.647,0.952,2.368,2.027,4.982,0.914
1,9.742,2.35,1.519,4.354,0.716,1.972,1.86,4.717,0.763
1,10.744,2.2,1.846,3.984,0.784,2.334,1.821,4.303,0.696
1,11.005,1.974,1.406,4.896,0.849,1.857,1.551,3.835,0.827
1,13.181,1.946,1.942,4.564,0.768,2.106,1.791,4.926,0.694
1,13.442,2.509,1.42,4.305,0.701,1.996,1.566,4.571,0.612
2,13.512,2.293,1.999,4.268,0.745,2.566,1.585,3.94,0.868
2,15.004,2.465,2.104,4.394,0.885,2.05,1.63,5.085,0.727
2,15.062,2.633,1.937,3.908,0.888,1.888,2.025,4.359,0.758
2,15.932,2.469,2.125,3.752,0.765,2.007,1.99,4.238,0.732
1,16.681,2.309,1.851,3.851,0.716,2.15,1.615,4.592,0.663
2,17.062,2.058,1.898,3.635,0.806,2.063,1.779,4.743,0.921
1,17.803,2.531,1.517,4.407,0.806,1.965,1.42,4.17,0.83
