task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.076,11.17,10.05,1.08,10.74,105.48,93.31,101.78,110.07,10.75,9.39,1.05,10.33,95.91,107.98,116.53,97.6
T2,0.143,10.72,10.95,1.05,11.48,97.47,97.72,105.11,101.83,9.96,10.76,0.92,10.79,102.41,94.15,103.29,112.95
T2,0.208,11.16,9.67,0.97,9.77,103.76,99.35,110.37,103.91,9.73,9.69,1.02,10.42,110.72,98.75,100.48,109.02
T2,0.213,10.0,10.13,1.04,10.37,97.97,103.91,101.12,110.76,10.35,10.01,0.96,10.27,108.19,107.24,105.79,103.04
T1,0.852,9.55,11.04,1.0,10.47,111.58,115.12,102.05,115.03,10.23,9.87,1.06,10.03,101.22,109.4,98.66,107.19
T2,0.933,10.95,9.84,1.07,10.76,102.57,92.83,113.31,97.08,10.01,9.94,1.03,9.98,107.82,102.82,117.19,109.68
T3,1.691,11.27,10.5,1.16,11.06,96.66,109.49,115.67,103.62,9.9,10.26,1.12,10.89,102.19,113.4,110.86,103.37
T1,2.27,9.59,10.43,1.06,9.47,97.34,115.37,101.7,102.49,9.5,10.34,1.06,10.99,104.38,104.33,107.83,111.67
T3,2.862,10.59,11.31,1.0,10.75,102.28,104.13,109.87,96.53,11.3,9.96,0.99,11.03,99.06,115.51,104.71,104.09
T1,3.108,10.87,10.27,1.02,9.73,106.18,111.42,104.1,109.2,10.47,10.75,1.05,10.72,105.17,101.98,102.59,111.02
T2,3.424,10.76,10.92,0.96,10.57,106.66,96.29,105.98,108.58,9.86,9.54,1.06,10.88,103.65,108.32,100.31,110.28
T4,3.626,9.34,9.48,1.02,9.88,105.7,104.24,109.65,100.12,10.4,9.48,1.06,10.44,101.99,101.06,99.47,108.13
T4,3.743,9.95,10.69,1.07,9.72,94.57,96.03,103.99,101.5,10.12,10.44,1.08,10.17,94.55,99.2,99.89,109.9
T1,3.845,11.04,11.13,1.07,10.54,104.86,104.44,107.15,100.07,9.44,10.82,1.08,9.51,102.86,106.23,106.16,107.67
T3,3.965,10.8,11.74,1.03,10.57,95.4,111.18,102.91,95.12,11.11,10.66,1.11,10.09,101.9,104.76,112.02,95.68
T3,4.423,10.82,10.1,1.08,10.8,96.6,104.8,98.53,92.16,10.29,10.82,1.16,9.96,96.18,114.8,107.7,102.27
T2,4.899,10.61,10.25,1.0,11.23,106.53,97.38,106.9,108.5,11.14,10.1,0.97,10.24,107.6,102.66,99.79,108.09
T3,5.492,10.27,10.58,1.13,10.08,100.11,111.98,115.07,105.36,11.48,10.56,1.08,9.57,104.1,109.34,104.86,103.96
T2,6.084,10.27,10.62,1.08,10.63,110.28,91.76,98.94,97.66,11.07,9.46,1.08,11.37,110.62,97.04,112.15,105.12
T4,6.085,10.16,9.65,1.06,11.1,110.24,97.97,99.01,104.73,9.59,9.67,1.11,11.51,96.62,103.83,105.18,97.03
T1,6.333,10.81,11.21,1.12,10.48,112.1,105.8,109.0,110.47,10.82,11.36,1.02,11.09,99.29,110.67,97.56,110.59
T1,6.564,10.88,10.16,1.04,10.58,97.07,100.18,106.02,111.8,10.16,11.53,1.13,10.1,112.17,100.35,102.93,105.06
T3,7.46,11.3,11.59,1.14,9.59,101.03,112.43,114.72,104.18,11.55,11.51,1.1,10.41,95.16,106.63,106.74,106.66
T3,7.465,11.4,11.17,1.11,10.88,102.42,113.12,102.46,96.17,10.58,10.64,1.15,9.67,98.61,103.95,103.95,106.51
T3,7.647,10.06,10.69,1.05,10.13,99.06,102.37,111.17,101.12,10.58,10.84,1.0,10.14,106.08,101.09,104.83,103.54
T3,7.941,10.05,10.36,1.02,11.01,104.66,105.48,113.05,98.84,11.12,10.39,1.02,10.15,96.38,106.92,114.22,105.62
T4,8.168,10.78,10.68,1.1,11.0,100.4,102.09,100.22,95.95,11.0,11.19,1.12,9.92,105.0,101.15,115.38,95.47
T3,8.196,9.83,10.46,1.04,10.42,109.94,116.49,109.38,96.49,10.61,10.14,1.16,10.17,110.18,106.35,102.83,105.27
T3,8.308,11.61,11.8,1.02,9.89,104.69,108.29,109.66,98.88,11.01,10.46,1.16,10.13,102.42,105.52,108.42,102.61
T2,9.19,10.92,10.36,0.94,10.03,100.31,99.47,112.32,102.62,11.14,9.34,1.07,10.02,102.28,97.3,112.46,98.11
T3,9.303,11.24,10.5,1.04,11.14,100.93,113.78,106.6,106.11,10.5,11.8,1.1,9.5,107.73,108.64,106.23,99.3
T2,9.798,10.04,9.59,0.95,11.46,104.63,95.31,101.84,110.71,9.41,9.81,1.04,11.47,96.17,92.21,108.94,96.32
T2,9.828,10.62,10.85,0.96,10.21,108.68,97.64,116.1,104.11,9.89,9.44,1.09,10.19,106.31,108.83,101.6,108.75
T3,10.347,10.26,11.38,1.09,11.02,98.41,105.75,104.28,100.24,11.04,10.45,1.13,10.12,106.5,107.23,114.9,92.42
T3,10.454,10.35,10.79,1.15,10.06,93.43,104.61,108.22,96.21,10.75,10.7,1.12,10.02,105.54,105.63,114.7,109.08
