task_type,arrival_time
obj det,0.74
txt det,0.916
txt det,3.156
face rec,4.704
face rec,6.661
obj det,7.186
txt det,8.011
txt det,8.818
face rec,9.976
obj det,10.012
motion det,10.753
txt det,12.904
motion det,13.097
obj det,15.704
motion det,15.964
motion det,18.16
face rec,21.154
face rec,21.182
face rec,21.96
obj det,22.531
motion det,23.177
txt det,28.144
face rec,28.626
obj det,29.414
motion det,30.374
txt det,31.01
motion det,31.546
txt det,31.822
motion det,34.53
motion det,36.694
face rec,39.113
face rec,39.995
motion det,44.638
face rec,45.13
obj det,48.022
obj det,54.106
obj det,58.422
face rec,58.446
obj det,58.963
face rec,59.854
motion det,60.931
face rec,61.084
face rec,61.773
obj det,61.904
face rec,63.261
obj det,63.962
obj det,64.835
obj det,64.896
obj det,68.091
txt det,71.933
obj det,72.162
obj det,72.291
motion det,72.563
motion det,75.661
motion det,76.001
motion det,76.48
obj det,77.211
obj det,77.695
txt det,80.776
obj det,80.837
obj det,83.1
face rec,86.334
txt det,88.634
txt det,88.827
motion det,91.564
obj det,91.932
motion det,96.192
face rec,96.352
obj det,97.445
face rec,97.484
txt det,98.802
txt det,99.119
motion det,99.966
obj det,100.686
motion det,101.657
obj det,103.135
obj det,103.287
obj det,103.85
txt det,104.2
motion det,105.511
txt det,106.688
face rec,107.648
txt det,108.162
face rec,109.57
motion det,112.235
face rec,112.96
obj det,115.398
txt det,116.83
obj det,119.451
obj det,121.174
obj det,129.769
face rec,129.844
obj det,134.431
txt det,134.541
motion det,135.12
obj det,137.354
face rec,140.055
txt det,141.888
face rec,142.513
obj det,143.552
face rec,143.67
obj det,144.682
face rec,146.469
face rec,146.503
face rec,148.249
obj det,152.092
obj det,152.339
motion det,156.308
face rec,157.777
obj det,157.835
face rec,157.869
txt det,157.986
obj det,159.199
motion det,160.762
obj det,160.917
txt det,161.453
face rec,163.349
obj det,163.973
txt det,167.369
face rec,168.904
face rec,169.571
obj det,171.481
face rec,172.458
face rec,172.681
motion det,173.927
txt det,173.972
txt det,174.462
txt det,174.878
txt det,178.841
obj det,180.915
motion det,184.293
face rec,185.947
txt det,191.832
motion det,193.823
obj det,194.43
obj det,195.925
obj det,196.004
motion det,198.837
txt det,201.523
obj det,204.587
motion det,204.768
obj det,205.797
motion det,207.81
txt det,209.631
face rec,209.702
face rec,210.073
txt det,211.219
motion det,212.904
obj det,215.263
motion det,219.155
motion det,220.3
face rec,223.347
motion det,223.942
txt det,228.248
face rec,228.507
obj det,233.329
obj det,233.352
motion det,235.844
face rec,236.647
motion det,239.46
face rec,242.616
txt det,243.622
obj det,247.065
txt det,247.542
face rec,247.847
face rec,247.971
