task_type,m1_1,m2_1,m3_1,m4_1
T2,44.489,90.623,105.112,135.709
T2,50.779,84.899,111.255,145.541
T2,49.809,97.062,112.791,126.904
T1,11.939,21.023,29.766,35.515
T2,46.568,90.895,117.618,143.295
T4,56.944,93.502,126.234,162.674
T3,47.749,104.79,113.24,145.769
T4,50.201,94.286,121.695,162.299
T2,44.11,91.197,111.501,128.202
T2,46.954,94.252,116.767,134.64
T3,50.326,100.321,120.333,156.753
T2,45.34,91.456,120.381,130.581
T1,11.526,21.105,26.898,34.078
T1,12.038,23.216,28.571,33.722
T1,12.503,22.961,28.856,36.557
T4,50.048,99.736,130.527,140.034
T4,50.992,104.7,114.803,151.254
T2,48.689,88.192,111.185,146.411
T4,49.791,97.415,133.628,152.696
T2,47.052,85.238,104.566,141.662
T3,52.478,89.8,118.882,136.178
T3,47.433,91.445,129.918,154.014
T4,53.927,107.844,133.118,145.062
T1,12.558,23.673,26.031,33.061
T3,52.758,96.681,115.455,141.654
T1,12.105,21.888,30.245,32.533
T4,57.398,94.096,129.153,142.956
T3,53.791,92.317,127.855,135.935
T3,50.667,92.763,128.87,145.345
T1,12.725,22.422,28.944,31.114
T2,46.624,89.148,120.177,126.361
T3,54.619,104.042,128.706,149.045
T3,48.258,103.213,126.864,139.056
T2,49.751,96.433,105.435,136.063
T1,12.608,20.675,26.867,31.151
T1,11.86,21.596,27.144,34.878
T3,54.787,89.438,119.477,146.861
T2,50.351,87.036,109.377,129.379
T4,53.818,99.044,124.263,148.912
T4,52.978,108.748,120.603,145.841
T2,44.39,91.22,112.537,144.836
T3,53.607,103.996,111.592,156.666
T4,52.972,94.265,133.371,155.869
T4,52.765,103.99,125.744,150.744
T2,49.437,95.047,114.62,141.663
T4,51.596,93.472,118.127,153.08
T3,49.238,99.627,116.121,147.192
T2,45.648,83.542,107.739,134.367
T3,55.09,92.726,119.858,145.273
T2,51.85,96.118,119.909,139.598
T1,12.213,21.929,27.579,31.557
T4,50.029,94.113,121.068,151.761
T3,54.703,100.46,126.8,143.201
T1,12.181,23.376,25.894,30.935
T2,47.275,90.512,122.158,125.894
T3,48.195,100.652,132.535,136.425
T3,54.137,97.828,132.517,156.527
T4,49.472,95.571,133.017,160.575
T3,54.5,94.218,112.804,141.675
T4,55.907,106.025,133.4,160.484
T4,52.645,105.947,132.421,138.986
T2,44.031,88.529,110.847,131.436
T1,11.919,20.783,30.541,35.179
T1,11.767,24.206,26.603,36.52
T2,48.773,91.629,119.602,126.233
T1,12.056,20.919,27.852,35.256
T2,50.851,97.097,110.186,129.848
T4,48.637,98.096,128.511,160.461
T4,49.585,98.919,131.028,137.778
T4,52.506,96.697,128.238,148.692
T4,52.568,104.021,114.593,155.813
T2,45.056,90.84,114.35,136.432
T3,52.751,90.275,115.915,150.768
T1,10.985,22.031,28.019,36.402
T3,51.269,93.424,119.638,137.037
T2,45.572,85.618,103.922,125.329
T2,47.997,83.654,104.603,128.211
T4,54.785,93.336,128.624,158.115
T3,54.452,99.246,125.902,152.02
T3,52.389,98.154,117.276,137.977
T2,48.659,87.251,114.441,124.34
T2,51.853,92.73,114.913,125.985
T3,52.453,96.902,131.928,153.54
T3,55.933,103.944,131.824,151.892
T3,54.987,105.799,126.001,150.687
T4,50.501,96.421,130.091,156.006
T3,48.125,105.998,114.128,139.034
