task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
2,0.284,10.32,105.78,109.52,99.94,103.03,107.93,1.04,99.14,10.12,102.11,98.83,96.21,113.96,101.13,1.11,101.67
4,0.383,11.04,111.24,106.09,109.06,112.3,101.26,1.08,102.34,10.9,108.75,113.49,101.16,97.56,95.87,1.06,97.8
2,0.468,9.99,100.55,100.35,105.32,117.7,102.77,1.05,105.17,9.7,98.84,106.6,104.41,104.32,102.42,1.09,102.92
4,0.647,10.89,103.78,107.88,103.95,102.64,96.33,1.05,112.45,11.21,110.15,105.79,95.37,107.05,100.84,1.0,108.06
4,0.978,10.24,104.47,109.77,104.61,96.4,101.51,1.0,97.89,10.24,114.17,97.96,104.71,109.72,99.49,1.11,108.15
2,1.088,10.18,96.61,106.49,111.22,108.84,101.39,1.1,101.87,10.2,98.59,112.6,95.64,111.91,97.06,1.0,109.68
4,1.132,10.63,117.14,104.49,108.65,101.15,96.1,1.1,105.51,11.18,104.99,101.56,101.92,112.1,104.48,1.01,99.73
2,1.232,10.65,108.89,111.44,107.24,112.29,97.51,1.0,106.99,9.74,103.92,109.99,103.2,103.0,106.72,1.03,97.45
4,1.382,10.22,116.99,101.12,98.84,102.13,101.25,1.08,98.66,9.96,106.12,98.23,108.9,96.37,107.25,1.1,98.47
4,1.466,10.09,107.64,99.86,106.21,107.58,92.74,1.0,105.74,9.83,115.22,112.13,104.04,105.2,94.68,1.12,98.25
2,1.65,10.31,103.84,104.64,102.97,109.98,104.54,0.99,108.04,10.01,99.68,100.95,103.12,115.98,99.38,1.0,93.53
2,2.193,10.35,100.06,114.8,108.88,117.0,100.75,0.96,94.05,10.52,96.61,103.59,98.94,114.55,102.99,1.05,97.45
3,2.454,11.22,109.62,100.49,105.42,108.59,107.12,0.94,107.61,11.02,106.4,99.69,106.02,106.98,113.12,1.08,108.03
1,2.612,11.07,93.38,102.45,102.43,113.64,107.21,1.11,107.49,10.47,95.15,107.99,101.38,106.53,103.82,1.14,101.27
1,3.184,11.68,100.08,103.31,94.62,112.87,97.48,1.04,108.01,11.05,96.22,95.26,94.27,110.79,114.54,1.16,107.49
2,3.223,10.68,110.28,107.88,103.86,104.98,103.16,1.04,93.81,9.74,100.8,114.57,107.5,108.96,97.31,0.93,101.54
3,3.449,10.23,109.5,111.22,96.72,105.07,104.08,0.95,108.53,11.22,100.66,103.89,100.61,112.5,101.8,0.97,98.71
1,3.768,11.9,98.77,104.43,95.94,115.66,109.09,1.15,105.86,10.39,94.11,96.94,95.33,108.22,103.42,1.03,97.02
1,4.159,10.3,92.36,94.41,109.66,109.04,101.76,0.98,106.88,10.93,97.36,100.8,96.13,98.98,102.46,1.01,105.4
3,4.16,9.78,106.33,113.02,96.48,107.18,98.03,1.0,112.67,10.24,103.78,104.42,110.26,107.46,98.54,1.02,103.32
3,4.214,10.15,110.72,111.83,95.92,104.44,104.4,1.05,113.88,10.65,114.97,97.57,97.0,102.42,105.59,1.07,112.82
3,4.255,10.33,97.8,103.58,106.2,98.66,97.25,1.06,96.95,10.26,98.24,113.44,106.06,109.72,105.75,0.99,114.32
4,4.323,9.8,111.59,99.07,110.94,106.86,104.88,1.02,108.56,10.32,110.43,114.57,104.01,99.25,93.18,1.05,112.76
4,4.872,10.48,109.18,98.48,106.88,99.88,108.38,1.03,112.91,9.99,116.96,114.04,103.74,104.34,109.35,1.0,103.5
3,5.577,10.45,105.36,108.03,100.09,104.0,112.23,1.07,98.81,10.18,105.36,108.42,103.37,111.4,106.78,0.92,109.01
2,5.872,9.68,109.09,104.7,111.74,100.99,108.76,0.95,107.87,9.8,111.0,103.8,96.56,113.93,101.39,1.05,95.26
4,6.013,11.26,116.76,102.34,102.69,109.14,103.62,1.09,104.0,11.0,115.15,96.82,109.7,112.64,96.37,1.08,95.53
2,6.504,10.11,101.7,105.29,99.99,107.91,111.13,1.01,99.31,10.13,102.11,107.89,112.42,112.25,110.82,1.1,107.18
