task_type,m1_1,m2_1,m3_1,m4_1
T2,0.001,0.001,0.014,0.051
T2,0.001,0.001,0.014,0.055
T2,0.001,0.001,0.015,0.048
T1,0.0,0.0,0.004,0.012
T2,0.001,0.001,0.015,0.054
T4,0.017,0.02,0.289,1.084
T3,0.002,0.004,0.045,0.167
T4,0.015,0.021,0.279,1.082
T2,0.001,0.001,0.014,0.048
T2,0.001,0.001,0.015,0.051
T3,0.003,0.004,0.047,0.18
T2,0.001,0.001,0.016,0.049
T1,0.0,0.0,0.003,0.012
T1,0.0,0.0,0.003,0.012
T1,0.0,0.0,0.003,0.013
T4,0.015,0.022,0.299,0.934
T4,0.015,0.023,0.263,1.008
T2,0.001,0.001,0.014,0.055
T4,0.015,0.021,0.306,1.018
T2,0.001,0.001,0.014,0.053
T3,0.003,0.003,0.047,0.156
T3,0.002,0.003,0.051,0.176
T4,0.016,0.024,0.305,0.967
T1,0.0,0.0,0.003,0.012
T3,0.003,0.004,0.045,0.162
T1,0.0,0.0,0.004,0.011
T4,0.017,0.021,0.296,0.953
T3,0.003,0.003,0.05,0.156
T3,0.003,0.004,0.051,0.166
T1,0.0,0.0,0.003,0.011
T2,0.001,0.001,0.016,0.047
T3,0.003,0.004,0.051,0.171
T3,0.003,0.004,0.05,0.159
T2,0.001,0.001,0.014,0.051
T1,0.0,0.0,0.003,0.011
T1,0.0,0.0,0.003,0.012
T3,0.003,0.003,0.047,0.168
T2,0.001,0.001,0.014,0.049
T4,0.016,0.022,0.285,0.993
T4,0.016,0.024,0.276,0.972
T2,0.001,0.001,0.015,0.054
T3,0.003,0.004,0.044,0.179
T4,0.016,0.021,0.306,1.039
T4,0.016,0.023,0.288,1.005
T2,0.001,0.001,0.015,0.053
T4,0.015,0.02,0.271,1.021
T3,0.003,0.004,0.046,0.169
T2,0.001,0.001,0.014,0.05
T3,0.003,0.004,0.047,0.166
T2,0.001,0.001,0.016,0.052
T1,0.0,0.0,0.003,0.011
T4,0.015,0.021,0.277,1.012
T3,0.003,0.004,0.05,0.164
T1,0.0,0.0,0.003,0.011
T2,0.001,0.001,0.016,0.047
T3,0.003,0.004,0.052,0.156
T3,0.003,0.004,0.052,0.179
T4,0.015,0.021,0.305,1.07
T3,0.003,0.004,0.044,0.162
T4,0.017,0.023,0.306,1.07
T4,0.016,0.023,0.303,0.927
T2,0.001,0.001,0.014,0.049
T1,0.0,0.0,0.004,0.012
T1,0.0,0.0,0.003,0.013
T2,0.001,0.001,0.015,0.047
T1,0.0,0.0,0.003,0.012
T2,0.001,0.001,0.014,0.049
T4,0.015,0.021,0.294,1.07
T4,0.015,0.022,0.3,0.919
T4,0.016,0.021,0.294,0.991
T4,0.016,0.023,0.263,1.039
T2,0.001,0.001,0.015,0.051
T3,0.003,0.003,0.046,0.173
T1,0.0,0.0,0.003,0.013
T3,0.003,0.004,0.047,0.157
T2,0.001,0.001,0.013,0.047
T2,0.001,0.001,0.014,0.048
T4,0.016,0.02,0.295,1.054
T3,0.003,0.004,0.05,0.174
T3,0.003,0.004,0.046,0.158
T2,0.001,0.001,0.015,0.047
T2,0.001,0.001,0.015,0.047
T3,0.003,0.004,0.052,0.176
T3,0.003,0.004,0.052,0.174
T3,0.003,0.004,0.05,0.173
T4,0.015,0.021,0.298,1.04
T3,0.003,0.004,0.045,0.159
T3,0.003,0.004,0.044,0.174
T4,0.015,0.02,0.309,0.973
T2,0.001,0.001,0.014,0.052
T3,0.003,0.004,0.05,0.176
T3,0.003,0.004,0.05,0.18
T1,0.0,0.0,0.003,0.011
T4,0.017,0.022,0.295,1.071
T1,0.0,0.0,0.003,0.012
T4,0.017,0.022,0.27,1.028
T4,0.016,0.02,0.266,1.084
T3,0.003,0.003,0.046,0.162
T4,0.017,0.022,0.27,1.08
T3,0.003,0.004,0.051,0.171
T2,0.001,0.001,0.014,0.05
T3,0.003,0.004,0.05,0.168
T3,0.002,0.004,0.05,0.164
T2,0.001,0.001,0.015,0.053
T2,0.001,0.001,0.014,0.05
T3,0.003,0.004,0.052,0.179
T1,0.0,0.0,0.003,0.013
T2,0.001,0.001,0.014,0.049
T2,0.001,0.001,0.015,0.046
T2,0.001,0.001,0.014,0.054
T3,0.003,0.004,0.044,0.177
T4,0.016,0.02,0.281,0.955
T1,0.0,0.0,0.004,0.013
T1,0.0,0.0,0.004,0.011
T2,0.001,0.001,0.014,0.048
T3,0.003,0.004,0.051,0.177
T2,0.001,0.001,0.015,0.052
T4,0.015,0.022,0.263,1.024
T2,0.001,0.001,0.013,0.051
T1,0.0,0.0,0.003,0.012
T3,0.003,0.004,0.045,0.181
T1,0.0,0.0,0.004,0.012
T1,0.0,0.0,0.003,0.012
T2,0.001,0.001,0.015,0.047
T1,0.0,0.0,0.003,0.011
T1,0.0,0.0,0.003,0.011
T1,0.0,0.0,0.003,0.012
T4,0.017,0.02,0.267,1.013
T4,0.015,0.022,0.285,0.917
T1,0.0,0.0,0.004,0.011
T4,0.017,0.023,0.271,0.952
T1,0.0,0.0,0.003,0.012
T1,0.0,0.0,0.004,0.012
T1,0.0,0.0,0.003,0.013
T4,0.016,0.023,0.272,1.012
T2,0.001,0.001,0.015,0.053
T1,0.0,0.0,0.004,0.013
T1,0.0,0.0,0.003,0.012
T3,0.003,0.003,0.051,0.176
T1,0.0,0.0,0.004,0.012
T2,0.001,0.001,0.015,0.053
T1,0.0,0.0,0.003,0.012
T1,0.0,0.0,0.003,0.013
T4,0.015,0.022,0.309,1.08
T4,0.017,0.021,0.298,0.989
T3,0.003,0.004,0.051,0.154
T2,0.001,0.001,0.013,0.053
T1,0.0,0.0,0.004,0.012
T1,0.0,0.0,0.003,0.012
T2,0.001,0.001,0.014,0.048
T4,0.015,0.02,0.272,1.011
T3,0.003,0.004,0.047,0.165
T3,0.003,0.004,0.052,0.165
T2,0.001,0.001,0.015,0.054
T1,0.0,0.0,0.003,0.012
T2,0.001,0.001,0.014,0.052
T3,0.002,0.004,0.045,0.156
T2,0.001,0.001,0.015,0.051
T2,0.001,0.001,0.014,0.048
T3,0.003,0.003,0.048,0.157
T2,0.001,0.001,0.014,0.049
T4,0.016,0.02,0.271,0.925
T4,0.016,0.021,0.267,1.063
T4,0.015,0.021,0.271,1.063
T4,0.016,0.021,0.288,0.916
T3,0.002,0.004,0.051,0.177
T3,0.003,0.004,0.044,0.17
T3,0.003,0.003,0.05,0.171
T3,0.003,0.004,0.044,0.169
T2,0.001,0.001,0.016,0.053
T4,0.015,0.022,0.295,0.997
T3,0.003,0.004,0.05,0.163
T3,0.003,0.003,0.048,0.159
T2,0.001,0.001,0.013,0.051
T1,0.0,0.0,0.004,0.012
T4,0.015,0.022,0.287,0.999
T3,0.003,0.004,0.051,0.166
T2,0.001,0.001,0.014,0.047
T1,0.0,0.0,0.004,0.011
T3,0.003,0.004,0.052,0.175
T3,0.003,0.004,0.045,0.168
T1,0.0,0.0,0.004,0.011
T4,0.016,0.024,0.28,0.914
T2,0.001,0.001,0.014,0.053
T4,0.016,0.02,0.295,0.981
T4,0.017,0.022,0.267,1.045
T3,0.003,0.004,0.049,0.158
T2,0.001,0.001,0.016,0.052
T1,0.0,0.0,0.003,0.011
T2,0.001,0.001,0.014,0.051
T4,0.016,0.024,0.287,0.92
T3,0.003,0.004,0.046,0.159
T3,0.003,0.004,0.047,0.171
T4,0.016,0.024,0.277,0.93
T3,0.003,0.004,0.051,0.178
T4,0.016,0.02,0.284,1.069
T2,0.001,0.001,0.015,0.049
T4,0.016,0.021,0.302,1.083
T3,0.003,0.004,0.046,0.179
T2,0.001,0.001,0.014,0.052
T3,0.003,0.004,0.051,0.181
T4,0.017,0.023,0.278,1.032
T3,0.003,0.004,0.046,0.165
T4,0.016,0.022,0.308,0.983
T3,0.003,0.004,0.051,0.155
T3,0.003,0.004,0.045,0.175
T3,0.003,0.003,0.044,0.181
T4,0.015,0.02,0.287,0.997
T4,0.016,0.022,0.304,1.068
T2,0.001,0.001,0.015,0.054
T1,0.0,0.0,0.004,0.012
T3,0.003,0.003,0.046,0.164
T2,0.001,0.001,0.016,0.049
T2,0.001,0.001,0.014,0.05
T4,0.016,0.023,0.269,1.079
T4,0.015,0.023,0.298,1.015
T1,0.0,0.0,0.003,0.013
T1,0.0,0.0,0.003,0.011
T2,0.001,0.001,0.015,0.048
T3,0.003,0.003,0.049,0.164
T3,0.003,0.004,0.049,0.16
T1,0.0,0.0,0.004,0.013
T3,0.003,0.004,0.048,0.167
T1,0.0,0.0,0.004,0.013
T1,0.0,0.0,0.003,0.013
T2,0.001,0.001,0.014,0.053
T2,0.001,0.001,0.016,0.048
