task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
1,0.224,97.72,9.94,105.9,93.83,102.9,9.98,100.75,1.12,102.54,10.12,109.11,97.48,104.44,10.92,105.76,1.03
1,0.623,104.98,9.45,96.94,111.35,110.56,10.54,94.3,1.15,111.13,9.44,97.7,96.5,112.14,10.68,97.78,1.14
4,0.742,113.44,10.44,104.99,109.22,112.6,9.43,112.31,1.06,111.32,10.85,96.6,112.51,108.51,10.21,111.27,1.09
4,0.864,105.82,10.65,99.53,97.34,98.53,10.03,107.8,1.12,102.21,9.98,98.18,94.86,98.26,10.59,107.89,0.99
2,0.947,92.96,11.38,111.96,102.43,102.26,10.8,102.99,0.93,97.29,11.47,106.51,100.3,109.52,11.38,108.24,1.08
1,0.975,111.26,10.73,98.26,94.83,107.15,10.22,95.44,1.1,108.72,10.93,102.46,103.47,112.13,10.3,108.57,1.07
1,1.073,99.13,10.47,100.94,106.21,108.59,10.46,105.01,1.14,106.71,10.05,102.01,102.47,112.3,9.78,107.94,1.14
2,1.132,105.24,10.73,107.44,102.15,108.35,10.75,107.52,0.99,108.78,11.77,105.35,101.71,106.44,11.07,105.61,1.08
1,1.478,106.98,10.88,110.59,99.78,108.3,11.11,108.27,1.1,104.44,10.98,98.06,99.28,107.79,10.55,109.01,1.14
2,1.705,97.93,11.74,109.84,115.82,103.19,10.52,101.2,0.99,108.67,10.32,104.96,105.06,105.62,9.69,106.55,1.0
4,1.709,104.74,10.37,107.68,100.76,98.89,9.23,113.0,1.11,117.05,10.62,111.38,106.33,102.11,9.2,101.98,1.12
4,2.229,101.05,9.65,109.78,104.07,99.77,9.9,105.74,0.97,102.39,10.1,104.43,96.21,111.56,9.67,114.13,1.01
4,2.43,112.37,9.67,94.76,101.48,101.13,9.72,96.78,1.01,109.65,9.76,95.28,112.39,103.64,9.28,110.99,1.06
3,2.494,104.79,9.59,103.49,97.72,100.97,11.09,108.58,0.98,99.15,11.11,93.94,106.0,106.4,11.28,94.96,1.08
4,2.601,105.83,11.02,110.99,105.78,110.64,9.86,106.4,1.09,113.37,11.19,94.56,95.04,109.28,9.22,111.67,1.04
1,2.77,110.03,9.88,98.76,95.08,101.11,11.12,102.48,1.14,109.55,9.57,109.78,107.76,102.37,10.42,99.34,1.03
4,2.985,101.01,10.17,102.37,110.34,97.64,10.46,113.39,1.0,114.72,9.84,104.47,100.53,100.05,10.87,104.22,1.04
2,3.172,106.37,10.78,98.48,110.33,98.14,10.75,94.02,1.08,107.7,10.85,101.49,105.04,106.0,10.68,104.84,1.04
3,3.233,106.02,10.4,104.53,107.68,115.94,11.06,92.36,0.94,101.94,10.56,102.41,102.68,115.64,10.13,100.4,1.08
3,3.277,101.94,10.96,97.66,98.74,110.36,11.65,96.32,0.96,94.45,9.73,102.28,100.74,111.62,10.99,107.44,1.02
4,3.389,101.13,10.5,108.49,99.3,104.78,10.25,104.07,1.04,103.04,10.26,100.69,97.4,113.39,9.3,102.73,1.11
2,3.522,100.76,10.45,95.98,107.09,103.5,9.86,97.33,1.05,110.04,10.15,107.84,109.74,100.29,10.74,108.28,0.95
2,3.683,99.21,11.19,103.92,101.14,111.06,11.19,108.05,0.98,98.52,11.07,104.83,117.42,102.01,11.06,93.89,1.1
2,3.706,96.31,11.06,112.48,113.46,114.14,10.11,102.32,1.0,93.19,11.17,104.17,110.61,101.6,10.55,94.98,0.98
3,3.824,93.71,10.52,109.34,107.26,107.99,11.4,94.15,0.92,101.49,9.82,100.75,109.29,103.62,11.03,108.33,0.97
1,3.827,94.98,10.54,103.87,104.21,100.64,9.72,104.41,1.06,105.98,10.32,96.79,100.22,96.85,10.68,96.34,1.17
2,4.251,96.65,11.87,104.42,108.54,114.47,11.22,97.28,0.94,94.75,10.53,105.49,115.4,100.32,9.77,109.06,0.94
2,4.524,106.36,11.68,108.22,100.83,109.28,10.99,94.9,1.05,107.21,11.85,113.3,110.61,105.61,10.11,98.97,1.03
1,4.529,100.8,10.73,112.26,103.87,105.1,10.36,109.62,1.07,96.35,9.8,96.61,107.78,99.96,9.74,99.5,1.06
4,4.639,110.73,9.5,106.96,112.0,114.56,10.78,111.87,1.11,102.26,9.55,96.94,105.3,114.01,10.34,109.72,1.1
2,4.936,97.8,10.53,109.04,100.55,112.86,11.4,95.25,1.05,95.95,11.19,104.07,99.27,112.16,11.32,107.85,1.1
3,5.076,99.6,9.7,95.86,108.22,107.78,11.52,97.76,1.08,108.82,10.47,92.5,100.96,110.91,11.18,102.44,1.02
3,5.244,94.74,9.53,99.45,106.31,101.12,10.11,98.21,1.04,92.65,10.57,96.73,97.96,101.95,11.56,100.34,0.98
3,5.296,98.74,10.89,99.88,95.54,115.41,11.27,100.57,0.96,98.14,9.44,101.68,95.23,104.9,10.13,94.89,1.07
4,5.85,103.92,9.85,99.12,100.39,100.07,9.2,97.45,1.12,100.46,10.98,96.57,97.75,105.98,10.54,102.02,1.03
4,6.315,107.72,10.21,98.61,95.25,108.73,9.35,114.06,1.12,102.68,10.64,110.58,104.77,113.62,9.53,100.7,1.13
3,6.487,92.75,10.76,104.56,102.41,114.66,10.58,103.4,1.0,101.21,9.7,105.34,108.72,108.26,10.54,96.36,0.93
1,7.473,98.01,10.4,96.84,110.65,110.38,10.03,101.85,1.06,103.06,9.58,97.47,108.42,107.36,10.57,94.26,1.15
4,8.141,117.5,9.77,108.46,100.98,99.82,10.16,112.49,1.06,110.23,9.54,93.93,94.86,102.24,9.61,100.54,1.05
1,8.46,108.62,9.56,101.08,97.95,107.82,10.12,93.41,1.08,106.01,9.61,97.79,103.5,97.05,9.91,95.78,1.16
3,8.58,109.13,9.75,93.97,103.84,102.2,10.08,99.03,1.05,93.08,10.88,102.21,96.12,109.28,10.35,101.38,0.98
3,8.769,99.34,9.9,103.18,96.43,107.9,10.88,93.06,0.98,102.79,11.06,104.6,93.91,110.23,10.29,106.58,0.99
3,8.793,101.52,11.14,104.73,97.64,101.62,9.95,102.3,0.92,106.99,10.95,99.1,98.67,100.17,10.95,93.96,0.96
2,9.615,96.71,10.95,97.46,108.89,105.45,10.46,102.8,1.06,108.14,11.79,99.99,100.12,114.84,11.36,107.94,1.02
3,9.695,97.65,9.7,107.11,110.21,109.7,11.02,103.38,0.98,100.24,11.01,95.4,102.0,110.39,11.3,103.25,1.0
2,9.886,95.73,10.39,106.29,107.86,112.49,9.83,93.75,1.08,94.83,11.43,105.13,113.65,110.45,11.05,101.42,1.04
2,9.971,93.98,11.31,101.32,102.94,110.51,11.14,103.64,1.06,97.74,11.49,96.74,110.02,111.29,10.64,96.66,1.09
2,11.078,109.62,10.1,98.18,104.66,100.83,11.03,103.86,1.1,105.44,11.78,109.76,99.27,100.23,11.15,103.68,1.06
4,11.156,105.55,10.35,102.17,112.22,111.41,10.49,104.08,0.96,107.7,9.76,103.11,105.13,105.71,9.65,103.2,1.02
3,11.283,103.32,11.07,101.5,98.81,101.42,10.96,106.49,0.93,107.37,10.05,104.01,94.38,101.37,10.8,103.71,0.95
4,11.431,117.53,10.59,105.89,107.24,110.46,9.2,103.84,0.97,112.36,10.6,105.27,97.16,113.92,10.8,99.36,1.1
3,11.522,108.09,10.17,94.33,106.3,102.16,10.1,93.09,0.96,95.09,10.74,103.08,105.83,118.69,11.12,92.09,1.0
2,12.049,102.22,10.78,101.72,110.63,105.03,10.88,95.29,0.94,98.59,10.92,108.15,100.51,114.72,10.72,105.31,0.93
