task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
1,0.024,1.294,1.123,1.335,1.144
2,0.033,6.16,1.872,4.811,3.151
2,0.062,3.337,1.375,4.598,2.601
1,0.115,1.249,0.957,1.265,0.903
1,0.128,1.799,1.401,1.291,1.388
2,0.166,7.326,2.048,3.077,0.896
1,0.175,0.978,0.922,1.256,0.901
1,0.183,2.312,1.21,1.506,0.894
2,0.2,3.861,3.113,2.941,1.717
1,0.219,1.428,1.027,1.497,0.93
2,0.237,4.389,1.117,2.064,1.391
1,0.256,1.213,0.624,1.084,0.618
1,0.26,1.016,0.886,1.096,0.874
2,0.261,11.132,0.855,4.033,1.066
1,0.338,1.019,0.75,1.417,1.401
1,0.377,1.267,0.913,2.189,0.764
2,0.388,3.907,0.987,4.852,1.261
2,0.388,11.077,3.465,2.902,1.212
2,0.399,13.016,1.363,3.295,1.471
1,0.4,1.328,0.919,1.5,0.964
1,0.402,1.259,0.994,1.826,1.24
2,0.429,6.12,0.987,8.728,0.837
2,0.46,7.714,1.236,13.059,3.424
2,0.486,2.402,3.424,3.969,1.924
2,0.496,4.811,3.424,2.838,1.236
1,0.5,1.932,1.09,1.325,0.732
1,0.521,1.205,0.967,1.448,1.244
1,0.522,2.121,1.125,1.759,0.661
2,0.541,5.814,2.199,5.7,0.919
1,0.585,1.205,1.12,1.223,0.841
2,0.612,3.169,0.735,2.229,1.26
2,0.633,6.064,0.727,3.038,3.465
1,0.636,1.083,1.516,1.294,1.264
1,0.64,1.476,0.925,1.091,0.725
1,0.667,2.059,0.587,1.318,0.637
1,0.667,1.543,0.951,1.265,1.261
1,0.681,1.524,0.614,1.784,0.936
2,0.722,4.718,1.641,12.079,1.247
2,0.734,5.018,0.832,2.637,0.974
2,0.777,3.381,2.912,7.714,0.837
2,0.814,5.685,0.687,12.341,1.587
2,0.834,3.791,1.336,1.954,2.574
2,0.846,10.367,1.324,1.812,3.544
2,0.846,11.529,1.86,12.818,1.08
1,0.857,1.203,1.238,1.417,1.132
1,0.863,1.239,0.903,2.038,1.232
1,0.916,1.337,1.078,1.501,0.868
1,0.932,1.524,0.742,1.009,0.63
2,0.937,9.069,1.557,3.622,0.972
1,0.937,2.103,0.873,1.239,0.849
1,1.006,1.431,0.977,0.964,0.994
2,1.016,11.132,0.891,2.268,1.243
2,1.024,2.578,1.976,5.97,0.731
2,1.041,2.808,0.974,2.097,0.601
1,1.076,1.014,1.245,0.987,0.903
2,1.078,2.253,1.364,2.687,1.232
1,1.114,1.253,0.722,1.926,1.444
1,1.166,1.032,0.932,0.964,0.935
1,1.167,1.313,1.166,1.232,1.196
1,1.198,1.245,0.905,1.468,1.258
2,1.219,12.035,3.23,4.537,0.731
2,1.267,4.041,1.435,5.734,1.981
2,1.27,1.526,0.929,6.447,0.627
1,1.27,2.059,0.878,1.514,0.92
2,1.302,1.862,1.74,3.21,0.691
2,1.31,4.919,0.787,6.406,1.273
1,1.322,1.025,0.856,1.009,1.245
1,1.331,1.328,1.214,1.012,0.626
1,1.396,1.019,1.386,1.284,0.914
1,1.422,2.008,0.621,1.798,0.725
1,1.44,2.191,1.115,1.002,1.111
2,1.46,2.573,0.912,8.099,0.967
2,1.477,2.184,1.366,2.457,3.279
2,1.483,6.601,2.78,4.721,0.946
2,1.493,4.373,1.22,4.373,2.899
2,1.501,3.165,3.127,6.369,2.939
1,1.526,1.384,0.87,0.976,0.63
1,1.546,1.016,0.889,1.269,0.878
1,1.547,2.424,1.26,1.934,0.847
1,1.562,2.106,1.134,1.111,1.209
1,1.6,1.257,1.444,1.006,1.08
2,1.611,8.012,2.561,5.512,1.721
1,1.619,1.944,0.641,2.372,1.29
2,1.704,4.445,2.278,12.348,0.567
2,1.713,4.76,1.663,8.906,3.275
2,1.717,1.44,0.743,3.279,1.504
1,1.801,1.467,1.129,1.288,1.182
1,1.849,0.937,0.849,0.95,0.958
1,1.85,2.016,0.868,1.822,1.144
2,1.866,5.69,1.5,5.089,1.075
2,1.88,4.209,1.222,3.12,0.999
2,1.902,2.977,1.46,6.772,2.822
2,1.902,5.302,0.701,4.776,1.535
1,1.903,1.407,0.905,2.039,0.671
2,1.919,2.184,1.25,11.548,0.812
1,1.934,1.293,0.994,1.054,1.235
2,1.953,2.421,1.345,11.202,1.124
2,1.955,10.397,0.687,1.748,1.597
2,1.958,1.898,0.905,3.133,1.535
1,1.989,1.468,0.876,1.834,0.999
1,2.005,1.054,0.867,1.224,0.746
1,2.036,1.298,1.164,1.292,1.21
1,2.039,1.115,0.958,1.434,0.587
2,2.049,11.42,2.221,5.376,1.553
2,2.055,2.313,0.935,2.544,1.179
1,2.069,1.391,0.887,1.341,0.873
1,2.077,1.073,0.873,2.048,1.223
1,2.082,1.791,0.955,1.291,0.878
1,2.095,2.144,1.237,2.121,0.72
2,2.099,3.379,0.677,1.926,1.601
1,2.19,1.327,0.725,1.537,0.942
2,2.216,3.155,1.527,2.248,1.701
2,2.219,4.554,3.279,11.86,0.981
2,2.235,3.105,0.832,4.041,1.209
2,2.303,11.333,1.302,7.46,1.015
2,2.306,4.825,0.715,2.127,1.555
2,2.323,11.529,1.551,8.13,0.805
1,2.342,1.807,0.882,1.304,1.348
2,2.386,3.538,0.541,7.34,1.1
1,2.394,1.302,0.883,1.254,1.005
1,2.432,1.292,0.611,1.245,0.928
1,2.449,1.813,0.876,1.087,0.942
1,2.458,1.309,1.44,2.039,1.332
2,2.459,8.387,1.001,5.064,2.755
1,2.467,1.351,1.25,1.767,0.945
2,2.495,4.858,0.531,4.841,1.101
2,2.519,12.444,1.555,8.036,3.425
2,2.527,11.077,2.705,2.992,1.564
2,2.54,3.028,1.667,6.943,1.254
1,2.562,1.822,0.635,0.954,1.123
2,2.562,3.213,1.69,2.457,1.556
1,2.571,1.13,0.915,1.254,1.332
1,2.588,1.236,0.87,1.104,1.237
2,2.631,2.634,1.667,6.082,0.805
1,2.658,1.062,1.073,1.08,0.963
2,2.679,9.692,2.038,1.95,0.636
2,2.684,3.357,3.051,4.852,0.743
1,2.685,1.433,0.869,1.467,0.86
1,2.693,2.097,1.187,1.803,0.612
2,2.777,5.219,1.201,4.132,0.905
1,2.789,1.088,0.617,2.158,1.25
2,2.791,3.162,2.445,3.379,1.296
2,2.829,7.304,1.744,2.31,0.706
1,2.837,1.245,1.191,1.246,0.909
2,2.839,5.338,2.896,7.125,1.32
2,2.855,3.47,1.334,5.68,1.32
1,2.918,1.822,1.074,1.475,1.109
2,2.922,3.634,1.512,5.18,1.552
2,3.009,3.188,1.213,7.853,2.064
1,3.014,1.234,1.255,1.248,1.109
1,3.026,1.008,0.674,1.189,1.426
1,3.032,0.993,1.154,1.793,0.855
2,3.046,2.369,1.937,2.172,0.855
