task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
4,0.006,0.96,106.28,105.78,98.05,98.35,114.64,118.21,108.3,1.08,98.09,93.27,109.49,102.27,110.05,115.58,99.69
4,0.305,0.97,108.42,104.35,107.73,103.71,109.24,116.14,106.06,0.99,101.95,96.39,102.19,104.94,108.69,101.01,103.96
4,0.46,0.97,106.42,94.93,114.41,92.41,104.62,117.13,105.22,0.93,96.4,102.36,97.59,95.33,105.69,114.66,96.2
4,0.656,1.04,110.29,97.94,97.16,104.36,112.92,102.99,106.11,0.98,110.0,96.09,112.86,107.81,114.6,105.04,109.33
2,0.661,1.1,113.25,102.53,107.84,107.57,106.08,108.99,113.23,1.01,104.89,111.63,98.37,98.58,106.44,104.3,104.07
3,0.678,1.03,102.36,103.65,99.69,104.81,112.69,101.86,114.82,0.94,105.5,103.61,104.92,102.83,108.62,115.84,112.89
2,0.99,1.15,119.05,111.92,107.14,104.37,92.49,99.28,108.08,1.02,101.1,104.2,93.54,106.12,95.92,102.74,112.71
4,1.168,1.06,103.32,107.44,101.34,103.86,111.95,117.0,96.2,1.03,101.76,99.04,103.98,96.65,112.43,114.0,100.86
3,1.268,1.02,99.48,104.39,105.04,104.34,108.48,110.77,108.9,1.01,104.18,96.32,110.32,99.34,99.24,106.8,109.1
3,1.787,0.97,110.78,105.43,110.53,95.59,100.94,114.3,110.73,1.0,104.91,109.08,101.48,99.01,100.24,109.06,107.79
4,1.821,1.0,108.7,102.29,100.49,107.85,103.14,111.47,95.79,1.05,97.66,102.48,109.14,94.56,115.2,116.61,100.18
4,1.823,0.98,108.24,98.2,102.37,107.26,99.89,111.31,92.93,0.97,94.88,103.37,109.34,100.37,100.87,112.56,109.18
2,2.06,1.04,118.69,110.56,96.03,112.23,103.12,97.26,103.86,1.15,115.33,105.8,107.54,103.92,92.44,108.99,105.62
2,2.185,1.06,112.96,110.44,104.38,112.99,107.05,100.94,112.37,1.11,100.73,112.18,98.45,113.27,103.42,111.5,118.17
