task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T7,0.479,109.36,10.82,111.18,29.58,5.81,0.93,11.02,11.14,112.23,9.93,95.64,28.43,5.89,1.02,9.9,9.79
T2,0.755,100.57,10.14,98.71,29.05,5.06,0.99,10.34,10.35,113.25,11.05,101.67,26.54,5.3,0.95,9.41,10.72
T5,1.114,104.03,11.36,111.03,25.53,5.39,1.1,10.52,10.3,109.78,10.83,103.58,26.11,5.32,1.16,9.75,11.4
T2,1.427,98.67,10.28,99.42,24.74,4.95,1.03,9.77,9.19,98.54,11.53,105.04,27.79,4.92,0.98,9.38,10.6
T2,2.083,102.55,11.24,105.04,28.01,5.6,1.09,9.99,9.77,110.84,11.17,109.03,26.0,5.49,1.08,10.01,10.1
T2,2.132,103.9,9.78,101.8,29.02,5.54,1.1,10.27,9.8,106.83,10.86,102.09,26.48,5.13,1.06,10.65,9.93
T1,8.516,104.97,11.39,102.16,27.92,5.28,1.15,10.5,10.28,109.52,11.48,106.5,24.2,4.94,1.05,10.81,10.36
T7,8.678,117.59,9.86,96.05,28.65,5.87,0.95,11.11,10.11,116.52,9.57,104.12,26.04,5.5,0.95,10.85,10.86
T2,9.334,113.56,10.48,93.19,25.74,5.56,1.01,9.64,10.43,96.53,9.88,99.23,27.7,4.97,1.01,10.01,10.57
T6,10.694,96.36,10.09,108.39,28.41,4.8,1.12,10.63,10.22,98.97,9.99,95.73,28.17,5.22,1.02,10.73,10.92
T9,12.165,96.52,9.72,98.78,28.37,4.89,1.06,9.9,10.09,109.74,10.57,103.25,27.26,5.04,0.95,10.7,11.24
T5,13.496,108.21,11.04,104.48,29.6,5.54,1.08,11.25,9.93,102.83,10.36,109.2,29.48,5.27,1.01,10.28,11.14
T6,15.556,105.22,10.81,104.03,26.6,5.5,1.01,9.73,11.15,95.5,10.84,99.86,27.4,4.72,1.11,9.82,10.2
T6,16.368,108.36,10.23,95.72,26.46,5.27,0.99,9.5,10.04,109.38,10.52,96.83,25.97,5.21,1.12,10.82,9.8
T7,16.89,107.74,10.81,111.18,25.89,5.08,0.94,9.97,9.86,108.84,9.58,107.86,28.99,5.68,1.0,10.16,11.15
T3,16.914,93.04,9.82,102.0,26.91,5.12,1.14,11.1,10.67,106.77,9.5,105.58,25.55,5.04,0.98,10.15,10.8
T7,21.546,115.17,9.72,110.24,27.87,5.78,0.99,11.15,9.83,114.1,10.43,105.26,27.72,5.38,0.98,10.21,10.78
T5,21.772,105.4,11.28,108.63,25.19,5.79,1.0,10.85,9.6,109.68,10.38,105.58,25.18,5.4,1.04,10.04,10.07
T1,22.699,103.58,9.9,107.24,24.2,5.35,1.07,10.17,10.08,107.12,11.14,111.46,24.02,5.26,1.06,10.36,10.37
T7,23.372,103.69,10.38,100.67,28.12,5.85,1.07,11.15,10.69,117.29,10.42,111.73,28.24,5.76,1.0,9.78,9.84
T6,25.184,98.47,10.91,95.31,26.93,5.26,1.11,9.56,10.61,102.0,9.31,96.74,25.13,5.31,0.99,11.03,9.84
T9,28.305,100.77,10.0,98.32,26.23,5.58,0.99,9.87,10.85,107.24,9.64,106.17,27.46,5.46,0.99,10.9,10.74
T3,28.616,95.66,10.06,111.48,24.58,5.53,1.15,10.15,10.85,108.78,10.47,111.6,27.06,5.21,1.01,11.71,10.56
T9,30.309,98.68,10.52,106.97,25.42,5.17,1.0,10.87,9.93,96.16,10.63,107.4,28.91,5.32,1.0,10.02,9.68
T1,31.075,105.34,10.66,117.12,25.85,5.24,1.1,10.99,10.47,97.59,10.18,111.1,28.03,4.95,1.06,10.85,11.09
T6,31.834,106.43,9.46,106.48,26.16,5.02,1.08,11.01,11.18,108.36,10.62,97.23,25.1,5.31,1.0,9.91,10.42
T2,34.238,96.66,11.26,108.28,25.7,5.62,0.96,9.98,9.81,99.5,11.27,95.27,25.52,5.51,0.94,9.74,10.32
T5,35.883,105.1,10.59,117.4,26.08,5.22,1.15,9.92,10.76,101.52,10.18,112.96,26.68,5.6,1.09,10.86,10.16
T4,36.264,104.03,10.46,95.35,28.39,5.16,1.0,11.82,10.47,104.31,11.13,96.98,27.27,5.35,1.03,11.46,9.86
T4,37.433,107.35,10.76,96.98,26.59,5.13,1.05,10.4,10.25,108.35,10.33,106.47,28.4,4.64,0.98,10.81,9.65
T1,38.448,103.15,10.34,109.76,24.71,5.79,0.99,9.75,10.01,107.39,11.3,102.56,28.27,5.57,1.01,9.68,11.26
T3,39.654,94.29,9.87,99.81,24.58,5.59,1.14,10.2,10.42,107.71,10.64,106.19,27.69,5.76,1.05,10.88,10.29
T10,39.71,99.7,9.38,101.29,27.94,5.49,0.96,10.85,10.35,117.61,9.84,105.31,25.94,5.29,1.08,10.95,11.37
T7,40.63,108.85,10.81,105.56,25.29,5.51,1.09,9.64,9.48,112.08,10.8,109.53,26.92,5.48,0.99,11.13,10.64
T5,41.765,104.72,10.84,107.01,26.15,5.74,1.12,11.35,9.92,96.16,10.6,107.29,26.02,5.15,1.09,10.21,10.49
T3,44.232,98.73,10.19,115.46,28.09,5.39,1.14,11.44,9.73,101.7,10.28,104.06,27.08,5.76,1.04,11.39,10.48
T6,45.993,93.08,9.43,107.63,28.21,5.51,1.09,10.11,10.46,106.16,10.6,101.72,24.46,5.4,1.0,9.61,10.76
T7,47.253,102.77,9.78,95.36,28.14,5.75,1.06,10.35,10.13,116.04,10.11,100.02,27.4,5.24,0.99,11.24,9.74
T7,47.318,98.99,9.72,94.95,29.29,4.98,1.04,10.64,10.36,104.93,10.78,94.74,27.1,5.28,0.99,10.74,9.92
T2,48.991,101.72,10.29,95.6,27.59,5.59,1.07,10.7,9.47,114.42,10.15,107.16,28.23,5.63,1.03,9.25,10.24
T3,54.921,95.69,9.46,109.22,26.94,4.98,1.15,11.1,9.83,96.67,10.1,111.41,28.81,5.0,1.04,11.1,10.01
T6,56.448,93.53,9.3,96.93,24.42,5.19,1.09,9.31,10.68,97.78,10.14,92.88,28.75,4.9,1.01,9.57,11.23
T5,56.757,97.59,11.51,117.92,28.98,5.21,1.15,11.0,10.96,97.89,10.04,118.43,27.88,5.24,1.13,11.29,11.21
T8,59.052,96.61,10.86,99.33,26.15,5.4,0.96,10.02,11.23,97.4,9.97,109.57,26.94,5.36,0.98,11.19,10.72
T2,60.844,105.48,11.15,109.37,26.23,4.85,0.92,10.44,10.73,106.33,10.89,104.88,26.92,5.26,0.99,9.67,10.87
T4,60.852,104.56,11.19,92.77,28.04,4.8,0.94,10.32,10.22,99.62,10.56,100.54,24.49,4.9,1.03,10.79,11.39
T8,61.261,93.78,10.84,96.75,26.94,4.73,0.96,10.42,11.07,104.39,10.87,99.37,25.17,4.92,1.05,10.21,9.92
T1,63.327,106.93,10.17,113.15,24.82,5.34,1.12,10.9,11.37,105.48,10.98,112.82,23.94,5.16,1.05,9.94,11.29
T8,63.494,100.05,9.95,109.78,27.29,5.36,1.07,10.57,10.11,99.44,9.69,101.73,25.61,4.68,1.01,11.25,10.59
T8,65.421,91.53,11.45,107.21,27.58,5.31,1.0,10.33,10.53,99.26,10.0,99.7,27.92,5.49,1.1,11.34,10.52
T1,65.644,99.28,9.79,108.4,27.07,4.99,0.98,11.06,11.25,102.86,9.98,109.11,25.64,5.23,1.02,9.74,10.33
T8,66.108,101.03,11.04,103.04,25.76,5.01,1.06,11.6,11.55,104.33,10.51,100.11,27.4,5.07,0.99,10.44,10.4
T10,72.952,103.84,9.92,102.01,26.89,4.9,0.96,10.91,10.82,103.92,9.7,116.79,26.86,5.54,1.06,10.36,11.3
T3,74.595,97.48,10.52,114.91,26.83,5.25,1.12,10.59,11.22,98.61,9.26,117.47,26.18,5.44,1.12,10.29,11.08
T3,74.654,103.78,9.76,99.19,25.66,5.05,1.09,11.66,10.05,96.14,9.28,117.87,24.42,5.39,0.98,10.69,10.5
T7,75.123,103.41,9.79,111.28,29.15,5.88,0.94,10.79,10.77,110.05,11.2,99.66,26.52,5.31,0.93,10.67,10.66
T3,76.468,98.04,10.16,107.29,24.48,4.9,0.99,11.75,10.78,103.38,10.67,102.6,27.28,4.92,1.14,10.07,10.84
T7,77.45,103.57,9.98,103.1,28.28,5.58,0.97,10.96,11.22,105.08,10.71,108.41,27.67,5.67,1.06,10.42,11.01
T5,77.541,100.48,11.19,116.2,29.63,5.01,1.0,9.88,10.94,109.95,11.13,108.84,29.08,5.74,1.13,10.25,10.32
T5,77.92,112.48,10.04,113.52,28.52,5.61,1.07,10.18,9.82,106.26,10.3,116.94,27.51,5.0,1.15,9.72,10.07
T8,79.003,92.37,9.94,108.16,27.53,4.84,1.0,11.32,11.11,100.01,9.73,107.18,26.83,5.21,1.04,11.35,11.61
T3,79.405,108.06,9.35,105.75,24.86,5.44,1.05,11.82,11.27,102.72,9.8,111.67,27.81,5.02,1.03,11.1,9.89
T9,80.857,109.05,10.69,98.2,26.78,5.21,0.98,11.36,9.76,102.37,11.25,107.01,26.0,5.38,1.03,9.97,10.91
T4,81.685,95.96,10.94,107.57,24.75,4.86,1.0,11.86,10.01,108.62,11.12,103.76,26.54,4.96,1.0,11.46,11.3
T10,81.788,112.52,10.74,104.27,26.47,5.3,1.03,10.17,11.28,101.91,10.48,116.58,28.18,5.56,0.95,9.51,9.7
T3,81.961,97.06,9.67,106.19,27.75,5.41,1.05,10.11,11.12,108.09,10.49,111.31,27.09,5.53,1.15,10.06,9.54
T3,83.078,91.58,9.4,109.8,28.13,5.73,1.03,11.25,10.86,100.83,10.1,114.48,28.44,5.49,1.13,10.2,10.76
T5,84.498,107.44,10.62,112.96,25.3,5.19,1.0,10.66,10.68,99.26,10.88,101.9,28.34,5.24,1.15,10.01,10.9
T6,86.641,103.72,10.53,93.29,28.28,5.35,1.11,9.81,11.38,106.98,10.96,106.22,27.53,5.59,1.0,10.8,10.8
T7,86.745,114.58,10.32,102.66,27.91,5.64,1.0,9.74,10.4,104.09,10.66,104.12,25.55,5.82,0.97,10.21,11.14
T7,88.599,103.72,9.48,103.66,28.92,5.64,0.98,10.06,10.71,108.56,9.81,101.69,24.94,5.26,0.98,11.02,11.14
T7,89.19,110.75,10.99,111.94,25.65,5.78,0.94,9.9,9.97,116.41,9.79,103.19,27.14,5.33,0.96,10.8,11.01
T7,89.909,107.74,10.26,96.0,26.94,5.74,1.05,11.09,10.69,106.49,9.6,110.19,26.28,5.29,1.06,9.98,10.12
T10,90.969,115.66,9.37,115.47,24.02,4.92,1.0,10.81,10.21,106.35,10.06,105.14,26.53,4.93,0.98,10.06,9.68
T6,91.08,107.85,9.58,102.23,25.86,5.2,0.96,10.68,11.4,109.15,10.07,100.56,26.3,5.32,1.04,10.48,10.03
T6,91.598,97.64,10.46,99.92,28.74,4.76,1.07,9.92,11.56,104.03,10.33,97.87,28.19,4.8,1.0,9.66,11.31
T2,91.899,109.7,11.02,101.07,29.18,5.33,1.1,9.71,10.87,113.0,9.89,98.96,24.74,5.16,1.06,10.38,10.23
T9,92.158,100.89,10.07,111.68,27.32,4.92,1.09,10.8,9.94,110.46,10.86,107.69,25.17,5.06,1.05,11.7,10.4
T7,92.346,115.28,9.74,98.33,26.73,5.87,1.01,10.56,10.52,103.72,9.87,101.16,28.97,5.47,0.93,10.92,10.42
T5,92.573,105.94,10.33,117.42,25.56,5.78,1.01,10.89,10.52,105.87,10.75,109.26,29.44,5.0,1.16,10.19,10.56
T3,93.032,96.88,9.66,107.94,25.63,5.1,1.13,10.76,11.18,92.48,9.87,117.4,26.04,5.74,1.07,11.61,10.75
T8,93.072,106.72,10.82,106.3,25.95,5.42,1.09,11.32,10.45,98.28,10.72,97.65,27.6,4.77,0.97,10.11,11.03
T6,95.551,108.54,10.72,103.56,27.8,4.93,0.97,9.65,10.28,104.09,9.54,96.47,25.0,4.83,1.1,9.46,10.64
T8,96.059,102.82,9.82,95.56,28.18,4.65,1.04,11.87,10.09,96.67,10.16,99.27,26.68,4.72,1.1,10.96,10.61
T2,97.984,107.39,10.58,102.67,25.93,5.27,1.0,10.83,10.4,112.85,11.36,109.55,29.27,4.85,1.02,9.3,9.82
T2,98.278,113.32,11.1,101.87,26.66,5.02,1.05,9.42,9.19,107.06,10.42,104.77,25.44,4.99,0.94,10.72,9.66
T6,101.032,107.23,10.44,92.74,28.76,4.86,1.08,10.12,10.26,101.17,9.31,96.53,25.66,4.74,0.98,9.8,10.81
T8,102.936,98.81,10.95,104.22,26.89,4.97,1.07,11.8,11.37,99.39,10.65,102.64,26.66,5.32,1.08,11.46,10.94
T3,103.466,106.9,9.84,112.75,28.02,5.47,1.0,10.42,9.74,94.58,9.8,108.08,27.3,5.34,1.06,11.74,9.58
T3,104.54,103.69,10.29,103.81,25.26,5.5,1.11,11.43,11.24,100.62,10.11,114.03,25.32,5.3,1.1,10.21,10.71
T10,105.004,111.15,9.38,118.28,24.88,5.07,1.04,10.21,10.29,114.1,10.74,104.6,27.9,5.17,0.97,10.1,9.86
T2,105.288,109.7,11.33,106.22,26.92,5.18,1.09,10.07,10.43,100.08,10.61,100.38,25.1,5.56,0.96,9.83,9.28
T5,106.063,103.39,10.83,102.37,27.39,5.77,1.06,10.45,9.63,102.98,11.18,113.03,29.3,5.74,1.01,10.21,9.6
T9,106.33,105.66,9.92,113.55,28.76,5.55,0.97,10.91,10.78,113.17,11.11,99.52,26.1,5.51,0.94,11.27,9.94
T2,106.531,105.07,9.84,93.79,28.04,5.07,1.0,10.86,9.95,96.97,9.98,96.1,25.08,5.29,1.09,9.58,10.1
T6,109.775,95.44,9.95,101.14,28.36,5.29,1.1,10.73,10.82,108.15,10.5,107.84,27.03,5.45,1.02,9.9,10.87
T10,110.848,99.7,10.93,105.19,27.45,4.99,1.03,10.13,9.95,105.5,9.62,100.2,27.72,4.93,0.95,9.7,10.05
T3,111.35,92.79,9.69,112.94,24.38,5.58,1.04,11.29,10.74,94.5,9.28,117.72,27.09,4.86,1.15,11.43,9.94
T5,111.353,98.63,10.26,108.51,27.65,5.67,1.07,9.71,10.02,100.08,10.55,118.24,27.46,5.4,1.1,9.84,10.0
T2,112.732,113.76,10.82,95.36,25.47,5.13,0.97,10.45,9.88,99.41,10.83,94.6,28.96,5.0,1.07,9.99,10.21
T5,113.12,102.56,11.31,116.81,25.09,5.59,1.16,10.14,9.8,105.04,10.36,106.16,25.54,5.6,1.12,9.68,10.69
T1,113.334,111.22,10.83,108.69,27.61,5.08,1.06,9.79,10.71,95.71,11.51,113.42,25.85,5.09,0.98,10.94,11.01
T5,114.571,101.89,11.4,114.14,27.71,5.08,1.02,11.25,9.73,113.04,11.22,106.57,26.5,5.12,1.12,10.78,10.05
T7,115.807,98.99,9.9,110.65,29.16,5.37,1.01,10.45,10.78,116.17,10.38,105.69,25.56,5.51,1.09,10.28,9.99
T5,116.155,101.51,11.1,105.18,29.57,5.84,1.0,10.75,11.12,101.89,10.5,109.26,25.56,5.41,1.17,11.08,9.73
