task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T7,0.126,114.58,9.53,99.54,25.32,5.38,0.93,9.77,10.01,113.19,9.96,110.1,27.41,5.01,1.02,11.26,10.9
T9,2.145,99.87,10.47,101.15,28.49,4.79,1.04,9.87,10.01,107.79,9.78,99.82,25.35,5.15,0.98,10.03,10.01
T6,2.385,98.2,9.51,95.23,28.43,5.43,0.94,9.96,11.36,92.93,10.36,96.42,25.85,5.5,1.12,10.74,11.12
T2,3.635,106.79,11.31,104.74,25.96,5.04,0.95,10.72,10.0,114.34,9.93,108.57,25.46,5.34,1.02,10.7,10.47
T7,4.745,100.03,10.4,108.99,25.67,5.26,0.99,11.06,11.13,109.66,9.49,107.34,29.54,5.75,0.98,10.32,9.68
T5,4.784,107.0,11.18,118.08,28.71,5.33,1.17,10.88,10.46,100.26,10.96,108.32,28.97,5.9,1.12,10.49,10.53
T3,6.067,103.21,10.88,99.4,25.12,5.63,1.06,10.93,10.95,97.39,9.51,102.34,27.38,5.26,1.08,10.4,11.18
T6,7.548,98.47,10.57,108.78,27.55,5.25,1.11,10.7,11.07,102.26,10.39,96.73,28.29,5.27,1.04,9.27,10.6
T10,7.946,107.76,10.82,111.29,27.75,4.93,1.12,10.98,10.33,101.89,10.66,113.56,25.23,5.34,1.1,10.18,11.24
T9,8.977,112.57,10.27,110.26,26.12,5.11,1.05,10.65,10.81,98.39,10.66,102.74,27.26,5.04,1.03,10.6,10.37
T6,9.226,104.19,10.1,104.05,24.44,5.36,0.98,10.44,10.85,101.54,9.86,100.69,28.32,4.95,1.11,9.33,10.94
T5,11.482,109.95,11.55,118.36,25.4,5.08,1.09,10.12,9.85,104.42,11.45,111.5,27.93,5.28,0.99,11.35,10.1
T5,13.445,112.3,11.06,116.23,26.26,5.31,1.12,11.06,9.6,110.15,10.13,114.7,27.1,5.7,1.13,10.12,10.33
T7,13.454,104.33,10.53,99.87,25.68,5.14,0.97,11.28,9.8,112.73,10.21,109.81,28.78,5.1,0.93,11.03,10.78
T4,13.893,110.99,10.34,94.49,27.0,5.28,0.97,10.02,11.06,102.66,9.83,108.55,26.14,4.9,1.06,11.17,11.14
T9,16.756,109.52,9.72,102.28,27.16,4.89,1.07,9.85,10.58,96.87,10.56,109.83,27.81,4.99,0.99,10.22,11.44
T4,17.13,106.5,10.17,109.01,24.93,5.13,1.03,11.45,9.83,107.98,9.87,92.1,24.75,5.16,1.0,11.88,11.35
T5,17.617,111.65,10.4,103.76,28.56,5.87,1.1,10.18,10.82,102.71,10.36,117.59,27.51,5.33,1.05,10.5,10.58
T9,17.731,113.32,10.61,108.03,25.01,5.31,0.98,10.82,9.8,103.49,9.97,97.22,25.41,4.92,0.95,10.59,10.72
T5,18.072,96.68,10.06,100.33,25.93,5.31,1.14,10.78,10.84,106.22,10.36,110.72,26.73,5.76,1.1,10.64,10.88
T6,19.196,99.15,10.09,100.81,28.58,5.51,1.11,10.65,10.47,100.09,9.66,105.43,26.97,5.07,1.0,9.77,11.21
T8,22.229,106.35,11.27,106.29,28.28,5.41,1.01,11.04,11.21,95.48,9.75,99.32,27.83,5.36,0.99,11.61,10.62
T6,23.777,105.59,9.41,109.01,26.76,4.78,0.97,9.81,10.09,94.39,10.63,96.31,25.26,5.01,1.09,10.52,10.04
T5,23.812,104.78,10.7,107.55,28.62,5.06,1.1,10.23,10.26,104.18,10.4,116.25,28.98,5.82,1.16,11.23,10.44
T10,23.903,104.16,10.95,106.33,26.58,5.6,1.08,10.87,9.96,102.61,10.47,112.92,26.66,4.91,1.04,9.41,11.27
T10,23.964,101.02,10.18,104.0,25.52,5.59,1.0,9.83,11.07,104.86,9.84,107.83,24.24,4.96,0.97,10.87,10.3
T1,24.032,113.09,10.59,101.89,24.82,5.51,1.15,10.28,11.19,109.17,10.16,108.23,27.23,4.91,1.11,9.93,9.94
T5,24.175,100.74,11.05,117.19,27.52,5.85,1.14,10.47,9.69,106.68,11.12,103.79,29.48,5.52,1.01,9.91,11.32
T3,24.871,100.97,9.31,108.24,24.48,5.22,1.04,10.68,9.84,95.86,10.17,113.53,28.74,5.72,1.06,10.48,11.08
T6,26.175,93.4,10.6,97.43,25.78,5.54,1.03,11.01,10.39,104.29,10.6,92.83,28.67,5.03,1.08,9.56,11.52
T8,27.395,95.95,10.46,105.83,27.81,5.35,1.07,10.94,10.15,97.32,10.51,106.35,28.07,5.52,1.07,10.16,10.88
T4,29.106,95.0,10.96,103.77,27.41,4.94,1.07,11.9,10.68,96.64,9.6,98.13,26.75,4.97,1.0,11.19,9.68
