task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.003,2.158,2.07,4.965,0.969,2.072,1.999,4.225,0.999
3,0.009,2.021,1.69,5.715,0.885,2.306,1.655,5.444,0.803
2,0.013,2.529,2.079,4.392,0.867,2.471,1.801,4.863,0.912
4,0.04,1.765,1.66,4.74,1.038,2.207,1.615,3.867,0.785
2,0.073,2.12,1.574,4.729,0.814,2.155,1.841,3.893,0.927
3,0.077,2.191,1.739,5.423,0.814,2.4,1.543,5.132,0.893
3,0.083,2.23,1.42,4.992,0.766,2.181,1.76,5.092,0.841
2,0.087,2.544,2.057,4.638,0.787,2.332,1.54,4.117,0.852
3,0.113,1.973,1.782,5.664,0.961,2.434,1.65,5.62,0.978
4,0.137,2.271,1.643,4.849,0.977,2.279,1.613,4.606,0.755
3,0.15,2.278,1.602,4.935,0.731,1.926,1.431,5.333,0.736
3,0.156,2.252,1.489,5.551,0.766,1.842,1.73,4.3,0.898
2,0.175,2.625,1.649,4.816,0.8,1.867,1.892,4.673,0.839
1,0.179,2.011,1.651,4.345,0.834,1.912,1.631,4.446,0.761
1,0.188,2.064,1.41,4.511,0.86,1.963,1.776,4.72,0.703
1,0.192,2.248,1.876,3.837,0.736,2.573,1.716,4.756,0.758
4,0.203,2.294,1.348,3.66,0.855,1.799,1.676,3.953,0.79
2,0.215,2.195,1.747,4.975,1.015,1.926,1.702,4.944,0.78
2,0.24,2.371,2.109,3.925,0.861,2.557,1.887,4.951,0.819
2,0.288,2.09,1.879,4.085,0.895,2.144,2.127,3.783,0.997
4,0.289,2.058,1.643,4.547,1.043,2.381,1.682,4.236,0.965
2,0.295,2.48,1.688,3.978,1.013,2.169,1.776,3.987,0.996
2,0.297,2.55,1.633,4.501,0.748,2.508,2.059,3.675,0.818
3,0.3,1.99,1.588,4.7,0.833,2.322,1.314,5.017,0.855
2,0.305,2.438,1.891,4.559,0.744,2.2,1.52,4.451,0.821
3,0.311,1.834,1.603,4.501,0.72,1.999,1.784,5.351,0.95
1,0.319,2.213,1.874,3.619,0.763,2.434,1.984,4.441,0.672
