task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
1,0.173,1.208,0.593,1.18,1.436
2,2.649,2.097,1.601,3.917,1.618
2,4.147,6.873,1.46,9.016,1.606
1,6.695,1.261,0.928,1.777,0.904
1,6.974,2.189,0.913,1.272,0.982
1,7.22,2.189,0.819,1.054,0.616
2,7.824,10.576,1.692,11.812,0.805
1,8.689,1.511,1.439,1.777,0.874
1,10.019,1.237,0.998,1.224,1.093
1,10.579,1.864,0.879,0.993,0.85
1,11.236,1.541,0.746,2.279,0.959
1,12.294,1.216,1.451,1.235,0.788
2,12.352,13.827,1.194,5.195,3.25
2,13.094,3.755,0.701,13.779,0.761
2,14.491,6.718,0.973,6.126,1.231
2,15.384,3.787,2.017,12.444,0.865
2,15.784,8.879,0.761,6.932,1.201
2,16.039,2.808,1.695,3.791,0.754
2,16.193,6.334,0.912,9.602,0.942
2,16.296,2.193,1.548,6.064,1.028
2,16.56,3.923,0.943,11.62,0.825
2,17.556,5.064,0.774,3.295,1.737
1,18.573,1.442,1.417,1.795,1.109
1,20.1,1.782,0.935,2.072,0.855
1,22.898,1.09,0.906,1.016,1.342
2,23.46,9.829,0.617,11.86,1.916
2,23.61,9.651,1.706,4.085,2.017
1,25.758,1.308,0.898,1.515,0.833
1,26.438,1.154,1.074,1.03,1.339
1,27.196,1.011,0.926,1.442,1.118
1,28.716,1.767,1.549,1.288,1.483
2,31.086,11.821,1.527,3.757,1.19
1,32.899,2.103,1.107,1.282,0.89
1,33.37,1.779,0.874,1.262,0.623
2,34.02,8.1,2.56,3.757,1.217
2,34.873,3.929,1.09,4.615,0.683
1,36.214,0.981,0.919,1.514,0.827
2,37.164,3.649,2.091,10.636,1.133
2,37.659,4.776,0.713,13.779,1.279
2,38.118,5.806,2.26,3.12,0.916
1,38.714,1.18,0.908,1.221,0.828
1,39.578,1.291,1.216,1.327,0.944
2,43.208,8.728,2.59,2.873,2.601
1,43.266,1.013,0.872,1.423,1.385
2,45.501,2.023,0.996,8.464,0.905
2,45.932,1.532,1.527,5.97,1.721
2,46.916,6.312,1.58,4.825,3.579
1,49.684,2.13,0.884,1.237,0.817
2,51.913,8.991,0.805,6.369,1.872
2,52.078,3.851,1.54,3.949,1.363
2,53.267,6.312,1.061,5.335,0.533
1,55.672,1.924,0.905,1.82,1.153
1,55.983,1.511,1.405,1.253,0.968
2,56.219,1.874,0.66,4.085,1.279
2,57.088,4.42,1.957,7.115,0.811
2,58.721,6.12,2.247,4.2,1.435
1,58.909,1.79,0.993,1.916,0.904
2,59.013,5.094,1.862,6.12,0.832
1,59.456,0.987,1.111,1.105,0.879
1,59.698,2.34,1.527,2.371,0.812
1,59.708,1.55,0.866,1.03,0.692
2,60.201,3.032,1.199,2.043,3.424
1,61.655,1.294,1.095,1.289,0.621
1,62.605,1.337,0.627,0.939,0.9
2,64.2,5.986,0.803,2.794,0.992
1,68.4,1.758,0.919,1.252,0.727
1,68.427,2.038,0.928,1.997,0.999
1,70.082,1.134,0.621,1.15,0.949
1,70.637,1.437,0.879,1.425,1.088
1,71.186,1.291,1.441,1.791,0.967
1,71.753,1.275,0.983,1.26,0.619
1,72.907,2.056,0.847,1.825,0.913
1,74.002,1.203,0.899,1.749,1.216
1,74.248,1.14,1.199,1.229,0.967
