task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.065,102.6,107.68,10.11,112.0,94.35,10.06,10.82,104.93,113.09,103.3,11.0,104.7,106.11,10.6,11.44,108.84
T2,0.322,100.92,99.48,10.44,115.77,97.8,9.79,10.7,102.94,107.08,117.44,10.28,110.24,95.88,9.96,10.11,95.1
T3,0.35,96.87,108.67,10.58,101.93,108.32,10.55,11.2,107.83,106.45,96.85,9.99,97.31,96.04,10.18,10.55,109.0
T1,0.369,103.11,106.42,10.42,112.51,100.48,10.46,10.99,105.13,109.01,110.9,10.01,108.54,104.48,11.06,9.61,106.94
T4,0.448,103.18,105.09,11.44,93.05,106.79,10.12,10.11,95.52,103.71,110.79,10.22,108.97,95.86,10.36,10.11,106.9
T3,0.535,110.12,112.78,11.18,107.98,107.64,10.64,10.63,108.39,97.87,111.33,10.78,109.92,95.8,10.56,10.71,116.43
T1,0.807,103.25,109.22,10.54,107.24,105.32,11.57,10.89,98.61,105.25,111.72,11.45,110.58,107.18,10.35,10.96,99.73
T1,1.202,103.24,106.69,9.76,104.28,99.28,10.4,9.27,97.89,106.96,107.1,11.37,97.0,109.06,10.79,10.62,102.16
T3,1.464,94.47,98.23,10.57,110.27,104.32,10.57,11.62,108.19,101.14,95.54,10.67,98.64,97.18,10.54,10.82,104.91
T2,1.467,105.78,106.36,11.12,102.53,102.44,11.48,10.56,103.03,116.82,109.09,10.44,112.77,92.82,10.01,10.11,98.7
T3,1.481,100.03,99.27,9.47,94.96,94.5,10.64,11.02,105.92,106.12,97.43,10.74,111.62,100.12,10.18,10.99,110.32
T3,1.554,105.55,95.53,10.31,110.76,109.21,9.46,11.3,102.03,102.06,108.83,9.51,97.29,95.4,9.78,10.55,117.17
T4,1.583,95.03,102.75,10.73,101.22,107.88,11.24,9.71,98.17,102.3,113.95,10.13,103.16,113.4,11.54,10.64,98.09
T1,2.024,99.19,113.14,10.04,97.47,97.94,11.52,9.54,105.69,104.16,105.66,11.21,102.43,99.29,10.22,9.64,108.98
T2,2.03,106.42,115.93,10.27,106.38,94.89,10.99,11.42,95.1,101.56,105.27,10.56,114.2,106.32,10.34,10.44,96.82
T3,2.237,102.61,101.62,10.3,95.86,109.37,10.84,11.6,109.39,104.9,111.44,11.13,100.31,101.34,10.01,10.44,110.25
T1,2.668,100.62,115.4,9.87,104.07,100.04,11.07,10.69,105.28,109.47,105.85,10.36,101.96,101.69,10.59,10.96,95.11
T4,2.703,101.29,105.64,9.99,100.56,111.56,10.14,10.1,103.12,111.11,96.08,11.48,109.07,103.7,10.81,10.86,95.97
T4,2.708,98.21,98.64,11.2,104.89,105.0,11.53,9.86,103.37,104.81,109.97,9.92,104.84,112.8,10.84,9.72,108.96
T1,2.861,103.69,107.6,10.12,95.03,109.15,11.19,10.75,95.11,95.6,107.5,11.3,107.55,107.37,10.38,10.98,100.02
T2,3.621,99.82,108.2,10.09,115.22,96.42,10.37,10.28,97.38,115.16,107.68,10.63,99.7,92.64,10.52,11.03,107.6
T4,3.667,112.05,108.19,11.28,106.19,103.28,9.77,10.22,97.45,109.79,96.98,10.74,97.77,107.86,10.45,10.5,108.54
T3,4.027,108.43,105.09,9.84,102.38,104.2,10.38,10.14,103.67,102.61,108.34,10.49,106.65,103.22,10.37,11.5,113.37
T3,4.181,94.89,109.41,10.22,111.43,104.85,9.66,10.0,101.68,105.06,100.82,10.62,101.75,105.27,10.32,11.35,111.35
T2,4.379,101.49,110.81,10.23,111.1,108.43,11.08,10.9,93.07,114.03,110.91,11.62,114.27,104.37,10.27,11.24,93.27
T1,4.446,106.05,100.99,9.76,95.0,108.09,11.24,10.67,97.7,104.76,103.19,10.79,97.54,108.9,11.58,10.7,107.38
T3,4.681,111.23,96.93,10.21,104.04,98.82,10.64,11.0,115.66,97.49,104.48,10.89,106.4,103.03,10.6,11.77,113.16
T4,5.258,95.03,102.4,11.32,101.38,111.66,9.89,9.77,99.99,99.37,104.58,9.95,104.72,97.79,10.44,10.3,98.61
T1,5.642,104.35,115.56,10.68,111.06,99.37,10.47,10.62,102.16,94.93,106.42,10.17,103.22,103.19,11.38,9.99,101.45
T2,6.041,110.57,116.63,10.14,102.52,103.73,11.08,10.92,94.6,116.51,117.12,11.63,109.99,100.92,11.21,10.3,97.49
T4,6.059,96.28,95.98,10.56,95.75,95.66,10.16,11.07,95.85,97.09,96.08,11.08,103.73,100.77,9.85,10.55,93.97
T1,6.123,98.24,108.61,10.01,103.75,93.24,10.27,10.04,107.6,111.49,106.19,10.44,111.47,105.13,10.44,9.74,94.91
T4,6.429,108.18,107.83,10.37,101.59,99.57,10.42,11.24,104.83,111.24,96.97,10.26,105.05,112.75,10.97,10.78,104.16
T4,6.661,95.07,105.73,10.23,107.81,97.2,9.86,9.74,97.38,100.64,111.64,10.15,96.89,113.29,9.83,11.0,107.19
T4,6.718,111.7,98.73,11.53,105.93,97.88,10.74,10.48,98.32,101.75,106.68,10.12,108.43,102.79,10.36,9.8,97.44
T2,7.189,106.86,111.06,10.85,115.24,92.01,10.31,10.68,100.89,115.28,109.24,10.9,105.66,92.03,10.56,10.0,94.3
T1,7.559,99.09,102.71,11.46,103.62,91.93,11.46,9.65,110.32,99.68,113.81,9.76,112.5,106.78,11.55,9.88,98.1
T2,7.904,102.72,103.49,10.27,112.5,103.35,10.52,10.25,107.43,106.31,116.44,11.23,109.55,102.09,11.14,10.79,105.09
T3,8.149,105.75,113.12,10.39,111.81,102.47,11.05,10.6,108.66,97.93,107.89,10.29,100.58,96.59,10.1,9.99,107.67
T4,8.179,99.81,99.67,11.56,103.7,102.77,9.77,11.16,106.68,100.66,104.14,9.99,92.32,101.3,11.27,11.16,109.81
T1,8.215,110.19,108.93,11.11,109.77,96.27,10.35,10.45,110.66,96.44,115.92,10.43,103.57,98.12,10.1,9.98,101.45
T4,8.436,111.85,104.54,10.42,96.51,110.62,10.3,10.93,108.99,107.24,97.26,10.87,100.66,103.33,11.47,10.61,98.52
T3,8.448,110.26,102.73,10.53,108.54,101.94,9.7,11.4,103.4,107.68,105.04,10.06,95.59,111.81,9.74,10.12,104.45
T3,8.703,105.84,111.98,9.83,105.28,106.22,10.63,11.4,113.56,103.74,110.43,10.56,108.54,97.03,10.12,11.77,110.0
T1,8.743,99.48,114.4,10.57,98.6,108.92,11.02,9.52,104.0,107.75,108.65,9.94,105.25,106.87,10.3,10.7,98.88
T3,8.91,101.94,105.46,9.97,110.01,98.77,11.0,11.25,107.97,98.36,95.88,10.18,108.22,105.36,10.54,10.61,110.74
T3,8.975,103.78,98.56,9.73,109.82,104.41,10.38,11.76,106.86,95.73,96.92,9.49,101.66,111.38,10.72,10.23,116.96
T4,9.115,108.22,100.14,11.29,96.09,107.06,9.8,9.92,100.25,98.38,96.64,10.13,102.76,101.36,10.09,10.76,92.58
T3,9.24,100.07,113.21,11.0,106.23,108.37,10.73,11.42,102.03,94.52,106.27,9.89,111.15,106.63,9.75,11.52,113.23
T2,9.243,104.86,116.32,10.89,103.14,97.64,10.56,10.57,100.0,107.39,102.53,10.99,112.67,103.43,10.22,11.33,104.04
T2,9.309,103.59,116.32,11.14,109.55,101.87,10.23,10.2,99.43,116.41,111.74,11.15,112.64,96.52,11.03,11.17,92.89
T3,9.559,109.46,105.86,11.1,100.5,108.83,9.84,10.48,116.78,103.28,104.37,10.64,108.15,108.41,10.89,10.9,112.74
T3,9.835,94.33,110.55,10.84,101.39,104.78,10.09,10.56,107.92,107.57,102.5,11.18,109.58,106.63,10.37,10.82,110.0
T1,9.869,95.02,105.17,9.73,94.93,106.19,10.95,9.43,102.07,103.67,103.86,10.06,97.86,91.98,11.35,10.47,103.08
T1,9.915,109.9,109.18,9.75,95.82,107.87,11.53,10.59,102.96,111.46,115.56,9.95,100.7,96.39,11.33,9.74,107.34
T1,9.956,112.57,108.48,10.49,100.94,102.68,11.26,10.89,101.58,98.21,103.46,11.25,110.23,99.34,10.42,9.27,98.17
T1,10.385,112.41,108.93,10.28,97.28,108.55,10.03,10.57,104.06,111.9,98.31,10.19,106.72,98.1,11.42,10.82,107.14
T2,10.412,109.27,107.81,10.96,99.67,107.76,10.89,11.38,107.31,103.84,105.29,11.52,105.0,96.08,10.7,11.33,95.58
T1,10.694,110.55,107.57,9.75,99.95,98.96,11.52,9.66,93.81,99.19,98.56,10.21,95.36,105.12,10.56,10.98,107.91
T3,10.943,108.43,110.85,9.65,108.64,102.3,9.74,10.39,112.11,106.95,98.14,10.76,103.14,102.32,9.49,10.6,100.1
T1,10.958,104.12,110.62,11.1,94.83,107.74,10.79,9.31,94.67,110.51,98.16,11.3,105.8,104.14,11.02,10.29,100.16
T4,11.014,100.22,104.61,10.2,106.6,107.66,10.73,10.27,110.06,105.05,107.96,10.25,92.51,112.32,11.14,9.74,94.45
T3,11.042,105.19,102.45,10.42,106.87,105.88,9.78,11.36,99.89,99.2,102.25,10.2,98.81,95.98,11.04,10.46,111.53
T1,11.189,98.81,109.6,9.91,110.8,104.39,10.86,10.67,93.65,103.48,104.76,11.45,98.6,99.63,11.39,9.28,95.66
T1,11.384,107.91,110.5,9.71,106.17,106.71,11.43,10.49,105.99,105.04,112.53,10.96,109.04,104.39,10.0,10.03,101.96
T1,12.35,103.51,108.65,10.7,97.48,106.73,11.54,10.74,110.65,97.11,102.49,10.04,106.58,103.13,10.4,10.53,97.73
T3,12.552,94.34,111.97,9.71,95.37,96.89,11.08,9.99,106.37,94.72,109.19,10.56,104.1,102.01,9.92,11.21,116.9
T2,12.575,109.04,116.17,11.18,108.82,95.93,9.89,10.94,100.06,98.67,102.26,10.94,106.51,102.37,10.66,11.1,104.07
T1,12.886,108.3,102.86,11.2,98.44,103.21,11.52,10.91,107.21,100.4,106.24,10.06,109.69,101.38,11.47,10.0,94.2
T4,12.949,97.22,108.81,10.89,94.56,110.03,10.44,9.62,94.26,105.25,104.39,11.66,100.78,101.81,10.21,10.24,93.26
T3,13.129,109.73,102.75,10.14,98.64,107.98,11.09,11.4,104.3,96.83,107.15,9.81,105.56,108.61,10.73,10.56,106.83
