task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,5.497,104.56,103.03,9.39,97.32,93.69,10.02
T2,5.805,99.52,9.99,0.98,105.84,10.72,0.94
T3,6.674,93.09,0.92,10.18,96.56,0.96,10.61
T3,9.332,94.69,1.05,10.5,105.78,0.95,9.29
T1,19.887,101.22,101.4,9.5,99.08,97.57,9.75
T3,22.418,96.25,1.01,9.3,102.72,1.05,9.82
T1,25.123,103.94,108.25,9.14,104.77,98.79,10.29
T1,25.398,105.19,102.87,10.78,105.16,108.09,10.14
T2,28.494,104.39,10.5,1.08,97.66,9.26,0.96
T3,29.505,102.94,1.01,9.3,107.52,1.03,9.69
T2,35.085,93.64,10.66,1.04,102.86,10.41,1.08
T3,36.342,97.03,1.07,10.76,106.66,0.94,9.33
T2,37.703,95.73,10.84,1.03,105.84,9.52,0.99
T3,40.562,95.42,1.0,10.82,108.08,0.98,10.48
T3,43.238,106.73,1.0,9.29,92.2,1.05,9.99
T3,44.354,93.31,0.95,10.49,106.86,0.98,9.68
T1,44.503,100.5,91.4,10.14,93.14,104.94,9.76
T1,51.849,100.35,97.12,10.86,95.51,102.78,9.98
T1,53.929,101.62,99.32,10.17,95.9,105.03,10.69
T1,58.216,104.55,103.82,9.54,91.91,92.78,10.76
T1,60.448,91.56,98.76,10.8,94.0,101.68,10.2
T1,65.224,105.43,105.81,10.81,100.29,93.54,9.91
T1,67.283,101.83,95.52,10.38,99.32,95.29,9.16
T1,68.303,106.44,100.48,10.57,98.25,94.31,9.9
T2,68.467,100.32,9.81,1.03,105.28,10.37,0.92
T2,72.602,106.54,10.01,0.96,98.8,10.79,1.07
T1,74.308,101.84,108.09,10.65,108.64,97.19,10.7
T1,74.368,93.4,106.09,10.49,95.09,102.71,9.83
T2,83.03,95.41,10.34,0.93,102.43,10.65,0.93
T3,100.354,102.41,1.0,9.91,91.66,1.04,10.56
T2,101.3,99.5,10.69,1.05,97.07,9.88,0.99
T3,110.895,93.24,0.92,10.36,94.34,1.08,9.71
T3,110.938,101.32,0.97,10.22,93.67,1.06,10.7
T3,112.2,106.64,1.0,9.3,103.27,0.95,9.19
T1,114.14,105.25,94.84,9.29,91.88,103.63,9.9
T3,115.623,104.01,1.08,9.38,107.85,1.08,9.26
T1,120.561,98.42,101.83,10.53,91.56,107.52,10.25
T1,120.946,103.97,101.16,10.69,100.29,94.82,10.36
T2,125.302,95.83,9.7,0.98,104.15,10.58,1.03
T1,136.797,105.25,102.89,9.73,100.87,102.89,9.49
T1,143.141,94.44,103.76,10.26,103.32,91.45,9.76
T1,145.284,108.47,93.41,9.52,94.79,101.46,9.52
