task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T3,0.824,104.23,1.03,10.68,100.46,1.06,10.67
T2,1.29,101.72,9.36,0.98,93.66,10.25,1.07
T3,3.277,93.82,0.97,9.78,97.76,0.97,10.82
T1,5.122,94.88,104.15,9.38,94.5,100.47,9.5
T3,7.718,96.5,0.94,9.71,103.51,0.93,9.31
T1,11.744,98.9,93.33,10.86,99.18,103.15,10.52
T2,13.376,99.02,10.75,0.96,102.79,10.13,1.04
T2,14.238,92.8,9.92,1.05,100.44,10.12,1.07
T2,15.918,106.54,10.13,0.97,105.38,10.48,1.07
T1,18.629,107.86,105.92,9.54,108.27,95.54,10.86
T1,19.809,102.32,103.4,10.61,96.4,96.41,9.86
T1,22.429,108.41,105.81,10.15,100.18,92.1,9.18
T3,28.894,98.69,1.06,10.57,104.63,0.97,10.54
T1,31.834,95.01,107.47,9.93,91.61,104.27,9.35
T3,32.845,105.79,0.96,10.28,91.96,1.05,10.12
T3,35.602,100.6,0.93,9.63,95.89,0.91,10.5
T3,37.064,102.93,1.01,10.42,108.09,1.0,9.49
T2,46.87,91.59,9.46,1.0,93.41,9.92,1.0
T3,46.906,98.28,1.04,10.2,100.32,0.94,9.23
T1,51.229,102.32,98.37,10.56,103.78,92.76,10.23
T1,53.861,105.2,103.15,10.77,105.6,96.96,9.39
T2,59.49,91.42,9.82,1.0,105.56,9.71,0.98
T2,62.097,101.04,9.76,1.03,104.29,10.57,0.97
T1,71.642,98.67,96.51,9.6,91.61,93.23,10.38
T1,71.963,107.66,108.26,10.27,99.71,91.91,10.75
T1,72.185,106.78,97.59,9.91,101.24,96.67,9.56
T1,75.106,93.24,96.52,9.7,99.92,97.63,9.51
T3,83.143,91.73,1.01,9.66,107.18,0.92,9.2
T2,86.647,93.29,10.54,1.0,102.64,9.58,1.03
T3,91.456,105.65,1.08,10.8,105.18,0.93,10.58
T3,91.833,102.6,1.07,9.63,91.62,1.07,10.56
T1,95.655,93.89,95.87,10.23,94.62,103.75,9.71
