task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T3,0.176,101.31,1.08,10.84,104.76,1.06,9.31
T1,7.882,102.08,101.15,10.52,105.69,99.25,10.04
T2,13.057,93.51,9.68,0.92,95.02,10.44,0.96
T1,13.163,99.87,93.2,10.41,102.7,107.02,10.52
T2,21.295,100.27,10.14,0.96,108.21,9.86,1.0
T3,22.393,99.33,0.97,10.25,98.76,0.95,10.41
T2,22.63,105.84,9.3,0.98,98.66,10.84,1.08
T3,25.746,103.05,0.94,9.16,108.27,1.03,10.54
T2,27.698,107.9,9.56,1.07,93.51,10.82,1.05
T1,28.978,93.69,98.87,10.54,107.12,101.74,9.4
T3,29.298,100.34,0.96,10.52,105.77,1.0,10.62
T1,30.483,103.35,103.15,9.66,102.96,103.14,10.22
T2,42.899,100.69,9.26,1.04,97.28,10.37,1.0
T1,44.824,103.97,104.39,9.21,98.33,93.41,10.7
T3,45.002,103.83,1.02,9.76,103.39,1.01,10.55
T3,48.925,103.26,1.08,9.55,97.03,0.96,9.32
T2,50.053,93.61,10.16,1.07,102.68,10.22,1.0
T2,52.07,101.68,9.36,1.06,99.82,9.76,0.91
T1,55.225,97.12,104.96,10.79,103.78,94.3,10.84
T1,63.452,98.67,106.74,10.14,97.5,96.48,10.39
T3,68.928,96.37,0.98,9.2,108.22,1.06,9.55
T2,71.278,102.55,10.61,0.95,101.0,9.76,1.04
T3,74.861,91.39,1.03,10.19,91.73,1.07,10.68
T3,82.807,96.82,1.0,10.73,100.34,1.09,9.57
T3,87.226,100.6,0.99,10.46,91.41,0.96,9.6
T3,88.417,91.41,1.08,9.78,102.81,1.08,10.34
T3,89.947,100.92,0.97,9.35,98.2,0.94,10.4
T3,95.835,96.84,0.92,10.82,104.78,0.97,10.55
T1,96.558,94.59,97.48,9.47,105.32,97.4,10.8
T1,98.786,98.87,97.54,10.74,94.49,95.53,10.74
T1,99.001,107.45,91.49,10.3,108.34,93.95,10.15
T2,102.372,91.6,10.48,1.07,99.73,10.51,0.95
T1,106.575,94.62,94.68,9.48,99.87,108.22,9.76
T3,109.002,92.17,1.08,9.92,98.59,0.96,9.67
T3,115.165,105.7,0.95,9.95,103.1,1.04,10.38
T1,120.67,106.77,105.06,10.05,105.16,98.38,9.43
T3,124.148,108.37,0.97,9.46,92.67,1.08,10.58
T3,128.254,101.23,0.96,9.25,100.32,1.06,10.09
T1,130.664,97.5,93.19,9.96,99.89,102.89,9.23
