task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,2.951,102.73,107.94,9.57,102.93,101.73,9.59
T3,5.521,102.39,1.08,10.41,95.29,1.01,10.25
T1,12.388,105.2,101.42,9.23,104.05,97.05,10.74
T2,13.646,107.17,9.71,1.08,94.17,10.29,0.92
T1,13.847,107.67,101.54,9.94,100.99,102.97,9.52
T1,14.612,107.27,102.08,10.24,91.91,107.61,10.4
T3,15.518,95.34,0.98,10.06,94.98,1.03,9.33
T1,17.962,106.58,107.02,9.94,92.49,99.75,10.84
T3,20.922,105.83,0.99,9.54,99.2,1.02,9.51
T1,22.033,99.2,91.47,9.39,107.66,96.13,9.16
T1,24.808,95.89,97.16,9.34,107.61,98.55,10.52
T2,25.534,100.17,9.82,0.92,100.61,10.57,0.96
T1,25.636,104.49,94.66,10.81,99.04,103.6,9.56
T3,26.074,107.93,1.06,10.54,92.72,1.07,9.62
T1,26.961,99.57,104.83,10.23,107.27,96.74,10.42
T1,28.969,104.99,92.78,9.7,108.64,94.95,10.75
T1,30.115,92.75,101.6,10.84,104.35,92.13,10.76
T3,30.291,101.36,1.04,9.47,100.82,1.06,10.45
T2,30.889,104.91,10.46,1.02,100.39,9.68,1.01
T3,33.043,107.27,1.02,9.49,103.1,1.03,9.82
T2,35.912,105.04,10.44,1.01,96.2,9.3,1.07
T2,36.163,104.84,10.34,1.09,95.41,10.33,0.99
T2,37.703,107.18,10.69,1.01,94.37,9.61,0.95
T2,38.881,100.52,9.7,1.02,98.9,9.36,0.92
T3,40.089,108.26,1.06,10.65,93.17,1.05,9.55
T3,41.262,99.99,0.96,10.73,95.07,1.0,10.57
T3,42.082,99.14,1.02,10.52,106.78,0.97,9.7
T2,42.247,105.51,10.84,0.99,105.88,9.71,0.96
T2,48.24,92.97,9.2,0.94,102.68,9.48,1.04
T2,48.702,97.29,10.64,1.0,108.19,9.76,0.95
T2,50.658,97.67,10.13,0.93,101.94,9.76,1.02
T1,53.469,96.22,104.94,9.48,107.67,97.11,9.85
T3,55.115,100.25,0.92,10.09,99.44,1.01,10.84
T3,57.034,99.38,1.08,9.64,94.51,0.95,10.83
T2,57.351,92.32,9.31,0.97,98.06,10.54,0.93
T3,58.292,96.8,0.95,10.32,96.62,0.96,9.2
T3,60.926,101.24,1.09,9.66,96.92,1.03,10.39
T1,61.985,107.16,102.89,10.69,98.29,105.24,9.89
T2,64.93,105.96,10.39,1.01,107.25,10.86,0.92
T1,68.798,106.26,97.9,10.72,105.59,102.92,10.03
T2,69.076,93.07,9.25,0.94,99.79,9.85,0.98
T1,69.988,94.3,96.96,9.59,103.72,96.23,10.82
T1,70.515,104.3,93.08,9.16,97.29,104.94,9.79
T2,73.735,99.52,10.46,1.03,105.07,10.15,1.02
T1,79.131,99.84,101.15,9.16,95.84,98.57,9.15
T3,82.319,93.93,1.07,9.23,101.64,0.94,9.53
