task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T3,0.22,98.01,1.0,10.5,98.27,0.93,10.09
T1,0.379,105.35,103.75,10.84,91.45,103.44,10.05
T2,4.194,107.92,9.73,0.99,97.26,9.17,1.04
T2,4.252,95.45,10.43,1.04,98.56,9.84,1.08
T2,5.365,97.68,9.3,1.07,92.81,10.51,0.93
T1,5.37,103.02,108.53,10.65,103.49,94.3,9.15
T3,5.605,102.47,0.94,10.35,108.09,1.06,10.06
T3,8.999,102.54,1.08,10.17,92.26,0.96,10.31
T1,9.085,107.71,97.4,9.2,92.92,108.05,9.94
T1,12.066,104.35,93.49,10.02,100.44,96.96,10.73
T1,19.73,106.88,91.6,10.53,96.26,108.42,9.66
T1,20.71,96.35,97.7,9.5,107.62,101.65,10.58
T1,22.726,103.98,101.78,9.91,107.38,99.94,9.74
T2,23.702,98.98,9.29,1.01,107.07,10.87,1.08
T1,25.958,105.59,98.3,10.53,106.83,96.83,9.73
T1,28.038,93.25,92.37,9.46,105.84,106.09,10.51
T2,34.541,107.1,10.44,1.0,98.31,10.63,0.93
T1,35.908,104.64,105.34,9.57,105.88,92.73,10.01
T2,37.007,91.7,10.07,1.03,91.39,10.0,1.05
T1,39.777,98.51,92.13,10.04,93.52,107.43,10.48
T2,44.411,95.46,9.57,0.94,105.65,9.33,1.06
T1,45.563,98.94,101.81,10.09,95.82,101.8,9.36
T1,46.433,107.16,103.6,10.1,95.9,101.83,10.6
T2,46.865,105.88,10.08,0.95,100.09,10.34,0.98
T3,47.138,95.94,0.93,10.62,103.51,0.99,9.87
T3,59.838,95.76,0.94,9.14,98.32,1.06,10.01
T3,64.982,95.61,1.08,9.94,104.15,0.99,10.61
T1,65.216,103.38,104.31,9.44,103.28,100.98,10.83
T1,72.314,92.1,101.57,9.37,100.76,102.08,10.1
T1,76.454,108.39,97.6,10.29,102.29,107.94,9.21
T1,79.015,93.69,93.64,10.48,92.43,106.57,10.11
T1,80.363,95.91,102.17,9.15,103.35,102.11,10.42
T3,87.314,102.04,0.98,10.41,103.54,1.07,10.22
T3,89.167,95.43,0.94,10.66,97.39,0.95,10.21
T2,89.815,99.4,10.73,1.0,107.59,9.38,0.94
T3,91.488,107.23,0.92,10.01,104.93,1.02,9.94
T2,94.799,105.05,9.4,1.06,102.54,10.46,1.06
T2,99.708,96.17,9.88,1.08,107.58,9.93,0.96
T1,99.803,97.89,100.65,10.22,98.43,91.84,10.22
T1,101.746,92.7,95.81,10.24,103.16,105.53,9.28
T1,105.371,100.36,98.07,10.17,106.78,102.7,9.21
T3,106.208,100.76,1.05,10.71,103.81,1.03,10.56
T1,106.241,91.8,92.18,10.1,102.64,95.87,9.43
T3,107.142,94.93,1.0,10.38,97.46,1.06,10.66
T1,110.758,92.1,108.09,10.47,107.64,105.08,10.14
T1,114.878,92.17,101.07,9.44,94.15,105.17,9.69
T2,115.367,105.63,9.77,1.06,104.45,9.82,0.92
T2,115.68,95.96,10.85,1.08,92.38,9.56,0.98
T3,116.187,93.09,1.08,9.35,92.17,0.96,9.81
T1,118.834,91.91,104.78,9.49,98.72,99.34,10.55
T1,121.013,95.62,99.23,10.67,100.17,107.97,10.7
