task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T7,0.08,116.47,27.34,10.29,0.96,1.03,25.86,9.88,110.66,102.94,27.35,10.66,1.09,1.04,23.32,10.68,103.88
T8,2.723,102.64,26.17,11.05,1.03,0.96,25.62,11.04,108.63,109.02,24.85,10.1,1.05,0.97,26.85,9.99,108.79
T9,3.9,111.33,27.1,10.69,1.1,1.0,28.79,10.8,99.92,102.69,27.55,11.13,1.0,1.01,29.26,10.62,104.27
T9,4.303,112.64,27.24,10.4,1.04,1.1,28.28,9.28,99.17,111.31,24.23,9.99,1.1,1.09,29.33,9.8,107.87
T9,5.412,111.34,26.66,9.82,1.07,0.95,27.84,9.87,103.34,113.1,25.07,9.67,1.05,1.06,26.21,10.32,104.75
T2,5.805,100.6,27.31,10.35,1.19,0.98,25.68,10.97,109.35,95.52,28.35,10.34,1.16,1.01,28.3,9.98,101.69
T3,6.674,101.82,25.64,10.83,1.06,1.04,27.94,10.74,106.54,107.56,26.96,10.95,0.97,0.98,28.11,10.38,100.71
T1,7.33,109.93,29.21,9.95,0.99,1.07,26.06,9.57,104.96,113.19,29.21,10.21,1.1,1.02,25.47,10.73,106.35
T7,8.788,113.69,29.13,9.44,0.95,1.05,23.43,11.18,97.13,106.02,26.79,9.43,1.08,0.98,23.54,9.88,97.67
T3,9.332,98.49,28.51,10.48,0.94,1.02,27.48,9.69,108.32,99.43,29.08,11.03,1.06,0.98,25.13,10.76,107.97
T6,11.6,99.54,25.3,10.27,0.97,0.94,28.04,11.07,106.57,104.04,28.78,9.37,0.97,1.1,28.08,10.61,100.4
T4,13.402,102.62,25.07,10.46,1.06,1.1,28.11,11.1,99.65,113.75,28.07,10.39,1.17,1.13,29.4,9.68,108.26
T7,13.64,108.78,26.11,10.48,1.05,1.0,25.86,11.3,98.73,104.04,27.5,9.59,0.99,1.11,24.97,9.83,105.28
T10,14.071,109.98,25.09,11.88,1.08,1.01,26.0,11.21,115.71,97.06,27.31,10.28,1.08,0.99,24.56,10.81,107.82
T9,14.314,99.92,25.82,9.62,1.1,1.05,25.3,10.87,96.82,116.82,25.52,9.85,1.1,1.09,29.29,10.65,108.14
T10,15.615,109.91,24.03,11.04,1.09,1.08,27.69,10.98,111.01,97.08,24.82,10.6,0.96,1.15,26.1,11.08,101.46
T6,15.85,105.36,26.65,9.42,1.05,1.05,27.47,10.53,94.6,97.87,25.52,9.66,1.13,0.98,26.42,9.79,101.67
T6,16.122,95.03,28.82,10.51,1.13,0.95,25.06,9.84,101.09,105.68,27.52,10.34,1.05,0.96,26.98,10.82,98.86
T7,16.237,117.01,26.37,9.89,1.12,1.09,25.47,10.12,109.61,111.84,26.74,10.86,0.98,1.02,25.38,10.34,111.12
T8,17.354,96.48,24.71,11.01,0.97,0.93,26.6,11.17,106.8,100.78,26.89,10.87,1.07,0.95,26.84,10.18,103.31
T4,19.215,115.04,25.3,11.47,1.1,1.07,27.72,9.97,110.91,114.68,26.41,10.7,1.02,0.95,24.9,11.16,105.75
T5,20.536,114.56,26.66,10.58,1.08,0.98,24.8,11.43,116.46,115.78,25.47,10.74,1.07,0.99,24.42,11.33,118.09
T3,22.418,102.79,29.55,10.09,1.06,0.98,25.5,9.46,103.9,101.59,28.94,10.38,0.98,1.08,27.62,10.02,109.28
T8,25.607,97.46,25.47,11.02,1.07,1.02,27.13,10.13,105.31,99.61,24.21,9.91,1.11,1.07,27.45,10.83,110.89
T5,25.872,105.01,27.75,9.65,1.0,0.96,25.78,9.98,100.49,100.5,26.98,10.71,1.08,1.03,26.96,11.45,117.64
T1,26.516,110.23,26.22,9.54,1.02,1.11,25.9,10.91,112.69,100.04,26.4,10.53,1.08,1.14,27.36,10.34,98.25
T2,28.494,109.5,24.37,10.08,1.04,1.12,29.04,10.81,107.01,111.05,28.07,9.72,1.01,1.12,28.94,9.96,111.71
T3,29.505,113.85,26.39,10.18,0.96,0.93,25.66,10.01,104.88,111.5,26.96,11.32,1.09,1.06,27.48,10.73,107.64
T6,31.047,110.29,25.34,10.14,0.98,0.95,26.4,10.47,97.18,105.81,25.03,10.46,1.03,1.09,24.06,9.74,109.32
T6,31.087,110.33,29.72,9.97,1.0,1.07,26.54,10.08,93.39,108.68,27.06,10.08,1.0,1.1,24.55,10.17,103.8
T9,31.419,103.32,28.04,10.87,1.07,0.98,25.1,10.32,104.22,110.47,27.85,9.91,0.97,0.98,26.78,10.17,100.82
T10,32.837,104.56,26.78,11.52,1.02,1.0,24.11,11.4,98.41,111.86,25.82,11.91,1.0,1.07,27.27,10.31,98.47
T8,33.237,101.3,26.68,9.92,1.03,0.96,25.8,11.47,106.69,97.48,24.77,9.94,0.99,0.98,29.17,10.44,106.46
T1,33.497,107.25,28.42,10.74,1.15,1.06,24.3,10.72,105.54,104.92,27.46,9.7,0.99,1.04,23.98,10.09,98.45
T1,33.863,103.08,27.26,10.57,1.14,1.07,24.94,10.83,101.66,98.36,27.59,9.62,1.07,1.05,27.38,9.72,105.31
T5,34.047,112.77,23.88,9.69,1.09,1.01,26.36,10.86,113.15,105.44,23.96,10.78,1.05,1.09,28.08,10.58,107.45
T2,35.085,100.74,27.16,10.46,1.14,1.01,25.08,10.39,99.27,106.51,27.41,10.4,1.02,1.11,26.6,10.14,108.83
T6,35.522,100.84,25.87,10.76,1.06,0.96,24.03,11.17,101.53,94.74,28.43,10.38,1.09,1.08,24.38,10.71,109.76
T3,36.342,100.31,24.9,11.22,1.07,0.94,25.61,10.64,94.34,100.2,28.74,11.3,0.96,1.06,25.88,10.44,106.31
T9,36.839,107.35,24.21,10.89,1.07,1.08,26.08,10.07,114.31,104.04,28.07,9.66,0.97,1.1,28.12,9.49,98.31
T4,37.005,110.58,26.32,10.76,1.15,1.0,27.03,9.83,106.48,101.39,27.32,11.67,1.08,1.03,25.31,10.28,96.99
T2,37.703,103.5,26.8,11.43,1.02,1.11,26.5,10.34,98.84,101.9,27.11,10.83,1.1,1.11,27.39,11.31,106.77
T4,38.065,99.91,28.94,10.55,1.14,0.96,29.09,10.61,111.0,105.16,24.84,11.75,1.17,1.04,26.5,10.05,109.53
T6,39.396,94.15,25.83,10.57,1.14,1.08,28.1,9.94,95.69,96.24,25.48,9.62,0.97,0.94,25.89,11.14,98.35
T5,39.704,101.7,24.12,9.86,1.01,0.96,25.72,10.47,102.15,108.18,25.35,10.88,1.0,1.12,24.68,10.88,103.3
T3,40.562,108.34,27.84,10.87,1.09,1.11,24.72,10.52,92.8,100.51,29.07,10.92,1.05,1.01,25.73,10.31,92.56
T3,43.238,113.19,28.45,10.24,0.96,1.07,28.26,9.82,104.4,110.34,26.09,10.42,0.95,0.97,26.27,10.89,102.73
T3,44.354,108.68,27.65,10.41,1.05,0.95,27.13,10.11,107.14,112.64,25.79,10.46,1.03,0.95,26.16,9.99,95.47
