task_type,m1_1,m2_1,m3_1,m4_1
T2,1.125,3.878,22.811,24.586
T2,1.284,3.633,24.144,26.367
T2,1.259,4.153,24.477,22.991
T1,0.834,2.485,17.841,17.771
T2,1.177,3.889,25.525,25.961
T4,2.649,7.361,50.403,54.225
T3,1.586,5.892,32.293,34.703
T4,2.335,7.423,48.591,54.1
T2,1.115,3.902,24.197,23.226
T2,1.187,4.033,25.34,24.392
T3,1.672,5.641,34.315,37.318
T2,1.146,3.913,26.124,23.657
T1,0.805,2.494,16.122,17.052
T1,0.84,2.744,17.125,16.874
T1,0.873,2.714,17.296,18.292
T4,2.328,7.852,52.118,46.678
T4,2.372,8.243,45.839,50.418
T2,1.231,3.774,24.129,26.525
T4,2.316,7.669,53.356,50.899
T2,1.189,3.647,22.692,25.665
T3,1.743,5.049,33.902,32.42
T3,1.576,5.142,37.049,36.666
T4,2.508,8.49,53.152,48.354
T1,0.877,2.798,15.603,16.543
T3,1.752,5.436,32.924,33.723
T1,0.845,2.587,18.128,16.279
T4,2.67,7.408,51.569,47.652
T3,1.787,5.191,36.461,32.362
T3,1.683,5.216,36.75,34.602
T1,0.888,2.65,17.348,15.569
T2,1.179,3.815,26.08,22.893
T3,1.814,5.85,36.703,35.483
T3,1.603,5.804,36.178,33.105
T2,1.258,4.126,22.881,24.65
T1,0.88,2.443,16.104,15.587
T1,0.828,2.552,16.27,17.452
T3,1.82,5.029,34.072,34.963
T2,1.273,3.724,23.736,23.439
T4,2.503,7.798,49.616,49.637
T4,2.464,8.562,48.155,48.614
T2,1.122,3.903,24.422,26.24
T3,1.781,5.848,31.823,37.297
T4,2.464,7.421,53.253,51.956
T4,2.454,8.187,50.208,50.248
T2,1.25,4.067,24.874,25.665
T4,2.4,7.359,47.166,51.027
T3,1.636,5.602,33.114,35.042
T2,1.154,3.575,23.381,24.343
T3,1.83,5.214,34.18,34.585
T2,1.311,4.113,26.022,25.291
T1,0.853,2.592,16.53,15.79
T4,2.327,7.409,48.34,50.587
T3,1.817,5.649,36.16,34.092
T1,0.85,2.763,15.521,15.479
T2,1.195,3.873,26.51,22.808
T3,1.601,5.66,37.795,32.478
T3,1.798,5.501,37.79,37.264
T4,2.301,7.524,53.112,53.525
T3,1.81,5.298,32.168,33.728
T4,2.6,8.347,53.265,53.495
T4,2.449,8.341,52.874,46.329
T2,1.113,3.788,24.055,23.812
T1,0.832,2.456,18.306,17.603
T1,0.822,2.861,15.946,18.274
T2,1.233,3.921,25.955,22.869
T1,0.842,2.472,16.694,17.641
T2,1.285,4.155,23.912,23.524
T4,2.262,7.723,51.312,53.487
T4,2.306,7.788,52.318,45.926
T4,2.442,7.613,51.204,49.564
T4,2.445,8.189,45.755,51.938
T2,1.139,3.887,24.816,24.717
T3,1.752,5.076,33.056,35.893
T1,0.767,2.604,16.794,18.215
T3,1.703,5.253,34.117,32.624
T2,1.152,3.664,22.552,22.706
T2,1.213,3.58,22.7,23.228
T4,2.548,7.348,51.358,52.705
T3,1.809,5.581,35.904,36.191
T3,1.74,5.519,33.444,32.848
T2,1.23,3.733,24.835,22.526
T2,1.311,3.968,24.938,22.825
T3,1.742,5.449,37.622,36.553
T3,1.858,5.845,37.592,36.161
T3,1.827,5.949,35.932,35.874
T4,2.349,7.591,51.943,52.002
T3,1.599,5.96,32.546,33.1
T3,1.64,5.794,31.973,36.116
T4,2.282,7.395,53.892,48.67
