task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
2,0.26,1.17,108.53,1.07,94.44,97.8,103.52,112.77,113.16,1.01,109.81,1.14,94.94,108.04,105.29,98.62,110.73
2,1.051,1.18,108.73,1.02,104.39,99.96,102.44,107.52,99.56,1.11,109.46,1.11,96.75,101.86,107.71,107.24,100.04
4,1.147,1.07,101.55,1.0,100.83,110.28,114.4,103.32,107.98,1.01,108.66,1.13,105.68,96.12,109.34,95.13,107.35
2,1.161,1.1,97.25,0.98,98.73,93.62,97.01,103.88,115.89,1.12,100.64,1.02,101.68,96.11,101.52,110.02,101.47
4,1.593,1.01,101.26,1.09,102.54,104.08,104.03,98.75,97.15,0.97,108.74,1.02,109.29,101.45,107.22,108.27,104.02
4,1.831,0.97,108.63,1.09,95.51,106.68,99.17,109.62,106.14,1.03,108.9,1.07,110.47,111.62,110.17,102.48,106.86
3,2.3,1.12,99.77,1.18,103.87,110.64,101.93,100.86,105.14,1.01,109.86,1.18,104.57,110.33,106.68,98.66,105.92
2,2.55,1.13,101.66,1.01,98.47,104.0,95.28,106.94,112.29,1.07,102.09,1.09,95.6,106.2,97.4,104.28,116.12
2,2.568,1.11,103.24,1.09,106.5,92.4,108.03,104.96,111.62,1.04,110.69,1.12,103.93,104.91,108.41,108.62,114.39
2,2.813,1.06,97.51,1.09,98.21,103.45,100.13,109.73,99.37,1.0,101.74,1.07,106.4,108.02,103.49,99.0,104.5
1,3.905,1.03,116.22,1.08,100.04,102.19,94.05,101.38,103.66,0.96,102.19,1.09,105.79,94.79,101.0,102.32,105.21
3,3.995,1.06,108.41,1.06,96.26,106.32,100.3,95.27,98.46,1.09,95.13,1.06,103.6,106.73,100.08,111.65,95.71
1,4.103,1.08,109.6,1.02,98.44,101.43,108.36,102.76,112.09,1.04,100.65,1.03,105.29,104.89,92.3,93.56,108.91
4,4.108,1.07,101.41,1.14,94.92,108.0,100.8,99.55,102.77,1.04,102.76,1.14,97.92,107.99,107.07,103.32,107.33
2,4.363,1.05,108.51,1.02,106.48,104.87,99.62,99.47,98.2,1.14,99.77,1.06,109.58,102.79,97.38,114.86,99.49
3,4.371,1.13,107.47,1.16,106.26,105.1,109.93,97.9,107.47,0.97,98.53,1.06,104.49,115.47,97.37,94.57,95.44
2,4.538,1.11,105.5,1.12,106.65,103.14,97.22,97.57,111.15,1.02,98.58,1.15,99.16,107.22,101.12,106.98,111.3
1,4.712,0.97,117.76,1.13,108.2,108.75,100.02,96.7,111.88,0.97,116.77,1.08,103.65,106.47,105.36,102.27,112.34
1,4.727,1.1,112.24,1.12,110.11,100.67,92.34,104.69,108.96,1.08,111.86,1.04,100.8,97.08,106.19,96.75,109.58
1,4.907,0.96,112.84,1.11,104.67,102.96,104.43,94.15,116.49,0.96,103.56,1.02,106.4,112.34,93.97,97.1,110.74
3,4.932,1.12,98.37,1.08,104.46,114.91,106.29,100.98,107.52,0.97,105.39,1.06,95.32,113.51,101.89,110.44,107.13
3,5.064,0.97,100.9,1.15,100.22,109.78,114.97,104.6,94.12,1.1,108.98,1.19,106.99,111.56,111.62,95.84,93.8
2,5.54,1.1,102.23,0.99,107.29,94.68,99.16,108.12,98.9,1.14,95.68,1.11,107.11,104.49,108.18,113.57,103.06
2,5.61,1.08,93.54,1.12,93.99,95.5,103.95,112.66,109.22,1.16,107.13,0.98,106.64,101.86,104.7,101.78,105.87
2,6.101,1.16,97.27,0.99,100.78,92.89,103.18,112.62,104.78,1.18,96.55,1.03,107.66,107.01,107.67,101.41,106.01
1,6.201,0.95,118.23,0.98,96.66,108.35,94.73,105.99,111.94,1.01,116.32,0.97,107.83,97.27,99.93,93.1,105.41
1,6.252,1.05,114.99,1.04,110.97,106.44,104.25,101.66,116.78,0.96,108.34,0.96,111.51,102.22,107.09,102.37,100.66
4,7.392,1.11,100.56,1.05,111.93,94.99,115.45,111.51,100.15,1.1,96.7,1.1,99.83,95.14,115.33,109.16,106.78
3,7.413,1.04,94.79,1.09,100.05,102.29,101.01,106.04,97.24,1.07,112.14,1.06,108.33,112.12,104.86,109.29,103.27
4,7.453,0.99,94.98,1.06,98.84,111.24,102.9,95.3,96.08,1.08,101.76,1.03,109.76,109.21,116.64,96.92,98.5
