task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T1,0.073,1.09,11.04,1.05,99.68,1.18,11.35,1.06,11.51,1.08,9.94,1.0,106.31,1.03,10.98,1.0,11.61
T1,0.136,1.02,10.51,0.94,106.64,1.04,10.52,1.04,9.99,1.03,11.66,1.01,103.74,1.01,10.77,1.06,10.31
T3,0.17,1.07,11.46,0.97,104.68,1.05,11.1,1.01,10.49,1.08,10.34,1.02,106.91,1.08,9.88,1.11,10.9
T3,0.281,0.94,10.4,0.96,92.77,1.18,9.78,1.06,11.42,0.96,10.83,0.96,95.39,1.12,11.03,1.1,10.59
T3,0.653,1.11,10.96,0.99,108.81,1.07,10.08,1.1,11.55,0.99,10.91,0.99,101.05,1.02,11.06,1.06,10.21
T3,0.739,0.94,10.83,1.04,99.63,1.17,10.68,0.98,10.92,1.02,10.96,1.0,103.86,1.01,10.08,1.16,10.1
T1,0.796,1.13,11.59,0.94,115.48,1.11,10.15,1.04,11.66,1.11,11.47,1.05,104.09,1.1,11.05,1.0,11.08
T3,0.99,0.98,10.78,0.98,101.22,1.0,10.86,1.16,10.89,1.02,10.73,0.98,103.81,1.06,9.71,1.04,11.02
T3,1.316,1.06,11.8,1.12,106.35,1.1,9.99,1.14,10.51,1.11,10.92,1.03,108.04,1.11,9.88,1.02,10.4
T4,1.473,1.02,11.11,1.05,93.38,1.01,9.94,1.04,10.74,1.04,10.13,1.09,95.1,1.15,10.67,1.1,11.13
T2,1.567,0.97,9.52,1.04,107.06,0.95,11.74,0.93,11.82,1.13,9.57,1.12,106.65,0.96,11.08,1.03,11.28
T1,1.789,1.14,10.74,1.09,111.7,1.19,11.04,1.05,11.36,1.05,11.35,1.03,101.22,1.1,11.07,1.1,11.02
T1,1.829,1.01,10.23,1.03,103.08,1.08,10.7,1.12,10.81,1.06,11.26,1.02,105.5,1.11,10.59,1.06,10.06
T2,1.91,1.0,9.41,1.16,116.9,0.94,11.38,1.0,11.54,1.0,10.39,1.08,104.35,1.04,10.86,1.06,11.39
T1,1.928,1.12,11.39,0.95,111.61,1.1,10.24,1.01,11.02,1.05,10.12,1.02,114.42,1.13,10.13,0.97,10.29
T3,1.934,1.01,11.06,1.09,94.31,1.11,11.05,1.0,10.21,1.1,11.22,1.11,103.18,1.02,9.69,1.12,9.82
T4,2.069,1.02,10.19,1.1,104.96,0.99,10.89,1.08,10.25,1.05,10.89,1.02,107.83,1.06,10.85,1.02,10.04
T2,2.261,1.0,10.8,1.14,108.28,0.92,10.81,0.96,10.5,1.14,9.93,1.07,111.01,1.0,9.95,0.96,10.52
T4,2.496,1.05,11.28,0.98,109.44,1.15,10.67,1.17,10.1,1.0,10.78,1.12,98.34,1.05,11.04,1.16,11.46
T2,2.496,1.08,10.55,1.12,105.54,0.94,10.9,0.98,11.39,1.04,9.86,1.08,112.72,1.06,10.9,1.01,10.77
T4,2.529,1.16,10.09,1.03,105.53,1.08,11.1,1.17,10.63,1.17,10.09,1.09,95.92,1.12,10.15,1.06,10.13
T4,2.553,1.1,10.99,1.14,98.44,0.99,11.21,1.05,10.73,1.08,10.3,1.01,94.6,1.1,10.41,1.17,10.84
T4,3.346,1.04,10.04,1.05,106.19,1.01,10.29,1.1,11.49,1.16,11.16,1.11,103.82,1.03,10.34,1.18,11.44
T3,3.523,1.07,11.23,1.01,108.38,1.06,10.85,1.16,10.77,1.02,10.84,1.11,108.08,1.11,9.7,1.03,10.24
T3,3.902,0.96,11.41,1.02,107.71,1.16,9.93,1.08,11.13,1.01,10.04,1.11,92.97,1.1,10.82,1.1,10.43
T4,4.005,1.06,11.2,1.1,106.81,1.15,10.98,1.11,10.39,1.17,10.0,1.13,106.11,1.02,11.31,1.16,11.54
T2,4.023,1.12,9.52,1.14,116.86,1.05,11.65,0.95,11.35,1.07,9.7,1.14,118.3,0.96,11.03,1.0,10.06
T2,4.796,1.09,10.71,1.1,102.98,1.0,11.46,1.07,10.22,1.02,10.81,1.16,115.64,1.06,10.4,1.0,10.12
T2,4.9,1.09,9.5,1.16,101.22,0.94,10.5,1.09,10.78,1.07,9.98,1.01,118.86,0.95,10.35,1.08,11.32
T1,4.935,1.11,11.42,1.09,111.09,1.16,10.5,1.04,10.69,1.02,10.25,1.03,109.63,1.02,9.83,1.11,11.76
T2,4.997,1.06,9.53,1.0,113.61,0.93,11.65,1.06,11.25,1.12,10.58,1.16,118.42,1.04,11.08,1.01,10.2
T4,5.13,1.12,11.24,1.12,99.05,1.1,11.64,1.03,10.41,1.06,10.25,1.11,108.38,1.08,10.48,1.04,11.46
T4,5.226,1.07,10.27,1.05,105.01,1.04,10.48,1.04,10.39,1.0,10.22,1.11,105.81,1.04,11.42,1.02,10.13
T2,5.399,0.98,9.56,1.12,108.94,0.96,10.48,0.99,11.06,0.98,10.61,1.01,110.99,1.04,11.74,1.04,10.15
T3,5.449,1.07,10.93,1.01,96.3,1.01,10.13,1.07,10.04,0.96,11.6,1.1,104.97,1.13,11.01,1.14,10.34
T1,5.515,1.16,11.25,1.01,107.58,1.12,11.28,1.06,11.48,1.01,11.43,1.04,113.19,1.19,10.95,0.99,10.7
T3,5.515,1.08,11.79,0.98,109.15,1.09,9.9,1.11,10.1,0.96,10.68,1.02,94.07,1.03,10.4,1.16,9.86
T3,5.686,1.08,10.71,1.08,101.94,1.0,11.23,1.05,9.93,1.02,10.9,1.06,95.45,1.11,10.02,1.0,11.27
