task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T3,4.212,5.0,5.0,5.0,4.98,5.03,5.05
T3,7.257,5.0,5.0,5.0,5.06,5.04,4.99
T1,14.966,10.0,10.0,10.0,10.05,10.06,9.85
T3,32.936,5.0,5.0,5.0,5.07,4.93,5.02
T2,34.673,15.0,15.0,15.0,15.07,15.24,14.92
T2,45.57,15.0,15.0,15.0,14.91,15.24,14.98
T1,50.159,10.0,10.0,10.0,9.87,9.85,9.96
T4,54.235,2.0,2.0,2.0,1.98,2.02,2.03
T4,63.513,2.0,2.0,2.0,2.03,1.98,1.97
T3,73.014,5.0,5.0,5.0,4.93,5.0,4.96
T3,78.462,5.0,5.0,5.0,4.96,4.92,4.99
T3,85.287,5.0,5.0,5.0,5.06,5.01,4.92
T1,90.719,10.0,10.0,10.0,10.15,10.06,9.99
T2,91.155,15.0,15.0,15.0,14.77,14.85,14.94
T1,96.12,10.0,10.0,10.0,9.9,9.97,9.99
T2,96.174,15.0,15.0,15.0,14.79,15.04,15.24
T3,105.248,5.0,5.0,5.0,4.97,5.07,4.97
T1,117.444,10.0,10.0,10.0,9.98,10.11,9.92
T3,126.264,5.0,5.0,5.0,5.02,4.93,5.08
T1,127.233,10.0,10.0,10.0,10.16,10.1,9.84
T3,133.792,5.0,5.0,5.0,4.99,5.02,5.03
T4,140.981,2.0,2.0,2.0,1.97,2.01,2.01
T1,158.938,10.0,10.0,10.0,10.14,10.08,9.84
T2,165.141,15.0,15.0,15.0,14.91,14.93,15.09
T1,167.47,10.0,10.0,10.0,10.01,9.94,10.0
T1,171.535,10.0,10.0,10.0,9.93,9.9,10.14
T4,172.437,2.0,2.0,2.0,2.03,2.01,2.01
T1,173.39,10.0,10.0,10.0,9.85,9.94,10.02
T4,176.084,2.0,2.0,2.0,2.0,2.0,1.97
T1,176.581,10.0,10.0,10.0,10.04,9.83,9.91
T1,177.189,10.0,10.0,10.0,9.89,9.97,10.14
T2,180.895,15.0,15.0,15.0,15.24,14.8,15.09
T4,181.596,2.0,2.0,2.0,2.01,1.97,2.03
T1,187.818,10.0,10.0,10.0,10.12,10.01,9.88
T4,197.157,2.0,2.0,2.0,1.97,1.99,2.0
T3,211.2,5.0,5.0,5.0,5.05,4.97,5.01
T2,216.337,15.0,15.0,15.0,15.07,14.74,15.23
T1,219.021,10.0,10.0,10.0,9.86,9.94,9.83
T4,220.804,2.0,2.0,2.0,2.03,1.99,2.01
T4,222.484,2.0,2.0,2.0,2.01,2.03,2.0
T1,227.89,10.0,10.0,10.0,9.85,9.9,9.96
T4,232.01,2.0,2.0,2.0,1.97,1.98,2.03
T3,239.757,5.0,5.0,5.0,5.06,4.98,4.95
T1,240.455,10.0,10.0,10.0,9.98,9.88,9.99
T3,247.245,5.0,5.0,5.0,4.92,5.01,4.97
T3,256.571,5.0,5.0,5.0,5.0,4.95,5.07
T4,256.88,2.0,2.0,2.0,1.98,2.01,1.98
T4,269.586,2.0,2.0,2.0,1.98,1.99,2.01
T2,271.908,15.0,15.0,15.0,14.92,15.07,14.88
T3,282.737,5.0,5.0,5.0,5.06,4.94,5.0
T4,302.528,2.0,2.0,2.0,2.0,1.98,2.0
T1,305.079,10.0,10.0,10.0,9.85,10.01,10.04
T3,309.372,5.0,5.0,5.0,5.07,5.05,5.06
T2,310.942,15.0,15.0,15.0,15.09,14.76,14.87
T3,312.282,5.0,5.0,5.0,4.97,4.93,5.08
T4,317.491,2.0,2.0,2.0,1.98,1.97,2.0
T3,319.812,5.0,5.0,5.0,5.09,4.97,4.93
T2,325.042,15.0,15.0,15.0,15.14,15.24,15.24
T3,335.285,5.0,5.0,5.0,4.97,5.05,4.98
T3,335.834,5.0,5.0,5.0,5.03,5.06,4.99
T1,339.088,10.0,10.0,10.0,10.16,9.84,9.93
T3,343.159,5.0,5.0,5.0,4.92,5.05,4.95
T2,352.035,15.0,15.0,15.0,14.92,14.98,14.94
T2,353.201,15.0,15.0,15.0,15.26,15.02,15.07
T3,354.993,5.0,5.0,5.0,5.0,5.0,4.94
T1,357.698,10.0,10.0,10.0,10.14,10.03,9.9
T3,358.498,5.0,5.0,5.0,5.0,5.0,5.06
T1,359.236,10.0,10.0,10.0,9.87,9.91,10.12
T2,361.629,15.0,15.0,15.0,15.15,15.23,15.03
T2,370.406,15.0,15.0,15.0,14.86,14.97,14.92
T2,378.087,15.0,15.0,15.0,14.89,15.07,15.23
T4,380.588,2.0,2.0,2.0,1.98,2.0,2.03
T2,382.135,15.0,15.0,15.0,15.05,15.25,15.16
T2,390.614,15.0,15.0,15.0,14.82,15.04,14.89
T2,396.359,15.0,15.0,15.0,14.89,15.14,14.84
T1,397.473,10.0,10.0,10.0,10.01,9.87,10.16
T3,398.526,5.0,5.0,5.0,5.08,5.03,4.97
T2,428.766,15.0,15.0,15.0,14.74,14.92,15.13
T3,429.012,5.0,5.0,5.0,5.05,5.09,4.94
T4,435.77,2.0,2.0,2.0,1.98,2.0,1.98
T3,437.831,5.0,5.0,5.0,5.0,5.0,4.93
