task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,2.433,10.0,10.0,10.0,9.95,10.02,9.85
T1,4.52,10.0,10.0,10.0,9.84,10.06,10.01
T3,5.682,5.0,5.0,5.0,4.97,5.06,5.05
T3,9.36,5.0,5.0,5.0,4.96,5.05,5.01
T3,21.761,5.0,5.0,5.0,5.08,5.04,5.0
T3,24.636,5.0,5.0,5.0,5.04,4.95,5.08
T1,26.546,10.0,10.0,10.0,9.87,9.93,10.07
T3,33.001,5.0,5.0,5.0,4.99,5.0,4.99
T3,43.868,5.0,5.0,5.0,4.92,5.0,5.0
T4,49.084,2.0,2.0,2.0,1.98,2.0,2.0
T2,52.231,15.0,15.0,15.0,14.88,15.24,14.86
T1,59.647,10.0,10.0,10.0,10.05,10.02,9.94
T1,60.961,10.0,10.0,10.0,10.07,9.9,10.02
T2,63.672,15.0,15.0,15.0,15.03,14.93,14.89
T1,64.262,10.0,10.0,10.0,10.15,9.89,10.1
T3,64.458,5.0,5.0,5.0,5.02,4.98,5.0
T4,68.973,2.0,2.0,2.0,2.03,2.0,1.97
T2,75.355,15.0,15.0,15.0,14.82,15.05,14.8
T2,83.187,15.0,15.0,15.0,15.07,14.8,14.98
T4,83.197,2.0,2.0,2.0,1.99,1.99,2.02
T4,84.284,2.0,2.0,2.0,2.01,1.98,1.98
T4,85.1,2.0,2.0,2.0,2.0,2.01,2.02
T4,111.535,2.0,2.0,2.0,2.0,2.0,1.98
T3,117.437,5.0,5.0,5.0,4.97,4.97,5.07
T3,130.082,5.0,5.0,5.0,5.0,4.95,5.0
T4,133.488,2.0,2.0,2.0,2.01,1.98,1.97
T2,134.084,15.0,15.0,15.0,14.75,14.99,15.25
T2,159.87,15.0,15.0,15.0,15.06,14.88,15.21
T2,163.321,15.0,15.0,15.0,15.06,15.09,14.85
T1,164.514,10.0,10.0,10.0,9.9,10.08,10.15
T2,166.559,15.0,15.0,15.0,14.78,15.24,14.85
T4,171.015,2.0,2.0,2.0,1.98,2.0,1.97
T4,174.202,2.0,2.0,2.0,1.98,1.97,2.01
T2,179.956,15.0,15.0,15.0,14.91,14.87,15.07
T3,181.625,5.0,5.0,5.0,4.98,4.96,4.95
T1,183.817,10.0,10.0,10.0,9.99,9.91,10.06
T3,183.841,5.0,5.0,5.0,5.06,4.95,4.95
T3,189.539,5.0,5.0,5.0,4.95,5.02,5.04
T3,194.197,5.0,5.0,5.0,4.92,5.02,4.92
T4,197.812,2.0,2.0,2.0,2.03,2.02,2.03
T2,207.019,15.0,15.0,15.0,14.88,14.75,14.91
T3,211.16,5.0,5.0,5.0,4.94,4.97,5.04
T4,218.711,2.0,2.0,2.0,1.98,2.03,1.98
