task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
3,0.094,114.26,106.28,0.96,97.95,106.28,101.07,102.44,1.02,108.29,108.35,1.11,95.31,106.83,114.17,111.06,1.12
3,0.176,105.87,112.13,0.98,108.18,101.17,107.01,105.04,1.1,106.25,102.88,1.1,103.15,100.86,105.58,112.22,1.02
2,0.552,112.12,116.4,1.0,108.25,111.05,107.25,113.24,0.99,107.54,118.52,0.98,105.66,106.17,113.88,116.89,0.99
4,0.867,113.14,106.11,1.18,92.55,112.91,115.47,113.73,0.93,106.28,106.94,1.02,93.2,111.88,114.24,104.58,0.94
4,0.919,99.42,102.94,1.18,101.29,104.48,116.34,114.5,0.99,106.12,107.63,1.08,101.48,113.19,113.73,118.25,1.01
4,0.943,107.03,93.47,1.1,98.82,108.98,113.16,110.16,0.96,105.65,92.72,1.18,94.16,111.13,114.67,109.46,0.96
1,1.365,92.84,104.14,1.12,106.28,107.85,96.39,97.76,0.99,101.2,105.52,1.07,99.41,108.92,109.86,104.46,1.05
2,1.552,111.96,103.66,0.98,107.7,109.37,110.21,104.36,0.94,102.61,103.7,1.13,96.83,98.66,107.35,108.82,1.03
3,1.881,111.03,111.83,0.97,94.21,108.2,102.05,106.98,1.07,116.28,107.49,0.96,97.04,106.57,108.98,108.38,1.08
2,2.092,117.68,103.8,1.12,103.82,96.94,115.07,104.21,1.06,117.29,115.53,1.03,98.3,107.32,114.92,99.54,1.04
4,2.351,97.06,102.94,1.03,99.98,115.26,101.47,111.8,1.01,104.76,101.1,1.03,93.85,99.99,108.25,114.82,0.98
3,2.367,103.53,100.54,1.02,97.09,114.45,106.87,105.39,0.96,101.22,102.85,0.97,108.55,106.76,108.11,106.45,0.97
1,2.553,94.94,101.59,1.11,95.5,98.35,102.38,98.4,1.04,93.03,100.99,1.12,103.66,93.45,107.2,95.64,0.96
2,2.607,115.99,105.04,1.0,100.01,102.21,103.38,103.03,1.01,113.7,108.02,1.03,94.98,101.23,110.45,102.18,1.01
3,2.652,100.22,102.73,1.06,94.89,109.98,112.47,101.06,1.02,103.94,114.02,1.06,99.05,98.57,102.76,112.3,1.06
3,2.81,117.95,104.19,1.04,94.57,105.08,114.34,103.27,1.06,102.7,106.28,1.08,110.22,100.63,99.77,113.15,1.09
2,3.029,113.74,101.04,1.06,92.31,95.04,108.84,103.14,1.06,111.29,113.23,0.96,105.18,107.56,106.7,106.9,1.09
1,3.089,97.75,102.28,1.14,95.36,93.04,106.74,94.29,1.02,105.01,93.8,1.02,102.53,107.0,105.56,100.3,0.97
2,3.304,114.55,108.04,1.08,98.38,102.38,105.19,113.95,0.94,117.1,110.96,1.1,92.31,101.09,114.58,105.04,1.05
4,3.421,101.71,98.75,1.09,98.8,109.59,116.19,117.92,0.95,103.8,94.61,1.05,94.4,100.98,117.78,108.37,0.96
3,3.557,111.64,107.95,0.98,98.04,105.08,99.82,100.05,1.07,110.17,111.97,1.08,106.66,114.18,114.09,112.57,1.02
1,3.591,106.86,108.41,1.1,96.2,96.37,95.84,108.51,1.08,104.69,94.35,1.13,100.82,95.5,104.06,109.77,1.13
1,3.616,96.55,106.93,1.08,100.59,94.66,104.48,94.25,0.97,106.98,97.89,1.04,102.0,98.94,99.49,101.09,0.96
1,3.77,97.07,103.65,1.08,99.61,99.86,101.59,110.84,1.01,96.96,91.81,1.08,106.68,92.49,105.82,103.99,1.06
