task_type,m1_1,m2_1,m3_1
T2,0.124,0.272,9.286
T2,0.134,0.275,10.452
T2,0.131,0.255,10.688
T1,0.107,0.308,6.083
T2,0.133,0.285,10.136
T4,4.451,4.568,4.373
T3,0.041,3.522,6.595
T4,4.032,3.992,4.553
T2,0.129,0.277,9.25
T2,0.137,0.26,10.059
T3,0.043,3.23,7.032
T2,0.131,0.259,10.353
T1,0.104,0.317,6.262
T1,0.095,0.326,6.103
T1,0.102,0.317,6.65
T4,4.341,4.487,4.484
T4,4.256,4.002,4.605
T2,0.124,0.254,9.874
T4,4.287,4.198,4.614
T2,0.142,0.272,9.608
T3,0.043,3.188,6.319
T3,0.041,3.366,6.75
T4,4.031,4.422,4.401
T1,0.097,0.332,6.942
T3,0.042,3.399,6.572
T1,0.1,0.328,6.58
T4,4.168,4.45,3.998
T3,0.039,3.024,6.594
T3,0.043,3.0,6.818
T1,0.092,0.323,6.113
T2,0.126,0.283,9.699
T3,0.038,3.209,6.422
T3,0.044,3.211,6.545
T2,0.13,0.281,10.296
T1,0.103,0.286,6.675
T1,0.095,0.298,6.202
T3,0.045,3.143,6.395
T2,0.14,0.27,9.237
T4,4.362,4.132,4.58
T4,4.369,4.26,4.466
T2,0.134,0.253,9.888
T3,0.042,3.013,6.856
T4,4.686,4.383,4.334
T4,4.154,4.043,3.985
T2,0.124,0.285,9.315
T4,4.488,4.449,4.181
T3,0.044,3.106,6.245
T2,0.127,0.279,9.326
T3,0.04,3.196,6.047
T2,0.138,0.25,9.207
T1,0.101,0.316,6.349
T4,4.517,4.041,4.228
T3,0.038,3.513,6.89
T1,0.096,0.291,6.268
T2,0.13,0.275,10.265
T3,0.039,3.439,7.009
T3,0.043,3.341,6.266
T4,4.425,4.541,4.243
T3,0.044,3.51,6.619
T4,4.418,4.521,4.335
T4,4.349,4.41,4.519
T2,0.13,0.284,10.724
T1,0.1,0.314,6.934
T1,0.104,0.322,6.299
T2,0.134,0.284,10.194
T1,0.107,0.299,6.751
T2,0.129,0.294,9.539
T4,4.347,4.613,4.512
T4,4.68,4.34,4.677
T4,4.169,4.623,4.222
T4,4.636,4.02,4.672
T2,0.137,0.256,10.039
T3,0.042,3.423,7.02
T1,0.094,0.32,6.752
T3,0.038,3.048,6.792
T2,0.144,0.269,9.162
T2,0.128,0.288,9.652
T4,4.638,4.4,4.251
T3,0.038,3.136,6.803
T3,0.044,3.109,6.55
T2,0.13,0.268,9.282
T2,0.129,0.286,9.224
T3,0.04,3.133,6.186
T3,0.041,2.995,6.905
T3,0.042,3.158,6.153
T4,4.222,4.324,4.085
T3,0.038,3.049,6.5
T3,0.042,3.385,6.541
T4,4.513,4.612,4.54
T2,0.142,0.268,10.681
T3,0.038,3.019,6.572
T3,0.043,3.535,6.936
T1,0.103,0.299,6.248
T4,4.125,4.305,4.708
T1,0.098,0.289,6.25
T4,4.319,4.121,4.47
T4,4.252,4.427,4.176
T3,0.04,2.996,6.359
T4,4.419,4.16,4.361
T3,0.042,2.987,7.015
T2,0.144,0.285,9.773
T3,0.04,3.364,7.003
T3,0.038,3.24,6.573
T2,0.139,0.266,9.518
T2,0.144,0.266,10.567
T3,0.039,3.305,6.999
T1,0.104,0.324,6.555
T2,0.129,0.269,9.381
T2,0.135,0.252,10.429
T2,0.142,0.279,9.404
T3,0.039,3.443,6.214
T4,4.619,4.15,3.994
T1,0.098,0.313,5.955
T1,0.101,0.309,6.343
T2,0.132,0.252,10.152
T3,0.042,3.538,7.143
T2,0.134,0.251,9.185
T4,4.371,4.597,4.046
T2,0.144,0.269,10.093
T1,0.093,0.316,6.17
T3,0.044,3.42,6.489
T1,0.106,0.29,6.586
T1,0.096,0.306,6.292
T2,0.127,0.274,10.676
T1,0.098,0.296,6.473
T1,0.093,0.318,6.303
T1,0.106,0.328,6.412
T4,4.304,3.994,4.675
T4,4.495,4.622,4.432
T1,0.096,0.294,6.973
T4,4.382,4.435,4.612
T1,0.095,0.296,6.015
T1,0.095,0.319,6.979
T1,0.095,0.283,6.921
T4,4.5,4.072,4.158
T2,0.144,0.292,10.801
T1,0.1,0.333,6.654
T1,0.093,0.306,6.902
T3,0.038,3.199,6.894
T1,0.093,0.309,6.654
T2,0.122,0.273,10.49
T1,0.1,0.305,6.81
T1,0.108,0.296,6.901
T4,3.996,4.223,4.034
T4,4.245,4.418,4.559
T3,0.043,3.406,6.413
T2,0.123,0.259,9.873
T1,0.107,0.319,6.332
T1,0.095,0.312,6.831
T2,0.139,0.288,10.526
T4,4.675,4.187,4.642
T3,0.041,3.077,6.935
T3,0.04,3.101,7.116
T2,0.134,0.289,9.532
T1,0.104,0.3,6.549
T2,0.123,0.274,10.164
T3,0.044,3.172,6.86
T2,0.138,0.279,9.685
T2,0.137,0.249,10.385
T3,0.039,3.016,6.447
T2,0.142,0.275,10.815
T4,3.978,4.348,4.173
T4,4.607,4.37,4.655
T4,3.98,4.443,4.47
T4,4.598,4.63,4.033
T3,0.038,3.034,6.071
T3,0.043,3.471,6.56
T3,0.041,3.466,6.518
T3,0.04,3.163,6.129
T2,0.128,0.273,9.56
T4,4.275,4.405,4.108
T3,0.044,3.29,6.719
T3,0.038,3.314,6.847
T2,0.128,0.25,10.468
T1,0.096,0.293,6.09
T4,4.271,4.519,3.977
T3,0.04,3.006,6.142
T2,0.128,0.289,9.988
T1,0.098,0.292,6.091
T3,0.043,3.202,6.718
T3,0.044,3.351,6.674
T1,0.105,0.322,6.508
T4,4.593,4.679,4.332
T2,0.127,0.266,10.344
T4,4.589,4.406,4.256
T4,4.186,4.686,4.394
T3,0.044,3.125,6.29
T2,0.126,0.255,9.415
T1,0.096,0.284,6.343
T2,0.14,0.263,9.598
T4,4.402,4.021,3.969
T3,0.043,3.002,6.394
T3,0.042,3.108,6.12
T4,4.69,4.497,4.602
T3,0.043,3.007,6.089
T4,4.089,4.313,4.637
T2,0.139,0.276,10.612
T4,4.408,4.153,4.06
T3,0.04,3.062,6.431
T2,0.138,0.285,9.159
T3,0.042,3.368,7.047
T4,4.188,4.211,4.576
T3,0.044,3.123,6.181
T4,4.125,4.479,4.312
T3,0.041,3.085,6.126
T3,0.04,3.07,6.052
T3,0.044,3.422,6.772
T4,4.212,4.201,4.227
T4,4.019,4.583,4.184
T2,0.129,0.251,10.269
T1,0.103,0.325,6.203
T3,0.045,3.466,6.269
T2,0.141,0.283,9.427
T2,0.135,0.286,10.562
T4,4.548,4.639,4.478
T4,4.038,4.582,4.029
T1,0.096,0.3,6.375
T1,0.094,0.298,6.228
T2,0.131,0.282,9.404
T3,0.038,3.205,6.558
T3,0.044,3.349,6.395
T1,0.099,0.312,6.334
T3,0.039,3.156,6.077
T1,0.099,0.291,6.899
T1,0.096,0.328,6.173
T2,0.128,0.275,10.0
T2,0.14,0.287,10.779
T3,0.041,3.355,6.311
T3,0.044,3.27,6.087
T2,0.124,0.288,9.496
T3,0.04,3.326,7.026
T4,4.071,3.996,3.994
T1,0.097,0.323,6.561
T3,0.044,3.243,6.391
T2,0.143,0.277,10.081
T2,0.129,0.276,9.438
T3,0.039,2.982,7.035
T4,3.962,4.191,4.711
T1,0.096,0.306,6.953
T2,0.141,0.262,10.369
T2,0.132,0.281,9.904
T1,0.094,0.326,6.149
T2,0.131,0.272,9.961
T4,4.618,4.7,4.068
T2,0.127,0.269,10.827
T3,0.041,3.262,6.228
T2,0.144,0.287,10.587
T1,0.094,0.31,7.032
T3,0.044,3.287,6.214
T2,0.143,0.272,9.276
T1,0.109,0.299,6.08
T4,4.603,4.56,4.165
T4,4.569,4.129,4.364
T1,0.099,0.301,6.336
T4,4.504,4.078,4.416
T1,0.096,0.295,6.815
T2,0.14,0.266,10.677
T4,4.566,4.199,4.474
T1,0.096,0.309,6.756
T3,0.038,2.985,6.194
T4,4.434,4.36,4.29
T2,0.135,0.261,10.778
T1,0.108,0.317,6.463
T2,0.144,0.284,9.472
T2,0.133,0.25,9.372
T4,4.074,4.446,4.39
T2,0.126,0.287,9.94
T1,0.101,0.304,6.2
T2,0.128,0.279,10.389
T2,0.127,0.272,9.253
T3,0.04,3.092,6.651
T4,4.316,4.706,4.681
T3,0.042,3.495,7.025
T2,0.143,0.277,10.768
T2,0.132,0.252,9.193
T2,0.13,0.266,10.598
T2,0.138,0.274,10.813
T3,0.04,3.518,6.745
T4,4.062,4.523,4.543
T3,0.039,3.097,6.426
T1,0.108,0.324,6.44
T4,4.098,4.668,4.329
T2,0.138,0.277,9.871
T1,0.097,0.303,6.208
T3,0.042,3.178,6.203
T3,0.04,3.455,6.982
T3,0.041,3.158,6.603
T2,0.123,0.271,9.728
T2,0.141,0.253,10.302
T1,0.094,0.318,6.898
T4,4.394,4.275,4.323
T3,0.039,3.367,6.839
T1,0.106,0.319,6.849
T3,0.042,3.042,6.58
T1,0.104,0.321,6.059
T2,0.134,0.29,10.319
T1,0.097,0.299,6.674
T1,0.099,0.322,6.854
T1,0.104,0.308,6.003
T1,0.108,0.316,6.091
T2,0.142,0.285,9.356
T2,0.123,0.277,9.612
T4,4.666,4.043,3.97
T1,0.095,0.312,6.341
T3,0.045,3.161,6.977
T2,0.133,0.25,9.739
T1,0.102,0.296,6.227
T3,0.041,3.391,6.569
T1,0.107,0.322,6.155
T1,0.106,0.311,6.269
T3,0.042,3.414,6.777
T4,4.03,3.966,4.451
T4,4.084,4.333,4.169
T4,4.525,4.383,4.339
T2,0.131,0.256,9.659
T2,0.134,0.26,9.544
T4,4.03,4.459,4.354
T3,0.04,3.163,6.564
T3,0.04,3.143,7.16
T4,4.289,4.092,4.201
T1,0.104,0.33,6.053
T2,0.139,0.282,10.133
T2,0.138,0.29,10.42
T3,0.04,3.385,6.707
T2,0.129,0.254,9.777
T2,0.135,0.275,9.553
T3,0.044,3.136,7.01
T4,4.034,4.195,4.289
T4,4.433,4.508,4.653
T2,0.141,0.276,10.7
T2,0.137,0.258,10.61
T2,0.129,0.267,9.578
T3,0.043,3.023,6.545
T4,4.244,4.116,4.424
T1,0.094,0.317,6.809
T3,0.042,3.382,6.228
T4,4.276,4.106,4.264
T3,0.042,3.326,6.67
T3,0.041,3.04,6.572
T1,0.094,0.313,6.562
T2,0.134,0.273,9.579
T4,4.38,4.131,4.132
T1,0.098,0.317,7.036
T3,0.043,3.253,6.033
T2,0.144,0.269,10.57
T2,0.127,0.257,10.499
T3,0.042,3.319,6.238
T1,0.108,0.327,6.18
T4,4.198,4.695,4.051
T3,0.04,2.999,6.652
T2,0.125,0.263,9.563
T4,4.431,4.081,4.276
T2,0.127,0.279,10.116
T4,4.239,4.531,4.689
T1,0.096,0.319,6.001
T4,4.159,4.501,4.585
T1,0.104,0.329,5.969
T2,0.132,0.281,10.178
T4,4.698,4.536,4.642
T1,0.092,0.323,6.523
T2,0.129,0.29,9.906
T3,0.039,3.258,6.766
T4,4.471,4.521,4.558
T1,0.095,0.295,6.235
T4,4.434,4.585,4.422
T2,0.142,0.286,9.281
T2,0.14,0.249,10.356
T4,4.399,4.121,4.115
T1,0.095,0.321,7.018
T4,4.284,4.22,4.348
T1,0.1,0.324,5.952
T1,0.098,0.289,6.028
T2,0.126,0.282,10.364
T3,0.039,3.391,6.125
T1,0.106,0.331,6.8
T4,4.115,4.697,4.148
T2,0.139,0.256,9.949
T4,4.49,4.431,4.68
T2,0.14,0.285,9.25
T4,4.65,4.25,4.558
T1,0.095,0.304,6.636
T1,0.096,0.281,5.997
T2,0.125,0.294,9.524
T2,0.126,0.283,9.206
T2,0.143,0.253,9.44
T3,0.042,3.178,6.152
T1,0.095,0.32,6.445
T2,0.136,0.266,10.703
T1,0.101,0.31,6.991
T2,0.142,0.256,9.801
T3,0.044,3.05,6.258
T2,0.128,0.281,9.558
T1,0.109,0.295,6.673
T3,0.042,3.174,6.84
T4,3.96,4.409,4.713
T2,0.123,0.29,10.782
T4,4.566,4.618,4.641
T3,0.04,3.175,6.571
T2,0.134,0.285,9.479
T2,0.131,0.284,10.165
T3,0.041,3.058,6.901
T1,0.105,0.313,6.148
T4,4.374,4.158,4.249
T3,0.041,3.302,6.887
T1,0.099,0.32,6.798
T2,0.143,0.286,9.784
T3,0.042,3.509,6.686
T4,4.035,4.491,4.108
T2,0.13,0.286,10.081
T4,4.328,4.224,4.158
T3,0.041,3.236,6.438
T4,4.311,4.657,4.241
T4,3.96,4.516,4.529
T4,4.289,4.017,4.436
T1,0.093,0.295,5.94
T1,0.105,0.325,7.018
T3,0.038,3.024,7.032
T2,0.13,0.257,9.726
T1,0.096,0.301,5.986
T4,4.514,4.519,3.972
T1,0.106,0.331,6.33
T4,4.199,3.991,4.069
T1,0.108,0.325,6.53
T1,0.096,0.286,6.721
T2,0.129,0.264,9.595
T1,0.1,0.298,6.709
T3,0.038,3.009,6.022
T1,0.096,0.321,6.937
T2,0.135,0.278,9.312
T2,0.136,0.279,10.63
T2,0.129,0.28,9.956
T4,4.303,4.619,4.017
T2,0.127,0.291,10.098
T1,0.095,0.322,6.504
T2,0.139,0.278,9.803
T4,4.222,4.218,4.519
T3,0.044,2.997,6.604
T4,4.226,4.676,4.221
T4,4.67,4.618,4.511
T1,0.093,0.293,6.446
T4,4.32,4.701,4.039
T3,0.039,3.018,7.154
T3,0.043,3.108,7.097
T3,0.041,3.404,7.043
T4,4.178,4.418,4.287
T1,0.098,0.282,6.173
T3,0.042,3.517,6.272
T4,4.589,4.391,4.19
T3,0.04,2.998,6.718
T3,0.045,3.484,7.009
T1,0.092,0.323,6.261
T3,0.043,3.338,6.158
T3,0.039,3.312,7.005
T4,4.384,4.183,4.654
T3,0.039,3.441,6.474
T1,0.103,0.321,6.247
T1,0.093,0.317,6.701
T1,0.103,0.313,6.619
T3,0.04,3.393,6.719
T3,0.044,3.369,6.451
T4,4.288,4.123,4.707
T4,4.043,4.048,4.203
T4,4.124,4.013,4.676
T1,0.106,0.321,6.565
T1,0.104,0.313,6.989
T1,0.1,0.294,6.29
T3,0.038,3.398,6.863
T3,0.039,3.184,6.476
T4,3.991,4.436,4.169
T3,0.039,2.987,6.448
T3,0.038,3.401,6.143
T1,0.106,0.308,6.667
T4,4.591,4.43,4.703
T3,0.04,3.295,6.638
T4,4.659,4.338,4.694
T1,0.109,0.298,6.696
T1,0.098,0.314,6.976
T4,4.507,4.175,4.159
T1,0.096,0.313,6.458
T4,4.116,4.056,4.343
T1,0.093,0.322,6.041
T1,0.096,0.318,7.027
T1,0.1,0.332,6.458
T1,0.092,0.321,6.42
T4,4.407,4.349,4.46
T1,0.107,0.304,6.046
T4,4.003,4.271,4.097
T1,0.092,0.288,6.079
T4,4.064,4.678,4.18
T1,0.108,0.317,6.787
T4,4.235,4.711,4.602
T1,0.107,0.327,6.959
T4,4.212,4.635,4.56
T1,0.099,0.284,6.766
T4,4.615,4.345,4.243
T1,0.107,0.292,6.637
T1,0.092,0.326,6.884
T1,0.101,0.328,5.987
T4,4.568,4.306,4.472
T4,3.975,4.354,4.337
