task_type,m1_1,m2_1,m3_1,m4_1
T2,0.094,1.181,2.953,4.599
T2,0.107,1.106,3.126,4.933
T2,0.105,1.264,3.169,4.301
T1,0.003,0.028,0.086,0.124
T2,0.098,1.184,3.305,4.857
T4,0.236,2.396,6.977,10.845
T3,0.147,1.996,4.653,7.224
T4,0.208,2.416,6.726,10.82
T2,0.093,1.188,3.133,4.345
T2,0.099,1.228,3.281,4.563
T3,0.155,1.911,4.944,7.769
T2,0.095,1.191,3.382,4.426
T1,0.003,0.028,0.078,0.119
T1,0.003,0.031,0.083,0.118
T1,0.003,0.031,0.083,0.127
T4,0.207,2.556,7.214,9.336
T4,0.211,2.683,6.345,10.084
T2,0.102,1.149,3.124,4.962
T4,0.206,2.496,7.385,10.18
T2,0.099,1.11,2.938,4.801
T3,0.161,1.711,4.885,6.749
T3,0.146,1.742,5.338,7.633
T4,0.223,2.763,7.357,9.671
T1,0.003,0.032,0.075,0.115
T3,0.162,1.842,4.744,7.02
T1,0.003,0.029,0.087,0.113
T4,0.237,2.411,7.138,9.53
T3,0.165,1.759,5.253,6.737
T3,0.156,1.767,5.295,7.203
T1,0.003,0.03,0.084,0.109
T2,0.098,1.161,3.377,4.283
T3,0.168,1.982,5.288,7.387
T3,0.148,1.966,5.212,6.892
T2,0.105,1.256,2.962,4.611
T1,0.003,0.028,0.078,0.109
T1,0.003,0.029,0.079,0.122
T3,0.168,1.704,4.909,7.278
T2,0.106,1.134,3.073,4.385
T4,0.223,2.538,6.868,9.927
T4,0.219,2.787,6.666,9.723
T2,0.093,1.188,3.162,4.909
T3,0.165,1.981,4.585,7.764
T4,0.219,2.415,7.371,10.391
T4,0.218,2.665,6.95,10.05
T2,0.104,1.238,3.221,4.801
T4,0.213,2.395,6.529,10.205
T3,0.151,1.898,4.771,7.295
T2,0.096,1.088,3.027,4.554
T3,0.169,1.766,4.925,7.2
T2,0.109,1.252,3.369,4.731
T1,0.003,0.029,0.08,0.11
T4,0.207,2.412,6.691,10.117
T3,0.168,1.914,5.21,7.097
T1,0.003,0.031,0.075,0.108
T2,0.099,1.179,3.432,4.267
T3,0.148,1.917,5.445,6.761
T3,0.166,1.864,5.445,7.758
T4,0.205,2.449,7.352,10.705
T3,0.168,1.795,4.635,7.021
T4,0.231,2.717,7.373,10.699
T4,0.218,2.715,7.319,9.266
T2,0.093,1.153,3.115,4.455
T1,0.003,0.028,0.088,0.123
T1,0.003,0.032,0.077,0.127
T2,0.103,1.194,3.361,4.278
T1,0.003,0.028,0.081,0.123
T2,0.107,1.265,3.096,4.401
T4,0.201,2.514,7.103,10.697
T4,0.205,2.535,7.242,9.185
T4,0.217,2.478,7.088,9.913
T4,0.217,2.665,6.333,10.388
T2,0.095,1.183,3.213,4.624
T3,0.162,1.72,4.763,7.472
T1,0.002,0.03,0.081,0.127
T3,0.158,1.78,4.916,6.792
T2,0.096,1.115,2.92,4.248
T2,0.101,1.09,2.939,4.345
T4,0.227,2.392,7.109,10.541
T3,0.167,1.891,5.173,7.534
T3,0.161,1.87,4.819,6.838
T2,0.102,1.137,3.216,4.214
T2,0.109,1.208,3.229,4.27
T3,0.161,1.846,5.421,7.61
T3,0.172,1.98,5.416,7.528
T3,0.169,2.015,5.177,7.468
T4,0.209,2.471,7.19,10.4
T3,0.148,2.019,4.689,6.891
T3,0.152,1.963,4.607,7.519
T4,0.203,2.407,7.46,9.734
T2,0.096,1.177,2.981,4.657
T3,0.156,1.842,5.27,7.616
T3,0.168,1.781,5.208,7.774
T1,0.003,0.028,0.082,0.112
T4,0.236,2.61,7.124,10.714
T1,0.002,0.028,0.083,0.117
T4,0.232,2.6,6.514,10.275
T4,0.22,2.386,6.413,10.844
T3,0.147,1.705,4.813,7.031
T4,0.234,2.631,6.521,10.801
T3,0.158,1.948,5.372,7.381
T2,0.109,1.181,2.934,4.484
T3,0.162,1.971,5.251,7.271
T3,0.147,1.888,5.215,7.09
T2,0.104,1.262,3.252,4.791
T2,0.101,1.277,3.146,4.492
T3,0.157,1.958,5.44,7.754
T1,0.003,0.032,0.084,0.125
T2,0.104,1.276,3.011,4.453
T2,0.098,1.258,3.226,4.191
T2,0.098,1.179,2.969,4.875
T3,0.159,1.837,4.605,7.641
T4,0.223,2.353,6.769,9.55
T1,0.003,0.031,0.084,0.127
T1,0.003,0.033,0.086,0.11
T2,0.108,1.23,3.108,4.363
T3,0.156,1.924,5.377,7.67
T2,0.095,1.161,3.202,4.684
T4,0.209,2.639,6.336,10.241
T2,0.1,1.191,2.918,4.637
T1,0.002,0.031,0.083,0.125
T3,0.156,1.884,4.681,7.812
T1,0.003,0.03,0.088,0.123
T1,0.002,0.028,0.077,0.124
T2,0.096,1.237,3.152,4.248
T1,0.002,0.032,0.08,0.11
T1,0.003,0.029,0.083,0.109
T1,0.002,0.028,0.08,0.123
T4,0.232,2.399,6.434,10.13
T4,0.202,2.611,6.877,9.174
T1,0.003,0.028,0.086,0.113
T4,0.238,2.692,6.527,9.521
T1,0.003,0.03,0.082,0.12
T1,0.003,0.031,0.084,0.124
T1,0.003,0.029,0.081,0.127
T4,0.218,2.677,6.568,10.12
T2,0.106,1.083,3.22,4.809
T1,0.003,0.028,0.088,0.128
T1,0.003,0.029,0.075,0.118
T3,0.166,1.71,5.322,7.625
T1,0.003,0.031,0.087,0.118
T2,0.097,1.223,3.251,4.766
T1,0.002,0.029,0.075,0.119
T1,0.002,0.032,0.078,0.126
T4,0.202,2.574,7.459,10.802
T4,0.233,2.457,7.181,9.886
T3,0.158,1.945,5.307,6.66
T2,0.093,1.131,2.904,4.832
T1,0.003,0.028,0.086,0.122
T1,0.002,0.029,0.079,0.12
T2,0.1,1.271,3.04,4.344
T4,0.213,2.388,6.554,10.113
T3,0.161,1.811,4.951,7.161
T3,0.156,1.986,5.441,7.155
T2,0.102,1.194,3.187,4.864
T1,0.002,0.03,0.074,0.124
T2,0.104,1.117,3.089,4.716
T3,0.147,1.885,4.672,6.755
T2,0.095,1.1,3.246,4.638
T2,0.107,1.108,3.114,4.347
T3,0.149,1.745,4.986,6.79
T2,0.096,1.105,3.127,4.418
T4,0.227,2.364,6.548,9.25
T4,0.223,2.462,6.433,10.631
T4,0.207,2.423,6.527,10.628
T4,0.223,2.515,6.946,9.161
T3,0.146,1.805,5.36,7.679
T3,0.156,1.771,4.598,7.377
T3,0.155,1.744,5.26,7.38
T3,0.157,2.019,4.581,7.327
T2,0.095,1.145,3.423,4.805
T4,0.203,2.619,7.111,9.97
T3,0.158,1.94,5.208,7.045
T3,0.158,1.708,4.968,6.89
T2,0.109,1.157,2.915,4.632
T1,0.002,0.031,0.087,0.119
T4,0.206,2.613,6.921,9.993
T3,0.171,2.003,5.321,7.167
T2,0.098,1.109,3.08,4.271
T1,0.003,0.03,0.084,0.11
T3,0.149,1.93,5.421,7.556
T3,0.156,1.879,4.668,7.25
T1,0.003,0.032,0.085,0.108
T4,0.214,2.769,6.744,9.138
T2,0.102,1.234,3.14,4.767
T4,0.222,2.399,7.123,9.805
T4,0.232,2.567,6.433,10.451
T3,0.157,1.794,5.148,6.848
T2,0.093,1.104,3.44,4.669
T1,0.002,0.028,0.083,0.108
T2,0.1,1.172,3.072,4.628
T4,0.22,2.763,6.917,9.198
T3,0.151,1.793,4.812,6.878
T3,0.169,1.978,4.926,7.38
T4,0.22,2.787,6.686,9.301
T3,0.17,1.962,5.313,7.722
T4,0.214,2.398,6.844,10.685
T2,0.1,1.202,3.295,4.414
T4,0.225,2.428,7.287,10.834
T3,0.156,1.924,4.796,7.749
T2,0.1,1.192,3.1,4.663
T3,0.171,1.948,5.374,7.823
T4,0.232,2.758,6.696,10.318
T3,0.159,1.894,4.809,7.135
T4,0.222,2.599,7.424,9.829
T3,0.172,1.852,5.366,6.696
T3,0.162,1.86,4.739,7.58
T3,0.172,1.75,4.635,7.848
T4,0.206,2.409,6.92,9.969
T4,0.226,2.618,7.336,10.685
T2,0.096,1.258,3.197,4.908
T1,0.003,0.031,0.084,0.123
T3,0.153,1.754,4.781,7.098
T2,0.092,1.15,3.409,4.413
T2,0.095,1.157,3.135,4.559
T4,0.215,2.662,6.49,10.785
T4,0.201,2.677,7.186,10.151
T1,0.003,0.032,0.078,0.128
T1,0.003,0.031,0.082,0.111
T2,0.106,1.172,3.345,4.308
T3,0.164,1.722,5.108,7.09
T3,0.148,1.805,5.099,6.909
T1,0.003,0.029,0.085,0.125
T3,0.156,1.898,5.065,7.21
T1,0.003,0.03,0.088,0.127
T1,0.003,0.031,0.08,0.126
T2,0.101,1.127,2.931,4.807
T2,0.108,1.077,3.378,4.334
T3,0.149,1.743,5.39,6.73
T3,0.152,1.823,5.341,6.993
T2,0.102,1.277,2.958,4.567
T3,0.157,1.979,4.978,7.593
T4,0.225,2.483,6.594,9.642
T1,0.002,0.031,0.079,0.119
T3,0.149,1.872,4.912,7.454
