task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.207,2.368,1.735,4.455,0.814,2.008,1.873,4.958,0.843
2,0.61,1.907,2.046,4.673,0.847,2.061,1.9,4.398,0.831
2,0.713,2.516,2.098,4.614,0.916,2.592,1.595,4.259,0.819
1,0.947,2.031,1.512,4.571,0.7,2.48,1.841,4.282,0.824
2,1.053,2.582,1.609,3.751,0.846,2.213,1.697,4.978,0.969
2,1.482,2.297,1.793,3.913,0.721,1.898,1.982,4.788,0.932
1,2.29,1.946,1.905,4.696,0.621,2.056,1.771,3.659,0.649
1,2.295,2.414,1.895,3.663,0.758,2.07,1.848,3.668,0.762
1,2.895,2.223,1.689,4.373,0.862,2.379,1.421,3.747,0.853
2,4.334,2.251,1.8,4.14,0.998,2.391,1.674,4.596,0.897
1,4.455,2.52,1.552,4.44,0.655,2.197,1.902,4.696,0.715
2,4.785,1.892,1.677,4.444,0.948,1.891,1.652,4.919,0.74
2,4.862,1.972,1.61,4.383,1.017,2.128,1.9,4.928,0.958
1,4.983,2.126,1.874,4.411,0.653,2.48,1.524,5.102,0.75
2,5.535,2.192,1.821,4.452,0.863,2.625,1.728,5.025,0.785
1,5.634,1.902,1.842,4.955,0.715,2.317,1.699,4.966,0.73
2,6.104,2.316,1.563,4.268,0.747,2.404,1.743,3.921,0.89
2,6.303,1.926,1.542,4.626,0.844,1.876,2.039,4.586,0.756
2,6.34,2.333,2.071,4.99,0.984,2.321,1.547,4.462,0.743
2,6.494,2.408,1.987,4.973,0.883,1.993,1.748,3.652,0.796
2,6.504,2.112,2.091,4.222,0.944,2.464,1.63,3.779,0.89
2,6.65,2.114,2.058,4.514,0.93,2.629,1.846,4.252,0.888
1,6.671,2.458,1.92,5.033,0.839,2.408,1.467,5.113,0.724
2,6.694,2.417,1.875,3.642,0.782,2.632,1.625,4.809,0.911
1,7.143,2.118,1.685,4.945,0.767,2.068,1.684,3.632,0.701
2,7.216,1.973,1.843,3.97,0.821,2.008,1.526,3.751,0.803
1,8.01,2.043,1.619,4.364,0.858,2.429,1.963,3.944,0.692
2,8.656,1.902,1.662,3.71,0.868,1.886,1.603,4.545,0.837
1,9.727,2.277,1.425,4.902,0.759,2.572,1.855,4.666,0.786
2,10.497,2.57,1.554,4.46,0.832,2.384,1.938,5.091,0.98
1,11.493,2.499,1.516,4.851,0.715,2.011,1.687,4.136,0.833
2,11.609,1.989,2.025,3.75,0.937,2.564,1.821,5.1,0.91
2,11.74,2.004,1.913,4.962,0.866,2.272,1.776,4.079,0.988
2,12.251,2.408,2.081,4.614,0.836,1.898,2.084,4.98,0.734
2,12.858,2.261,1.674,4.283,0.719,2.359,1.662,4.99,0.85
2,13.616,1.989,2.069,3.932,0.806,2.508,1.936,4.75,0.72
2,13.664,1.903,1.615,4.64,0.843,1.969,1.62,4.877,0.952
1,13.858,2.477,1.654,4.307,0.621,2.22,1.715,4.149,0.683
2,13.984,2.166,1.852,3.691,0.765,2.484,1.609,5.01,0.837
2,14.081,2.541,2.002,4.729,0.799,2.062,1.746,4.032,0.913
2,14.115,1.99,2.054,3.946,0.83,1.876,1.632,4.765,0.888
2,14.564,2.427,2.057,3.653,0.731,2.519,1.609,4.245,0.877
2,15.234,2.277,1.886,4.614,0.92,2.14,1.52,4.419,0.843
2,16.136,2.039,1.544,4.472,0.743,2.004,1.641,3.888,0.847
2,16.352,2.184,2.133,4.093,0.746,1.956,1.955,4.742,0.908
2,16.693,2.226,1.902,3.77,0.97,2.319,2.109,5.037,0.866
2,16.863,2.132,1.891,4.934,0.967,2.414,2.009,4.086,0.91
2,17.445,2.073,2.078,4.739,0.867,2.579,1.545,4.771,0.988
1,18.392,1.936,1.676,4.184,0.619,2.156,1.494,4.721,0.64
2,18.434,2.614,1.545,5.1,0.769,1.944,1.627,4.727,0.817
2,19.487,2.361,1.656,4.626,0.984,2.094,1.726,3.768,0.89
1,19.558,2.345,1.443,3.605,0.637,1.913,1.879,3.746,0.662
2,19.884,2.564,1.544,3.999,0.899,2.059,1.99,4.901,0.959
2,20.386,2.592,1.862,4.815,0.97,2.537,2.093,4.346,0.832
2,20.767,2.361,1.845,4.584,0.976,2.571,2.132,4.886,0.98
2,20.848,1.925,1.712,4.869,0.9,2.268,1.907,3.731,0.808
1,20.916,1.969,1.49,4.663,0.861,1.906,1.518,4.401,0.855
2,21.027,2.381,1.935,3.911,0.766,2.49,1.721,4.057,0.94
2,21.313,2.346,1.824,4.392,0.842,2.574,1.966,3.721,0.874
2,21.858,1.88,1.536,3.897,0.759,2.048,1.74,4.935,0.763
1,22.544,2.364,1.638,4.097,0.659,1.857,1.668,3.644,0.668
1,22.727,2.407,1.895,4.031,0.769,2.373,1.601,3.882,0.735
1,23.325,2.574,1.776,4.364,0.643,2.431,1.424,3.659,0.76
2,23.855,2.477,1.684,4.841,0.765,2.629,1.803,3.785,0.96
2,23.907,2.039,1.635,4.958,0.933,2.179,1.762,4.357,0.863
2,25.468,2.238,1.99,4.818,0.839,2.263,1.836,4.297,0.833
1,27.007,2.495,1.41,4.401,0.69,2.351,1.87,3.627,0.698
2,27.119,1.914,1.746,4.98,0.768,2.523,1.897,5.063,0.791
1,28.163,2.166,1.767,4.783,0.784,2.123,1.684,3.893,0.612
2,28.969,2.391,1.798,3.925,0.923,2.534,1.903,4.592,0.874
2,29.441,1.912,1.652,4.626,0.882,2.316,1.964,4.663,0.911
2,29.571,2.554,2.008,4.841,0.769,2.304,1.847,4.714,1.008
2,29.619,1.912,1.706,4.238,0.84,2.043,2.028,4.177,0.995
2,29.966,2.512,1.555,5.109,0.874,1.926,1.828,3.848,0.959
1,30.173,2.179,1.807,4.477,0.668,2.286,1.866,4.021,0.741
1,30.671,2.31,1.467,5.11,0.861,2.343,1.779,4.219,0.667
1,30.769,2.433,1.662,4.072,0.704,2.118,1.728,3.688,0.838
2,31.557,2.337,2.105,4.622,0.833,2.189,1.861,4.06,0.965
2,31.566,2.642,1.992,4.207,0.998,2.529,1.658,3.954,0.75
1,31.703,2.238,1.945,4.716,0.784,2.42,1.515,4.98,0.617
2,32.732,2.439,1.77,4.321,0.949,2.409,2.143,4.647,0.982
1,33.265,2.528,1.958,4.236,0.839,1.972,1.479,4.006,0.649
2,33.694,2.466,1.795,4.527,0.762,2.215,1.986,3.714,0.936
1,33.712,2.318,1.834,4.861,0.749,2.23,1.714,4.371,0.732
1,33.861,2.563,1.942,4.347,0.754,1.878,1.691,4.88,0.811
2,34.174,2.103,2.012,4.287,0.825,1.973,1.605,4.995,0.807
2,35.674,2.617,2.141,4.821,0.79,2.247,2.06,4.678,0.921
2,36.431,2.408,1.708,4.673,0.861,2.014,1.904,3.837,0.901
2,36.485,2.429,1.901,4.614,0.799,2.147,1.695,4.629,0.999
2,36.716,1.91,1.765,4.842,0.745,2.466,1.852,4.611,0.829
2,36.797,1.876,1.769,4.37,0.776,2.497,1.66,4.397,0.967
1,38.133,1.879,1.761,4.081,0.744,2.044,1.422,5.102,0.817
2,38.678,2.209,1.788,4.999,0.753,2.306,1.694,4.508,0.804
2,38.906,2.307,1.887,4.516,0.789,2.343,1.894,5.098,0.895
2,39.275,2.263,1.919,5.131,0.999,2.537,1.569,4.592,0.921
2,40.761,2.056,1.614,4.253,1.015,2.45,1.767,4.961,0.971
2,40.893,2.099,1.599,4.661,0.927,2.498,2.098,4.5,0.958
2,40.903,2.557,1.662,4.931,0.763,2.359,1.636,4.815,0.899
2,41.507,2.563,1.736,4.081,0.848,1.929,1.889,4.541,0.932
1,42.226,2.146,1.512,3.933,0.714,2.311,1.967,4.176,0.858
2,43.583,2.466,1.765,5.063,0.74,2.39,1.879,4.344,0.914
2,44.298,2.611,1.734,4.764,0.925,2.333,1.713,4.477,0.985
1,45.518,2.59,1.631,4.82,0.686,2.099,1.948,4.479,0.69
2,45.554,2.571,2.069,4.868,0.914,1.91,2.095,4.304,0.882
2,46.363,1.93,2.056,4.674,1.007,1.89,1.712,4.462,0.814
2,46.913,1.927,1.514,4.578,0.77,2.411,1.965,4.592,0.882
1,47.324,2.277,1.873,3.615,0.763,2.552,1.534,4.775,0.771
1,47.444,2.464,1.987,4.511,0.726,1.997,1.879,3.624,0.843
2,47.932,2.188,1.687,5.115,0.787,1.946,1.743,3.95,0.866
1,48.688,1.972,1.842,3.664,0.689,2.483,1.462,4.412,0.692
2,48.819,1.95,1.866,4.498,0.73,1.91,1.726,4.928,0.884
2,48.916,1.89,1.644,4.14,0.997,2.545,2.12,4.062,0.771
1,49.93,2.426,1.439,3.839,0.804,2.104,1.8,4.614,0.725
2,49.946,2.587,2.063,5.06,0.792,2.164,2.078,4.275,0.74
2,49.97,2.063,1.891,4.238,0.773,2.188,1.599,4.935,0.937
2,50.176,1.873,1.61,4.999,0.772,2.063,1.563,3.637,0.846
1,50.195,1.922,1.667,3.709,0.861,2.094,1.795,3.673,0.664
2,50.55,2.488,1.535,5.035,0.829,1.959,2.057,3.86,0.869
2,50.621,2.622,1.78,4.176,0.78,2.263,1.808,4.142,0.86
1,50.809,2.145,1.985,3.783,0.703,2.486,1.913,4.373,0.61
2,50.982,2.265,1.823,4.996,0.766,2.145,1.875,4.398,0.957
2,51.529,2.464,1.68,3.803,0.722,2.321,1.793,4.677,0.744
2,52.487,2.277,2.071,4.178,0.807,2.425,1.519,4.582,0.744
2,53.485,2.321,1.753,4.622,0.773,2.447,2.111,4.504,0.814
2,53.684,1.877,2.059,4.999,0.903,1.91,1.967,3.653,0.914
2,53.723,2.587,1.928,4.325,0.841,2.134,2.088,4.474,0.765
2,53.976,2.421,2.144,4.05,0.92,2.073,2.073,4.605,0.815
2,54.142,2.044,1.555,5.091,0.803,2.549,1.92,5.003,0.996
2,55.918,2.035,1.999,4.465,0.855,1.954,1.612,4.398,0.736
2,56.986,2.308,1.57,4.826,0.9,2.494,1.587,5.025,1.002
1,57.257,2.472,1.434,4.677,0.814,2.386,1.639,4.998,0.716
2,57.734,1.883,1.633,4.125,0.951,2.617,1.91,3.918,0.852
1,57.935,2.34,1.868,3.624,0.685,2.382,1.919,4.922,0.695
1,58.292,1.883,1.615,4.386,0.681,2.248,1.856,4.941,0.636
1,59.769,2.179,1.607,4.431,0.752,2.476,1.482,4.287,0.632
2,60.522,2.183,1.792,4.299,0.822,2.132,2.04,3.7,0.904
2,60.757,1.905,1.59,4.987,0.904,2.247,1.786,4.768,0.913
2,61.236,2.605,1.734,5.11,0.842,2.492,1.66,3.975,0.851
1,61.705,2.324,1.919,3.628,0.623,2.205,1.463,3.761,0.84
2,62.042,2.013,2.069,4.394,0.895,2.408,2.013,4.767,0.821
1,63.066,2.162,1.955,4.878,0.838,2.428,1.509,3.822,0.612
2,63.955,2.348,2.04,4.848,0.914,2.258,1.565,4.398,0.964
2,66.095,2.285,1.749,4.119,0.986,2.547,1.749,4.832,0.732
1,66.171,2.192,1.836,4.097,0.832,2.592,1.961,4.593,0.64
2,66.415,2.213,1.935,3.954,0.722,2.201,1.52,4.666,0.89
2,66.493,2.631,1.746,4.368,0.868,2.499,1.917,5.096,0.808
2,68.186,2.476,1.836,3.725,0.84,2.322,2.122,4.64,0.924
2,68.478,2.316,1.847,4.686,0.9,1.88,2.033,3.863,0.841
1,68.893,2.185,1.672,4.258,0.824,1.958,1.897,4.583,0.642
1,69.245,2.119,1.622,4.425,0.804,2.571,1.74,4.753,0.734
2,69.548,2.462,2.054,4.995,0.803,2.19,2.099,4.135,0.814
1,70.025,2.053,1.478,4.542,0.715,2.327,1.485,4.843,0.845
2,70.348,2.134,1.888,3.772,0.877,2.311,1.635,4.813,0.966
2,70.363,2.094,1.958,3.761,0.809,2.636,1.768,4.541,0.796
2,70.37,1.891,2.132,4.252,0.996,2.491,1.609,4.162,0.997
2,71.13,2.565,1.554,4.768,0.91,1.925,1.795,4.972,0.984
2,71.858,1.903,1.648,4.813,1.002,2.508,1.565,4.327,0.745
2,71.909,2.022,1.785,4.462,0.746,2.15,2.025,4.143,0.975
1,71.993,2.298,1.604,4.206,0.655,2.419,1.505,4.313,0.672
1,72.305,1.913,1.532,4.723,0.75,2.093,1.552,4.433,0.837
1,72.558,2.226,1.653,4.029,0.831,2.185,1.977,3.961,0.623
2,73.73,1.912,1.617,5.016,0.934,2.13,1.619,4.729,0.893
2,73.819,2.072,1.722,3.631,0.944,2.073,1.614,4.409,0.763
2,73.829,1.892,2.104,4.793,0.745,2.319,1.532,4.848,0.946
2,74.412,2.496,1.735,5.087,0.928,2.537,1.921,4.245,0.995
2,74.585,2.024,1.871,3.934,0.996,2.011,1.949,3.707,0.998
1,74.996,2.507,1.882,3.993,0.639,2.279,1.441,5.06,0.814
2,75.374,2.316,1.746,4.394,0.809,2.438,1.801,4.93,0.91
2,75.53,2.213,2.081,4.325,0.956,2.198,1.656,4.451,0.916
2,75.655,2.409,1.935,3.631,0.874,2.502,1.67,5.098,0.933
2,75.937,2.016,1.544,3.667,0.828,2.446,1.676,4.597,0.749
2,76.508,2.188,1.887,4.149,0.856,2.322,1.808,4.383,0.804
2,77.007,2.0,2.084,4.848,0.963,1.968,1.898,3.631,0.843
2,78.018,2.587,1.898,3.707,0.99,1.921,1.9,4.088,0.852
2,78.404,2.06,1.659,4.826,0.959,1.912,2.109,5.133,0.767
2,78.539,2.259,1.99,4.441,0.89,2.045,1.919,3.702,0.804
1,79.03,2.063,1.785,3.765,0.676,2.44,1.988,4.858,0.821
1,79.118,2.326,1.904,4.075,0.746,2.354,1.984,4.267,0.633
2,80.459,1.888,1.794,3.624,0.76,2.172,1.52,5.029,0.778
2,81.787,2.361,1.541,4.514,0.924,2.485,1.612,4.374,1.001
1,82.649,2.142,1.766,4.38,0.708,2.029,1.738,4.219,0.808
2,82.698,2.59,1.585,4.621,0.97,1.918,1.615,5.01,0.983
2,83.155,1.906,1.854,4.962,0.744,2.512,1.765,4.929,0.987
1,83.718,2.323,1.597,4.078,0.791,2.266,1.453,4.472,0.861
2,84.39,2.187,1.875,4.658,0.9,2.632,1.811,4.399,0.989
2,84.78,2.115,1.776,4.866,0.864,1.915,1.943,4.75,0.89
2,84.888,2.496,1.776,3.654,1.015,2.51,1.909,4.245,0.729
