task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
1,1.224,1.95,1.067,1.955,1.058
2,2.214,3.054,5.98,3.097,5.953
2,2.724,3.038,5.965,3.053,5.971
1,3.03,1.93,1.048,1.909,1.027
1,3.121,1.93,1.083,1.975,1.08
2,3.862,3.027,5.977,3.042,5.955
1,4.555,1.936,1.017,1.926,1.039
2,4.883,3.076,5.944,3.09,5.953
2,5.73,3.073,5.937,3.004,5.988
2,5.873,3.08,5.976,3.093,5.952
2,7.37,3.029,5.99,3.021,5.986
2,9.077,3.099,5.981,3.093,5.905
1,10.082,1.965,1.032,1.967,1.005
2,15.895,3.015,5.99,3.004,5.903
1,15.993,1.941,1.099,1.919,1.073
1,16.852,1.931,1.022,1.996,1.087
1,17.261,1.929,1.087,1.974,1.065
1,19.063,1.966,1.066,1.993,1.072
1,19.19,1.957,1.056,1.979,1.052
1,21.934,1.945,1.084,1.974,1.037
1,22.475,1.919,1.036,1.982,1.098
1,23.398,1.946,1.044,1.907,1.003
1,23.592,1.935,1.084,1.972,1.032
2,23.643,3.003,5.944,3.053,5.956
1,23.811,1.955,1.035,1.976,1.07
1,24.011,1.957,1.062,1.912,1.035
1,24.095,1.942,1.092,1.923,1.036
1,26.378,1.959,1.06,1.919,1.018
2,26.666,3.025,5.977,3.076,5.91
2,30.159,3.074,5.914,3.041,5.98
1,30.296,1.976,1.078,1.953,1.033
1,30.92,1.968,1.069,1.992,1.086
1,30.969,1.978,1.031,1.996,1.002
2,31.538,3.088,5.992,3.009,5.912
1,31.862,1.934,1.042,1.907,1.052
1,36.976,1.985,1.087,1.938,1.005
1,37.604,1.923,1.057,2.0,1.026
1,37.688,1.984,1.085,1.974,1.094
1,38.165,1.979,1.081,1.978,1.083
1,38.452,1.926,1.016,1.905,1.095
1,38.854,1.964,1.091,1.993,1.012
2,41.373,3.088,5.938,3.086,5.977
1,42.058,1.935,1.054,1.969,1.038
1,42.187,1.993,1.018,1.964,1.04
2,42.343,3.064,5.989,3.076,5.935
1,42.693,1.922,1.066,1.942,1.056
1,44.578,1.954,1.001,1.966,1.07
1,45.215,1.926,1.048,1.994,1.047
2,45.297,3.076,5.976,3.099,5.939
1,45.348,1.931,1.093,1.943,1.006
2,46.049,3.015,5.968,3.012,5.949
2,46.087,3.068,5.954,3.005,5.903
2,46.832,3.071,5.912,3.014,5.973
1,47.774,1.913,1.078,1.968,1.083
1,49.615,1.958,1.042,1.957,1.061
1,50.324,1.942,1.03,1.945,1.087
1,50.627,1.957,1.057,1.948,1.019
2,53.853,3.046,5.907,3.047,5.95
1,54.306,1.918,1.097,1.936,1.027
1,54.321,1.92,1.091,1.94,1.059
2,54.661,3.068,5.957,3.091,5.925
1,54.868,1.991,1.084,1.968,1.01
2,55.68,3.013,5.933,3.093,5.96
1,56.125,1.983,1.097,1.976,1.052
1,57.809,1.927,1.046,1.901,1.092
1,58.191,1.968,1.086,1.985,1.07
2,59.202,3.078,5.995,3.041,5.944
2,59.496,3.026,5.967,3.014,5.918
1,62.679,1.997,1.095,1.964,1.05
2,64.211,3.033,5.922,3.042,5.971
1,65.207,1.991,1.082,1.909,1.006
1,65.362,1.993,1.042,1.942,1.011
2,65.581,3.084,5.946,3.076,5.978
1,68.388,1.999,1.0,1.928,1.093
1,69.374,1.999,1.006,1.903,1.064
1,69.379,1.974,1.006,1.96,1.09
1,69.98,1.917,1.094,1.91,1.084
2,70.722,3.097,5.935,3.0,5.966
1,70.783,2.0,1.065,1.922,1.057
1,70.958,1.951,1.06,1.937,1.065
1,71.095,1.948,1.081,1.952,1.008
1,71.687,1.905,1.09,1.938,1.096
2,71.911,3.065,5.97,3.031,5.978
1,72.694,1.956,1.073,1.918,1.079
1,73.48,1.959,1.001,1.917,1.022
2,73.506,3.079,5.909,3.088,5.906
1,73.573,1.927,1.074,1.995,1.078
1,74.615,1.982,1.062,1.966,1.05
1,74.7,1.939,1.066,1.928,1.031
1,74.803,1.996,1.042,1.925,1.002
2,74.966,3.031,6.0,3.096,5.947
1,76.071,1.938,1.026,1.99,1.018
1,76.149,1.946,1.026,1.995,1.084
1,77.265,1.952,1.085,1.963,1.069
1,77.7,1.981,1.075,1.994,1.043
1,79.21,1.932,1.031,1.915,1.053
2,79.275,3.058,5.971,3.042,5.979
1,79.319,1.998,1.025,1.915,1.059
1,80.058,1.994,1.095,1.972,1.075
1,81.401,1.955,1.098,1.927,1.01
1,81.85,1.926,1.008,1.922,1.028
1,82.248,1.935,1.073,1.925,1.042
1,82.76,1.931,1.085,1.987,1.064
1,84.005,1.932,1.021,1.986,1.031
1,84.618,1.978,1.089,1.956,1.062
1,85.695,1.917,1.075,1.977,1.016
2,85.851,3.037,5.963,3.099,5.988
1,86.375,1.96,1.078,1.972,1.083
1,87.745,1.92,1.084,1.923,1.05
1,88.173,1.911,1.008,1.991,1.013
1,88.254,1.903,1.095,1.974,1.076
1,89.857,1.901,1.087,1.948,1.048
1,89.928,1.972,1.086,1.938,1.013
1,90.0,1.91,1.001,1.987,1.033
1,91.075,1.915,1.085,1.928,1.086
1,91.704,1.915,1.021,1.901,1.044
1,92.47,1.909,1.053,1.951,1.051
1,92.579,1.93,1.05,1.952,1.036
1,93.432,1.926,1.055,1.934,1.031
2,94.379,3.003,5.973,3.076,5.985
1,95.28,1.948,1.022,1.903,1.015
1,96.205,1.936,1.005,1.958,1.086
2,97.916,3.094,5.967,3.004,5.906
2,100.664,3.005,5.937,3.068,5.982
2,101.95,3.06,5.946,3.047,5.976
1,103.969,1.959,1.054,1.978,1.041
2,105.113,3.014,5.934,3.013,5.982
1,105.219,1.984,1.002,1.902,1.036
2,105.902,3.037,5.988,3.013,5.971
2,106.089,3.01,5.968,3.084,5.995
1,106.975,1.96,1.084,1.951,1.087
1,107.434,1.97,1.075,1.918,1.051
1,107.651,1.988,1.026,1.934,1.06
1,107.825,1.952,1.098,1.904,1.062
1,109.209,1.989,1.039,1.944,1.078
1,109.872,1.974,1.063,1.97,1.027
1,110.832,1.979,1.069,1.925,1.006
1,111.256,1.938,1.001,1.916,1.074
1,111.367,1.909,1.082,1.94,1.089
2,111.561,3.038,5.941,3.057,5.948
1,112.591,1.949,1.054,1.949,1.064
1,113.005,1.955,1.019,1.931,1.089
1,115.261,1.924,1.006,1.934,1.091
1,116.185,1.971,1.084,1.907,1.022
2,117.027,3.022,5.926,3.048,5.951
2,117.594,3.022,5.967,3.098,5.965
1,117.693,1.903,1.047,1.992,1.06
1,119.479,1.919,1.024,1.974,1.069
1,120.109,1.934,1.05,1.949,1.091
1,120.53,1.989,1.044,1.977,1.01
1,120.539,1.948,1.019,1.985,1.097
2,120.922,3.014,5.965,3.069,6.0
1,122.775,1.946,1.033,1.907,1.083
2,122.868,3.002,5.96,3.031,5.966
