task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1
2,0.058,97.7,106.741,93.578,116.369,1.168,99.221,10.212,107.42,107.805,95.11,115.189,1.113,95.357,9.458
1,0.163,116.558,112.949,1.021,1.122,0.971,10.696,107.878,99.976,108.986,1.028,1.065,1.006,10.878,101.605
1,0.235,114.521,111.355,0.976,0.989,1.051,10.163,104.069,110.006,103.27,0.987,1.07,1.119,10.836,112.785
1,0.299,117.484,110.416,1.062,1.104,1.073,10.0,114.894,106.418,110.56,1.033,1.091,1.025,11.385,106.589
4,0.458,0.954,109.336,9.643,10.942,10.205,9.796,106.225,0.975,97.528,10.559,9.606,10.106,10.668,113.3
4,0.62,1.018,98.732,9.834,10.511,9.315,9.832,109.601,1.056,109.978,10.81,9.822,9.894,9.993,99.943
4,0.724,1.127,95.495,10.834,10.468,9.615,9.536,107.822,1.123,99.167,10.211,9.826,9.36,10.364,100.954
3,0.766,109.38,1.149,11.514,111.742,105.489,102.506,108.462,103.726,1.103,11.549,111.213,113.28,102.179,99.917
3,0.826,108.87,1.085,10.05,113.177,110.561,116.18,105.931,111.78,1.168,11.218,103.355,104.196,98.296,108.834
4,1.174,1.116,98.155,10.122,9.734,10.642,10.054,105.706,1.03,96.426,9.372,9.555,9.9,9.993,114.393
4,1.202,1.066,105.502,10.564,11.018,9.639,9.491,102.237,1.029,113.062,10.632,9.634,9.892,9.82,109.428
2,2.013,98.041,96.924,103.652,106.277,1.038,105.75,10.045,105.018,110.058,109.84,106.493,0.992,103.862,10.97
1,2.086,101.216,113.272,0.968,1.04,1.076,11.491,118.468,110.136,104.848,1.004,1.094,1.082,10.77,117.337
4,2.102,1.077,107.602,10.759,10.46,9.641,10.369,99.532,0.987,112.975,10.897,9.373,9.93,9.466,109.027
1,2.177,112.38,106.285,1.092,1.115,1.124,10.188,108.586,116.58,116.848,0.996,1.126,1.125,11.278,108.9
1,2.287,109.481,113.518,1.03,1.025,1.122,11.23,106.881,117.779,106.74,0.992,1.067,1.123,11.527,118.305
1,2.365,103.157,107.976,1.087,1.015,0.971,10.842,107.917,114.081,103.833,1.019,1.036,1.005,10.201,105.478
1,2.392,106.988,106.002,1.082,1.051,1.104,11.708,100.202,116.699,110.931,1.105,1.072,1.144,10.888,102.644
3,2.569,103.748,1.059,10.461,102.659,108.144,98.293,102.881,104.63,0.996,10.446,114.765,103.78,98.355,100.635
3,2.602,110.383,1.113,10.147,101.799,98.646,112.484,96.878,101.902,1.103,10.05,103.433,105.489,107.763,104.228
4,2.714,1.061,104.616,9.451,9.794,10.358,10.492,102.542,1.077,107.072,10.627,10.452,9.368,9.641,102.542
3,2.83,108.247,1.061,11.115,112.213,107.832,106.1,96.67,108.488,1.13,10.35,108.61,112.412,115.053,109.29
4,2.831,1.035,109.846,9.694,9.509,10.168,9.787,100.297,0.951,96.302,9.496,10.086,10.725,10.784,105.411
1,2.943,102.174,107.833,1.069,1.057,0.994,10.723,111.427,116.328,108.268,0.966,1.047,1.139,11.215,102.242
4,3.214,1.029,101.648,9.716,10.898,9.931,9.428,108.315,1.107,101.237,10.604,10.149,10.54,10.825,109.63
1,3.315,113.072,113.272,1.066,1.019,1.076,10.323,118.529,110.102,115.488,1.053,1.012,1.108,11.613,113.154
4,3.568,1.088,106.308,10.309,9.82,9.863,9.288,103.656,0.964,107.667,10.513,10.406,10.01,10.322,111.407
1,3.639,114.441,100.748,1.1,0.986,1.117,11.32,103.715,100.262,104.066,1.065,1.05,1.033,10.283,105.001
2,3.643,100.297,113.67,105.215,99.284,1.01,97.017,9.766,115.809,107.052,102.464,101.364,1.149,106.673,10.24
3,3.648,102.857,1.073,10.555,110.894,111.397,106.705,98.915,116.361,1.116,10.251,111.316,107.06,114.691,108.812
2,3.761,108.149,101.612,98.263,116.073,1.004,104.024,9.95,108.951,102.495,107.827,102.641,1.156,101.711,10.862
3,3.818,114.965,1.056,11.274,110.03,101.455,116.224,104.841,115.825,1.009,11.669,114.273,110.934,116.078,101.303
3,3.821,116.581,1.146,11.339,101.44,102.313,112.538,101.093,106.197,1.094,11.819,111.91,102.777,116.119,110.967
1,3.98,107.494,113.514,1.105,1.082,1.085,10.821,111.514,105.663,115.74,1.027,1.09,0.965,11.558,113.853
4,4.35,1.071,110.094,9.447,9.688,10.739,10.496,107.661,0.994,111.042,9.257,9.431,10.199,10.695,106.633
4,4.39,1.064,97.063,9.368,10.911,9.396,9.682,111.209,1.127,98.684,10.087,10.197,10.022,9.649,113.678
3,4.41,113.894,1.131,10.369,102.295,108.518,115.341,105.441,105.233,1.131,11.371,99.737,99.715,102.252,104.069
3,4.544,100.441,1.051,10.356,101.056,100.613,98.949,114.176,111.185,1.135,10.092,113.516,112.471,113.355,112.176
2,4.556,98.552,112.277,102.506,101.387,1.119,107.973,9.89,108.356,107.631,99.649,114.561,0.999,96.948,10.957
4,5.503,1.043,102.615,10.761,9.884,9.271,9.953,106.259,1.009,95.757,9.211,9.722,10.607,10.025,117.008
2,5.522,111.107,114.376,107.693,99.564,1.051,99.294,10.215,99.309,104.024,99.875,116.742,1.139,102.174,10.001
1,5.565,105.248,109.261,0.96,1.11,1.038,10.48,110.588,110.608,112.639,1.069,1.023,0.971,10.187,102.471
4,5.748,1.121,110.134,9.782,9.845,9.277,10.547,109.429,1.075,103.27,10.073,10.846,10.677,9.491,101.958
4,5.972,1.026,98.273,9.279,9.722,10.597,9.669,106.633,1.015,107.094,9.328,10.659,9.357,9.749,104.783
3,6.094,106.707,1.137,11.569,109.3,99.698,100.992,101.626,117.696,1.003,10.037,99.141,99.722,104.439,101.19
1,6.116,103.002,101.087,1.096,1.031,1.12,10.01,116.855,103.202,118.036,1.01,1.007,1.085,10.605,111.25
1,6.345,109.206,112.623,1.067,0.979,1.021,10.429,108.195,105.721,105.156,0.968,0.969,1.048,10.303,110.691
1,6.361,101.462,106.817,1.005,1.125,1.119,10.037,107.987,109.251,105.751,0.942,1.035,1.006,9.944,107.523
1,6.538,101.944,104.96,1.023,1.033,1.104,10.055,108.869,108.565,104.554,1.074,1.137,1.121,11.01,111.988
2,6.627,105.901,113.111,102.663,115.839,1.048,104.163,9.986,112.363,109.123,101.398,101.68,1.167,101.366,11.017
