task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
2,0.12,1.594,1.082,6.718,1.771
1,2.707,0.964,0.935,1.388,0.618
2,3.533,12.341,0.805,4.098,2.119
1,5.478,1.102,0.995,1.433,0.867
2,5.627,2.369,1.179,5.7,3.141
1,7.435,1.274,0.995,1.892,1.459
1,7.908,1.384,1.219,1.923,1.388
2,8.438,6.406,1.849,6.025,0.629
1,9.434,1.213,0.623,1.822,0.976
1,10.001,1.5,1.074,1.337,0.627
1,12.113,2.046,1.141,1.277,0.874
2,14.904,7.758,2.705,8.71,1.536
1,15.919,1.007,0.887,1.271,0.824
2,17.417,12.475,0.727,5.219,2.954
2,17.935,7.326,1.688,5.585,1.754
1,19.05,1.2,1.457,1.244,1.115
1,20.291,1.316,0.972,1.181,0.861
2,21.215,2.411,1.295,3.074,0.735
2,22.392,3.165,0.683,3.88,0.557
1,23.848,1.864,0.96,1.198,0.915
2,24.271,5.327,0.738,8.293,2.985
1,24.762,1.213,1.227,1.795,0.85
1,24.773,2.374,1.128,1.18,0.874
1,25.206,1.949,0.879,1.032,0.746
1,26.075,1.025,1.439,1.29,0.911
2,26.232,1.679,0.784,4.13,2.989
2,26.703,6.369,1.199,8.507,0.891
1,28.123,1.104,0.611,1.221,1.057
1,30.312,1.272,0.818,1.257,1.257
2,31.196,4.554,1.662,7.542,0.983
1,31.326,1.777,0.886,1.288,0.918
2,33.017,5.813,1.818,4.735,0.812
2,34.162,12.348,1.229,12.565,3.142
1,35.751,1.294,0.87,1.053,0.681
1,35.834,1.22,0.853,2.122,0.649
2,36.454,8.293,2.038,1.94,1.154
1,36.454,1.956,0.934,1.27,0.961
2,36.791,4.852,0.981,5.812,1.066
2,40.565,2.573,2.444,5.653,0.533
1,41.584,2.124,0.919,1.203,0.789
2,47.049,1.532,0.819,3.888,1.709
2,47.252,5.064,1.551,10.867,1.693
1,47.83,2.277,0.666,1.797,1.13
1,48.497,1.291,0.617,1.764,0.889
1,48.716,2.228,0.96,1.326,0.637
1,48.932,1.497,1.08,1.442,0.982
1,49.031,1.782,0.674,1.812,0.873
2,49.92,8.099,1.098,2.941,0.683
2,53.076,8.387,1.737,2.402,1.124
1,55.523,1.252,0.621,1.524,0.869
1,55.659,1.108,1.196,1.016,0.831
2,56.099,2.258,1.015,4.825,2.221
1,56.333,1.29,1.229,1.111,0.873
1,58.663,1.795,0.917,1.288,0.935
1,59.125,0.969,0.616,1.86,0.884
1,60.008,2.067,0.847,1.327,0.935
2,60.389,10.367,0.47,4.598,1.199
1,61.789,1.77,0.952,2.116,1.135
2,63.361,9.692,1.21,2.742,1.956
2,65.87,1.594,0.621,14.09,3.422
1,67.971,1.789,0.896,1.328,0.955
1,68.49,1.468,0.896,0.993,0.613
1,70.093,1.437,1.516,1.907,1.082
1,71.49,0.986,0.613,1.766,0.938
2,72.029,2.694,1.154,3.781,0.884
2,72.487,5.302,3.335,11.226,0.701
1,74.05,1.275,1.4,1.093,1.264
2,74.419,3.47,0.713,3.787,1.092
2,75.569,7.13,1.261,5.43,0.981
2,75.988,2.928,2.392,6.188,0.766
1,76.016,1.312,0.617,0.964,1.483
2,76.174,10.841,2.0,3.758,0.6
2,78.526,9.015,1.961,1.76,1.333
1,80.821,1.789,1.264,1.491,0.882
2,81.262,2.977,0.855,4.239,0.891
2,83.791,2.637,1.093,4.516,1.335
2,84.227,8.852,2.989,11.51,0.993
1,84.965,1.428,0.827,1.282,1.177
1,87.582,1.243,0.873,1.531,0.982
1,88.585,1.437,0.822,2.34,1.171
2,88.663,3.295,1.584,11.518,1.208
1,90.019,1.316,0.868,1.26,1.377
1,90.573,1.725,1.248,1.286,1.129
2,92.3,7.338,0.981,4.378,1.085
1,92.559,0.966,1.189,1.208,0.929
2,93.054,4.899,1.53,4.961,0.68
1,94.629,1.764,0.971,1.26,1.219
2,94.698,1.594,0.992,4.013,1.584
1,95.102,1.058,1.117,1.327,1.191
2,96.875,2.742,2.139,3.379,3.424
2,97.473,9.048,1.263,6.948,0.944
2,99.188,10.607,1.721,10.546,3.105
1,100.051,1.388,1.429,1.123,1.401
2,101.156,3.12,0.429,10.779,1.531
2,103.1,2.694,2.445,2.234,0.818
1,103.721,1.025,0.897,1.48,1.116
2,103.99,1.95,3.563,11.641,1.365
1,104.207,1.235,0.719,0.935,0.911
2,104.646,13.827,0.543,6.358,3.276
1,104.877,1.813,0.868,1.757,1.223
1,105.231,2.016,0.781,1.051,0.911
2,106.701,11.765,2.007,4.58,2.911
2,108.514,6.943,1.094,9.048,0.796
1,108.932,1.328,0.883,1.002,0.94
1,109.464,1.14,0.783,2.252,1.242
1,111.782,1.765,0.872,1.778,1.383
1,113.563,2.372,0.849,1.5,1.342
1,113.814,1.301,0.942,1.406,0.963
1,116.103,1.87,0.878,0.994,0.666
1,116.116,1.263,0.819,1.096,1.141
2,116.306,2.082,0.919,1.973,1.813
2,116.793,5.786,3.064,10.532,0.818
2,117.141,3.105,1.86,2.578,1.559
1,117.879,1.227,0.94,1.223,0.828
2,117.956,2.567,0.774,3.658,0.832
1,120.212,1.944,1.217,1.267,0.915
2,121.602,1.862,2.609,10.397,1.849
2,123.118,3.295,1.694,8.715,3.162
2,124.022,1.94,1.793,2.54,1.179
1,124.721,1.055,1.093,1.524,1.191
2,125.924,7.584,1.862,2.591,3.239
1,126.016,1.346,1.16,1.096,1.041
2,126.223,2.481,1.366,6.764,1.212
1,126.605,1.351,1.093,1.2,1.082
2,127.993,2.063,2.774,3.907,0.74
1,128.169,1.006,0.929,1.224,0.764
2,128.716,4.028,2.774,6.447,2.458
2,130.558,6.477,1.092,6.406,0.914
2,132.002,8.946,3.012,7.091,2.014
1,132.198,1.343,1.234,1.214,0.956
1,132.336,1.291,1.085,1.299,1.233
1,132.372,1.288,1.401,1.476,0.879
2,132.572,10.731,1.388,3.295,0.761
1,133.771,1.801,0.614,1.308,0.856
2,134.856,13.779,0.617,4.554,3.424
1,136.924,1.767,1.158,1.07,0.928
1,136.968,1.242,0.954,1.03,1.401
1,136.989,1.435,1.115,1.41,0.935
2,141.804,10.397,2.873,6.047,2.912
2,143.611,11.202,3.294,8.024,2.119
1,143.9,1.78,0.858,1.249,0.731
1,145.507,1.102,0.611,1.304,1.082
2,148.645,4.039,0.968,8.69,1.345
1,148.961,2.105,0.619,0.94,0.874
1,149.462,1.763,1.143,1.29,0.999
2,151.204,1.689,0.981,11.641,1.435
1,153.163,1.41,0.632,1.442,0.623
2,153.884,10.999,2.632,2.485,1.838
1,154.506,2.124,0.947,1.455,1.199
1,155.54,1.277,0.784,1.507,0.732
2,157.717,5.649,0.988,2.831,1.279
1,159.527,2.112,1.216,2.116,0.937
2,159.573,7.125,1.822,8.783,0.674
1,159.947,1.329,1.235,1.001,0.903
2,160.966,5.165,0.996,11.529,1.317
2,161.437,4.718,1.317,3.509,2.929
2,161.819,8.946,0.993,3.163,1.636
1,162.15,1.758,0.991,1.032,0.621
2,162.179,2.881,1.256,2.241,1.364
2,162.873,5.212,1.179,7.46,1.263
2,163.417,4.524,2.384,1.9,2.016
1,168.348,1.288,1.444,1.267,0.922
2,169.422,2.567,0.66,5.105,0.701
1,173.908,1.289,0.764,1.035,1.401
1,173.933,1.794,0.674,1.26,1.086
2,174.501,5.748,0.677,2.193,2.0
2,175.013,6.475,0.799,12.036,0.974
2,175.752,9.861,0.973,2.902,0.901
1,176.044,1.027,1.094,1.24,0.828
1,176.879,1.201,0.635,1.097,1.142
2,178.049,7.706,2.822,2.878,0.533
1,178.698,1.035,0.607,2.05,0.638
1,181.435,1.202,0.688,0.937,0.855
2,184.058,5.806,2.286,8.781,0.982
1,184.538,1.311,0.881,1.41,1.266
2,184.977,5.624,0.996,1.562,1.587
1,185.399,1.201,0.876,1.27,0.964
2,186.348,3.756,0.699,4.781,1.663
2,186.829,1.579,3.422,2.313,1.787
1,187.276,2.371,1.237,1.025,0.935
1,191.085,1.505,0.956,1.87,0.688
1,192.83,1.433,0.63,1.437,0.641
2,193.06,2.742,1.337,8.728,1.309
1,193.299,1.299,1.342,2.072,0.615
2,193.943,11.202,0.919,4.32,1.117
1,194.357,1.444,1.377,2.106,0.827
2,194.763,2.253,1.179,12.185,0.853
2,196.537,3.645,0.727,5.824,3.071
1,197.787,1.227,0.611,1.262,0.951
2,199.066,1.973,0.891,1.643,0.669
1,199.154,1.78,0.946,1.252,1.187
2,200.363,7.883,2.507,1.918,1.09
1,200.436,1.001,1.246,1.11,1.128
1,200.635,1.765,1.252,1.237,1.118
2,201.009,3.92,0.873,4.705,1.37
1,201.189,1.777,0.87,1.336,1.09
1,201.439,1.388,0.942,2.435,0.874
2,201.722,5.376,3.25,3.074,0.622
2,202.168,7.463,1.236,11.86,3.335
2,204.198,2.0,0.699,9.643,0.993
1,205.227,1.239,0.935,1.959,1.539
1,206.617,2.412,0.956,2.252,0.913
2,207.072,1.9,2.838,5.986,0.824
1,207.283,2.134,0.899,1.227,1.144
1,207.441,1.035,1.121,1.24,0.821
1,208.437,1.102,1.228,1.038,0.88
1,209.706,1.07,0.93,1.756,0.587
2,212.1,10.546,1.279,6.406,0.905
2,212.648,2.258,3.239,2.515,2.903
2,215.99,3.194,1.415,3.176,2.843
1,216.975,1.924,0.788,0.939,0.638
2,217.008,4.132,2.249,8.012,1.891
1,218.614,1.323,0.643,1.029,0.936
2,219.72,7.031,1.101,6.372,1.117
2,219.963,7.287,1.454,3.984,0.787
1,220.661,1.794,1.132,2.412,0.62
2,221.613,2.571,1.605,5.607,2.954
2,222.054,11.812,1.436,7.853,1.598
1,224.43,1.86,0.895,1.242,0.789
2,225.619,5.594,1.093,5.089,2.774
1,226.568,1.272,0.84,1.203,0.856
2,227.843,1.76,0.796,3.028,1.522
2,228.409,5.488,1.209,4.858,0.614
2,228.468,2.313,2.105,6.093,1.32
2,229.06,5.298,1.646,3.1,0.902
1,232.031,1.414,0.874,1.916,0.895
1,234.222,1.294,0.818,1.949,0.87
1,234.536,1.442,1.114,1.009,1.203
1,236.12,1.237,0.784,1.096,0.837
2,236.227,3.382,1.404,3.52,1.404
1,237.198,1.219,1.264,1.798,0.96
1,238.947,2.091,0.86,1.763,0.999
1,240.584,1.062,0.619,1.246,0.611
2,242.16,3.485,2.776,5.661,3.422
2,243.07,3.923,1.641,12.172,0.967
1,244.83,1.442,0.837,1.269,0.617
1,244.946,1.786,0.676,1.024,1.16
2,246.996,12.185,0.661,2.802,3.084
1,249.6,1.261,0.73,1.321,0.613
1,250.562,1.002,1.53,1.032,0.87
2,251.337,11.86,3.151,4.32,2.912
1,252.067,1.134,1.348,1.299,0.971
2,253.494,11.132,0.804,8.055,2.766
2,253.951,2.571,2.064,2.814,1.618
2,254.389,4.013,1.04,1.48,2.017
2,254.661,3.435,0.992,4.379,3.11
1,254.702,1.98,0.756,1.275,1.242
1,254.955,0.991,0.961,1.437,0.849
1,255.822,1.757,0.788,1.417,0.935
1,256.333,1.181,1.449,1.029,0.922
2,256.432,2.997,3.486,4.79,0.972
1,257.444,1.211,0.641,1.219,0.837
2,257.563,5.43,2.822,13.326,1.09
2,257.596,9.123,1.663,8.879,0.93
2,258.721,7.125,1.09,4.378,1.211
1,261.018,1.499,1.25,1.466,0.819
1,261.351,2.158,1.417,1.013,0.674
1,263.643,1.949,0.729,1.232,0.654
2,264.072,10.546,2.119,4.422,1.101
1,264.584,1.316,0.969,1.243,0.753
1,265.213,1.293,0.988,1.506,0.849
1,265.228,1.486,0.884,1.217,0.739
1,266.6,1.925,0.891,2.412,1.12
1,267.508,1.091,1.389,1.301,1.384
2,267.814,3.791,0.672,7.24,0.68
1,267.921,1.019,1.078,1.115,0.871
2,268.388,6.309,2.59,2.227,1.926
1,268.578,1.223,0.951,1.25,1.439
2,268.642,6.145,1.092,5.973,2.396
2,268.84,5.68,1.222,4.456,2.291
2,268.891,8.783,1.693,4.548,0.759
1,269.42,1.258,1.187,1.246,0.923
1,270.056,0.964,0.817,2.162,0.95
2,270.991,9.123,0.704,3.966,1.37
2,271.015,12.424,3.336,11.718,1.807
1,271.426,1.013,0.87,2.204,1.437
2,271.507,5.927,3.433,1.962,1.241
1,272.661,0.964,0.611,1.763,0.907
1,272.763,1.87,1.129,1.767,0.892
1,274.112,1.109,0.945,1.224,0.915
1,274.275,1.437,1.247,1.255,0.892
2,274.793,1.48,0.918,11.905,2.359
1,275.508,1.524,0.922,2.124,0.998
2,276.767,8.715,3.563,3.652,2.972
1,280.973,2.025,1.132,1.428,1.214
2,281.102,3.288,2.105,12.444,0.996
1,282.926,1.274,0.621,1.539,0.976
2,284.284,11.226,0.748,9.692,3.507
1,284.392,1.779,1.401,1.29,0.881
1,287.353,1.514,0.727,1.536,0.872
2,288.256,6.133,2.427,12.036,2.416
1,288.871,1.93,0.872,1.189,0.868
1,289.018,2.067,1.618,1.263,0.74
1,292.728,1.802,0.824,0.964,0.878
1,293.576,1.079,0.867,2.103,0.932
1,296.529,1.016,0.879,1.25,0.621
1,297.931,1.303,0.994,1.316,0.63
1,299.97,1.032,0.612,1.324,0.872
2,301.033,3.034,1.58,9.003,1.849
1,301.111,1.195,0.669,1.423,1.293
1,303.147,1.518,1.082,1.793,0.834
1,303.308,1.244,0.661,1.466,1.426
1,303.753,1.241,0.919,1.007,1.618
2,303.792,3.213,0.852,6.41,3.433
1,304.015,1.316,1.144,1.306,0.953
2,304.901,7.287,0.929,6.791,3.25
1,306.769,0.999,1.143,1.292,1.264
1,306.783,1.029,1.583,1.391,0.967
2,308.419,7.878,2.455,11.226,0.973
1,308.896,1.514,1.199,1.523,0.615
1,308.949,1.442,1.228,2.018,0.967
1,308.978,0.944,1.449,1.286,1.073
2,311.975,5.43,1.956,1.643,1.69
1,312.156,2.025,1.342,0.999,1.178
2,312.156,4.16,3.544,3.034,2.105
2,314.185,5.748,0.476,5.068,1.484
2,314.405,2.478,1.188,2.481,3.191
1,316.077,1.293,1.144,1.25,1.232
2,316.814,4.935,1.091,8.036,1.9
1,317.317,1.794,1.178,1.448,1.516
2,317.415,5.582,1.807,2.304,3.132
2,317.46,7.207,1.438,2.082,2.929
2,319.626,7.304,0.661,7.833,3.563
1,319.831,1.248,1.073,1.224,1.134
1,320.502,1.758,1.244,1.0,1.342
1,322.694,1.006,1.119,2.074,0.637
1,323.73,2.34,1.387,1.319,0.872
2,324.605,8.437,2.247,5.585,1.787
2,325.891,7.08,1.015,3.538,2.427
1,326.169,2.191,0.882,1.537,1.115
1,326.579,2.025,0.968,1.235,0.908
1,326.603,1.203,0.873,1.216,1.173
2,326.865,1.616,1.162,4.113,3.165
1,329.236,1.224,0.863,1.292,0.849
1,329.901,1.316,0.85,1.059,0.866
2,330.049,4.07,1.232,7.08,1.639
2,332.4,5.985,0.567,11.941,3.465
1,333.733,1.134,1.227,1.959,0.925
1,335.668,1.106,0.884,1.29,0.875
1,335.727,1.411,1.154,1.252,1.347
2,336.348,2.687,1.667,8.374,1.089
1,337.866,1.275,1.249,2.028,1.597
1,339.198,1.499,1.405,1.201,0.884
2,340.038,2.486,0.822,4.103,1.215
1,344.366,2.023,1.191,2.128,0.957
2,345.432,10.999,3.25,3.88,2.992
2,345.914,7.39,1.502,2.694,0.656
1,346.122,1.442,0.587,1.197,1.426
1,347.44,2.116,0.869,1.238,1.383
2,347.807,2.638,2.429,3.219,0.812
1,348.611,2.312,0.93,1.82,0.612
2,349.686,7.429,3.265,13.287,2.4
2,350.173,4.554,0.533,6.791,1.124
2,353.649,2.544,1.86,9.069,2.016
1,354.768,1.198,0.827,1.405,1.187
1,355.305,2.023,0.947,1.835,1.154
2,356.035,6.358,0.832,12.422,0.917
1,356.072,2.279,0.621,1.185,1.266
1,356.917,2.176,0.87,2.179,0.903
2,356.938,11.62,3.084,4.287,1.981
2,357.82,4.137,0.983,3.12,2.766
2,358.767,1.417,2.525,2.289,0.533
2,360.693,7.543,1.853,1.532,1.206
2,361.002,13.287,2.392,7.605,2.006
1,361.135,1.793,0.72,2.048,0.957
1,362.001,1.24,0.873,1.21,0.835
2,362.324,5.97,1.637,4.312,1.222
2,362.383,5.746,2.05,4.841,0.753
2,363.151,1.748,1.42,7.507,2.182
1,364.017,1.29,1.539,2.305,1.119
1,364.6,1.941,0.903,1.134,0.883
1,365.802,1.292,1.111,1.006,1.07
2,366.35,2.03,1.106,12.216,1.262
1,366.458,1.441,1.245,1.344,1.153
2,366.777,5.327,1.133,1.926,0.84
1,366.874,1.935,0.782,1.01,0.627
2,367.168,1.898,0.701,3.368,1.557
1,367.701,1.104,0.879,1.407,1.082
2,367.974,3.223,0.731,5.69,1.86
1,368.999,1.86,0.879,1.221,0.861
1,369.443,1.292,1.177,1.012,0.939
1,369.498,1.437,1.293,1.288,0.673
2,370.271,12.422,1.447,3.791,2.278
1,370.657,1.292,0.923,2.13,0.985
2,371.131,3.379,0.837,3.787,1.637
1,371.276,1.218,1.074,1.403,1.164
2,371.586,9.123,3.167,5.715,1.302
1,376.085,2.147,0.729,2.04,0.957
2,376.264,5.736,0.541,7.031,1.74
2,376.564,1.594,1.926,2.796,1.281
2,376.982,3.109,0.743,3.92,3.343
2,378.136,3.279,1.822,4.516,0.669
1,378.466,0.954,1.129,1.238,1.386
1,379.484,1.328,1.335,2.186,0.895
1,381.542,1.476,0.946,2.126,1.151
1,381.923,1.826,0.96,0.948,0.671
1,382.482,1.241,0.926,2.426,1.044
1,385.779,2.412,0.914,1.321,0.884
1,388.366,1.191,1.344,2.119,0.925
2,389.695,5.746,1.613,11.459,1.011
2,390.738,7.338,2.444,5.255,0.924
2,392.526,2.457,1.96,1.81,1.296
1,392.555,1.834,0.935,1.021,0.75
2,392.907,10.532,3.142,9.53,1.853
2,393.275,5.708,2.705,4.852,0.955
2,394.789,2.346,1.807,3.282,1.436
2,395.01,3.73,1.981,11.86,2.445
1,395.223,2.019,0.616,0.964,1.229
1,397.052,1.758,0.906,1.48,1.401
1,397.161,1.422,0.976,1.772,0.906
1,399.388,1.932,0.95,1.327,0.62
1,400.538,1.223,0.913,2.186,0.932
2,401.141,2.578,1.212,2.369,1.694
1,401.974,1.278,1.446,1.298,0.632
1,402.122,1.202,0.935,1.351,1.268
1,402.529,0.94,0.843,2.277,0.91
1,403.24,1.083,1.506,1.757,0.903
2,403.468,8.355,2.911,2.446,3.113
1,403.673,1.079,0.967,2.34,0.915
1,404.2,1.242,1.26,1.2,0.919
2,404.396,5.736,0.8,7.377,1.061
2,407.371,2.696,1.415,1.967,1.707
2,408.221,7.091,2.366,3.028,3.465
1,408.271,1.274,1.332,1.252,0.907
1,411.562,1.024,1.21,1.764,1.213
1,414.672,1.268,1.339,1.324,0.967
2,415.641,6.133,1.065,7.266,2.954
2,418.278,6.086,0.932,5.43,1.253
1,419.666,1.323,0.925,1.785,1.347
1,419.8,1.197,0.947,2.051,1.219
1,420.447,1.814,1.082,2.072,0.879
1,420.499,1.048,0.993,1.794,1.344
1,423.732,2.05,1.342,1.304,1.342
2,424.734,9.897,1.429,1.807,3.279
1,425.252,1.21,0.827,1.201,1.458
2,425.506,3.054,1.671,11.493,0.924
2,425.53,3.626,1.444,10.367,1.388
2,426.763,2.446,1.414,1.799,1.26
1,427.153,1.299,0.884,1.925,0.642
2,427.805,4.195,0.787,11.132,1.133
