task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.108,10.35,115.25,1.09,10.32,10.16,112.49,111.15,99.91,9.93,104.07,0.98,9.72,10.8,96.05,105.77,93.9
T2,0.537,10.7,114.82,0.94,11.13,11.03,99.83,103.64,93.92,10.56,105.02,0.95,9.87,10.24,106.34,96.33,102.21
T3,0.583,10.3,98.07,0.99,10.42,10.29,95.31,100.75,106.99,10.17,97.95,1.0,10.68,10.09,98.69,106.38,116.74
T1,0.616,9.98,95.18,0.97,9.4,9.84,113.44,104.96,105.21,10.86,107.81,1.07,9.37,10.42,108.28,105.84,94.35
T4,0.747,10.09,115.76,0.97,10.99,9.84,106.27,109.27,98.88,10.13,115.81,1.01,11.64,10.69,109.86,111.75,100.83
T3,0.891,10.51,110.55,0.97,11.39,11.36,109.15,108.63,105.01,10.53,105.46,1.12,10.28,10.25,98.1,100.75,110.7
T1,1.345,10.21,104.47,1.05,10.06,10.39,97.02,107.48,104.26,10.18,108.55,1.04,9.72,10.64,96.43,106.61,108.54
T1,2.003,11.13,100.67,1.09,10.08,11.21,97.88,115.1,110.84,10.0,102.07,1.0,9.37,10.59,102.47,112.43,109.91
T3,2.441,9.39,100.27,1.0,9.83,10.6,97.6,98.77,116.09,9.61,103.5,1.01,10.26,11.54,105.04,95.07,109.55
T2,2.446,10.94,105.32,0.97,11.22,10.72,104.58,96.87,102.62,10.68,115.79,1.09,9.93,11.2,109.18,99.94,107.28
T3,2.468,11.01,103.28,1.06,10.66,11.5,103.29,101.8,111.71,9.4,101.62,1.01,10.94,9.91,95.96,103.29,114.94
T3,2.59,10.33,111.54,1.05,10.68,11.3,105.16,96.24,107.31,10.06,112.58,1.0,10.45,11.19,105.08,106.38,117.88
