task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T6,0.124,109.8,26.79,103.95,0.99,111.8,10.76,94.99,1.07,112.53,27.25,110.31,1.05,108.54,10.8,97.84,1.13
T4,0.332,103.15,29.13,101.03,1.03,102.06,11.34,96.57,1.0,96.98,28.01,104.98,1.11,103.51,11.54,99.41,1.04
T7,0.62,105.91,24.11,100.34,1.13,105.37,11.08,110.42,0.99,106.84,27.17,99.3,1.0,108.68,10.11,101.1,1.06
T6,1.928,117.81,24.25,99.98,1.03,110.18,9.94,94.61,1.17,117.16,25.12,109.95,1.15,99.98,11.38,103.62,1.01
T5,3.434,108.61,26.9,101.69,1.02,107.97,9.86,95.14,1.08,107.11,24.23,92.18,0.98,96.87,10.09,103.68,0.96
T3,3.68,100.38,28.64,110.26,1.04,94.88,10.9,115.12,0.98,103.7,25.54,98.2,1.13,99.71,10.75,109.85,0.97
T7,3.959,110.48,23.76,106.43,1.08,92.75,10.82,108.95,0.98,100.8,25.79,100.15,1.0,97.65,9.9,106.13,1.14
T5,4.651,96.46,24.89,101.82,1.1,99.34,9.87,102.21,1.03,103.12,27.49,105.42,1.08,110.75,9.76,109.4,1.08
T9,4.847,98.84,27.02,114.22,1.1,96.36,10.04,105.91,1.01,96.32,25.46,111.2,1.05,92.18,10.43,97.04,1.05
T4,5.6,108.79,26.0,109.84,1.06,95.25,10.17,105.57,1.09,101.99,27.78,111.18,1.01,109.2,10.61,99.06,1.02
T2,7.069,105.28,27.16,105.8,1.02,105.76,10.0,95.44,1.12,104.53,26.95,112.17,1.1,104.04,10.3,107.18,1.12
T10,7.122,106.59,23.87,114.75,1.03,113.8,10.54,112.06,1.13,109.74,22.96,104.11,0.99,102.5,10.31,102.02,1.09
T9,7.41,97.32,24.3,110.22,1.07,97.84,11.38,104.96,0.98,95.6,27.41,114.64,1.05,100.06,10.35,107.99,1.06
T9,9.225,107.78,26.42,109.62,1.0,93.68,10.21,94.1,1.06,99.16,26.98,111.13,1.1,100.57,10.75,106.75,0.96
T2,10.982,114.52,26.92,104.2,1.02,100.82,9.88,103.2,1.13,109.66,26.63,115.13,1.15,97.75,9.97,103.17,1.02
T4,11.259,111.57,29.12,111.74,1.08,102.7,10.56,104.41,0.92,95.05,26.77,103.95,1.05,110.7,11.69,93.56,0.93
T8,11.719,102.02,26.53,110.72,1.02,93.42,11.55,104.35,1.08,111.92,29.26,107.64,1.01,109.45,11.2,102.02,1.03
T3,14.373,107.33,27.88,98.48,1.1,100.64,10.88,104.26,1.01,115.62,29.35,108.9,1.02,103.44,11.8,106.41,1.04
T1,14.813,97.4,25.6,106.42,1.08,110.18,9.75,100.83,1.05,108.52,24.28,101.65,0.94,97.84,9.61,100.12,1.01
T5,16.407,108.17,27.85,98.37,1.06,96.02,9.43,98.08,0.98,113.61,25.79,105.49,0.97,101.24,10.65,108.7,1.12
T10,19.665,110.75,24.7,106.48,1.07,100.8,11.75,98.84,1.17,115.04,25.43,104.44,1.06,114.23,10.05,109.4,1.03
T5,19.782,102.23,26.29,106.05,1.07,98.31,9.42,106.82,1.04,105.91,24.83,94.76,1.05,102.49,10.99,103.65,0.98
T9,22.232,104.04,27.68,111.11,0.95,97.58,11.88,100.19,1.06,98.84,27.33,105.14,0.98,94.6,11.11,108.49,1.06
T3,22.819,116.84,24.98,114.04,0.99,96.85,10.07,100.54,1.0,106.91,26.78,110.06,1.0,103.33,10.74,102.1,0.94
T10,22.978,111.19,25.17,119.15,1.03,117.28,11.3,102.5,1.07,103.22,25.23,100.56,1.14,107.84,11.48,98.55,1.06
T9,24.967,102.59,27.85,109.43,1.1,99.05,11.46,97.83,1.02,100.26,25.09,115.71,1.09,92.97,10.54,105.83,1.09
T10,26.281,106.25,25.02,101.2,1.14,114.36,10.95,109.37,0.99,101.58,24.85,115.34,0.99,105.52,10.99,103.77,1.03
T8,26.327,111.65,27.9,106.3,1.01,106.14,11.54,108.05,1.08,111.94,28.22,107.26,1.15,99.94,10.22,103.93,0.98
T4,28.954,103.28,29.12,115.17,1.13,97.35,11.75,95.32,1.07,101.99,29.26,117.13,1.12,107.06,10.71,99.89,0.95
T8,29.346,102.09,27.94,105.01,1.11,97.8,10.63,112.21,1.04,115.59,28.98,110.7,1.13,93.99,10.64,100.32,1.13
T10,31.348,99.51,25.04,103.87,1.07,113.36,10.23,100.41,1.15,102.57,24.84,101.81,1.03,106.24,10.74,100.48,1.01
T3,33.501,112.08,28.65,114.45,1.14,109.99,10.02,106.08,1.1,100.93,27.79,102.24,1.05,98.66,10.63,115.31,0.99
T7,33.805,106.71,25.08,111.37,1.1,94.71,10.24,108.49,1.04,95.73,24.32,114.77,1.07,107.31,10.92,109.69,0.98
T9,34.499,97.91,28.57,107.12,1.05,108.14,10.69,97.2,0.99,98.37,27.21,101.48,1.01,99.7,11.57,94.22,1.02
T4,34.729,108.68,25.51,104.2,1.16,102.05,11.58,96.55,0.96,99.85,28.04,107.52,1.17,103.0,10.71,96.58,0.96
T10,35.631,102.99,26.62,110.17,1.14,109.81,11.66,114.11,1.13,112.69,23.25,109.65,0.98,106.56,11.58,113.06,1.15
T1,35.975,109.53,24.83,98.96,1.1,95.8,9.58,108.36,1.02,110.69,26.99,100.38,1.1,97.32,10.94,100.27,1.1
T4,37.546,99.65,27.46,115.02,1.1,108.08,10.02,101.14,0.98,101.58,26.93,103.7,1.01,108.26,11.04,103.56,1.06
T3,39.556,109.35,26.24,97.53,1.04,97.15,9.98,106.26,1.02,103.42,25.19,99.01,0.98,101.32,11.3,115.95,1.04
T9,39.576,99.27,25.01,98.07,1.08,103.39,10.78,105.2,1.09,98.15,25.02,114.95,1.01,107.25,10.46,102.99,1.02
T2,39.777,109.99,28.45,108.21,0.99,97.8,10.54,103.07,1.0,100.44,26.84,110.98,1.17,98.83,10.0,109.88,1.01
T2,42.367,109.9,27.42,106.57,1.07,104.37,11.07,97.78,1.02,103.91,27.24,104.24,0.99,104.14,10.33,97.7,1.17
T7,43.585,105.07,26.44,100.55,1.13,106.5,11.07,104.12,1.13,97.56,25.04,98.42,1.16,108.01,9.55,109.12,1.11
T3,43.784,99.87,26.12,115.02,0.97,94.02,11.19,117.78,0.96,117.46,26.98,105.41,1.03,95.85,9.99,100.59,1.03
T8,44.976,111.37,25.48,99.78,1.03,108.31,10.41,106.52,1.09,114.52,26.47,101.57,1.12,102.41,11.2,105.82,1.08
T4,44.994,103.39,29.28,101.45,1.01,107.6,11.23,107.78,0.96,107.23,26.27,110.67,1.17,96.75,10.59,99.9,1.03
T10,45.346,109.74,23.69,108.36,1.03,99.52,10.85,106.94,1.11,111.84,24.02,115.87,1.14,105.12,11.65,108.51,1.02
T5,46.01,113.84,25.28,103.46,1.01,101.08,10.32,102.52,1.05,110.76,27.91,92.23,0.95,97.2,10.56,104.64,1.03
T6,47.714,111.55,26.1,107.62,1.04,103.39,10.92,101.05,1.05,114.12,27.91,113.57,1.1,99.03,10.6,105.92,1.09
T1,48.198,109.78,25.75,108.93,1.05,102.94,10.99,99.07,1.06,102.29,27.68,99.03,1.04,110.5,9.83,113.82,1.09
T3,48.979,109.75,27.69,107.2,1.11,108.64,11.61,108.43,0.95,105.25,27.48,100.29,1.07,102.22,10.76,105.83,1.08
T3,49.002,113.88,25.9,112.84,1.02,106.28,9.97,109.35,1.09,106.28,27.46,110.25,1.02,98.95,10.47,117.09,1.0
T1,49.021,100.81,24.3,111.91,0.96,102.74,9.85,103.92,1.09,101.27,23.75,106.16,0.98,110.03,9.38,108.06,0.99
T7,50.53,102.92,25.09,115.88,0.99,105.8,9.75,109.82,0.99,107.32,24.76,104.42,0.99,92.75,9.48,100.3,1.11
T1,52.009,110.08,27.26,99.51,0.98,105.38,10.94,102.09,1.01,109.0,25.98,110.33,1.07,96.64,10.74,105.41,1.09
T1,52.069,109.33,25.46,99.67,1.0,97.73,9.73,113.2,0.98,111.69,25.03,98.0,1.0,104.52,9.63,96.22,0.99
T9,55.488,104.75,27.77,105.01,1.0,93.02,10.6,100.68,1.04,108.92,28.27,109.16,1.05,98.74,11.18,101.48,0.99
T2,57.158,103.37,29.34,110.62,1.13,96.61,9.77,107.39,1.15,116.21,28.23,108.63,1.05,106.09,11.05,104.14,1.06
T9,57.393,104.06,25.63,105.36,1.11,100.4,10.32,94.76,1.01,97.91,24.23,102.93,0.97,106.8,10.09,109.8,0.97
T6,58.274,112.11,26.62,100.59,1.1,104.01,10.73,93.36,1.02,116.61,24.38,111.63,0.98,108.46,9.92,96.96,1.06
T3,58.45,114.59,26.17,111.18,1.1,95.08,11.68,116.56,1.06,116.26,25.41,108.14,0.98,94.01,10.48,105.11,0.93
T8,59.864,102.02,27.44,106.58,0.99,99.98,10.71,110.99,1.0,103.72,28.13,102.31,1.1,105.8,11.61,109.34,1.11
T6,61.96,112.53,26.96,112.82,0.98,111.4,9.66,105.27,1.0,116.26,23.88,111.46,1.1,96.05,11.06,103.25,1.13
T4,62.009,100.65,28.96,111.7,1.16,103.0,11.52,94.84,0.98,98.92,28.53,107.43,1.13,108.07,11.48,97.63,1.01
T9,63.262,105.15,26.76,112.02,0.97,103.86,11.12,105.06,0.94,108.64,25.12,98.1,0.99,97.88,10.72,102.48,1.06
T2,63.403,103.28,27.24,108.97,1.16,98.18,10.1,97.5,1.13,113.13,29.39,101.05,1.17,110.1,11.17,110.58,1.1
T4,63.677,103.88,25.47,115.58,0.99,99.23,10.61,103.51,1.04,102.33,25.83,102.3,1.06,106.88,10.54,101.11,1.1
T3,66.947,116.49,28.04,98.59,1.01,98.67,10.28,106.67,1.01,114.87,25.65,109.6,1.1,94.91,11.25,114.61,0.95
T3,69.537,115.88,29.29,102.31,0.96,107.43,11.65,100.11,0.99,113.31,29.46,100.73,1.1,97.29,10.92,111.78,0.99
T9,70.218,97.35,26.54,102.4,1.0,93.71,11.53,106.12,1.05,99.47,26.52,108.96,0.97,104.55,11.88,102.39,1.09
T5,72.669,105.85,27.55,100.61,1.08,109.08,10.63,93.78,1.02,102.19,24.78,106.32,1.0,101.28,9.83,94.21,1.02
T5,74.932,110.15,27.97,96.47,1.01,100.87,10.02,102.68,1.14,97.95,27.4,93.18,0.98,105.08,10.87,104.39,1.06
T7,77.655,110.58,23.77,111.01,1.02,105.34,10.97,112.83,0.97,105.82,25.77,114.25,1.07,100.54,10.36,110.73,1.09
T3,78.059,114.05,29.48,102.37,0.97,100.75,10.67,113.3,0.96,111.33,28.95,112.88,0.99,94.51,11.59,113.21,0.95
T9,78.439,102.32,24.61,99.65,0.95,96.7,10.14,94.02,1.11,98.0,24.49,113.53,0.96,94.18,10.98,101.66,1.07
T5,78.463,105.74,24.05,99.07,0.95,104.25,9.48,103.8,1.04,96.86,24.11,103.3,1.03,97.63,9.86,100.32,0.97
T8,79.08,102.44,28.45,117.47,1.15,98.21,11.53,105.71,1.08,103.9,29.42,111.76,1.08,109.62,11.45,100.08,1.12
T3,80.45,115.24,25.38,97.69,1.06,98.3,11.47,100.65,1.02,109.69,29.29,104.17,0.97,97.46,11.36,112.65,1.0
T1,82.253,108.02,27.09,102.53,0.97,103.19,10.62,99.54,0.96,100.81,26.6,104.5,1.03,101.62,10.38,113.5,0.98
T9,82.463,94.41,27.63,111.71,1.12,93.62,11.39,99.72,1.01,100.63,26.5,105.8,1.09,106.29,10.97,111.05,1.03
T9,82.486,97.62,25.05,103.06,1.04,104.84,11.74,102.55,1.08,111.37,25.29,98.81,1.1,101.01,10.75,105.71,1.01
T6,82.86,109.62,25.67,98.36,0.98,94.46,9.77,97.38,1.09,111.7,26.94,109.44,1.04,106.96,11.13,102.45,1.15
T6,83.292,109.37,26.21,107.31,1.11,105.02,10.72,105.2,1.0,104.89,25.86,107.25,1.03,107.82,10.6,101.33,1.06
T2,84.786,108.39,25.78,113.74,1.07,109.15,9.45,109.74,1.02,103.7,28.79,112.56,1.15,104.3,9.57,110.78,1.1
T2,89.137,116.18,26.41,109.42,1.01,108.65,9.45,105.55,1.09,105.24,27.84,101.61,1.12,105.0,10.13,101.26,1.08
T3,89.754,103.07,27.33,97.72,1.07,104.09,10.14,106.28,0.96,112.63,27.94,108.05,1.03,102.86,10.87,105.63,0.96
T7,92.117,107.55,25.57,105.54,1.01,105.77,10.52,111.2,1.0,110.22,24.35,109.5,1.07,94.15,11.0,105.85,0.96
T7,92.871,103.77,24.0,103.26,1.08,106.98,9.72,100.98,1.03,106.53,25.75,109.82,1.02,95.58,9.83,111.2,0.96
T3,94.06,105.67,27.73,110.78,1.06,97.95,10.49,100.48,1.06,114.89,28.9,102.82,1.03,95.74,11.54,107.61,1.05
T2,94.487,103.36,26.51,112.27,1.04,100.73,10.75,96.1,1.12,112.69,28.37,98.94,1.03,96.55,9.92,97.02,1.0
T8,94.695,97.99,29.62,105.79,1.07,98.35,10.22,108.06,1.13,113.33,27.97,118.32,1.14,104.9,11.32,110.71,1.04
T10,94.784,114.9,25.29,104.81,1.12,102.74,10.78,109.3,1.03,112.01,24.01,100.81,1.01,107.44,10.31,107.07,1.17
T10,95.403,105.24,26.9,102.59,1.05,107.23,11.62,113.4,1.01,100.75,25.01,113.55,1.05,100.63,10.78,111.09,1.14
T2,97.26,112.82,27.93,113.06,1.11,106.43,9.61,108.48,1.11,101.48,26.08,114.67,1.0,106.39,9.77,97.92,1.11
T9,97.442,95.39,24.44,105.39,1.1,99.36,10.94,94.51,1.01,107.82,26.33,113.44,1.01,102.5,11.42,108.94,0.95
T3,98.001,106.01,27.83,115.46,1.14,105.95,10.09,104.5,0.96,117.29,27.75,112.6,1.04,103.0,10.52,108.08,1.0
T9,98.165,99.51,24.79,103.0,1.08,96.47,10.81,111.44,1.03,99.42,26.1,98.47,0.96,92.38,10.27,95.68,1.01
T3,98.381,107.88,25.92,108.68,1.12,96.68,11.56,101.57,0.98,114.69,25.32,99.12,1.03,109.85,10.27,111.22,1.1
T8,98.995,114.37,25.29,117.73,1.14,103.8,10.81,116.56,1.0,102.67,26.59,106.64,1.15,102.49,10.51,109.44,1.13
T3,101.656,112.43,27.33,115.27,0.97,101.51,11.38,110.09,0.97,112.55,27.68,98.64,1.09,94.02,10.05,103.08,1.1
T5,101.724,102.26,24.94,97.35,1.02,98.39,9.44,93.69,1.06,106.86,27.54,92.45,1.07,96.35,9.71,96.47,1.05
T10,104.142,109.83,25.02,115.91,1.03,115.92,10.82,111.81,1.14,106.18,23.55,103.59,1.03,99.53,10.88,106.04,1.15
T10,105.643,111.58,24.81,105.22,1.1,105.41,11.86,107.75,1.07,104.02,23.67,117.67,1.15,101.92,11.16,104.37,1.13
T1,107.929,102.8,24.47,102.75,0.98,107.16,9.6,105.73,1.12,112.84,27.62,108.93,1.02,106.77,10.15,104.43,1.1
T2,108.807,103.81,29.47,104.9,1.13,99.37,9.5,108.05,1.14,99.46,25.98,114.4,1.13,99.05,11.04,97.92,1.09
T4,109.063,102.46,27.2,101.62,1.12,110.36,10.52,98.61,1.04,111.94,24.97,100.32,1.1,109.32,11.15,106.69,0.96
T8,110.217,101.36,28.98,115.72,1.07,106.5,11.61,117.96,0.99,112.5,26.45,107.72,1.06,99.16,11.39,110.4,1.11
T10,115.769,108.58,23.5,117.72,1.14,115.17,11.63,111.1,1.13,99.94,24.03,104.1,1.12,101.26,11.19,108.67,1.16
T9,119.501,97.33,24.69,104.61,1.01,92.07,10.74,106.18,0.99,102.83,25.03,97.93,1.03,97.52,10.57,94.54,1.01
T6,121.479,110.92,25.05,103.35,1.03,95.21,9.82,98.18,1.08,103.62,24.07,98.47,0.99,98.57,10.44,102.18,1.1
T6,123.631,109.34,24.84,98.24,1.0,106.51,11.28,94.09,1.09,100.62,23.89,103.27,0.98,111.09,9.82,99.06,1.08
T8,126.163,103.26,25.66,110.18,1.1,105.0,10.12,117.15,0.97,104.17,26.35,102.95,1.11,94.5,10.55,114.19,1.02
T10,126.293,104.27,23.94,116.72,1.13,105.61,11.36,101.24,1.04,102.23,24.98,101.46,1.12,115.74,11.04,107.48,1.14
T5,127.343,113.11,27.32,103.45,0.99,106.63,10.85,97.48,1.03,96.31,27.76,105.49,1.03,95.01,10.14,97.89,0.98
T9,128.155,99.84,27.6,114.53,1.12,102.21,10.54,104.8,0.95,102.78,28.25,105.96,0.97,99.48,10.95,96.6,0.93
T2,128.742,116.48,25.47,110.67,1.1,93.13,10.15,99.91,1.03,104.03,29.38,111.89,1.06,108.65,9.98,100.2,1.03
T2,129.318,112.92,25.75,100.02,1.07,98.48,9.72,97.77,1.03,111.42,26.79,114.12,1.03,93.84,9.61,93.97,1.01
T1,131.409,112.06,25.09,110.64,1.07,110.03,10.53,112.05,1.04,107.37,23.82,99.26,1.06,106.9,9.72,111.18,1.02
T10,131.934,107.51,26.9,111.75,1.04,110.16,10.32,96.43,1.12,99.72,24.57,114.02,1.02,115.78,10.91,113.57,0.99
T6,132.478,118.48,27.99,114.05,1.15,112.07,9.86,109.26,1.02,116.91,28.33,108.64,1.06,108.46,10.47,106.16,1.01
T4,134.565,108.23,26.52,105.03,1.08,96.24,10.32,96.51,0.94,103.8,27.42,109.8,1.03,111.13,10.93,101.29,1.02
T4,134.711,108.96,28.95,104.95,1.11,105.33,10.7,106.38,1.02,103.35,27.63,114.3,1.16,101.67,10.42,95.24,1.04
T10,134.796,106.21,23.24,117.37,0.98,116.23,11.41,112.72,0.99,102.45,25.56,113.76,1.09,107.03,10.62,105.5,1.0
T9,135.254,95.9,24.69,109.63,0.99,107.41,10.97,94.22,1.06,110.45,26.76,103.6,1.0,108.54,10.69,97.72,1.06
T1,135.567,96.83,27.23,102.65,0.96,99.07,9.6,99.13,1.1,109.13,25.47,111.01,0.98,102.58,9.96,102.89,1.09
T5,135.727,98.49,24.56,99.09,0.94,97.58,9.45,102.51,0.99,97.7,25.0,103.79,1.01,104.89,10.84,94.68,1.0
T1,138.79,101.11,27.32,111.15,1.1,110.3,9.52,98.92,1.08,99.38,27.37,100.15,1.04,95.34,10.04,106.36,1.01
T7,138.955,106.43,24.47,109.85,1.12,106.44,9.5,109.05,1.14,110.77,24.22,106.16,1.08,102.77,10.38,113.17,1.09
T7,140.343,95.68,26.74,99.48,1.02,104.1,10.22,97.72,1.05,106.9,25.74,116.67,1.03,98.36,11.08,97.55,1.04
