task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,3.37,1.876,1.866,4.975,0.83,1.914,2.084,4.661,0.749
2,4.031,2.571,1.628,3.785,0.84,2.279,1.644,4.356,0.788
2,4.759,2.523,1.99,4.007,0.858,2.512,1.975,3.705,0.72
2,5.22,2.633,1.732,4.466,0.753,2.473,1.587,4.933,1.001
2,5.237,2.095,1.598,3.737,0.937,1.912,1.858,3.681,0.923
2,5.479,2.118,1.68,3.793,0.967,1.883,1.591,5.035,0.87
2,5.521,2.184,1.967,4.581,0.721,2.016,1.546,4.678,0.726
2,7.345,2.128,2.122,4.379,0.972,1.959,1.609,5.097,0.796
2,7.602,2.633,1.802,4.771,0.933,2.311,1.832,3.828,0.913
2,7.919,2.063,1.662,4.145,0.949,2.173,1.919,4.692,0.77
2,8.027,2.184,2.057,4.125,0.905,1.881,1.775,4.397,0.773
2,8.769,2.157,2.022,4.44,0.967,2.011,1.633,4.801,0.949
2,9.112,2.378,1.739,4.931,0.837,2.243,1.957,4.504,0.949
1,10.567,2.267,1.764,4.005,0.837,1.988,1.708,3.672,0.792
1,10.744,2.173,1.682,3.617,0.808,2.559,1.8,5.004,0.806
1,13.395,2.019,1.844,4.339,0.695,1.965,1.591,4.889,0.644
2,14.724,2.628,1.966,4.207,0.852,2.341,1.74,3.674,0.956
2,15.603,2.492,1.923,4.564,0.819,2.209,1.82,4.905,0.732
1,16.422,1.883,1.519,3.877,0.667,2.119,1.476,4.98,0.664
2,16.604,1.912,1.656,4.25,0.759,2.15,1.987,4.978,0.836
2,18.797,2.371,2.067,4.626,0.927,2.397,1.99,4.58,0.839
2,19.31,2.075,1.869,4.581,0.836,2.378,1.536,5.087,0.856
2,20.802,2.065,1.787,4.032,0.763,2.222,2.034,4.24,0.892
1,21.845,1.902,1.512,3.882,0.664,2.153,1.512,3.727,0.85
1,23.385,2.242,1.435,4.915,0.612,2.153,1.921,4.825,0.804
2,23.4,1.891,2.113,4.658,0.934,2.183,2.06,4.995,0.903
2,24.517,2.099,2.053,4.756,1.0,2.294,2.058,4.226,0.744
2,25.542,1.918,1.681,3.893,0.778,2.075,2.06,3.927,0.749
2,30.251,2.35,2.078,4.245,0.843,2.388,1.598,5.119,0.963
2,30.521,2.182,1.579,3.685,0.952,2.016,1.801,3.752,0.842
1,31.135,2.466,1.656,4.252,0.79,1.951,1.841,4.523,0.79
1,31.544,1.923,1.652,4.297,0.674,1.899,1.524,4.553,0.841
2,31.564,2.266,1.912,3.64,0.722,2.281,1.644,5.101,0.944
1,32.077,1.935,1.559,4.851,0.763,2.011,1.541,5.049,0.822
