task_type,m1_1,m2_1,m3_1,m4_1
T2,0.742,2.004,21.602,36.464
T2,0.847,1.877,22.865,39.106
T2,0.831,2.146,23.18,34.099
T1,0.039,0.09,1.191,1.858
T2,0.777,2.01,24.173,38.503
T4,3.534,7.694,96.552,162.674
T3,0.823,2.396,24.064,40.5
T4,3.115,7.759,93.08,162.299
T2,0.736,2.017,22.915,34.448
T2,0.783,2.084,23.998,36.177
T3,0.868,2.294,25.572,43.552
T2,0.756,2.022,24.74,35.087
T1,0.037,0.091,1.077,1.783
T1,0.039,0.1,1.143,1.765
T1,0.041,0.099,1.155,1.913
T4,3.106,8.207,99.836,140.034
T4,3.165,8.616,87.809,151.254
T2,0.812,1.95,22.85,39.34
T4,3.09,8.016,102.208,152.696
T2,0.785,1.885,21.49,38.064
T3,0.905,2.053,25.263,37.835
T3,0.818,2.091,27.609,42.791
T4,3.347,8.875,101.818,145.062
T1,0.041,0.102,1.042,1.73
T3,0.91,2.211,24.535,39.357
T1,0.039,0.094,1.21,1.702
T4,3.562,7.743,98.785,142.956
T3,0.927,2.111,27.17,37.768
T3,0.874,2.121,27.386,40.382
T1,0.041,0.097,1.158,1.628
T2,0.777,1.971,24.698,33.953
T3,0.942,2.379,27.351,41.41
T3,0.832,2.36,26.96,38.635
T2,0.83,2.132,21.669,36.56
T1,0.041,0.089,1.075,1.63
T1,0.038,0.093,1.086,1.825
T3,0.945,2.045,25.39,40.803
T2,0.84,1.925,22.479,34.764
T4,3.34,8.151,95.045,148.912
T4,3.288,8.949,92.245,145.841
T2,0.74,2.017,23.128,38.917
T3,0.924,2.378,23.714,43.527
T4,3.287,7.757,102.011,155.869
T4,3.275,8.558,96.177,150.744
T2,0.824,2.102,23.556,38.064
T4,3.202,7.692,90.351,153.08
T3,0.849,2.278,24.677,40.895
T2,0.761,1.847,22.142,36.104
T3,0.95,2.12,25.471,40.362
T2,0.865,2.125,24.643,37.509
T1,0.04,0.094,1.104,1.651
T4,3.105,7.745,92.601,151.761
T3,0.943,2.297,26.946,39.786
T1,0.04,0.101,1.036,1.619
T2,0.788,2.001,25.106,33.827
T3,0.831,2.301,28.165,37.904
T3,0.933,2.237,28.161,43.489
T4,3.07,7.865,101.741,160.575
T3,0.94,2.154,23.972,39.362
T4,3.47,8.725,102.034,160.484
T4,3.267,8.719,101.285,138.986
T2,0.734,1.958,22.781,35.316
T1,0.039,0.089,1.222,1.841
T1,0.038,0.104,1.065,1.911
T2,0.813,2.026,24.58,33.918
T1,0.039,0.09,1.115,1.845
T2,0.848,2.147,22.645,34.89
T4,3.018,8.072,98.294,160.461
T4,3.077,8.14,100.22,137.778
T4,3.258,7.957,98.085,148.692
T4,3.262,8.56,87.648,155.813
T2,0.751,2.009,23.501,36.659
T3,0.91,2.064,24.633,41.889
T1,0.036,0.095,1.121,1.905
T3,0.884,2.136,25.424,38.074
T2,0.76,1.893,21.358,33.675
T2,0.8,1.85,21.498,34.45
T4,3.4,7.681,98.381,158.115
T3,0.939,2.269,26.755,42.237
T3,0.903,2.244,24.922,38.335
T2,0.811,1.929,23.52,33.41
T2,0.865,2.05,23.617,33.852
T3,0.904,2.216,28.036,42.659
T3,0.964,2.377,28.014,42.201
T3,0.948,2.419,26.776,41.866
T4,3.134,7.935,99.503,156.006
T3,0.83,2.424,24.253,38.629
T3,0.851,2.356,23.826,42.149
T4,3.045,7.729,103.236,146.011
T2,0.761,1.998,21.806,36.92
T3,0.876,2.211,27.258,42.694
T3,0.942,2.138,26.936,43.584
T1,0.038,0.089,1.128,1.676
T4,3.546,8.38,98.584,160.708
T1,0.036,0.091,1.145,1.761
T4,3.482,8.35,90.144,154.127
T4,3.308,7.663,88.749,162.659
T3,0.825,2.047,24.894,39.417
T4,3.509,8.448,90.25,162.014
T3,0.884,2.338,27.784,41.377
T2,0.865,2.004,21.463,35.551
T3,0.909,2.366,27.161,40.76
T3,0.824,2.266,26.972,39.749
T2,0.827,2.141,23.788,37.987
T2,0.804,2.167,23.014,35.611
T3,0.879,2.35,28.136,43.47
T1,0.04,0.101,1.158,1.874
T2,0.827,2.165,22.022,35.304
T2,0.779,2.136,23.597,33.227
T2,0.777,2.001,21.713,38.651
T3,0.89,2.205,23.819,42.834
T4,3.345,7.558,93.674,143.246
T1,0.041,0.1,1.168,1.912
T1,0.039,0.105,1.188,1.644
T2,0.854,2.088,22.731,34.59
T3,0.877,2.309,27.809,42.999
T2,0.75,1.971,23.42,37.138
T4,3.132,8.476,87.68,153.62
T2,0.792,2.022,21.344,36.76
T1,0.036,0.101,1.144,1.869
T3,0.877,2.262,24.209,43.793
T1,0.04,0.096,1.217,1.844
T1,0.037,0.089,1.071,1.855
T2,0.764,2.099,23.058,33.677
T1,0.036,0.103,1.11,1.65
T1,0.041,0.094,1.143,1.634
T1,0.036,0.09,1.112,1.839
T4,3.481,7.704,89.047,151.944
T4,3.034,8.385,95.178,137.612
T1,0.04,0.089,1.185,1.69
T4,3.566,8.646,90.323,142.812
T1,0.038,0.096,1.14,1.795
T1,0.038,0.098,1.166,1.863
T1,0.038,0.092,1.115,1.905
T4,3.276,8.596,90.89,151.802
T2,0.839,1.837,23.549,38.128
T1,0.038,0.089,1.212,1.918
T1,0.041,0.092,1.032,1.769
T3,0.933,2.052,27.525,42.743
T1,0.038,0.098,1.207,1.772
T2,0.767,2.076,23.779,37.787
T1,0.037,0.094,1.043,1.787
T1,0.036,0.103,1.082,1.885
T4,3.036,8.267,103.227,162.024
T4,3.491,7.89,99.377,148.289
T3,0.884,2.335,27.448,37.335
T2,0.74,1.919,21.238,38.31
T1,0.042,0.091,1.19,1.823
T1,0.037,0.094,1.091,1.799
T2,0.796,2.158,22.239,34.437
T4,3.197,7.67,90.702,151.69
T3,0.903,2.174,25.609,40.145
T3,0.872,2.384,28.142,40.11
T2,0.81,2.026,23.313,38.56
T1,0.036,0.095,1.03,1.856
T2,0.822,1.897,22.591,37.391
T3,0.823,2.262,24.165,37.87
T2,0.752,1.867,23.742,36.768
T2,0.851,1.881,22.778,34.461
T3,0.833,2.094,25.787,38.064
T2,0.759,1.875,22.872,35.023
T4,3.401,7.591,90.617,138.75
T4,3.345,7.908,89.024,159.471
T4,3.111,7.781,90.323,159.42
T4,3.343,8.077,96.128,137.421
T3,0.817,2.166,27.723,43.049
T3,0.874,2.125,23.78,41.356
T3,0.87,2.093,27.204,41.374
T3,0.882,2.424,23.696,41.075
T2,0.75,1.944,25.04,38.098
T4,3.051,8.412,98.405,149.554
T3,0.886,2.329,26.935,39.496
T3,0.884,2.05,25.696,38.624
T2,0.862,1.965,21.323,36.727
T1,0.037,0.099,1.205,1.786
T4,3.085,8.39,95.776,149.898
T3,0.961,2.404,27.521,40.18
T2,0.777,1.883,22.529,33.859
T1,0.042,0.098,1.164,1.654
T3,0.835,2.317,28.037,42.361
T3,0.875,2.255,24.145,40.642
T1,0.042,0.103,1.175,1.615
T4,3.212,8.892,93.333,137.074
T2,0.808,2.094,22.964,37.794
T4,3.338,7.704,98.57,147.078
T4,3.485,8.244,89.031,156.763
T3,0.883,2.153,26.628,38.388
T2,0.734,1.873,25.164,37.017
T1,0.036,0.09,1.145,1.622
T2,0.796,1.99,22.467,36.694
T4,3.307,8.873,95.729,137.972
T3,0.846,2.152,24.89,38.557
T3,0.945,2.374,25.48,41.374
T4,3.297,8.95,92.529,139.514
T3,0.951,2.354,27.481,43.292
T4,3.212,7.701,94.708,160.276
T2,0.795,2.04,24.104,34.994
T4,3.379,7.797,100.845,162.512
T3,0.873,2.309,24.805,43.443
T2,0.791,2.023,22.676,36.971
T3,0.96,2.338,27.794,43.854
T4,3.488,8.858,92.661,154.777
T3,0.893,2.273,24.875,39.996
T4,3.326,8.347,102.737,147.435
T3,0.963,2.222,27.755,37.536
T3,0.91,2.233,24.513,42.492
T3,0.963,2.1,23.972,43.997
T4,3.096,7.737,95.763,149.541
T4,3.39,8.408,101.525,160.273
T2,0.763,2.135,23.386,38.908
T1,0.04,0.099,1.165,1.841
T3,0.856,2.105,24.73,39.789
T2,0.729,1.952,24.938,34.983
T2,0.751,1.964,22.928,36.144
T4,3.23,8.55,89.808,161.78
T4,3.015,8.596,99.451,152.258
T1,0.042,0.104,1.074,1.914
T1,0.038,0.101,1.141,1.667
T2,0.84,1.989,24.47,34.157
T3,0.919,2.066,26.418,39.746
T3,0.829,2.167,26.371,38.731
T1,0.038,0.092,1.171,1.877
T3,0.873,2.278,26.198,40.419
T1,0.041,0.095,1.219,1.905
T1,0.04,0.099,1.102,1.889
T2,0.798,1.912,21.442,38.107
T2,0.855,1.828,24.71,34.358
T3,0.834,2.092,27.877,37.73
T3,0.852,2.188,27.622,39.205
T2,0.806,2.167,21.633,36.206
T3,0.882,2.376,25.749,42.567
T4,3.37,7.973,91.253,144.631
T1,0.036,0.099,1.09,1.782
T3,0.834,2.246,25.406,41.789
T2,0.75,1.867,25.04,33.629
T2,0.789,1.974,22.052,35.281
T3,0.962,2.305,27.515,42.632
T4,3.423,8.348,103.752,151.235
T1,0.04,0.106,1.12,1.855
T2,0.804,1.86,23.58,34.545
T2,0.787,1.972,23.601,36.57
T1,0.04,0.09,1.152,1.864
T2,0.745,1.981,25.02,38.562
T4,3.566,8.75,95.043,150.183
T2,0.734,1.834,24.042,37.719
T3,0.866,2.192,26.142,43.104
T2,0.735,2.123,21.228,34.107
T1,0.04,0.099,1.149,1.862
T3,0.918,2.059,25.939,40.254
T2,0.864,1.856,24.112,34.472
T1,0.04,0.092,1.081,1.703
T4,3.456,8.972,98.668,142.788
T4,3.167,8.014,91.57,152.023
T1,0.039,0.101,1.136,1.824
T4,3.504,8.879,103.832,145.469
T1,0.036,0.089,1.216,1.711
T2,0.851,1.994,21.396,33.961
T4,3.142,7.983,94.987,146.109
T1,0.042,0.1,1.169,1.783
T3,0.898,2.116,27.938,38.901
T4,3.164,8.014,95.636,139.664
T2,0.737,2.141,24.933,38.693
T1,0.035,0.094,1.085,1.842
T2,0.86,1.919,22.191,34.758
T2,0.741,2.006,22.653,37.21
T4,3.351,8.179,89.971,138.91
T2,0.743,2.022,23.561,35.876
T1,0.036,0.103,1.174,1.867
T2,0.851,2.122,23.267,36.262
T2,0.838,2.044,24.948,37.788
T3,0.904,2.211,28.175,44.048
T4,3.215,7.801,96.94,149.63
T3,0.927,2.069,28.037,41.708
T2,0.859,1.873,23.32,37.447
