task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.066,104.17,11.36,10.47,103.91,109.12,1.09,99.5,10.23,109.46,11.31,11.12,110.86,112.63,1.03,108.59,10.33
T4,0.117,103.76,10.03,9.37,104.57,103.86,1.12,115.74,10.91,100.07,11.14,10.71,111.41,109.65,1.0,117.56,10.91
T1,0.419,106.86,9.31,10.42,108.64,102.57,0.97,114.06,10.23,100.63,10.02,10.07,100.94,117.01,1.0,105.28,10.86
T4,0.687,110.71,10.1,10.53,100.29,103.78,1.0,114.92,11.1,105.27,9.66,10.5,100.98,110.47,1.03,111.75,10.05
T1,0.693,112.82,10.22,10.43,103.12,117.69,1.12,106.43,11.29,102.07,10.41,10.49,102.04,113.14,1.1,108.34,9.81
T2,1.012,111.57,10.59,10.79,101.76,109.56,0.98,99.1,10.84,112.87,10.5,10.84,111.55,99.19,1.0,102.31,11.47
T1,1.049,103.87,9.31,11.34,98.7,117.61,1.07,101.86,10.54,109.05,10.8,11.02,102.32,106.37,1.06,111.48,10.18
T2,1.202,112.4,10.02,10.22,111.41,105.86,1.1,113.23,10.54,109.7,10.83,11.33,113.06,113.36,1.04,105.2,11.05
T4,1.316,100.05,10.28,10.15,107.25,95.53,1.05,113.52,10.69,96.94,10.77,9.94,113.13,103.1,1.01,111.25,9.8
T1,1.318,110.12,10.03,10.85,94.78,103.22,1.07,108.7,10.26,103.92,10.39,10.31,109.27,117.42,1.05,99.02,10.75
T2,1.763,114.55,10.65,11.49,113.09,100.66,1.04,105.81,10.04,101.28,11.07,9.97,96.78,100.44,0.99,111.95,10.33
T1,1.924,106.47,9.72,11.28,92.84,117.35,1.11,104.26,10.5,100.82,9.89,9.93,102.76,108.16,0.99,112.8,10.16
T2,2.222,99.52,10.24,11.08,101.99,100.95,1.06,109.21,11.44,117.12,9.86,9.92,98.23,98.76,0.99,100.55,9.77
T1,2.39,104.52,10.07,10.58,98.3,117.63,1.08,108.3,11.5,101.24,10.81,9.73,101.35,112.39,1.04,115.25,10.83
T3,2.644,107.94,11.24,10.51,100.33,111.35,1.15,111.06,9.65,97.56,11.2,11.3,98.98,102.5,1.0,112.67,9.3
T1,2.647,113.69,9.39,10.57,100.47,105.26,0.97,102.63,10.14,110.31,9.94,11.25,94.46,111.79,1.13,98.93,10.86
T1,2.657,106.24,10.72,10.83,103.5,100.52,1.06,97.56,10.51,108.18,10.14,10.16,94.89,115.47,1.06,103.02,11.45
T3,2.808,99.45,10.39,10.49,103.1,99.27,1.06,108.82,10.45,109.78,11.1,10.03,94.75,108.22,0.99,103.96,10.76
T3,2.816,95.18,11.5,9.97,98.7,99.66,1.14,98.13,10.5,103.84,11.12,11.29,96.98,106.85,1.15,104.57,10.57
T2,2.838,103.82,10.28,10.71,98.84,108.5,1.09,109.03,11.19,102.88,10.19,10.04,113.38,114.12,1.05,113.86,10.06
T4,2.916,102.33,10.58,10.64,105.02,101.59,1.04,103.39,9.63,96.75,10.2,9.28,105.84,104.83,1.1,100.36,9.94
T1,3.125,100.73,9.51,11.26,100.4,118.26,1.09,102.8,10.64,111.62,10.84,11.1,102.26,104.34,1.14,107.7,9.78
T1,3.14,111.29,10.87,9.83,94.79,109.57,1.12,106.41,10.35,101.04,10.43,11.32,108.22,118.36,1.0,112.15,11.31
T1,3.203,107.25,9.37,9.86,102.1,113.74,1.01,107.18,10.26,105.86,10.0,11.38,97.46,115.7,0.98,100.48,10.63
T2,3.225,116.67,11.5,11.12,112.09,114.7,0.99,106.65,9.87,111.03,11.42,10.16,99.06,112.02,1.13,106.54,10.06
T2,3.781,105.01,11.06,10.98,96.72,97.01,1.08,103.71,10.54,110.44,10.59,10.75,97.48,107.11,1.02,110.47,11.25
T3,3.841,108.4,10.23,10.72,100.88,105.71,1.04,105.5,10.73,99.09,10.32,10.44,106.99,98.54,1.13,103.69,10.16
T3,3.946,112.0,10.89,10.42,98.9,98.09,1.06,114.76,10.48,109.69,11.23,9.81,105.41,111.38,1.08,113.12,9.5
T2,3.986,114.49,10.1,10.3,97.05,105.98,1.08,99.39,11.28,102.99,9.94,10.34,110.99,110.31,1.13,111.49,11.2
T2,4.271,102.36,10.62,10.41,96.4,98.91,1.02,112.07,9.78,101.47,10.8,11.51,107.0,111.57,0.99,104.15,9.91
T1,4.328,113.33,10.74,10.52,98.8,104.63,1.08,108.59,11.47,101.22,9.69,10.3,102.96,114.26,1.03,113.89,10.12
T2,4.667,108.96,10.67,10.14,103.25,113.12,1.11,111.13,10.23,110.86,10.68,10.81,109.17,113.21,1.05,100.38,10.51
T2,5.324,107.04,10.69,10.34,98.04,105.62,1.04,103.54,10.53,112.75,11.03,10.07,97.86,105.06,0.97,107.42,10.34
T1,5.392,110.12,9.64,11.54,95.12,115.94,0.99,104.15,10.16,102.86,9.61,11.05,102.0,111.71,1.12,98.72,10.91
T4,5.421,103.19,10.67,9.6,111.24,103.59,1.01,102.87,10.05,107.2,10.68,9.57,116.79,102.95,1.0,109.02,10.44
T2,6.174,99.87,11.48,11.71,110.6,105.85,0.98,106.38,10.82,110.74,10.52,10.75,98.52,97.75,0.99,103.21,9.74
T3,6.282,108.92,11.63,10.34,97.04,111.48,1.0,104.12,9.81,99.91,10.65,11.05,101.51,97.58,1.09,113.78,10.63
T4,6.438,110.86,10.39,9.56,100.98,104.63,1.12,110.25,10.86,105.17,10.98,9.34,105.35,105.36,1.04,116.09,9.96
T1,6.683,100.8,10.69,10.48,102.79,104.26,1.11,107.39,10.64,103.31,10.9,10.93,105.17,111.52,1.14,108.7,11.2
T4,6.7,106.46,10.52,10.0,106.63,95.43,1.06,107.61,9.86,110.11,10.48,9.51,103.85,106.57,1.09,108.05,9.74
T2,6.764,111.6,11.29,11.07,102.37,96.73,1.07,109.95,11.04,106.33,11.53,10.23,103.42,110.0,1.0,104.73,11.0
T3,6.806,106.72,11.2,9.96,106.88,110.06,1.09,110.64,10.79,102.19,10.78,10.73,98.54,105.21,1.0,109.52,9.49
T2,7.083,115.69,11.33,10.48,100.53,100.78,1.01,103.7,10.44,105.52,10.55,10.75,103.6,99.19,1.12,107.14,10.57
T1,7.218,111.74,9.71,11.44,100.56,104.55,1.14,109.59,10.12,112.74,10.25,11.42,92.66,103.93,1.01,113.7,10.83
T1,7.236,111.56,9.74,10.28,102.26,106.77,0.99,111.13,10.24,96.79,9.42,10.77,102.26,114.08,1.14,98.39,10.47
T3,7.255,105.99,10.28,10.22,109.48,102.45,1.13,104.08,10.87,95.84,9.95,9.95,104.59,110.4,0.99,104.87,9.69
T3,7.587,111.1,10.16,10.18,104.37,100.88,1.15,112.17,9.3,96.18,10.31,10.75,105.29,111.26,1.08,97.47,9.76
T1,7.773,103.73,9.67,11.04,101.38,115.3,0.99,112.57,9.83,106.99,9.37,11.48,109.48,103.54,1.13,106.18,11.4
T1,7.894,107.93,9.6,11.3,93.97,108.94,0.98,111.34,11.25,99.37,10.65,11.14,100.14,106.32,0.98,111.21,9.91
T2,8.035,116.05,9.95,9.93,98.99,111.84,1.12,107.08,11.15,109.17,10.85,11.71,104.54,105.03,0.96,113.98,11.03
T4,8.093,104.35,10.65,10.35,106.05,109.41,1.1,108.87,9.52,113.07,10.21,10.6,109.86,97.41,1.14,101.54,10.07
T3,8.165,107.9,11.29,10.35,112.28,110.69,1.02,101.82,9.73,100.92,10.82,11.16,108.39,105.71,1.03,106.39,10.49
T2,8.217,115.43,10.44,11.38,109.03,99.66,1.12,97.62,10.11,101.67,11.39,10.91,100.51,102.92,1.04,109.85,10.84
T3,8.287,107.56,9.87,10.81,96.16,106.76,1.11,110.32,9.89,109.45,10.55,10.44,103.24,106.04,1.09,97.06,9.54
T2,8.292,114.2,9.78,11.7,99.28,113.61,1.03,105.25,9.77,118.26,11.43,10.68,105.2,103.48,1.08,108.96,11.26
T3,8.485,105.99,10.31,11.31,98.38,100.95,1.16,96.77,10.19,104.32,11.28,10.4,101.26,94.93,1.03,97.8,10.77
T1,8.486,99.03,9.31,9.76,104.63,104.18,0.98,105.83,11.48,104.51,10.69,11.35,105.59,104.27,1.05,104.77,9.97
T4,8.573,99.78,11.36,10.34,106.35,108.39,1.0,100.24,9.54,96.55,11.22,9.77,115.65,110.5,1.08,117.97,10.86
T1,8.618,101.49,9.85,11.34,107.16,113.89,1.08,97.43,10.1,99.54,9.72,10.22,108.8,105.63,0.99,98.42,11.32
T1,8.796,110.12,10.63,11.33,94.97,101.46,1.01,98.42,11.4,103.36,10.08,9.93,104.88,103.2,1.01,111.81,10.86
T2,9.046,112.66,9.94,11.07,112.74,114.87,1.12,106.15,11.15,117.36,11.54,10.09,107.68,106.06,0.97,103.69,11.22
T2,9.204,116.99,10.68,11.51,112.42,107.17,0.98,97.0,10.71,109.09,11.47,11.3,103.48,99.57,1.06,114.54,10.22
T2,9.208,109.09,10.01,10.99,99.67,103.71,0.97,101.67,10.51,110.13,10.16,10.29,103.66,100.82,1.13,109.29,10.26
T3,9.41,110.36,11.32,10.64,106.11,105.19,1.16,102.42,10.64,108.51,10.5,10.72,96.16,96.84,1.14,97.19,9.6
T4,9.829,98.15,11.41,10.02,109.86,106.98,1.06,108.87,9.73,110.82,10.31,9.24,105.9,101.21,1.06,101.18,10.29
T3,9.935,99.25,10.48,10.0,97.98,106.03,1.13,109.27,9.94,112.37,11.26,10.1,111.14,100.25,1.06,98.09,10.43
T4,9.995,98.18,9.75,9.38,101.92,108.28,1.08,115.62,10.68,109.02,10.99,9.73,109.14,107.18,1.01,115.09,10.64
T3,10.041,110.03,11.01,9.9,96.82,95.29,1.12,114.7,9.63,110.66,11.16,11.31,100.19,98.78,0.99,110.12,9.38
T2,10.095,118.31,10.62,11.31,112.21,100.78,1.07,105.41,10.39,116.92,10.89,10.16,108.49,97.46,1.09,98.89,11.01
T4,10.187,111.36,11.15,10.19,109.61,95.58,1.0,105.63,10.66,97.26,10.83,10.44,102.99,107.02,1.01,111.44,10.16
T3,10.189,102.49,11.22,10.85,108.6,99.08,0.99,99.2,10.49,107.06,11.65,9.96,108.55,103.53,1.09,113.7,9.56
T4,10.702,103.63,9.88,10.7,106.81,108.62,1.08,113.79,11.24,103.94,10.06,10.81,104.83,108.52,1.06,105.53,10.7
T2,10.889,106.66,11.38,11.19,112.42,100.47,0.98,114.38,10.72,115.18,11.22,10.33,110.58,106.56,1.07,109.26,10.31
T2,10.974,109.18,10.54,11.18,112.38,106.52,1.1,105.2,11.37,107.89,10.16,11.27,103.97,97.15,1.01,107.7,10.24
T1,11.213,107.72,9.67,10.68,97.83,115.72,0.96,112.33,10.6,111.09,10.45,9.86,107.59,111.09,1.09,110.32,10.81
T2,11.421,107.24,10.29,10.56,110.41,99.18,1.02,106.35,10.27,112.77,10.68,10.67,97.16,112.67,1.04,111.14,10.48
T3,11.501,109.31,10.84,11.26,109.54,98.1,1.14,107.13,9.48,101.45,11.45,10.03,96.68,107.23,1.07,107.72,10.33
T1,11.517,105.84,9.5,10.6,100.88,116.88,1.1,114.75,11.29,108.04,9.66,11.25,97.86,112.64,1.1,103.91,10.91
T4,11.67,102.88,11.12,9.62,101.46,111.0,1.1,109.36,10.63,112.6,10.21,10.05,100.77,107.24,1.0,111.64,11.23
T3,11.822,106.14,10.54,11.15,105.88,103.57,1.08,107.02,9.77,95.02,11.51,10.19,108.2,97.31,1.09,106.48,9.45
T2,11.909,101.95,10.24,11.51,101.24,96.73,1.07,109.34,9.74,104.39,10.0,10.08,113.28,102.17,1.01,96.76,10.94
T1,11.99,110.18,10.07,10.5,105.54,115.92,1.04,100.49,10.9,108.63,10.5,10.07,102.58,117.72,1.12,111.0,10.06
T1,12.086,114.42,9.8,9.98,101.03,115.67,1.13,100.48,10.64,100.82,10.8,10.19,106.92,104.83,1.01,110.37,10.54
