task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
2,0.19,7.34,0.987,2.587,1.744
2,0.271,10.546,1.626,3.643,1.333
1,0.279,1.269,1.044,1.258,0.681
2,0.821,3.273,1.403,9.602,2.911
1,0.931,1.514,0.646,1.791,0.97
2,1.042,1.862,0.811,7.463,3.265
2,1.875,8.515,0.9,2.45,1.082
1,2.562,2.151,0.634,1.095,0.895
2,2.925,8.71,0.476,8.728,2.221
2,3.3,11.62,0.738,3.492,0.89
1,3.642,1.281,0.638,0.964,0.969
2,4.005,4.209,3.085,8.374,3.265
1,4.34,1.102,1.476,1.223,0.952
1,4.512,1.046,0.961,1.489,1.22
2,5.136,6.153,2.945,9.069,0.774
1,6.527,1.406,1.115,2.05,1.233
2,6.57,6.718,1.728,2.796,0.919
2,6.57,5.585,2.412,7.507,2.017
1,6.935,1.213,1.143,1.023,0.9
1,8.058,1.337,1.181,1.221,0.909
1,9.082,1.461,1.174,1.335,1.078
1,9.322,1.246,0.86,1.24,0.88
1,10.285,1.452,0.976,0.994,0.907
2,10.678,3.917,0.611,4.32,0.932
2,10.726,4.379,1.072,2.365,0.625
2,12.124,5.582,1.943,3.626,1.17
1,12.139,1.29,0.812,1.351,0.928
2,12.157,3.121,0.784,2.747,0.66
1,12.489,2.023,0.853,1.556,0.637
2,13.218,11.268,2.335,8.69,0.71
2,13.237,3.622,1.37,7.102,1.208
2,13.533,12.475,0.918,1.748,3.191
1,13.614,1.154,0.937,1.012,1.151
1,14.162,1.224,0.9,1.437,1.123
2,14.824,5.624,2.23,7.011,1.231
1,15.349,1.219,0.972,1.437,0.812
1,15.567,2.397,0.908,1.316,1.12
1,15.946,1.218,0.85,2.016,0.871
2,16.266,5.184,1.415,6.772,0.642
1,16.69,1.269,0.998,2.044,1.203
2,16.709,4.166,3.275,3.12,1.688
1,16.901,1.29,0.673,1.241,1.389
1,17.601,1.794,1.177,1.351,1.245
1,17.834,1.944,1.216,2.112,0.893
1,17.91,0.961,1.447,2.036,0.903
2,18.009,3.284,1.101,6.312,3.23
1,18.069,1.205,0.92,1.106,0.681
2,18.255,12.348,1.639,6.082,0.853
2,18.324,8.71,0.822,5.184,0.607
2,18.33,6.16,0.856,2.064,0.601
2,19.405,9.84,0.667,8.022,1.336
1,20.19,1.418,0.837,2.176,1.22
1,20.252,1.289,1.047,1.007,0.948
2,20.491,2.504,3.579,4.79,2.366
2,21.606,4.051,2.845,5.748,1.618
2,21.8,14.09,3.041,3.299,1.216
1,21.916,1.115,1.401,1.288,1.21
2,22.684,5.805,1.522,6.82,1.22
2,22.881,4.327,2.139,8.781,2.469
2,23.05,4.935,1.522,5.814,0.729
2,23.573,5.064,1.436,6.82,1.162
1,24.152,1.448,1.215,2.105,0.616
2,24.267,2.496,0.663,2.199,2.899
1,24.585,1.817,0.776,1.013,1.449
1,25.183,1.019,1.192,1.038,0.865
1,25.771,1.219,0.914,1.778,1.618
2,26.268,2.258,0.685,7.084,3.142
2,26.918,13.287,0.873,5.206,1.471
1,27.505,1.227,0.855,1.336,1.199
1,27.553,1.259,1.227,1.323,0.884
1,27.627,2.436,0.894,1.006,0.643
1,27.837,0.964,0.904,2.441,0.626
1,28.31,2.204,1.245,1.774,1.385
1,28.719,1.257,0.91,1.278,0.79
2,28.884,1.954,1.062,2.46,1.172
2,30.447,10.721,0.642,3.263,1.991
1,30.536,1.429,1.131,1.021,0.904
2,30.927,7.706,1.175,6.334,1.21
1,32.344,1.002,0.873,2.099,1.261
1,32.401,1.29,0.812,1.772,0.94
1,32.51,1.294,1.49,1.757,0.981
1,32.545,1.111,0.866,1.437,0.84
2,32.761,12.529,0.918,10.636,1.435
1,33.042,1.448,1.29,1.239,0.926
1,33.414,1.26,0.923,1.934,1.398
2,33.815,3.966,2.903,13.016,3.579
1,33.892,1.3,1.444,1.275,1.242
2,34.443,3.176,0.796,2.578,1.927
1,34.453,1.814,0.62,1.269,1.234
2,35.472,2.997,0.675,3.194,3.012
2,35.795,2.248,2.822,4.507,1.082
1,36.024,2.426,0.905,1.799,0.895
1,36.155,1.541,0.607,2.18,0.893
2,36.183,11.86,1.587,3.861,3.457
1,36.651,1.04,0.653,1.11,1.228
1,37.057,1.261,0.873,2.067,1.429
2,37.476,12.172,0.686,6.145,2.447
1,37.69,1.86,0.928,1.959,1.182
2,37.727,13.827,0.822,8.515,0.727
1,37.867,1.08,0.925,1.11,0.642
1,37.997,0.961,0.955,1.774,0.789
2,38.267,2.804,1.14,5.491,2.026
1,38.537,1.095,1.377,1.301,0.818
2,38.638,2.286,1.42,9.082,0.476
2,38.99,7.987,1.618,2.365,1.009
2,39.235,2.637,0.907,5.649,0.955
2,39.247,5.62,1.093,1.602,0.629
2,39.75,7.011,0.71,9.635,0.685
2,40.064,7.598,1.036,2.446,1.131
1,40.106,1.25,0.895,2.121,1.086
1,40.255,1.425,0.907,1.172,0.617
2,40.487,3.649,0.952,10.061,1.106
1,40.526,1.747,1.12,1.237,0.619
2,41.033,8.055,1.471,6.145,0.675
2,41.257,2.54,1.399,2.864,0.907
2,41.941,13.39,1.703,7.08,2.007
