task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
2,0.021,11.69,1.15,104.57,1.14,112.21,101.97,112.2,10.26,9.99,1.06,103.79,1.02,109.87,111.83,108.94,11.11
4,0.634,10.86,0.98,97.14,0.96,114.56,105.56,98.19,10.66,9.63,1.02,100.42,1.1,115.13,101.23,102.85,11.11
2,0.644,11.37,1.05,102.87,1.07,103.29,108.9,104.43,10.9,10.26,1.03,95.34,1.05,99.97,104.78,108.19,10.86
1,1.061,10.19,1.02,108.64,1.07,103.43,106.05,103.87,10.36,10.76,1.0,106.39,1.0,114.43,106.21,104.97,10.16
2,1.569,10.1,1.17,108.91,1.16,104.67,113.04,105.27,10.64,11.37,1.15,107.17,0.99,96.59,105.05,103.3,11.52
3,2.176,9.97,0.99,108.88,1.08,110.62,99.64,106.88,10.87,10.71,1.09,109.72,1.08,96.71,109.47,104.83,10.88
4,2.393,10.06,1.06,109.06,1.09,114.56,94.76,104.49,10.95,11.07,1.04,97.26,1.09,103.4,95.58,114.53,10.66
1,2.593,9.47,1.05,109.57,1.01,104.69,108.15,110.54,11.53,9.73,1.0,108.98,1.14,113.87,115.44,100.61,11.26
4,2.885,11.31,1.09,101.91,1.02,111.31,96.87,101.77,10.65,10.53,1.11,107.63,1.01,104.51,106.72,111.1,10.44
4,2.918,10.32,1.12,109.12,0.96,115.79,100.89,100.81,10.7,10.86,0.99,106.55,1.01,98.04,103.99,97.38,11.0
3,3.118,10.46,1.03,102.43,1.09,96.5,99.74,98.35,9.74,11.41,1.13,99.94,1.03,110.65,110.2,108.78,10.51
2,3.125,10.21,1.14,97.83,1.07,110.41,99.68,104.65,10.26,11.27,1.14,99.78,1.14,96.36,105.72,113.07,10.88
3,3.689,11.12,1.0,107.14,1.0,110.09,98.13,110.66,11.04,10.24,1.0,101.24,1.04,107.06,112.11,98.89,10.79
2,4.199,11.41,1.15,100.63,1.03,112.19,114.04,116.23,10.07,10.83,1.06,100.5,1.08,110.52,96.8,111.94,11.58
