task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
4,0.018,11.36,1.03,110.88,1.03,109.89,104.92,101.91,10.39,11.06,1.02,97.22,0.97,108.21,107.72,99.67,11.58
4,0.218,10.41,1.11,111.22,1.01,113.28,93.66,105.24,11.5,10.86,1.02,106.63,1.05,106.99,102.72,99.31,11.38
1,0.294,10.37,1.05,110.57,1.0,103.76,100.69,103.74,10.55,9.55,0.94,114.18,1.11,102.79,105.25,102.43,11.26
2,0.44,11.62,1.17,103.82,1.01,96.17,106.37,107.74,11.85,11.6,1.19,96.24,1.1,110.7,105.02,117.37,11.12
2,1.385,9.94,1.09,96.94,1.03,106.71,101.97,104.39,10.76,10.26,1.12,97.92,1.03,99.98,107.88,100.5,11.37
4,1.639,10.27,1.07,112.66,1.07,104.27,98.45,97.56,10.24,11.26,1.02,107.97,1.04,101.84,101.79,106.93,10.98
3,2.015,11.18,0.98,112.87,0.95,110.97,110.95,104.07,10.09,10.18,1.1,110.8,1.09,107.8,97.37,116.12,9.48
2,2.057,10.4,1.07,104.12,1.07,109.59,106.5,105.86,11.27,11.8,1.04,98.1,1.02,99.3,109.88,102.15,10.3
2,2.519,10.54,1.08,95.34,1.11,108.31,102.77,104.35,10.86,10.24,1.12,100.3,1.0,100.48,99.02,110.24,10.99
2,3.063,10.46,1.16,100.01,1.14,110.77,108.86,119.43,10.58,10.41,1.07,101.14,1.1,111.18,107.03,112.75,10.04
2,3.286,10.92,1.04,93.49,1.07,99.67,104.89,118.43,10.46,11.46,1.18,108.42,1.1,105.55,103.18,112.84,10.42
4,3.359,10.64,1.1,111.45,1.03,105.26,106.01,99.57,11.42,9.63,0.99,96.15,1.05,104.58,91.68,101.1,10.46
3,3.39,10.44,1.13,107.49,0.95,96.82,106.44,97.84,9.42,11.3,1.1,104.24,1.0,98.08,112.42,103.24,9.93
2,3.656,10.02,1.1,108.58,1.15,107.43,113.66,106.34,11.44,11.2,1.17,100.29,1.09,94.72,100.1,109.02,11.4
2,3.67,10.02,1.19,97.31,1.12,110.12,108.38,105.75,11.62,11.02,1.06,106.95,1.16,100.38,113.04,115.42,11.09
1,4.248,10.33,1.1,104.09,1.06,112.51,108.39,105.51,10.82,10.6,1.08,114.67,0.99,105.03,110.02,106.62,11.33
3,4.556,10.3,1.14,100.4,1.09,103.92,101.13,112.66,9.92,9.77,1.07,115.91,0.96,110.63,109.83,115.49,10.99
3,4.596,10.22,1.1,118.24,1.12,107.85,110.12,107.01,9.7,10.62,1.03,115.13,1.03,105.31,110.6,97.81,10.79
2,5.051,10.17,1.16,104.54,1.08,111.14,100.02,118.33,11.72,10.74,1.18,94.22,1.02,101.32,102.98,102.71,10.15
2,5.362,11.25,1.19,105.45,1.06,109.26,105.7,114.07,11.58,11.47,1.12,94.48,0.98,96.62,111.76,105.26,10.07
2,5.599,9.99,1.08,104.59,1.15,100.3,102.9,100.54,11.33,10.58,1.1,93.85,1.09,101.25,101.85,112.94,10.82
1,5.971,9.96,1.03,108.54,1.11,103.77,110.23,106.93,11.42,10.04,0.99,110.0,1.14,111.33,116.76,114.14,10.86
3,6.255,10.41,1.14,101.05,1.0,98.24,107.22,103.18,10.01,10.31,1.05,102.04,0.98,105.31,98.35,101.96,10.41
3,6.366,10.22,1.01,106.89,1.05,93.76,100.59,107.4,10.18,10.32,1.14,115.68,0.99,104.82,103.08,106.71,11.01
3,6.614,11.23,1.02,102.46,1.0,105.11,110.42,99.63,10.7,11.46,0.98,104.79,0.98,106.95,99.34,108.78,10.33
2,6.665,10.95,1.16,99.84,1.08,99.67,114.35,117.64,10.07,10.2,1.12,96.19,1.08,105.67,110.36,105.11,11.14
3,6.951,9.84,1.02,112.54,1.05,103.26,111.74,110.91,10.17,9.68,1.09,105.93,1.01,104.11,100.1,113.44,9.87
4,7.246,10.38,0.97,106.53,1.08,107.16,106.51,102.38,10.71,10.66,1.08,103.34,1.07,107.93,98.66,98.28,10.37
3,8.003,10.86,1.0,106.78,0.99,99.33,103.51,108.74,10.97,9.91,1.14,112.65,0.96,96.71,99.98,108.37,10.47
3,8.137,9.74,1.14,114.4,0.96,101.96,106.23,100.07,10.26,9.78,1.13,112.18,0.99,96.01,103.95,113.04,9.52
1,8.333,10.77,0.96,99.0,1.12,106.73,111.31,99.18,10.43,10.4,1.06,99.33,1.02,108.02,101.71,114.0,11.14
2,8.656,10.66,1.01,97.5,1.14,100.2,107.93,114.2,11.61,10.46,1.08,100.89,1.02,96.59,110.64,115.68,10.64
1,9.298,10.27,1.0,103.85,1.11,111.72,109.04,116.52,10.64,10.82,0.97,109.23,1.12,101.52,100.1,107.0,9.95
4,10.003,10.29,1.07,102.99,0.99,105.98,99.99,112.29,10.74,10.15,1.01,97.54,0.99,99.14,106.92,105.24,11.32
1,10.122,10.06,1.06,105.63,1.05,108.72,117.98,98.33,10.43,10.82,1.09,108.11,1.07,116.16,102.69,114.3,11.36
3,10.211,10.39,0.98,117.19,1.11,94.76,100.8,99.93,9.75,10.71,1.08,102.67,0.98,105.8,97.2,105.56,9.72
1,10.46,10.77,0.94,104.3,1.03,106.21,103.48,110.27,11.48,9.45,1.1,115.9,1.05,107.72,107.87,105.02,9.94
4,10.619,10.32,1.02,102.36,1.08,106.85,104.92,104.3,9.84,10.58,0.98,100.42,1.01,107.95,108.6,104.04,11.29
4,10.777,9.98,0.96,110.17,1.1,99.15,105.28,109.78,10.27,10.31,1.01,106.36,1.0,113.65,105.9,112.84,10.91
3,11.237,10.62,1.14,105.0,0.99,101.11,113.1,113.7,10.02,10.57,1.12,101.26,0.97,99.47,95.89,112.66,10.31
3,11.427,11.42,0.99,99.95,1.06,104.86,102.68,101.77,9.68,11.23,1.06,111.19,1.09,100.77,104.39,101.53,10.45
3,11.509,10.46,1.03,114.71,1.02,102.46,100.83,107.75,9.62,10.2,0.98,102.36,1.02,108.82,111.66,99.19,10.75
1,12.407,10.29,1.02,106.73,1.03,102.76,101.31,98.18,10.78,10.53,1.05,98.8,1.13,102.09,103.6,110.88,10.42
1,12.789,10.02,0.96,101.04,1.06,110.17,108.61,100.81,10.63,10.32,1.1,111.08,1.04,107.6,113.01,110.73,11.5
3,13.345,10.87,1.0,106.32,1.0,99.21,96.94,113.78,10.77,11.24,1.0,106.46,1.03,96.17,103.69,99.11,10.47
4,13.351,10.33,1.12,107.33,1.05,110.78,97.28,106.9,11.43,10.94,1.01,107.66,1.08,109.9,105.7,106.24,10.69
3,13.648,10.02,1.1,106.32,0.95,95.62,97.08,98.83,10.49,10.16,1.08,109.09,0.95,106.1,104.39,114.89,10.51
4,13.754,9.99,0.99,97.06,1.09,112.22,93.35,103.6,10.98,9.6,0.98,100.65,1.0,102.8,106.33,100.03,10.05
3,14.288,10.95,1.09,105.47,1.0,103.18,106.66,102.7,10.54,11.1,1.12,117.12,1.1,102.52,99.32,103.63,10.29
2,15.295,11.15,1.02,108.17,1.12,96.36,96.77,116.26,10.97,11.01,1.1,104.77,1.0,101.32,106.71,110.15,10.54
3,15.382,9.77,1.01,111.52,1.04,102.21,103.42,111.07,10.1,10.25,1.14,108.61,1.08,94.05,99.57,110.91,10.34
3,15.512,10.64,1.06,114.7,0.98,93.91,107.25,107.2,10.14,10.07,0.98,105.89,1.09,104.53,102.12,102.42,10.15
3,15.525,11.31,0.97,103.79,0.98,96.09,99.1,103.47,9.95,10.62,1.07,113.92,1.09,97.35,109.65,107.4,10.39
1,15.55,9.61,1.03,116.22,1.0,100.81,109.39,100.01,9.96,10.29,1.0,113.27,1.01,116.16,104.99,107.44,10.81
2,15.567,10.86,1.06,106.5,1.16,100.31,100.3,113.45,11.19,9.93,1.14,93.64,1.09,100.26,111.39,107.86,10.52
2,15.688,11.77,1.12,106.52,1.12,110.62,110.09,114.46,10.86,11.53,1.13,95.12,1.1,94.71,112.8,111.44,11.59
4,15.749,11.37,1.06,109.0,0.98,109.72,103.41,101.69,11.19,9.92,1.06,98.85,0.96,104.42,106.01,107.9,11.4
3,15.988,10.1,1.14,113.8,1.11,99.08,101.71,107.47,9.83,10.02,1.08,100.02,1.03,94.93,109.73,100.55,10.86
1,16.434,10.3,0.94,100.88,1.11,110.07,107.75,115.77,11.67,10.92,0.94,107.65,0.99,106.8,115.42,111.3,10.7
1,16.491,9.52,0.98,112.89,1.06,114.0,106.11,116.2,10.42,10.75,1.0,117.04,1.11,104.14,110.23,105.55,10.77
2,16.629,11.09,1.1,99.18,1.15,101.8,113.01,107.18,10.16,10.92,1.17,108.38,1.16,102.66,100.07,101.18,10.96
4,17.01,10.45,1.04,100.64,1.01,104.73,94.07,115.44,9.9,10.99,1.11,107.31,0.99,103.68,94.15,103.75,10.12
2,17.279,11.3,1.04,95.58,1.15,97.27,114.06,107.71,11.76,10.07,1.02,100.85,1.01,109.06,106.22,119.37,10.97
2,17.572,11.45,1.09,103.42,1.07,101.8,107.81,105.69,10.1,11.34,1.05,100.17,1.08,105.92,96.81,116.5,11.2
3,17.953,9.88,1.15,104.79,1.0,94.05,102.6,107.87,10.2,11.41,1.0,100.3,1.09,103.92,109.73,101.15,9.54
1,18.015,10.37,1.07,107.48,0.99,101.02,107.92,111.91,10.61,9.84,0.95,115.4,1.1,112.95,107.59,107.92,11.74
4,18.27,10.19,1.0,110.89,1.12,100.29,98.14,107.4,10.01,11.36,1.09,106.31,1.01,114.28,107.58,108.61,10.44
4,19.208,11.1,0.98,105.11,0.99,114.89,92.39,111.59,10.37,9.8,1.09,102.58,1.11,115.79,93.66,111.57,9.91
2,19.393,11.34,1.17,100.5,1.1,103.43,104.98,104.86,11.52,11.32,1.01,95.94,1.1,105.24,101.02,102.01,10.82
1,20.308,9.58,1.02,110.02,1.14,111.33,103.39,99.08,10.74,9.38,1.1,107.39,1.11,102.66,104.33,116.74,11.2
2,20.36,10.96,1.12,92.84,1.06,100.34,104.51,116.15,10.25,11.21,1.08,96.06,1.06,108.65,105.95,110.46,10.42
3,20.746,10.29,1.03,116.76,1.03,103.61,97.14,107.28,9.99,10.44,1.09,111.37,0.94,97.96,108.66,107.19,9.74
1,20.871,10.07,1.01,107.28,1.06,116.47,102.95,100.56,11.59,9.67,1.06,109.75,1.0,114.4,116.36,100.51,11.32
2,20.942,10.83,1.02,94.55,1.03,99.19,105.92,112.31,10.67,9.98,1.11,106.52,1.11,106.54,102.94,102.94,10.42
3,21.113,9.77,1.04,110.02,0.95,107.35,104.27,99.63,9.67,9.88,1.05,115.04,1.04,104.34,103.42,111.77,9.71
2,21.42,10.12,1.14,93.7,1.16,102.66,109.13,104.39,11.01,10.08,1.16,98.31,1.03,107.54,111.87,116.19,10.62
3,21.494,9.76,1.03,104.47,1.1,107.38,98.71,114.86,9.48,10.01,0.97,118.09,0.96,95.08,97.14,102.94,9.68
