task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,0.07,3.001,5.991,3.084,5.966
2,0.155,3.075,5.963,3.089,5.998
2,0.427,3.051,5.945,3.068,5.947
2,0.829,3.036,5.948,3.038,5.998
2,1.1,3.002,5.91,3.056,5.902
2,1.238,3.066,5.953,3.014,5.919
2,1.539,3.089,5.991,3.005,5.913
2,2.527,3.072,5.991,3.017,5.959
2,2.567,3.087,5.904,3.042,5.962
2,2.579,3.025,5.938,3.013,5.914
2,2.787,3.059,5.934,3.025,5.935
2,2.864,3.004,5.973,3.0,5.945
2,3.352,3.06,5.937,3.066,5.906
2,3.381,3.067,5.985,3.013,5.952
2,3.482,3.053,5.929,3.008,5.943
2,3.802,3.051,5.969,3.088,5.98
2,4.009,3.06,5.922,3.075,5.927
2,4.202,3.029,5.983,3.098,5.959
2,4.4,3.039,5.986,3.063,5.923
2,4.747,3.045,5.992,3.048,5.909
2,4.88,3.016,5.966,3.048,5.908
2,5.682,3.066,5.917,3.073,5.924
2,5.847,3.075,5.915,3.029,5.987
2,6.292,3.038,5.929,3.087,5.979
2,7.144,3.081,5.99,3.021,5.955
2,8.278,3.018,5.902,3.076,5.941
2,8.452,3.066,5.902,3.068,5.981
2,8.481,3.05,5.987,3.097,5.916
2,8.62,3.04,5.926,3.01,5.961
2,8.676,3.09,5.923,3.033,5.972
2,8.91,3.077,5.957,3.027,5.947
2,8.976,3.062,5.929,3.066,5.997
2,9.031,3.074,5.949,3.055,5.968
2,9.562,3.05,5.907,3.063,5.95
2,9.873,3.096,5.947,3.065,5.971
2,10.089,3.083,5.909,3.068,5.98
2,10.2,3.055,5.947,3.016,5.933
2,10.284,3.063,5.943,3.062,5.951
2,10.466,3.047,5.958,3.047,5.941
2,10.965,3.083,5.975,3.056,5.937
2,11.667,3.074,5.985,3.063,5.947
2,12.184,3.041,5.999,3.013,5.97
2,12.273,3.095,5.925,3.068,5.909
2,12.566,3.091,5.97,3.065,5.907
2,12.86,3.013,5.984,3.057,5.937
2,12.87,3.016,5.955,3.08,5.946
2,13.065,3.023,5.917,3.026,5.972
2,13.224,3.006,5.957,3.018,5.934
2,13.528,3.069,5.964,3.095,5.988
2,14.547,3.052,5.947,3.066,5.987
2,14.634,3.036,5.909,3.037,5.957
2,14.932,3.04,5.932,3.013,6.0
2,14.937,3.002,5.918,3.024,5.978
2,15.137,3.045,5.918,3.004,5.965
2,15.22,3.027,5.984,3.011,5.99
2,15.378,3.023,5.948,3.037,5.963
2,15.399,3.04,5.92,3.038,5.973
2,16.035,3.093,5.917,3.053,5.96
2,16.665,3.096,5.997,3.074,5.927
2,16.826,3.07,5.983,3.068,5.931
2,16.935,3.098,5.978,3.093,5.979
2,16.982,3.046,5.995,3.077,5.978
2,18.036,3.045,5.998,3.093,5.972
2,19.159,3.054,5.922,3.06,5.914
2,19.496,3.064,5.908,3.068,5.935
2,19.576,3.037,5.968,3.097,5.907
2,19.789,3.028,5.966,3.017,5.975
2,20.215,3.099,5.926,3.041,5.943
2,20.462,3.044,5.982,3.012,5.998
2,20.71,3.039,5.932,3.01,5.959
2,21.298,3.001,5.964,3.085,5.94
2,21.632,3.028,5.954,3.088,5.972
2,22.061,3.094,5.9,3.028,5.903
2,22.264,3.026,5.951,3.048,5.966
2,22.521,3.052,5.979,3.042,5.946
2,22.815,3.069,5.931,3.009,5.995
2,23.023,3.051,5.902,3.031,5.977
2,24.361,3.092,5.929,3.037,5.917
2,24.577,3.087,5.937,3.092,5.919
2,24.79,3.079,5.982,3.001,5.952
2,24.813,3.043,5.944,3.037,5.912
2,25.134,3.005,5.906,3.076,5.966
2,25.401,3.006,5.907,3.06,5.958
2,25.47,3.023,5.983,3.071,5.94
2,26.418,3.059,5.942,3.015,5.933
2,27.106,3.021,5.96,3.063,5.98
2,27.111,3.059,5.964,3.033,5.948
2,27.574,3.086,5.988,3.006,5.915
2,27.836,3.004,5.953,3.076,5.913
2,27.999,3.077,5.979,3.08,5.99
2,28.285,3.086,5.997,3.07,5.96
2,28.665,3.056,5.909,3.075,5.939
2,28.706,3.1,5.947,3.059,5.973
2,29.465,3.095,5.954,3.04,5.992
2,29.732,3.055,5.966,3.093,5.935
2,30.156,3.075,5.92,3.027,5.999
2,30.678,3.041,5.929,3.01,5.902
2,31.094,3.092,5.925,3.008,5.995
2,32.906,3.095,5.913,3.098,5.974
2,33.63,3.033,5.944,3.089,5.994
2,33.759,3.067,5.983,3.004,5.947
2,33.998,3.046,5.973,3.015,5.929
2,34.214,3.033,5.922,3.045,5.979
2,34.428,3.073,5.996,3.027,5.969
2,34.638,3.006,5.909,3.003,5.967
2,34.825,3.091,5.975,3.033,5.996
2,34.943,3.004,5.978,3.067,5.971
2,35.134,3.002,5.937,3.047,5.914
2,35.917,3.009,5.936,3.072,5.949
2,36.098,3.086,5.902,3.047,5.988
2,36.467,3.06,5.947,3.041,5.906
2,38.051,3.037,5.949,3.068,5.939
2,39.172,3.039,5.909,3.05,5.98
2,40.139,3.081,5.992,3.022,5.924
2,40.693,3.01,5.985,3.096,5.938
2,40.835,3.035,5.962,3.065,5.919
2,43.442,3.085,5.933,3.004,5.981
2,43.618,3.015,5.966,3.048,5.939
2,43.63,3.007,5.909,3.09,5.925
2,44.164,3.05,5.941,3.019,5.941
2,44.694,3.046,5.922,3.091,5.985
2,44.818,3.04,5.98,3.004,5.969
2,45.149,3.01,5.952,3.072,5.987
2,45.17,3.003,5.947,3.048,5.954
2,45.24,3.055,5.985,3.059,5.911
2,45.597,3.023,5.978,3.032,5.94
2,46.646,3.088,5.937,3.038,5.917
2,47.106,3.074,5.919,3.087,5.932
2,47.567,3.075,5.946,3.084,5.9
2,47.691,3.026,5.907,3.043,5.987
2,48.078,3.076,5.924,3.047,5.912
2,48.279,3.052,5.949,3.024,5.913
2,48.848,3.031,5.973,3.039,5.96
2,48.942,3.014,5.941,3.042,5.997
2,49.083,3.0,5.935,3.015,5.997
2,49.35,3.075,5.968,3.058,5.902
2,49.791,3.079,5.973,3.024,5.948
2,50.326,3.096,5.909,3.024,5.966
2,50.444,3.039,5.943,3.076,5.993
