task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,0.207,3.027,5.961,3.071,5.96
2,1.934,3.073,5.959,3.085,5.923
2,2.075,3.043,5.938,3.018,5.987
2,2.498,3.096,5.972,3.074,5.982
2,2.632,3.085,5.928,3.008,5.95
2,2.734,3.001,5.919,3.037,5.913
2,2.984,3.062,5.918,3.036,5.933
2,3.125,3.026,5.953,3.068,5.97
2,3.195,3.052,5.988,3.097,5.963
2,3.201,3.013,5.967,3.069,5.957
2,3.986,3.077,5.974,3.016,5.911
2,4.127,3.029,5.989,3.084,5.975
2,4.221,3.075,5.911,3.01,5.978
2,4.56,3.076,5.902,3.025,5.918
2,4.608,3.022,5.96,3.079,5.995
2,4.642,3.039,5.916,3.072,5.991
2,4.785,3.05,5.907,3.072,5.961
2,5.17,3.079,5.997,3.04,5.919
2,5.173,3.028,5.938,3.052,5.969
2,5.231,3.04,5.947,3.095,5.93
2,5.537,3.007,5.944,3.016,5.978
2,5.643,3.022,5.957,3.074,5.9
2,6.02,3.076,5.965,3.099,5.982
2,6.122,3.076,5.914,3.091,5.963
2,6.279,3.047,5.933,3.074,5.9
2,6.562,3.076,5.905,3.089,5.961
2,6.881,3.011,5.981,3.095,5.927
2,7.058,3.025,5.956,3.053,5.943
2,7.271,3.084,5.937,3.011,5.911
2,7.614,3.013,5.944,3.092,5.911
2,8.36,3.048,5.934,3.097,5.949
2,8.767,3.091,5.929,3.066,5.911
2,8.9,3.028,5.996,3.06,5.959
2,10.508,3.006,5.978,3.023,5.945
2,10.531,3.066,5.909,3.003,5.957
2,10.72,3.084,5.985,3.047,5.907
2,10.724,3.01,5.984,3.064,5.982
2,11.516,3.096,5.948,3.042,5.975
2,11.583,3.063,5.969,3.063,5.911
2,11.67,3.076,5.92,3.078,5.981
2,12.383,3.076,5.924,3.078,5.924
2,12.764,3.01,5.967,3.043,5.948
2,12.938,3.063,5.974,3.056,5.929
2,13.012,3.099,5.954,3.099,5.987
2,13.333,3.058,5.972,3.065,5.933
2,13.379,3.036,5.95,3.056,5.975
2,13.447,3.038,5.912,3.084,5.993
2,13.454,3.026,5.996,3.095,5.982
2,13.961,3.014,5.948,3.04,5.905
2,14.06,3.049,5.941,3.035,5.997
2,14.836,3.038,5.966,3.04,5.972
2,15.279,3.081,5.973,3.077,5.925
2,15.627,3.057,5.915,3.078,5.923
2,16.474,3.054,5.934,3.023,5.94
2,16.953,3.065,5.905,3.022,5.995
2,17.04,3.091,5.934,3.079,5.97
2,17.244,3.058,5.915,3.025,5.947
2,17.324,3.043,5.947,3.019,5.952
2,18.477,3.04,5.967,3.096,5.915
2,18.499,3.075,5.992,3.033,5.952
2,18.557,3.093,5.949,3.018,5.911
2,18.924,3.018,5.957,3.093,5.955
2,19.107,3.024,5.986,3.084,5.914
2,19.211,3.041,5.923,3.099,5.959
2,19.589,3.085,5.972,3.042,5.99
2,19.631,3.005,5.939,3.077,5.925
2,19.656,3.085,5.964,3.076,5.968
2,19.819,3.082,5.964,3.077,5.984
2,20.019,3.072,5.905,3.047,5.965
2,20.026,3.078,5.916,3.081,5.972
2,20.027,3.017,5.988,3.027,5.996
2,20.948,3.076,5.946,3.019,5.98
2,21.397,3.084,5.997,3.032,5.996
2,21.541,3.016,5.933,3.077,5.906
2,21.673,3.013,5.991,3.086,5.935
2,21.922,3.086,5.911,3.096,5.959
2,22.683,3.01,5.938,3.067,5.911
2,22.956,3.033,5.935,3.043,5.933
2,23.183,3.083,5.992,3.078,5.972
