task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T4,0.094,98.06,1.03,25.03,25.92,26.91,148.87,97.88,11.54,101.86,1.06,25.94,26.23,24.76,153.32,96.07,10.45
T4,0.176,101.65,0.93,25.2,27.04,23.67,167.25,105.25,10.16,99.64,0.96,25.18,27.81,24.28,142.8,108.51,10.14
T6,0.366,102.27,0.99,28.63,23.48,25.22,151.41,110.21,11.18,95.54,0.98,28.66,26.78,23.07,140.26,107.26,11.41
T8,0.369,110.96,1.02,26.1,28.76,24.8,175.11,108.39,10.8,105.03,1.06,25.51,24.84,26.79,166.21,105.25,11.37
T1,0.393,99.37,1.06,28.33,25.75,26.43,145.96,104.55,11.39,102.81,1.04,24.56,29.37,26.07,156.12,109.15,10.13
T10,0.468,100.88,1.1,27.63,27.6,27.17,165.52,102.0,9.42,113.07,1.06,24.62,26.77,27.21,158.38,109.21,10.65
T8,0.471,112.92,0.99,27.18,28.38,27.5,176.14,110.16,11.2,115.42,1.1,23.93,26.6,26.8,167.04,110.48,10.55
T7,0.538,114.51,1.02,24.64,28.15,29.13,146.18,109.74,11.02,110.48,1.1,24.3,28.4,29.65,146.2,108.75,11.36
T7,0.543,116.55,1.06,26.97,24.3,25.94,155.97,109.48,11.7,101.01,1.12,24.47,27.84,27.08,163.36,110.84,11.0
T3,0.552,95.23,1.01,25.04,24.65,25.43,154.73,98.3,10.54,110.56,1.01,27.07,26.6,26.92,148.23,96.92,11.07
T6,0.674,108.74,1.01,26.93,23.89,25.3,157.22,108.46,10.41,103.06,1.1,28.76,23.48,25.97,147.33,97.9,10.29
T5,0.867,115.42,0.97,27.99,27.85,26.66,158.21,102.33,10.4,103.16,1.05,25.32,28.21,26.65,159.42,111.12,10.92
T6,0.892,95.49,0.94,27.67,23.87,24.35,141.71,94.73,10.81,105.52,1.07,28.4,23.76,25.55,141.3,111.34,10.7
T5,0.919,110.55,1.05,28.27,25.22,23.9,177.02,101.62,9.97,112.25,1.1,28.32,28.84,25.9,155.19,98.96,9.61
T5,0.943,102.79,1.13,27.65,28.36,25.47,175.89,115.95,10.05,114.64,0.99,27.49,25.99,24.16,151.8,100.21,10.47
T7,1.143,105.2,1.17,23.86,28.58,29.12,149.23,109.2,11.57,100.93,1.07,23.59,26.79,27.26,156.27,105.72,10.91
T2,1.365,94.98,1.04,28.29,27.9,26.4,152.6,109.6,11.32,102.84,1.0,27.56,27.5,25.95,154.98,102.98,10.96
T7,1.433,106.21,1.02,23.23,25.03,25.26,171.95,100.92,10.78,106.43,1.03,23.1,24.51,29.48,165.88,96.74,10.31
T6,1.455,94.38,1.1,28.1,23.47,26.55,139.04,103.78,11.57,98.64,0.95,27.7,24.09,27.23,139.14,99.13,10.29
T6,1.478,105.28,1.08,25.05,25.09,23.3,146.0,110.84,11.68,100.82,0.94,26.56,27.72,24.68,160.95,107.27,10.58
