task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
1,0.052,1.963,1.079,1.916,1.075
1,0.714,1.972,1.026,1.949,1.03
1,1.919,1.99,1.098,1.916,1.038
1,2.21,1.903,1.023,1.9,1.026
1,3.197,1.922,1.072,1.966,1.02
1,3.317,1.933,1.06,1.936,1.027
1,4.667,1.985,1.03,1.902,1.035
1,5.095,1.996,1.041,1.936,1.091
1,5.299,1.914,1.018,1.926,1.1
1,5.814,1.966,1.07,1.94,1.013
1,6.222,1.984,1.082,1.94,1.022
1,6.806,1.911,1.066,1.921,1.01
1,7.403,1.984,1.057,1.948,1.051
1,7.643,1.938,1.006,1.925,1.074
1,8.383,1.978,1.098,1.915,1.089
1,9.173,1.993,1.044,1.977,1.018
1,9.235,1.941,1.001,1.931,1.091
1,10.511,1.982,1.066,1.996,1.057
1,13.143,1.997,1.096,1.912,1.005
1,14.83,1.94,1.057,1.936,1.051
1,16.511,1.986,1.077,1.944,1.07
1,19.302,1.974,1.005,1.973,1.05
1,19.592,1.931,1.058,1.95,1.01
1,19.869,1.929,1.058,1.913,1.061
1,20.34,1.988,1.053,1.984,1.031
1,22.593,1.94,1.086,1.946,1.085
1,23.683,1.926,1.069,1.957,1.042
1,24.625,1.984,1.035,1.996,1.055
1,25.316,1.979,1.04,1.985,1.039
1,25.362,1.901,1.065,1.966,1.098
1,26.237,1.985,1.053,1.987,1.01
1,26.786,1.969,1.088,1.901,1.031
1,27.217,1.977,1.071,1.921,1.067
1,27.66,1.97,1.062,1.923,1.015
1,29.38,1.986,1.033,1.993,1.081
1,30.436,1.937,1.077,1.907,1.011
1,31.91,1.963,1.047,1.992,1.095
1,32.405,1.963,1.019,1.952,1.074
1,32.861,1.95,1.008,1.966,1.047
1,33.537,1.941,1.1,1.947,1.024
1,34.291,1.936,1.083,1.978,1.029
1,34.699,1.995,1.011,1.914,1.048
1,35.49,1.958,1.086,1.916,1.018
1,36.367,1.908,1.022,1.927,1.09
1,37.861,1.931,1.074,1.908,1.092
1,38.053,1.9,1.092,1.918,1.04
1,38.067,1.924,1.078,1.963,1.086
1,39.591,1.945,1.05,1.923,1.089
1,39.669,1.982,1.041,1.982,1.037
1,41.576,1.955,1.072,1.915,1.06
1,42.274,1.957,1.061,1.997,1.093
1,43.578,1.961,1.041,1.917,1.074
1,43.721,1.981,1.078,1.972,1.019
1,45.643,1.909,1.078,1.974,1.061
1,46.332,1.964,1.089,1.956,1.065
1,46.608,1.967,1.081,1.964,1.017
1,47.645,1.916,1.084,1.938,1.075
1,47.895,1.973,1.076,1.992,1.004
1,48.913,1.914,1.054,1.942,1.006
1,50.635,1.922,1.084,1.977,1.095
1,50.843,1.986,1.047,1.908,1.084
1,51.215,1.941,1.063,1.933,1.064
1,51.247,1.996,1.04,1.91,1.024
1,51.757,1.952,1.051,1.902,1.08
1,53.819,1.929,1.057,1.934,1.072
1,54.489,1.947,1.067,1.986,1.081
1,55.293,1.923,1.076,1.973,1.087
1,55.677,1.993,1.042,1.925,1.092
1,56.078,1.945,1.059,1.986,1.028
1,56.755,1.949,1.011,1.908,1.044
1,57.004,1.928,1.039,1.918,1.091
1,57.137,1.948,1.041,1.975,1.05
1,57.511,1.985,1.027,1.99,1.018
1,57.584,1.994,1.069,1.908,1.063
1,58.544,1.988,1.082,1.936,1.001
1,58.785,1.986,1.082,1.908,1.014
1,58.882,1.996,1.042,1.982,1.051
1,59.118,1.92,1.08,1.998,1.037
1,59.332,1.963,1.043,1.963,1.081
1,60.034,1.981,1.048,1.975,1.044
1,60.115,1.937,1.089,1.978,1.009
1,60.345,1.941,1.003,1.98,1.074
1,60.444,1.979,1.084,1.975,1.038
1,62.428,1.947,1.004,1.923,1.098
1,62.52,1.904,1.044,1.992,1.081
1,63.678,1.983,1.057,1.996,1.031
