task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
2,0.341,4.972,1.1,4.524,0.557
1,0.465,1.343,0.946,1.091,0.673
2,0.656,10.171,2.984,2.804,0.835
1,0.938,1.218,0.914,1.319,1.271
2,1.062,2.402,3.037,5.106,0.971
2,1.072,6.16,1.688,4.529,3.11
2,1.756,3.743,0.885,2.199,1.135
1,1.767,1.08,0.898,1.452,1.187
2,2.001,3.485,0.543,4.369,0.917
1,2.117,2.436,1.219,1.763,0.855
2,2.12,2.794,1.7,6.133,1.262
1,2.223,1.304,1.123,1.417,1.335
2,2.399,2.814,0.863,1.748,1.329
1,2.411,2.138,0.756,2.079,0.945
2,2.653,7.429,2.014,8.715,0.727
1,3.133,1.423,0.732,1.239,0.998
1,3.876,0.978,1.446,1.227,0.607
2,3.918,2.207,0.943,7.735,0.929
1,3.989,1.292,0.853,1.41,1.109
2,4.225,3.284,2.998,12.036,1.7
2,4.282,3.074,1.373,4.379,1.166
1,4.44,1.339,1.441,2.416,0.607
2,4.839,3.787,0.669,3.622,1.958
2,5.099,4.339,1.728,11.077,3.142
2,5.164,2.446,1.688,4.882,0.622
2,5.29,3.774,1.737,4.899,0.929
2,5.3,13.287,1.548,4.825,1.133
2,5.459,2.0,1.117,7.115,0.699
1,5.54,1.278,0.735,1.265,0.903
1,6.041,1.239,1.392,2.046,0.88
1,6.287,1.766,1.249,1.053,0.912
2,6.442,1.794,1.663,1.679,3.112
1,6.927,1.265,0.617,1.24,0.929
1,7.548,0.986,0.896,1.253,0.621
1,7.644,1.301,0.895,2.374,1.131
1,7.992,1.86,0.926,1.288,0.614
1,8.737,1.411,1.027,1.111,1.082
1,8.97,1.801,1.224,1.096,0.621
2,9.466,8.991,1.107,6.492,1.694
2,9.524,13.587,1.255,13.287,0.974
1,9.745,1.252,0.753,2.027,0.928
1,9.752,1.295,0.859,1.782,0.886
2,9.763,6.082,2.873,8.464,1.018
1,9.791,1.407,0.876,0.991,0.839
2,9.991,1.799,1.241,3.634,1.95
1,10.148,1.316,0.781,1.226,0.998
2,10.32,6.312,1.471,10.841,0.533
2,10.41,9.53,2.989,5.064,0.687
1,10.569,2.073,0.995,1.483,0.935
2,10.903,10.613,0.699,4.2,1.456
1,11.433,1.024,0.896,1.183,0.627
2,11.469,5.212,0.852,3.774,0.66
1,11.554,1.087,0.948,2.105,0.89
1,11.696,1.24,0.968,1.225,0.653
2,11.764,1.962,2.992,4.373,0.767
2,11.8,3.0,0.919,4.858,0.699
1,12.297,1.267,0.839,2.043,0.866
1,12.382,2.126,0.849,1.243,1.135
2,12.494,3.213,1.5,5.214,2.912
1,13.136,1.232,1.346,1.415,0.822
1,13.452,1.019,0.942,2.374,0.876
1,13.519,1.288,1.057,1.425,1.002
1,13.579,2.02,0.904,1.006,1.392
2,13.908,4.721,0.981,2.738,2.142
2,14.209,5.43,0.965,1.44,3.085
1,14.314,1.436,1.243,1.236,0.925
2,14.341,3.501,1.319,2.496,0.47
2,14.526,2.227,0.89,4.961,2.05
2,14.648,6.358,1.375,3.766,3.037
1,14.904,1.106,0.903,1.949,0.964
2,14.908,3.861,1.46,10.22,2.782
2,15.139,6.948,0.601,8.1,0.846
1,15.297,1.444,1.113,1.29,1.426
1,15.59,1.747,0.869,1.825,0.873
1,15.741,1.275,1.199,1.203,0.788
1,15.888,1.455,0.929,1.241,0.958
1,15.957,1.211,0.875,1.407,1.199
2,16.236,3.279,0.903,2.199,2.59
1,16.685,1.503,1.109,1.516,0.944
1,16.839,1.096,1.027,1.235,1.141
1,17.007,1.244,0.638,1.15,1.258
1,17.051,2.179,0.632,1.101,0.893
2,17.171,9.3,1.301,6.488,1.175
1,17.291,1.207,0.91,1.035,1.217
2,17.518,3.165,0.983,3.368,0.916
1,17.538,1.201,1.087,2.397,0.96
2,17.744,4.922,1.275,4.516,0.625
2,17.758,9.3,3.244,2.457,3.151
2,17.816,1.579,1.74,6.309,0.907
1,18.043,1.255,0.914,1.185,0.62
1,18.367,2.059,0.908,1.198,1.095
2,18.607,6.718,0.916,12.36,0.661
1,18.675,1.311,1.144,2.134,1.394
2,18.821,7.584,1.263,4.115,1.163
2,18.957,2.684,1.717,2.779,1.335
1,19.27,1.499,0.942,1.308,1.227
2,20.656,5.141,0.551,4.039,3.43
1,21.075,1.33,0.913,1.232,0.63
2,21.076,10.532,0.919,3.029,0.764
1,21.198,1.239,0.951,1.216,1.344
2,21.634,3.501,1.484,3.194,0.797
2,21.888,1.408,1.216,3.133,0.918
2,22.257,11.928,1.065,9.829,0.968
1,22.672,2.119,0.818,1.288,0.72
2,23.161,3.501,0.656,2.796,1.695
1,23.328,1.418,1.184,1.813,0.891
1,23.866,2.016,1.346,1.21,1.388
2,23.874,2.683,0.764,2.634,3.457
1,24.035,1.249,0.811,2.04,0.725
1,24.143,1.967,1.143,1.414,1.234
1,24.31,1.541,0.903,1.437,1.134
1,24.578,1.476,1.161,1.959,0.942
1,24.805,1.292,0.678,1.503,0.722
1,24.876,1.252,1.142,2.34,0.892
2,25.187,2.873,0.814,1.562,0.96
2,25.256,3.034,2.751,1.799,1.872
2,25.259,4.612,1.255,1.969,1.916
1,25.407,2.037,0.996,1.227,0.923
1,25.654,1.095,1.377,1.835,0.89
2,26.081,4.776,1.101,9.839,0.959
2,26.194,4.12,0.917,4.555,1.89
2,26.567,2.153,1.862,1.973,0.929
1,26.683,1.435,0.925,1.934,0.952
2,26.845,11.869,1.522,4.2,0.929
2,26.869,9.016,1.241,5.814,2.458
2,26.891,4.841,0.804,3.92,0.919
2,27.699,3.004,0.741,3.984,1.953
2,27.868,1.579,1.403,3.75,2.292
2,28.063,4.718,1.443,9.048,0.855
1,28.41,1.126,1.457,2.042,1.417
2,28.643,2.572,0.988,2.924,1.279
1,29.36,1.437,0.789,1.499,0.632
1,29.521,2.007,0.94,1.024,0.848
2,29.722,8.022,1.131,2.434,2.278
1,29.853,1.265,1.178,2.06,0.887
1,30.279,1.436,1.134,1.273,0.72
2,30.445,1.743,0.954,7.714,1.484
1,30.56,1.216,0.85,1.779,0.932
2,30.617,6.287,1.444,2.504,1.934
2,30.661,2.737,1.891,7.091,1.394
2,30.664,2.923,2.199,3.923,1.365
2,31.014,1.495,2.911,2.402,1.061
1,31.054,1.86,0.996,1.235,1.174
1,31.073,1.389,0.873,1.475,1.236
2,31.172,2.572,0.601,2.632,1.504
2,31.681,2.193,1.154,2.227,2.507
2,31.705,5.594,3.141,3.643,0.615
2,31.974,1.807,0.855,1.602,1.425
