task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.065,1.09,10.62,10.26,100.26,99.28,1.15,108.44,100.87,1.19,10.8,10.36,112.81,99.62,1.01,99.63,108.4
T2,0.322,1.05,11.76,10.54,108.97,104.83,1.09,97.86,99.12,1.01,10.34,10.01,110.17,108.68,1.14,103.09,97.5
T3,0.35,1.07,9.72,9.73,96.23,99.86,1.16,94.96,109.24,1.03,9.67,11.01,107.38,112.51,1.18,104.93,105.11
T1,0.369,1.03,9.7,11.06,103.36,96.97,1.05,102.69,105.9,1.12,10.12,10.93,99.25,92.42,0.97,112.87,106.32
T4,0.448,1.08,10.43,10.19,109.82,99.66,1.1,103.29,107.81,1.08,10.36,10.23,103.32,98.84,0.97,107.51,111.33
T3,0.535,1.19,9.84,9.41,99.89,105.99,1.16,96.16,118.37,1.15,11.3,9.31,101.08,112.17,1.05,101.5,117.65
T1,0.807,1.02,10.13,10.31,105.48,105.11,1.06,103.49,96.3,1.14,10.92,9.75,111.72,100.3,1.02,108.54,97.53
T1,1.202,1.01,9.57,9.85,96.78,96.77,1.0,106.4,96.74,1.01,10.91,10.67,100.94,96.23,1.04,109.87,107.84
T3,1.464,1.19,9.72,9.52,92.51,108.82,1.17,95.44,115.61,1.03,9.62,10.53,102.8,98.33,1.06,101.45,107.3
T2,1.467,1.1,11.01,9.68,110.26,108.81,1.13,97.5,112.77,1.08,11.49,11.14,117.22,102.36,0.97,106.83,102.84
T3,1.481,1.16,10.15,9.55,109.09,113.07,1.01,100.68,112.26,1.17,10.03,10.23,106.24,107.72,1.14,110.86,107.69
T3,1.554,1.1,10.03,9.62,93.56,101.9,1.07,106.3,104.48,1.09,9.9,9.75,101.36,107.02,1.18,104.93,108.22
T4,1.583,1.06,10.21,10.68,106.69,98.9,0.96,100.55,101.93,0.99,11.14,10.6,108.56,93.72,1.02,100.64,104.9
T1,2.024,1.02,10.89,9.89,112.08,98.97,1.07,101.52,96.15,1.01,9.44,9.7,102.46,91.96,1.0,99.45,94.9
T2,2.03,1.05,10.71,11.37,114.53,106.37,1.12,105.57,97.75,1.16,11.09,9.67,107.49,110.06,1.08,108.66,107.81
T3,2.237,1.18,10.2,11.0,107.38,105.74,1.15,108.61,105.85,1.19,9.66,9.5,102.68,104.62,1.12,97.77,117.36
T1,2.668,0.99,10.47,9.93,108.88,108.29,0.93,113.6,105.33,1.04,9.43,10.06,100.88,103.54,1.0,108.54,93.53
T4,2.703,0.93,9.87,10.25,96.22,93.92,0.97,111.42,108.03,1.07,10.33,10.11,102.13,95.31,0.96,108.33,98.63
T4,2.708,0.97,9.89,10.59,101.53,107.01,0.98,116.04,99.21,1.01,10.24,9.37,104.26,97.88,1.07,116.51,108.45
T1,2.861,1.01,9.58,10.82,109.52,98.24,0.99,97.72,107.66,1.15,10.73,10.74,99.6,104.38,1.04,104.72,91.99
T2,3.621,1.02,11.81,11.3,107.89,109.96,1.01,103.42,112.9,1.17,11.53,11.3,102.58,100.13,1.15,105.2,110.61
