task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T2,0.043,110.12,1.07,107.76,1.12,9.77,9.88,0.97,1.11,108.78,1.03,114.65,1.06,10.86,11.63,1.1,1.17
T4,0.048,114.05,1.09,103.81,1.09,10.18,10.95,1.05,0.94,109.15,1.07,102.28,1.0,10.76,9.98,1.08,0.95
T4,0.175,116.35,0.95,93.4,1.04,10.89,9.89,1.11,1.04,113.68,1.02,96.09,1.02,11.68,10.67,0.99,1.04
T4,0.279,107.65,1.08,103.02,0.95,10.18,11.42,1.14,1.09,110.38,0.95,93.61,0.96,10.93,11.18,1.1,0.97
T4,0.542,99.77,0.97,110.26,0.99,10.14,9.83,1.13,1.07,102.99,1.04,106.71,1.08,11.53,10.14,1.03,0.98
T2,0.927,103.75,1.04,101.1,1.0,10.34,11.27,1.12,1.03,93.49,1.07,103.38,1.08,10.48,9.95,1.08,1.16
T3,0.98,112.71,1.13,110.58,1.05,10.03,11.84,1.16,1.09,103.54,1.04,102.43,1.02,10.88,11.87,1.11,1.14
T3,1.038,103.25,1.03,108.55,1.09,10.26,11.22,1.03,1.15,109.99,1.1,95.05,1.14,10.06,10.47,1.08,1.03
T4,1.11,111.0,1.06,106.46,0.94,9.88,11.18,0.99,1.03,109.87,0.95,101.29,0.95,10.1,10.12,1.1,0.95
T1,1.399,97.48,1.09,116.88,1.09,11.07,9.36,1.1,1.08,92.97,1.0,115.97,1.05,9.95,10.72,1.04,1.14
T4,1.933,100.47,1.04,101.51,1.06,10.79,10.75,1.14,1.08,116.88,1.05,94.47,0.94,10.27,10.02,1.13,1.0
T2,1.995,94.6,1.0,115.8,1.12,9.51,10.79,1.06,1.16,100.29,1.07,108.37,1.13,11.04,10.92,1.0,1.1
T3,2.406,100.65,1.04,99.65,1.05,10.66,11.45,1.07,1.05,111.07,0.98,110.91,1.09,10.26,11.75,1.0,1.1
T2,2.425,108.33,1.06,110.8,1.12,10.44,11.1,0.96,1.16,103.72,1.14,100.98,1.1,10.63,10.14,1.01,1.08
T1,2.5,102.07,1.11,116.36,1.17,10.78,9.93,1.13,1.09,100.82,0.99,115.7,1.01,11.15,10.81,1.13,1.03
T4,2.653,110.46,1.04,110.46,0.93,9.99,11.07,1.11,1.03,110.0,1.05,102.59,1.0,10.5,11.24,1.01,1.03
T4,2.691,99.92,0.95,98.08,1.01,10.35,11.06,1.17,0.95,107.27,1.06,96.74,1.1,9.98,10.68,1.11,1.01
T4,2.76,115.79,1.04,94.71,1.02,11.55,9.86,1.13,0.98,117.95,1.02,110.02,0.95,10.35,10.1,1.08,1.01
T3,2.848,112.81,0.98,105.18,1.06,11.12,11.13,1.06,1.07,107.46,1.11,103.26,1.12,10.15,11.05,1.06,1.02
T3,3.005,113.28,1.02,98.87,0.99,9.96,11.7,1.14,1.02,110.07,1.06,107.61,1.02,10.23,11.44,1.11,1.07
T4,3.048,105.34,0.97,105.7,1.06,10.38,11.02,0.99,1.06,104.07,0.96,96.86,0.99,11.5,10.16,1.0,1.07
T3,3.198,104.64,1.06,106.89,1.09,11.04,11.28,1.08,1.11,101.08,1.04,101.23,1.0,9.74,10.93,1.08,1.17
T3,3.258,115.33,1.02,102.67,0.97,11.21,10.5,1.15,1.16,116.8,1.14,97.14,1.05,10.48,10.95,1.11,1.15
T4,3.615,100.14,0.95,110.13,1.11,10.41,11.17,1.15,1.05,106.68,1.05,96.47,1.06,9.99,11.49,1.07,1.07
T2,3.626,97.16,1.13,102.98,1.13,10.14,10.65,1.06,1.12,93.49,1.0,116.36,1.17,10.33,10.19,1.03,1.04
T1,3.629,106.98,1.06,99.77,1.17,10.24,9.49,1.14,0.96,95.17,1.15,110.29,1.09,11.02,10.68,1.09,0.99
T4,3.735,108.72,0.94,97.96,1.07,10.63,11.18,1.17,0.98,107.27,0.94,100.6,0.99,10.93,9.8,1.17,1.05
T4,3.758,113.59,0.99,108.4,1.03,10.33,10.31,1.01,0.97,105.15,0.98,97.82,1.07,9.99,11.15,1.16,0.94
